科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"221,802,969.53","294,322,283.11","395,127,657.96","137,543,912.86","247,086,135.56","310,802,848.93","363,697,478.87","59,374,198.52","129,229,926.50","171,895,597.34","200,333,124.78","27,676,467.57","66,138,953.96","101,630,257.44","106,943,404.52","10,089,160.74","43,964,612.66","65,924,044.91","795,515,837.27","161,869,467.06","305,611,646.80","668,757,919.99","1,017,909,719.76","224,837,175.77","629,796,403.61","1,143,311,570.54","1,553,373,907.11"
二、营业利润,"37,106,802.51","53,992,372.05","83,164,504.62","33,727,016.20","58,049,997.22","69,951,611.15","79,337,482.57","10,541,308.07","23,538,754.96","30,141,181.20","32,294,719.85","6,091,716.83","10,533,087.44","15,002,531.63","15,419,360.34","-2,125,817.20","-447,622.05","1,818,575.85","343,954,832.92","71,909,185.24","149,600,655.31","311,731,410.75","497,835,587.16","106,881,554.18","310,836,472.64","513,668,212.38","665,857,984.63"
减:营业成本,"145,664,709.70","197,922,321.43","255,284,673.75","85,920,791.01","157,382,338.37","198,271,960.13","232,334,822.10","40,532,888.97","89,651,289.83","117,675,205.30","137,286,052.11","17,588,333.88","43,746,508.06","65,253,201.70","70,388,465.14","7,231,599.70","28,205,518.44","43,672,089.50","177,678,010.68","42,954,454.82","77,437,871.81","149,022,468.94","213,170,448.67","40,834,319.02","93,422,544.50","162,528,401.35","208,978,110.26"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"971,721.86","759,399.22","1,397,653.05","728,945.44","1,530,222.26","2,078,229.99","2,548,488.13","733,403.00","1,161,450.61","1,479,781.23","1,592,366.74","236,042.76","686,174.92","888,939.26","1,284,366.67","129,953.38","290,703.56","647,992.85","3,134,994.92","493,564.50","998,160.50","2,262,921.07","6,308,380.37","1,891,516.51","4,423,000.97","7,195,736.79","9,491,592.51"
营业外收入,"1,873,179.23","2,198,800.00","3,303,660.00","300,000.00","381,500.00","586,500.00","1,787,966.00","67,000.00","2,367,000.00","4,484,870.00","9,007,610.00","323,382.82","627,532.82","1,130,442.82","1,912,834.02","2,989,731.54","3,589,637.91","3,865,294.00","5,142,820.17","41,321.54","1,753,023.89","2,387,224.85","4,979,272.63","621,926.72","2,423,444.78","2,564,760.32","71,839.77"
销售费用,"13,027,990.90","14,957,910.13","21,014,259.81","6,147,634.50","9,917,883.86","12,928,042.80","14,784,817.99","2,892,587.69","6,484,878.83","9,203,581.18","11,242,276.61","1,337,169.81","3,167,857.13","8,447,334.48","6,723,905.47","1,064,049.55","6,117,090.13","7,256,290.13","140,596,594.46","27,436,586.38","53,121,540.48","166,795,945.14","230,861,432.34","63,595,726.55","182,918,849.78","399,779,454.99","582,961,727.64"
减:营业外支出,"864,127.32","1,248,419.17","115,166.00",,,,"899,377.67","100,000.00","173,540.00","173,540.00","642,426.04",,,"20,806.52","156,595.52",,,,"3,237,608.30","136,578.24","176,988.71","1,972,444.62","1,032,004.02","354,071.17","511,297.83","721,843.88","1,468,282.94"
管理费用,"22,261,024.80","21,953,413.23","30,000,375.19","10,025,759.85","18,753,063.88","28,881,181.38","38,539,020.58","6,783,228.19","13,147,114.31","20,342,783.26","26,651,257.85","5,567,006.69","11,489,887.41","19,033,526.35","23,669,017.83","6,346,161.00","13,241,628.10","19,182,342.98","105,680,591.21","19,671,210.52","39,249,902.95","63,929,510.67","110,705,731.88","36,659,089.91","66,946,640.08","108,205,385.24","153,889,019.09"
其中:非流动资产处置净损失,"473,525.32","6,552.34","35,166.00",,,,,,,,"125,843.42",,,,,,,,"1,926,182.45",,"57,747.90","57,747.90","73,798.65",,"3,358.63","212,804.68",
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"3,423,062.36","4,451,896.53","4,999,084.11","893,468.87","1,283,449.61","-1,871,404.96","-4,692,347.77","-2,859,391.37","-5,330,489.29","-7,707,217.74","-10,790,303.77","-3,063,486.07","-4,399,160.75","-6,163,910.81","-8,404,521.59","-1,760,555.59","-3,275,201.26","-6,763,111.89","6,887.92","-595,534.40","-20,096,337.06","-30,220,945.71","-11,059,427.49","-150,520.53","-2,292,008.57","-3,135,356.40","74,618.38"
三、利润总额,"38,115,854.42","54,942,752.88","86,352,998.62","34,027,016.20","58,431,497.22","70,538,111.15","80,226,070.90","10,508,308.07","25,732,214.96","34,452,511.20","40,659,903.81","6,415,099.65","11,160,620.26","16,112,167.93","17,175,598.84","863,914.34","3,142,015.86","5,683,869.85","345,860,044.79","71,813,928.54","151,176,690.49","312,146,190.98","501,782,855.77","107,149,409.73","312,748,619.59","515,511,128.82","664,461,541.46"
