科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月
一、营业收入,"906,851,327.70","2,119,251,389.21","3,172,462,553.22","4,560,390,716.55","862,971,444.14","2,233,164,100.87","3,399,825,591.94","4,708,454,852.67","921,850,472.70","2,264,883,051.25","3,571,154,564.53","4,879,492,386.73","1,499,395,758.22","3,248,829,012.11","4,758,909,507.96","6,198,874,960.15","1,268,604,879.24","2,592,848,109.50","3,613,018,963.39"
二、营业利润,"23,015,418.72","61,157,666.64","118,663,221.15","135,991,495.41","19,168,639.72","74,585,703.60","134,271,625.05","117,861,398.59","9,576,394.31","47,508,613.27","88,666,036.99","30,819,599.84","58,151,613.04","164,627,740.72","190,719,081.76","170,043,337.50","-20,986,297.41","-15,808,538.21","-97,090,816.99"
减:营业成本,"688,408,116.59","1,572,593,821.42","2,281,707,373.45","3,331,779,354.50","613,910,940.50","1,612,307,188.70","2,426,083,359.48","3,379,441,636.53","719,407,986.90","1,715,520,466.01","2,648,517,773.81","3,630,895,781.49","1,151,550,685.82","2,435,529,698.39","3,582,075,579.74","4,639,030,589.82","992,667,806.33","1,982,012,649.65","2,788,468,384.29"
加:补贴收入,,,,,,,,,,,,,,,,,,,
营业税金及附加,"87,320,761.93","241,509,869.99","352,305,553.62","511,562,436.62","68,500,283.81","226,642,016.42","362,070,761.37","515,131,275.32","76,582,252.55","182,744,106.75","314,790,213.24","457,290,590.62","146,255,662.64","312,277,659.68","463,378,033.98","625,083,135.69","126,400,960.35","265,281,390.70","363,911,041.53"
营业外收入,"102,873.43","832,384.91","876,018.06","51,442,730.58","8,241,459.83","17,721,091.65","23,042,470.41","74,616,289.74","3,640,584.91","4,130,203.00","5,390,711.49","16,788,252.43","555,431.19","2,024,415.29","8,993,711.89","12,361,976.15","1,952,511.01","3,577,790.21","3,984,225.41"
销售费用,"48,174,260.51","105,150,611.20","142,765,600.90","192,745,950.61","41,463,305.26","96,378,196.72","141,876,722.69","207,564,318.98","46,103,847.97","135,245,589.12","216,297,827.64","324,335,382.63","58,746,557.20","139,849,195.10","209,292,941.02","297,756,691.86","58,083,284.26","117,930,782.73","174,706,274.70"
减:营业外支出,"4,330,112.74","5,924,409.39","7,145,359.03","20,896,246.01","1,463,705.88","2,874,086.72","7,855,364.99","13,234,130.76","595,345.24","2,389,830.18","3,432,866.19","6,576,908.25","5,331.86","2,107,464.84","4,243,239.65","8,993,140.07","470,163.44","5,240,326.19","6,491,656.53"
管理费用,"35,325,783.60","91,858,211.40","174,454,464.86","230,546,261.00","59,350,631.60","123,607,464.63","186,070,319.75","260,277,475.84","61,345,841.25","138,715,421.97","212,085,996.66","293,337,608.61","60,909,698.35","133,912,098.04","201,245,170.42","313,002,590.23","72,516,465.46","151,950,047.30","239,509,340.76"
其中:非流动资产处置净损失,,,,"14,913,949.25",,,,"2,566,692.24",,,,,,,,,,"3,911,778.86",
堪探费用,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,
财务费用,"31,298,863.04","51,483,646.71","105,919,892.22","144,195,023.73","58,977,465.24","92,651,425.46","144,141,033.60","221,699,335.51","9,074,171.92","45,611,470.44","91,741,429.04","128,232,722.18","24,807,255.21","63,810,082.60","113,765,389.48","136,644,067.19","22,609,340.33","66,519,081.29","117,885,784.02"
