科目,2011-12-31,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"34,805,832.81","35,583,824.27","34,501,414.53","21,189,608.61","16,811,356.11","196,164,709.99","51,876,657.73","61,458,486.21","33,409,628.55","100,014,983.83","147,654,554.93","283,079,806.65","147,481,294.89","431,343,715.84","264,624,663.25","370,935,330.77"
短期借款,"50,067,859.63","50,111,984.35","56,610,619.53","70,585,654.12","73,797,241.04","78,176,590.18","6,860,325.08","41,281,745.85","39,296,188.49","97,347,267.52","227,261,308.95","151,864,654.78","35,015,012.84","26,152,391.95","2,428,616.02","368,128,829.55"
交易性金融资产,,,,,,,,,,,,,,,,
交易性金融负债,"45,788.76","27,486.77",928.38,,,,,,,,,,,,,
应收票据,"27,691,210.92","28,215,692.74","58,401,701.46","21,143,895.87","47,830,216.17","10,086,524.00","35,579,584.69","24,521,014.41","66,162,137.22","62,691,674.76","75,983,338.72","68,019,183.90","121,389,977.66","151,445,507.64","186,492,415.97","198,090,677.47"
应付票据,,"3,070,000.00","2,280,000.00",,,"5,300,000.00","10,000,000.00","15,800,000.00","28,668,297.25","48,985,297.25","26,547,892.52","34,439,196.03","46,119,210.26","103,720,654.15","106,483,454.88","149,859,803.27"
应收账款,"37,074,927.25","48,923,804.15","55,851,256.50","98,483,658.23","112,479,278.89","155,318,852.87","152,187,390.47","147,917,112.08","170,113,103.35","193,355,952.80","190,039,426.88","259,361,263.13","288,518,361.16","313,619,801.95","331,720,145.21","377,009,793.45"
应付账款,"16,311,123.81","67,507,176.75","51,308,016.59","49,680,908.25","63,365,183.53","57,795,046.89","58,517,556.71","52,674,499.76","86,596,524.24","79,344,574.47","93,602,882.73","113,563,623.93","167,756,068.99","146,667,090.45","142,318,170.15","174,698,822.88"
预付款项,"2,210,951.87","2,691,600.49","3,755,485.67","7,810,737.26","6,697,500.46","8,189,276.31","6,995,239.20","11,118,996.32","6,027,961.47","5,622,316.46","6,285,785.86","17,074,280.69","26,490,429.38","29,610,188.26","42,940,532.01","51,399,397.46"
预收款项,"6,157,476.03","4,801,224.67","4,080,429.98","8,043,217.64","6,395,921.20","5,166,800.73","5,471,751.29","4,729,850.48","5,602,429.81","6,436,029.02","6,236,234.67","37,719,117.21","22,610,997.83","35,847,298.72","36,566,481.73","32,691,932.40"
其他应收款,"776,607.68","898,012.35","1,868,396.29","2,618,907.43","2,174,965.78","4,642,976.65","3,315,591.83","6,366,498.29","3,081,825.53","3,947,489.50","4,692,049.69","6,111,326.12","9,424,960.59","11,198,036.52","16,694,328.86","11,585,847.64"
应付职工薪酬,"7,332,577.21","7,907,279.22","10,591,356.26","10,846,437.29","9,888,065.97","4,944,310.66","5,764,480.82","5,552,970.48","7,573,701.39","4,776,783.08","5,477,609.75","6,337,085.27","8,379,155.14","6,678,845.81","6,498,060.09","6,845,327.70"
应收关联公司款,,,,,,,,,,,,,,,,
应交税费,"1,614,312.17","416,780.46","3,024,243.16","2,384,328.36","4,130,620.51","5,019,827.94","4,222,471.21","1,194,153.87","5,848,363.72","3,148,186.44","2,661,691.28","8,190,413.25","10,890,418.19","5,624,064.12","8,795,948.52","3,937,189.80"
应收利息,,,,,,,,,,,,,,,,"2,668,775.32"
应付利息,,,,,"147,500.00","129,288.74",,,"56,640.87","16,685.00","282,093.75","117,800.46","115,091.01","176,425.88","140,442.77","75,862.50"
应收股利,,,,,,,,,,,,,,,,
应付股利,,,,,,,"4,050,000.00",,,,,,,,"8,100,000.00",
存货,"62,172,776.81","83,898,426.69","73,622,845.56","83,448,494.29","73,805,323.86","71,933,930.98","84,563,144.09","95,115,502.26","93,584,161.47","104,481,374.93","113,992,187.40","149,323,798.07","169,662,456.42","220,176,255.83","203,710,394.06","219,750,395.61"
其他应付款,"2,981,575.14","1,621,550.43","2,783,131.67","2,648,880.88","1,814,109.41","11,662,792.50","6,567,215.57","1,434,891.74","12,287,556.49","12,217,083.96","2,827,217.78","33,630,031.92","43,753,431.46","34,008,019.38","32,634,555.84","18,810,408.26"
其中:消耗性生物资产,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,
其他流动资产,"2,465,964.01","6,423,143.45","5,763,626.37","8,065,995.75","7,702,686.71","4,343,831.08","7,586,215.26","8,365,381.65","35,848,083.68","7,891,579.99","8,923,383.65","552,447,450.84","532,438,267.93","209,229,893.09","217,605,186.56","354,897,882.16"
其他流动负债,,,,,,,,,,,,,"3,340,845.92",,,
流动资产合计,"167,198,271.35","206,634,504.14","233,764,726.38","242,761,297.44","267,501,327.98","450,680,101.88","342,103,823.27","354,862,991.22","408,226,901.27","478,005,372.27","547,570,727.13","1,335,417,109.40","1,295,405,748.03","1,366,623,399.13","1,263,787,665.92","1,586,338,099.88"
流动负债合计,"84,510,712.75","135,463,482.65","130,678,725.57","144,189,426.54","159,538,641.66","168,194,657.64","101,453,800.68","122,668,112.18","185,929,702.26","252,271,906.74","364,896,931.43","385,861,922.85","337,980,231.64","358,874,790.46","343,965,730.00","755,048,176.36"
可供出售金融资产,,,,,,,"2,400,000.00","14,400,000.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","40,339,479.00","40,339,479.00","41,639,479.00","53,739,479.00"
长期借款,,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,,,,"131,889,500.00","136,623,200.00","138,337,500.00"
持有至到期投资,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,
长期应收款,,,"285,171.57","190,590.72","157,450.52","123,462.15",,,,,,,,,"362,842.95","202,287.39"
长期应付款,,,,,,,,,,,,"234,055.12","202,138.36","170,221.60","138,304.84","106,388.08"
长期股权投资,,,,,,,,,"2,414,782.80","2,388,558.19","12,712,830.53","44,667,926.36","34,131,459.08","33,996,425.68","33,854,630.21","95,109,632.17"
专项应付款,,,,,,,,,,,,,,,,
投资性房地产,"833,877.63","681,263.28","528,648.79","414,188.08","376,034.50","337,880.93","299,727.39","261,573.63","223,420.27","185,266.71","147,113.16","108,959.60","223,420.27","223,420.27","223,420.27","223,420.37"
预计负债,,,,,,,,,,,,,"1,215,845.79",,"779,854.06","401,205.53"
固定资产,"51,765,721.17","115,604,448.81","132,829,670.43","136,156,580.00","140,285,060.78","140,391,248.55","138,368,934.75","136,991,109.29","135,999,475.10","173,319,336.74","172,379,035.66","177,425,991.32","181,242,985.24","181,501,165.04","185,397,287.47","185,536,736.09"
递延所得税负债,"17,988.94","15,263.34","11,992.62","8,721.90","8,721.90","8,721.90","7,086.55","6,268.90","5,451.19","4,633.51","3,815.83","2,998.15","5,451.19","5,451.19","5,451.19","5,451.19"
在建工程,"34,699,589.82","14,003,886.16","1,796,180.38","4,264,380.64","12,360,278.12","14,709,348.87","56,962,519.91","20,782,874.85","33,342,885.06","7,481,622.68","28,442,013.49","62,229,474.14","64,600,621.99","71,669,287.57","192,596,310.79","217,520,037.63"
其他非流动负债,"2,953,069.56","1,003,268.73","1,475,692.81","530,639.39",,,,,"42,103,520.00","44,756,720.00","44,142,176.00","43,400,192.00","42,750,632.00","98,023,812.00","97,132,844.00","95,795,778.00"
工程物资,,,,,,,,,,,,,,,,
非流动负债合计,"2,971,058.50","1,018,532.07","6,487,685.43","5,539,361.29","5,477,122.54","5,280,735.88","5,820,114.03","6,012,758.11","57,328,971.19","57,978,193.52","72,274,716.01","71,265,969.45","73,176,266.50","259,091,183.95","313,819,193.45","310,537,882.84"
固定资产清理,,,,,,,,,,,,,,,,
负债合计,"87,481,771.25","136,482,014.72","137,166,411.00","149,728,787.83","165,015,764.20","173,475,393.52","107,273,914.71","128,680,870.29","243,258,673.45","310,250,100.26","437,171,647.44","457,127,892.30","411,156,498.14","617,965,974.41","657,784,923.45","1,065,586,059.20"
生产性生物资产,,,,,,,,,,,,,,,,
实收资本(或股本),"90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","120,000,000.00","120,000,000.00","121,466,000.00","121,466,000.00","121,576,000.00","243,152,000.00","275,888,135.00","275,792,335.00","278,992,335.00","836,977,005.00","836,977,005.00"
油气资产,,,,,,,,,,,,,,,,
