科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"69,693,994.28","66,122,308.63","73,476,790.82","99,445,427.06","867,201,834.68","835,486,632.19","794,338,676.91","766,146,698.80","769,882,119.79","675,189,073.58","605,939,103.92","547,956,005.72","543,046,376.43","496,856,852.58","474,549,421.74","417,587,973.87","479,246,892.31","484,100,917.08","449,978,979.66","460,780,411.70","400,514,888.10","583,416,612.70","557,638,550.48","562,089,333.01","593,635,638.46","1,527,687,912.14","1,369,630,156.18","1,314,938,720.31","1,393,545,418.35","1,416,356,544.86","1,308,335,148.47","1,552,864,943.28","1,373,935,363.62","1,245,441,828.65","1,291,994,438.65","1,303,610,143.43","1,349,066,782.07"
短期借款,"46,790,000.00","16,000,000.00","16,000,000.00","16,000,000.00",,,,,,"14,500,000.00","23,000,000.00","28,000,000.00","23,000,000.00","34,380,000.00","40,820,000.00","55,000,000.00","42,900,000.00","25,000,000.00","16,000,000.00","29,000,000.00","29,400,000.00","69,400,000.00","68,400,000.00","132,400,000.00","177,400,000.00","162,400,000.00","177,400,000.00","80,946,994.63","294,625,626.47","304,625,626.47","294,625,626.47","570,742,604.07","496,607,533.13","401,467,432.70","400,000,000.00","300,000,000.00","270,390,115.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"2,325,025.80","1,563,604.83","1,000,000.00",,"7,746,754.92","2,947,254.70","1,742,122.40","5,008,622.40","1,697,543.00","1,665,611.60","5,116,130.26","4,400,651.00","8,331,574.52","18,055,004.60","15,512,826.73","5,694,518.40","5,753,540.50","2,335,984.00","3,369,128.64","20,869,231.13","41,562,080.26","37,367,144.40","16,539,896.48","21,387,241.28","41,101,399.22","52,698,510.09","12,147,380.57","40,762,950.00","48,416,779.58","41,919,990.71","74,951,541.01","146,876,602.37","152,787,648.11","139,277,028.60","128,401,582.95","126,553,357.36","166,171,057.36"
应付票据,,,,,,,,,,,,,"19,928,448.74","19,928,448.74",,,,,,,,,,"20,000,000.00","10,000,000.00","10,000,000.00","50,000,000.00",,"58,600,000.00","56,800,000.00","56,117,700.00","59,086,175.00","74,576,828.00","90,094,353.00","46,691,694.80","36,118,974.80","16,008,280.00"
应收账款,"2,984,715.35","544,519.22","10,291,756.78","9,305,031.12","464,106.09","6,081,489.53","45,858,021.54","64,745,205.77","74,359,464.32","103,699,470.66","114,541,190.40","137,492,827.39","164,460,496.74","173,956,792.68","261,766,380.75","308,927,759.13","349,974,813.56","383,707,375.17","487,367,416.87","490,593,628.33","627,296,186.33","612,778,077.04","792,401,972.90","916,666,165.03","984,720,339.95","1,061,196,933.02","1,232,704,306.89","1,474,290,669.90","1,728,755,887.42","1,825,904,786.57","1,723,979,992.31","1,765,867,792.93","1,828,187,839.95","1,778,468,409.93","1,613,513,145.14","1,586,730,859.69","1,565,029,486.32"
应付账款,"7,918,161.95","13,126,877.35","9,855,051.92","8,028,927.34","8,777,074.94","11,332,920.28","43,422,590.51","45,605,683.52","90,848,221.46","111,286,481.31","82,372,772.81","83,750,532.32","60,915,617.99","83,234,773.62","133,272,284.26","125,142,786.17","163,261,315.94","191,229,147.26","236,769,062.97","201,089,209.23","157,303,461.56","165,759,783.31","230,417,924.33","140,683,691.80","103,314,066.06","109,176,149.87","120,067,548.18","89,656,134.17","199,466,356.12","203,405,450.80","184,395,372.01","171,258,676.99","178,853,330.75","221,483,960.76","221,169,203.74","190,902,146.37","200,342,202.60"
预付款项,"3,786,128.65","7,801,145.97","4,597,640.50","5,506,501.20","2,968,881.12","7,015,679.04","15,111,273.51","19,595,347.36","2,003,742.82","16,341,342.12","16,856,907.43","5,747,331.30","5,545,340.06","5,508,020.01","6,332,136.18","24,525,494.78","20,650,928.18","17,834,317.42","18,243,175.94","20,964,996.50","10,744,956.43","18,544,056.36","23,483,452.20","33,223,982.96","26,740,715.20","30,671,981.54","49,789,298.27","60,411,253.60","45,281,981.61","66,933,133.42","71,265,547.98","96,036,306.91","92,963,609.13","133,836,931.95","100,570,623.40","146,553,542.03","98,050,461.32"
预收款项,"29,889,734.98","44,269,453.03","46,736,649.46","49,778,585.28","79,186,803.07","55,130,936.92","47,700,755.94","32,746,451.79","46,421,527.44","29,018,666.04","25,852,174.61","26,089,094.63","34,362,258.69","74,654,403.71","98,156,182.43","51,790,504.34","12,204,588.29","13,940,701.44","9,819,630.32","15,056,786.13","14,723,990.60","13,569,483.19","18,814,548.93","33,153,974.15","38,905,443.41","35,106,163.03","27,427,970.33","13,371,889.46","45,298,236.08","44,794,678.56","37,558,050.75","37,773,726.46","30,835,967.02","42,663,493.69","46,249,955.78","45,560,646.64","36,303,133.31"
其他应收款,"15,392,729.03","4,930,634.03","5,378,209.39","6,912,320.63","3,795,705.52","6,753,715.87","14,995,378.40","18,519,878.97","6,714,569.54","12,808,657.68","14,902,067.24","17,591,066.64","11,102,040.61","14,539,770.59","15,488,567.01","21,308,956.66","9,917,691.82","19,410,535.11","19,042,379.27","19,872,104.85","14,922,905.42","21,530,572.54","15,080,013.85","21,402,186.06","10,860,224.58","17,947,056.31","37,921,815.90","31,536,099.95","26,254,478.15","37,560,606.03","35,260,050.54","159,185,576.82","25,759,582.04","25,262,951.32","30,200,700.54","35,166,426.26","38,361,207.81"
应付职工薪酬,"1,400,896.20","2,444,652.89","1,864,486.97","556,509.55","10,557,079.59","8,728,780.16","1,602,458.02","796,675.66","11,446,684.69","4,976,816.59","2,714,404.38","1,196,137.28","8,839,414.60","3,634,200.17","1,661,979.30","1,213,098.06","28,999,601.07","2,163,098.27","1,737,138.17","1,841,001.44","47,625,799.04","6,988,366.21","1,506,998.10","2,781,056.05","46,310,394.47","27,887,065.24","2,262,279.99","2,294,756.56","49,474,944.31","11,851,214.93","11,726,238.85","11,625,748.59","39,241,155.49","7,985,610.80","8,917,619.64","8,262,793.92","26,161,030.90"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"9,904,073.82","6,095,951.39","5,064,533.80","7,897,876.02","14,982,910.11","6,760,816.29","11,991,212.00","13,198,466.13","13,152,375.47","14,843,765.47","14,312,399.81","23,848,035.11","7,103,740.35","16,034,516.17","31,205,314.61","35,612,891.66","33,651,446.44","45,561,230.71","57,189,413.73","49,969,112.18","62,374,717.06","46,587,152.33","63,725,582.63","70,546,088.31","93,431,564.72","90,409,930.71","90,335,665.61","100,849,706.63","100,894,708.81","89,464,848.49","86,345,423.80","98,398,342.49","86,026,127.01","23,702,656.28","40,703,303.82","63,927,533.20","86,464,752.46"
