科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"179,989,408.42","319,417,402.39","140,807,608.67","229,398,148.72","301,447,855.05","65,830,535.89","149,929,740.90","202,597,162.39","288,782,102.99","54,216,918.88","155,995,444.65","300,769,974.47","388,493,515.39","101,533,144.78","211,405,350.56","289,626,620.09","301,944,162.81","138,734,854.27","173,639,125.85","270,219,355.06","342,518,494.36","86,770,693.76","210,220,007.52","307,710,557.98","356,955,484.53","41,778,271.68","98,068,440.94","161,520,605.33","321,141,581.44","37,464,451.79","97,173,228.79","176,785,659.20","379,068,490.36","57,142,619.23","120,600,272.04","233,987,324.54","436,581,486.67","100,247,793.22","252,902,820.82"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"57,843,180.00","57,843,180.00","57,771,914.93",,,,"20,377,679.27",,,,,,,,,,,,,,,,,,,,"86,584,579.64",,
收到的税费返还,,,,,,,,,,,,,"320,560.60",,,,"1,356,339.90",,,,,,,,,,,,,,,"71,082.61","422,451.44",,"127,009.34","127,009.34","304,585.15",,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,"1,500,000.00",,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"10,590,137.18","16,245,796.12","2,325,542.37","21,555,000.00","23,590,269.25","2,263,500.00","2,779,410.52","1,623,636.39","9,955,753.66","506,340.22","6,700,958.28","1,228,218.16","15,150,260.15","132,028.00","219,954.38","2,072,418.65","10,037,534.32","231,200.00","1,177,311.50","1,380,411.50","49,059,553.51","2,480,251.21","25,810,596.76","36,812,662.76","61,996,685.90","12,503,190.43","30,145,570.34","54,391,946.45","71,020,844.13","15,694,571.39","77,711,024.22","90,091,699.99","73,273,950.55","1,663,459.68","18,503,391.72","44,951,920.52","154,179,023.22","12,415,635.06","63,271,659.47"
投资活动现金流出小计,"26,989,670.54","52,399,116.20","588,994.87","26,319,018.45","38,493,922.20","14,015,687.55","39,597,449.12","92,747,454.17","143,318,041.34","81,474,497.04","151,400,866.03","204,764,330.43","209,358,232.60","35,410,805.85","78,087,929.40","85,244,779.11","69,939,611.31","11,830,874.24","107,680,775.69","124,211,980.21","127,505,977.07","8,718,443.72","19,231,791.01","36,251,259.85","66,151,391.27","3,970,190.14","11,620,486.89","16,487,360.08","47,545,673.28","3,425,965.14","19,515,862.96","24,947,244.42","24,919,017.17","1,858,194.74","3,001,866.74","27,829,981.74","102,516,651.78","26,494,635.71","32,870,123.23"
经营活动现金流入小计,"190,579,545.60","335,663,198.51","143,133,151.04","250,953,148.72","325,038,124.30","68,094,035.89","152,709,151.42","204,220,798.78","298,737,856.65","54,723,259.10","162,696,402.93","301,998,192.63","403,964,336.14","101,665,172.78","211,625,304.94","291,699,038.74","313,338,037.03","138,966,054.27","174,816,437.35","271,599,766.56","391,578,047.87","89,250,944.97","236,030,604.28","344,523,220.74","418,952,170.43","54,281,462.11","128,214,011.28","215,912,551.78","392,162,425.57","53,159,023.18","174,884,253.01","266,948,441.80","452,764,892.35","58,806,078.91","139,230,673.10","279,066,254.40","591,065,095.04","112,663,428.28","316,174,480.29"
投资活动产生的现金流量净额,"-26,980,670.54","-52,166,634.01","-381,577.07","-26,133,124.54","-37,220,481.48","-14,015,687.55","-38,914,817.48","-90,872,351.09","-140,999,327.89","-76,706,627.48","-114,031,002.37","-157,981,572.98","-168,670,301.54","-33,680,201.17","-76,042,671.95","-81,243,776.92","-62,002,718.51","-11,017,938.22","-107,068,260.55","-123,021,601.23","-127,347,426.82","-1,595,802.53","-11,799,620.56","-28,514,458.40","-59,261,391.27","-3,970,190.14","-4,870,426.70","-9,737,299.89","-40,766,783.28","-3,425,965.14","-14,415,862.96","-19,688,614.02","-13,245,534.16","-1,858,194.74","-3,001,866.74","-27,829,981.74","-95,766,651.78","-26,494,635.71","-32,220,123.23"
购买商品、接受劳务支付的现金,"125,708,562.91","204,970,265.00","78,517,835.41","182,836,527.46","191,362,906.55","36,327,202.29","104,219,795.17","142,197,948.03","203,648,662.63","25,691,083.62","114,804,851.49","211,059,573.03","254,075,238.18","51,584,466.92","111,759,198.38","173,197,987.35","266,087,969.22","97,466,806.27","124,229,150.46","176,520,061.95","238,887,532.99","67,361,685.59","132,367,799.74","221,565,464.48","162,020,802.83","45,814,571.58","84,062,052.69","131,269,224.21","189,855,581.08","35,013,576.96","140,867,223.55","166,568,084.91","222,565,266.89","37,449,564.10","89,026,562.02","163,570,207.95","265,778,253.21","102,213,290.27","162,406,444.14"
吸收投资收到的现金,"30,600,000.00",,,,,"568,000,000.00","568,000,000.00","568,000,000.00","568,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,500,000.00","3,250,000.00","6,500,000.00"
