科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"115,305,579.36","97,310,707.82","77,428,114.85","46,532,564.11","48,025,515.46","46,076,072.50","32,676,983.26","64,260,095.16","90,505,152.50","95,810,286.22","108,163,234.66","100,455,620.37","111,128,478.89","92,957,664.27","76,114,685.21","95,295,788.85","48,136,365.10","36,712,890.93","59,715,705.07","59,584,554.35","33,199,465.31","32,130,941.86","17,836,947.60","18,568,388.35","29,456,337.55","50,640,577.03","108,168,539.02","107,208,635.70","103,417,426.29","94,496,562.86","84,567,582.82","189,633,364.94","126,712,898.94","213,862,326.32","341,988,711.35","304,842,976.19","405,587,505.56","422,869,726.91","456,990,992.22","528,630,987.00","527,248,755.60","147,982,064.90"
短期借款,,"10,000,000.00","10,000,000.00","10,000,000.00","28,000,000.00","18,000,000.00",,,,,,,,,,,,"10,000,000.00","55,523,398.19","10,000,000.00","200,000.00","200,000.00",,,"68,000,000.00","110,007,535.27",,,,"25,000,000.00","15,000,000.00","72,008,000.00","47,000,000.00","88,500,000.00","122,500,000.00","137,500,000.00","219,175,807.44","270,175,807.44","310,175,807.44","465,544,807.44","505,869,000.00","503,869,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"7,106,783.85","11,691,052.87","13,002,077.16","14,827,746.79","7,119,923.28","425,162.00","1,277,859.00",,,,"1,697,845.44","467,540.73","3,720,031.51","1,253,791.82","3,089,463.56","3,214,955.83","3,928,548.80","7,434,775.53","5,213,324.17","6,069,457.20","1,760,365.02","5,643,086.85","420,201.95","1,312,661.95","1,446,642.45","2,295,909.65","608,700.00","2,645,956.31","2,324,134.86","1,386,276.88","3,581,300.00","2,968,452.54","1,363,526.00","5,163,146.98","8,627,063.08","2,267,013.90","5,866,299.50","7,760,531.62","5,835,812.66","3,609,068.75","2,346,601.22","3,746,124.28"
应付票据,,"571,283.80","863,098.60","410,872.57","192,269.57","10,269.57","10,269.57",,"4,732,661.22","20,962,283.03","37,933,384.73","26,651,966.22","17,404,800.03","24,190,454.31","23,908,081.83","31,202,934.01","16,663,622.31","20,299,290.61","16,389,211.39","32,055,043.35","23,659,058.89","13,375,072.29","24,140,865.06","44,029,916.48","37,328,065.74","26,997,352.05","27,946,220.48","30,619,479.21","31,750,055.92","21,213,728.75","17,616,413.31","69,231,534.11","39,611,334.24","33,842,345.77","45,671,688.71","30,300,325.56","30,892,410.18","40,530,863.17","34,511,080.92","39,697,018.25","66,477,780.74","85,987,338.93"
应收账款,"63,308,720.60","61,954,218.14","68,401,657.42","88,035,583.87","100,848,293.03","92,927,831.60","105,809,468.55","91,100,829.57","77,631,895.88","79,578,612.93","72,363,879.36","130,315,532.56","104,303,742.52","119,118,262.75","125,688,856.16","121,232,986.80","125,202,338.37","123,776,399.21","157,736,108.15","171,286,616.42","178,855,314.99","162,554,038.68","142,504,403.57","173,255,137.19","209,654,640.41","211,973,763.24","109,952,633.10","124,664,571.36","149,936,416.98","156,181,733.32","144,686,267.43","255,103,341.78","279,195,151.43","284,595,534.65","200,512,442.02","218,856,160.95","215,792,220.80","211,041,246.17","231,200,519.74","264,918,320.60","336,084,450.50","418,905,552.10"
应付账款,"40,245,344.67","46,141,967.46","56,149,567.45","46,070,055.46","48,324,996.03","41,999,454.92","32,385,316.29","42,640,583.96","36,600,100.78","40,420,937.75","39,990,559.90","37,335,869.92","39,667,085.26","51,600,649.25","57,367,568.78","52,565,653.48","58,988,920.68","64,247,203.29","80,245,913.97","64,309,378.26","71,651,646.60","80,026,632.19","63,787,102.03","50,793,104.59","67,503,462.80","81,458,257.69","87,094,457.16","77,864,863.21","94,956,475.52","90,351,198.97","103,053,144.16","94,760,191.00","117,331,803.60","114,962,641.80","119,785,304.70","93,949,079.87","111,388,391.78","109,026,150.30","153,613,363.00","175,290,331.83","211,422,251.53","213,957,850.18"
预付款项,"34,031,360.36","31,411,486.05","38,120,165.83","27,476,682.77","37,811,227.53","21,572,146.93","11,151,264.18","4,652,736.58","1,811,637.91","4,367,525.74","5,120,800.91","8,415,529.20","9,531,247.27","12,570,589.80","12,218,116.51","7,799,174.87","8,256,917.17","23,041,023.73","23,036,147.09","13,783,849.62","14,807,284.54","15,944,938.32","20,341,906.03","14,808,192.70","67,213,073.67","81,503,367.72","10,815,062.53","11,055,956.29","14,258,313.95","17,927,521.13","10,147,726.42","16,687,024.66","25,959,583.38","27,476,806.41","16,633,223.28","36,083,874.10","24,538,178.53","30,948,063.05","41,454,382.09","48,603,322.38","81,793,104.22","87,880,713.34"
预收款项,"366,521.28","467,086.68","381,866.38","8,389,751.97","8,402,648.97","8,598,788.80","8,515,857.98","5,097,612.74","834,841.85","833,636.71","816,289.63","5,531,257.58","1,250,461.11","7,589,114.70","7,203,695.38","6,799,468.51","6,971,178.43","7,440,119.04","7,824,776.18","6,564,006.17","8,399,384.83","6,807,347.66","6,326,144.65","9,087,605.12","9,618,634.79","10,397,100.01","13,221,582.54","10,426,410.77","9,896,892.41","12,428,627.62","10,359,092.61","12,801,988.85","20,743,175.14","16,638,320.13","30,856,496.93","24,512,800.49","24,594,686.84","31,434,274.05","34,197,144.41","37,436,722.80","35,135,445.63","40,824,793.99"
