科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30
货币资金,"977,372,994.68","1,460,319,074.41","1,351,768,447.08","1,844,669,529.54","2,323,710,635.23","2,855,486,083.55","2,421,987,966.22","2,285,323,373.78","2,535,584,000.00","3,017,067,220.00","4,884,696,680.00","3,855,082,140.00","4,066,173,460.00","8,492,974,790.00","10,367,882,330.00","5,802,686,280.00","11,105,362,460.00","13,171,857,910.00","14,409,914,640.00","11,078,305,360.00","8,805,255,780.00","13,173,364,980.00","13,039,906,200.00","11,770,987,870.00","16,316,608,350.00","17,463,975,100.00"
短期借款,"679,334,076.94","400,000,000.00","400,000,000.00","802,326,971.90","2,510,318,831.93","2,517,706,630.85","2,123,272,701.11","2,360,335,182.04","2,157,671,000.00","1,441,475,110.00","339,778,500.00","539,688,830.00","750,585,450.00","860,530,110.00","551,031,960.00","728,562,710.00","2,451,093,340.00","2,413,163,680.00","2,890,085,470.00","3,213,690,520.00","3,806,723,730.00","6,879,635,860.00","6,136,084,230.00","3,225,400,020.00","6,478,105,730.00","6,890,553,230.00"
交易性金融资产,"16,502,231.93","107,349,821.78","147,019,909.01","151,463,570.49","5,181,911.40",,,,,"11,394,470.00","13,925,850.00","27,183,740.00","33,204,930.00","65,503,350.00","82,577,330.00","150,165,900.00","204,062,950.00","152,330,190.00","225,540,290.00","181,817,290.00","153,515,880.00","60,673,750.00","11,861,000.00","117,335,890.00","190,230,010.00","321,634,280.00"
交易性金融负债,,,,,,,,"22,126,200.00","9,183,000.00","390,600.00",,"73,700.00","16,833,090.00",,"1,844,470.00","7,555,130.00","7,000,660.00","16,528,120.00","16,152,380.00","3,425,960.00","2,106,530.00","2,930,420.00",,"13,608,960.00","27,356,650.00",
应收票据,"1,460,487,166.89","1,904,405,409.27","2,217,045,501.66","1,142,432,627.51","1,469,834,615.55","2,971,304,045.27","2,706,407,268.86","2,357,265,015.84","2,337,626,000.00","4,854,878,230.00","6,029,147,210.00","5,448,452,410.00","6,847,054,460.00","8,820,627,300.00","7,092,969,230.00","3,871,019,540.00","14,407,309,940.00","12,384,978,340.00","13,735,433,350.00","7,359,470,330.00","12,276,972,670.00","10,146,921,990.00","12,046,769,980.00","9,716,022,540.00","10,802,677,710.00","9,848,887,680.00"
应付票据,"2,805,733,694.01","2,481,666,056.80","2,537,137,053.98","2,904,611,311.06","3,308,121,002.91","3,649,432,631.44","4,215,257,888.70","3,405,900,286.44","3,846,936,000.00","3,608,940,480.00","2,104,964,500.00","2,986,246,460.00","5,072,168,440.00","8,028,485,950.00","9,880,530,390.00","5,699,506,260.00","8,035,214,720.00","14,412,294,040.00","15,363,591,430.00","6,486,738,640.00","6,454,519,120.00","9,623,487,610.00","7,612,831,980.00","5,402,241,530.00","5,424,469,950.00","5,320,238,240.00"
应收账款,"2,975,097,821.98","3,735,113,682.95","2,442,452,159.04","1,485,985,331.48","3,772,052,424.13","4,314,201,732.51","3,216,689,253.52","2,936,330,251.63","4,458,727,000.00","5,968,968,280.00","3,830,805,950.00","4,666,875,130.00","7,017,217,810.00","8,287,197,650.00","6,486,203,140.00","4,442,125,800.00","7,618,762,090.00","10,696,609,480.00","7,936,585,550.00","5,707,738,490.00","7,342,148,950.00","11,082,521,780.00","9,370,238,030.00","6,071,276,010.00","9,997,634,910.00","8,121,176,460.00"
应付账款,"4,597,861,693.13","4,503,961,777.17","4,270,629,087.80","5,233,469,690.38","6,426,831,254.47","8,485,088,763.16","6,974,622,912.03","6,068,115,727.87","7,058,432,000.00","7,988,392,560.00","7,970,758,620.00","9,216,013,200.00","10,752,353,610.00","8,479,951,300.00","8,096,906,580.00","11,023,051,190.00","17,502,185,070.00","13,642,557,710.00","11,297,998,580.00","12,298,852,430.00","12,987,711,260.00","12,255,266,650.00","11,354,956,270.00","11,197,637,890.00","13,127,779,880.00","10,877,746,290.00"
预付款项,"484,032,349.66","702,741,477.76","931,082,295.03","758,673,442.29","1,582,249,506.78","1,498,490,855.13","1,621,235,055.71","745,732,496.88","1,085,005,000.00","895,689,620.00","963,732,800.00","808,353,860.00","1,851,883,770.00","735,510,970.00","2,449,967,460.00","2,544,402,550.00","3,379,902,760.00","2,984,730,200.00","2,776,371,960.00","1,968,420,270.00","1,585,939,720.00","1,176,221,260.00","1,210,062,580.00","820,610,910.00","1,237,898,830.00","837,451,640.00"
预收款项,"884,686,023.29","501,983,607.40","652,815,993.41","1,274,628,794.93","660,544,075.85","523,708,073.80","756,845,722.16","1,053,513,853.06","1,516,957,000.00","444,719,460.00","1,021,468,710.00","1,007,256,200.00","646,641,960.00","664,129,800.00","946,845,570.00","1,793,679,540.00","1,714,549,810.00","1,073,335,850.00","1,197,845,380.00","4,760,174,910.00","5,386,950,830.00","1,624,718,450.00","1,643,333,110.00","2,476,908,690.00","3,332,289,350.00","1,677,153,440.00"
其他应收款,"193,673,959.12","184,758,029.93","113,827,461.54","163,536,380.87","215,000,427.82","411,681,303.41","406,710,086.71","240,410,134.53","238,177,000.00","221,847,470.00","255,427,540.00","358,630,980.00","1,046,066,580.00","298,716,940.00","690,119,850.00","468,132,710.00","182,376,740.00","447,368,350.00","550,061,050.00","607,743,600.00","293,170,700.00","376,336,760.00","413,762,450.00","399,695,900.00","411,155,330.00","431,714,460.00"
应付职工薪酬,"171,989,831.13","159,836,416.45","200,014,634.63","412,491,284.63","345,320,310.04","368,441,970.81","403,329,496.62","468,608,097.66","388,102,000.00","371,304,650.00","384,247,910.00","559,148,500.00","418,174,640.00","452,642,970.00","451,344,420.00","791,907,270.00","564,041,310.00","565,203,270.00","520,125,530.00","707,716,130.00","488,993,450.00","494,495,430.00","583,306,610.00","859,407,640.00","621,482,640.00","629,036,440.00"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,
