科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"152,503,971.99","159,661,645.96","110,028,621.17","156,376,942.45","213,719,832.58","56,030,850.95","112,952,703.78","179,470,678.27","253,316,339.81","59,085,849.74","134,161,045.96","201,710,445.36","298,664,891.09","77,762,414.28","167,735,996.26","251,957,346.88","364,161,674.03","83,823,533.14","190,177,633.44","301,271,133.29","429,212,053.59","93,694,803.88","240,642,877.08","380,988,761.99","553,010,504.22","140,291,275.20","314,654,355.71","442,200,610.82","660,283,698.74","175,230,832.56","374,447,591.39","595,856,903.84","875,329,521.60","207,384,572.99","464,590,360.49","740,584,119.31","1,079,939,302.11","292,885,925.48"
取得子公司及其他营业单位支付的现金净额,,,,,,,"2,957,451.66","6,387,451.66","5,937,451.66",,,,"3,000,000.00",,,,,,,,,,"18,764,005.25","23,344,005.25","66,667,429.08","15,000,000.00","15,000,000.00","15,000,000.00","141,919,249.51",,"113,697,964.66","369,763,846.25","369,763,837.03","43,050,290.40","51,250,290.40","51,250,290.40","8,179,951.99","8,533,378.99"
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72,576.65",,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"990,000.00",,,,,,
收到其他与经营活动有关的现金,"3,197,619.07","2,515,608.33","2,219,400.00","3,630,831.00","7,457,529.24","2,214,362.50","2,864,000.00","4,239,100.00","13,463,535.63","108,312.00","276,632.69","1,062,662.75","3,557,285.81","1,756,205.00","6,320,199.73","7,596,277.93","12,692,221.88","758,419.73","1,952,870.76","2,944,015.73","8,275,186.52","1,155,574.18","859,477.24","3,904,339.86","7,451,198.43","923,866.56","3,294,248.49","6,361,696.44","16,821,278.92","2,305,002.72","6,576,594.00","15,096,770.51","42,860,631.58","2,474,333.87","14,045,082.21","8,353,117.93","49,993,826.09","4,858,044.80"
投资活动现金流出小计,"9,407,341.13","14,281,685.19","4,485,881.45","4,701,652.69","12,536,309.42","1,319,890.60","6,737,173.76","14,260,598.78","17,784,817.61","1,066,715.99","48,183,127.23","73,284,421.58","85,540,949.37","19,943,430.78","45,872,321.66","50,325,469.26","59,420,481.50","7,027,882.09","23,286,640.27","30,820,363.49","31,635,635.47","7,805,084.64","85,295,398.05","99,020,899.89","158,706,519.04","24,151,874.94","85,276,694.24","141,274,734.39","272,970,472.43","47,966,956.70","162,422,617.86","491,687,342.27","473,443,628.80","114,426,683.30","159,342,692.55","303,871,755.44","255,358,687.00","97,717,828.77"
经营活动现金流入小计,"155,701,591.06","162,177,254.29","112,248,021.17","160,007,773.45","221,177,361.82","58,245,213.45","115,816,703.78","183,709,778.27","266,779,875.44","59,194,161.74","134,437,678.65","202,773,108.11","302,222,176.90","79,518,619.28","174,056,195.99","259,553,624.81","376,853,895.91","84,581,952.87","192,130,504.20","304,215,149.02","437,487,240.11","94,850,378.06","241,502,354.32","384,893,101.85","560,461,702.65","141,215,141.76","317,948,604.20","448,562,307.26","677,104,977.66","177,535,835.28","381,024,185.39","610,953,674.35","918,190,153.18","209,858,906.86","478,635,442.70","749,009,813.89","1,129,933,128.20","297,743,970.28"
投资活动产生的现金流量净额,"-8,435,690.45","-3,635,053.40","-4,365,799.39","-4,563,142.56","-11,934,938.17","-1,243,267.09","-6,201,629.38","-13,675,095.68","-15,257,668.38","-939,244.36","-21,128,521.02","-45,660,054.41","-42,665,605.77","-19,458,720.74","-43,199,422.43","-46,856,568.43","-52,762,763.04","-6,275,694.22","-21,256,998.05","-27,070,918.01","-25,980,051.62","-6,279,769.42","-82,212,580.79","-94,650,065.62","-152,683,486.94","-22,741,357.83","-81,933,164.18","-60,935,233.38","-269,481,155.89","31,949,993.88","-49,080,607.99","-390,193,581.99","-415,323,958.77","-105,202,687.32","-71,181,827.52","-156,600,477.19","-222,002,880.68","-84,598,732.86"
购买商品、接受劳务支付的现金,"36,188,663.14","42,587,042.18","29,431,166.14","41,901,948.47","53,158,677.67","14,744,381.85","21,790,339.33","48,687,853.47","70,026,892.64","13,437,370.38","31,167,340.24","55,128,619.95","84,420,214.71","18,843,291.10","38,284,781.47","60,282,945.58","93,304,963.79","20,135,162.36","40,410,291.74","71,795,532.86","108,515,558.38","26,243,545.92","56,917,457.91","91,522,098.08","133,923,408.90","38,444,762.74","79,897,801.68","111,490,067.92","163,630,148.37","38,547,955.93","71,785,766.86","130,617,350.47","183,924,929.54","52,363,745.16","109,468,232.51","154,791,284.52","202,068,792.91","53,346,908.40"
吸收投资收到的现金,"6,000,000.00","7,950,000.00",,"321,095,000.00","329,095,000.00",,"1,600,000.00","1,600,000.00","1,600,000.00",,,,,,,,,,"28,537,850.00","28,537,850.00","32,223,394.66",,"33,000,000.00","33,000,000.00","33,000,000.00",,,"10,000,000.00","111,135,899.35",,,"243,184,320.00","242,967,444.00",,"17,010,167.50","17,013,614.00","16,605,668.46",
支付给职工以及为职工支付的现金,"18,712,121.09","20,737,196.82","13,466,389.97","20,073,280.76","27,132,890.51","11,861,491.45","20,258,436.91","28,185,967.24","36,653,290.79","15,182,801.09","25,871,139.98","37,285,315.23","47,904,127.56","14,416,119.85","30,970,678.28","43,729,623.17","58,100,277.47","19,570,196.91","37,031,364.75","52,647,246.85","68,540,114.41","26,401,408.12","47,058,521.29","68,902,689.27","90,922,777.18","37,135,149.30","62,250,646.14","83,649,747.26","111,846,530.51","40,323,882.94","74,587,627.51","107,314,543.59","132,732,145.29","51,685,204.97","96,195,661.66","135,963,376.74","169,190,568.58","63,937,718.26"
