科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"349,534,000.70","854,885,721.73","1,570,707,016.36","2,396,353,419.22","597,319,564.36","1,338,212,566.85","2,250,927,511.11","3,152,720,569.28","836,219,538.32","1,538,098,029.77","2,573,975,986.97","3,632,463,499.01","491,155,125.92","1,487,698,586.59","2,473,298,097.60","3,380,196,422.84","815,216,435.57","1,760,734,153.53","2,906,293,462.97","4,095,068,455.09","1,139,064,465.34","2,512,081,554.60","4,016,896,363.73","5,126,218,853.42","1,217,153,140.27","2,172,726,735.33","3,238,524,229.98","4,217,352,923.60","806,723,343.95","1,544,585,051.33","2,413,076,920.17","3,050,814,854.56","634,474,469.07","1,277,686,753.46","2,003,639,979.03","2,489,138,666.02","554,634,106.51","1,126,980,484.79","1,927,141,296.87","2,974,614,751.51","867,748,229.46","1,671,660,951.92","2,516,629,113.80","3,362,376,417.19","746,156,159.55","1,692,266,551.64","2,713,099,222.35","3,526,883,535.32","723,575,568.29"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,"230,172.03","2,150,497.45","2,209,835.31","4,108,327.64","4,314,712.94",,"819,876.53","733,362.92","3,820,064.65",,,,,,,,,,,,,"202,203.29","202,203.29","202,203.29",,,,,,,,,"74,916.11",,,,"2,585,498.60","897,499.54","1,163,223.22","1,535,806.73","2,420,318.71","596,476.86"
支付其他与投资活动有关的现金,"685,343.74","1,011,282.84","1,039,282.84","1,039,282.84",,,,,"853,682.40","2,763,289.44",,,,,"3,900,000.00","3,900,000.00","5,000,000.00","8,900,000.00","8,900,000.00","8,900,000.00","3,423,637.60","3,423,637.60","3,423,637.60","3,423,637.60",,,,"346,453.85",,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"1,622,740.28","9,484,309.25","14,867,514.57","11,196,678.17","3,616,232.52","4,757,779.07","9,752,659.71","15,589,722.09","2,677,894.14","4,565,108.36","39,102,027.43","78,959,767.79","17,752,374.84","20,426,580.68","24,545,469.29","52,069,066.69","4,170,952.76","7,581,884.56","25,180,256.02","32,778,301.98","6,501,043.10","30,039,248.70","49,126,975.48","150,311,238.18","24,599,066.25","28,777,490.01","37,112,591.65","60,517,479.03","9,460,823.92","15,793,608.20","33,013,807.85","47,082,942.22","11,911,341.33","26,382,247.61","40,689,937.83","49,000,919.38","8,436,256.28","19,241,172.72","48,223,024.93","78,727,003.77","11,723,255.01","28,330,021.74","37,585,161.08","99,359,202.86","9,269,746.73","26,022,633.18","36,992,553.44","69,222,615.10","44,198,948.08"
投资活动现金流出小计,"138,291,666.83","201,998,989.65","322,554,830.69","455,545,651.64","81,610,487.48","350,112,734.63","386,742,460.80","467,826,305.08","102,628,036.59","375,327,332.18","564,054,636.62","834,246,432.56","105,505,144.65","145,330,740.42","195,228,864.42","263,194,546.52","111,524,828.99","157,729,714.92","163,740,435.02","169,013,278.20","31,709,037.29","71,293,807.55","397,708,584.70","516,187,154.49","26,544,612.64","56,154,515.22","429,973,162.54","491,184,073.76","6,831,939.89","50,992,205.15","79,888,770.49","171,346,827.30","43,413,547.97","63,486,410.57","101,917,381.50","1,132,390,232.07","103,959,492.62","161,285,856.57","209,957,138.98","278,826,590.97","74,027,790.13","99,459,364.92","207,424,300.01","646,503,082.39","48,316,978.48","96,624,863.40","243,390,039.58","342,958,900.19","62,686,584.12"
经营活动现金流入小计,"351,156,740.98","864,370,030.98","1,585,574,530.93","2,407,550,097.39","600,935,796.88","1,342,970,345.92","2,260,680,170.82","3,168,540,463.40","841,047,929.91","1,544,872,973.44","2,617,186,342.04","3,715,737,979.74","508,907,500.76","1,508,945,043.80","2,498,576,929.81","3,436,085,554.18","819,387,388.33","1,768,316,038.09","2,931,473,718.99","4,127,846,757.07","1,145,565,508.44","2,542,120,803.30","4,066,023,339.21","5,276,530,091.60","1,241,752,206.52","2,201,504,225.34","3,275,636,821.63","4,277,870,402.63","816,386,371.16","1,560,580,862.82","2,446,292,931.31","3,097,897,796.78","646,385,810.40","1,304,069,001.07","2,044,329,916.86","2,538,139,585.40","563,070,362.79","1,146,221,657.51","1,975,364,321.80","3,053,416,671.39","879,471,484.47","1,699,990,973.66","2,554,214,274.88","3,464,321,118.65","756,323,405.82","1,719,452,408.04","2,751,627,582.52","3,598,526,469.13","768,370,993.23"
投资活动产生的现金流量净额,"-137,387,311.76","-200,118,760.99","-320,673,802.03","-452,760,951.44","-81,588,487.48","-349,983,611.63","-385,794,339.41","-454,571,990.17","-102,628,036.59","-375,327,332.18","-564,054,636.62","-812,374,713.35","-105,346,824.65","-110,597,370.42","-159,355,984.08","-228,390,161.18","-106,524,828.99","-152,725,514.92","-158,719,141.00","-147,256,159.22","-25,701,697.97","-38,096,334.63","-362,620,070.44","-471,358,672.78","-20,982,267.45","-50,121,316.93","-423,909,808.65","-464,285,554.67","-6,831,939.89","-44,638,293.65","-73,534,628.99","-157,875,079.02","-33,803,947.97","-53,876,810.57","-91,786,606.50","-1,080,280,224.23","-103,959,492.62","-46,243,602.95","-94,706,427.06","-163,570,094.05","-74,027,790.13","-96,303,402.73","-201,202,846.67","-640,257,690.37","-45,979,707.72","-91,058,580.04","-237,823,756.22","162,976,149.30","3,817,301.72"
购买商品、接受劳务支付的现金,"283,828,989.33","674,821,738.57","1,065,008,655.29","1,533,950,678.66","621,628,993.22","1,302,756,284.43","2,082,123,777.62","2,552,697,808.42","969,904,963.36","1,443,023,952.15","2,001,403,851.57","2,516,173,513.28","502,972,622.32","1,233,290,620.65","1,936,128,724.44","2,577,358,778.03","528,408,689.79","1,209,338,442.62","2,142,492,381.74","2,831,105,475.81","612,542,583.36","1,325,482,257.77","2,017,832,913.74","2,690,953,679.59","408,678,779.19","1,114,466,861.58","1,517,002,295.07","2,061,656,000.53","451,668,350.26","1,130,233,254.52","1,449,477,345.31","1,803,762,849.54","239,131,396.25","811,040,441.93","1,309,994,655.04","1,569,576,242.75","164,088,110.93","407,248,418.08","814,588,332.02","1,482,194,138.24","509,558,460.89","1,063,784,666.53","1,713,385,250.99","2,260,926,655.07","533,950,934.58","1,196,452,021.92","1,847,097,462.51","2,476,899,499.16","571,268,768.13"
吸收投资收到的现金,,,,"6,000,000.00",,,,"21,000,000.00","130,000,000.00","130,000,000.00","130,000,000.00","130,000,000.00",,,,,,,,,,,"800,000.00","800,000.00",,,,,,,"200,000.00","200,000.00",,,"52,633,500.00","52,633,500.00",,,,,,,,,,"2,500,000.00","2,500,000.00","2,500,000.00",
