科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"4,867,213.20","11,151,708.07","17,002,679.62","22,022,497.75","5,206,994.07","10,295,189.91","15,303,569.56","19,015,942.89","3,074,798.86","5,960,635.08","8,370,753.68","10,649,861.73","1,765,271.20","3,911,985.10","5,263,328.21","6,676,843.65","1,705,577.21","3,856,269.82","7,137,225.56","9,433,621.92","2,416,851.97","4,942,552.48","7,159,774.98","11,827,366.78","3,905,198.42","14,517,398.02","20,203,985.02","22,019,684.63","3,111,440.20","5,502,079.88","8,820,278.17","12,351,681.08","2,310,580.11","4,693,434.19","14,572,126.02","18,004,846.36","4,209,663.77","8,437,500.75","12,811,681.16","14,550,967.69","5,697,649.80","11,720,987.48","19,172,088.77","27,889,023.41","10,235,477.54"
三、利润总额,"5,847,206.35","16,563,797.53","18,470,721.71","36,184,038.05","7,216,999.03","22,933,874.36","28,008,170.50","42,975,438.46","6,965,395.07","26,990,470.37","52,752,117.87","79,636,959.57","16,454,061.07","45,077,636.45","83,323,511.41","117,363,032.37","24,973,709.19","70,099,963.53","117,155,781.86","175,150,401.27","40,432,860.00","101,818,417.32","155,570,722.99","241,966,709.08","60,893,713.76","154,064,666.76","208,890,418.62","283,629,063.53","70,866,174.34","188,745,923.14","262,260,870.45","365,951,131.91","88,361,368.08","258,152,659.87","379,178,756.92","505,914,883.08","102,683,639.19","295,166,829.65","396,205,558.37","480,926,822.02","113,052,665.31","267,370,464.75","344,991,786.60","407,930,791.75","101,139,464.82"
资产减值损失,,"993,863.52","1,014,451.21","21,930,039.62","1,154,462.57","4,966,267.26","5,936,989.42","17,429,731.18",,"7,522,815.74","11,642,315.74","21,449,653.59",,"2,945,731.67","3,776,391.21","11,775,838.54",,"4,332,253.34","4,332,253.34","6,176,227.46",,"-628,783.44","-1,914,736.04","2,489,955.46","3,015,000.00","4,844,416.48","6,020,247.04","6,985,855.20",,"1,524,744.14","2,478,232.36","10,381,181.07","2,523,621.42","4,373,901.41","450,612.71","14,166,050.38","633,065.39","-894,334.65","177,199.86","5,829,552.02","969,902.38","9,271,440.37","9,276,967.84","20,858,661.47","3,693,621.70"
减:所得税,"1,417,223.30","2,885,686.32","3,502,396.84","5,232,366.01","1,091,144.21","3,115,012.66","3,362,316.68","6,768,886.92","418,338.79","3,800,766.18","6,677,928.37","12,682,700.75","2,024,719.15","7,901,945.77","13,534,872.97","18,685,702.51","5,014,361.00","8,755,796.77","15,566,323.98","29,694,328.07","5,806,378.97","16,176,600.56","22,085,753.84","40,785,942.70","15,974,906.24","30,019,951.11","39,279,482.71","47,984,625.98","12,760,573.48","31,676,007.22","44,626,993.55","58,256,009.54","10,917,123.34","38,998,491.39","58,808,628.76","74,599,708.11","16,744,860.70","45,652,625.61","64,004,047.44","71,408,440.62","18,080,918.17","51,013,052.66","63,417,105.06","72,643,944.30","17,973,679.05"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,"3,198,817.86","2,630.00","2,048,630.00","2,048,630.00","2,019,943.91",,,,,,,,"82,637.81",,,,"2,528.40",,,,"13,906.20",,,,"4,990,915.81","7,101,534.25","13,205,037.47","15,893,300.82","22,578,340.54","3,839,412.00","9,786,019.18","11,372,415.05","13,821,059.27","4,978,700.49","14,865,467.28","24,002,439.82","37,956,101.99","4,500,830.91","5,096,429.91","14,286,771.84","19,562,948.97","7,177,222.84"
四、净利润,"4,429,983.05","13,678,111.21","14,968,324.87","30,951,672.04","6,125,854.82","19,818,861.70","24,645,853.82","36,206,551.54","6,547,056.28","23,189,704.19","46,074,189.50","66,954,258.82","14,429,341.92","37,175,690.68","69,788,638.44","98,677,329.86","19,959,348.19","61,344,166.76","101,589,457.88","145,456,073.20","34,626,481.03","85,641,816.76","133,484,969.15","201,180,766.38","44,918,807.52","124,044,715.65","169,610,935.91","235,644,437.55","58,105,600.86","157,069,915.92","217,633,876.90","307,695,122.37","77,444,244.74","219,154,168.48","320,370,128.16","431,315,174.97","85,938,778.49","249,514,204.04","332,201,510.93","409,518,381.40","94,971,747.14","216,357,412.09","281,574,681.54","335,286,847.45","83,165,785.77"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-837,576.60","-2,952,868.01","-4,229,834.38","-7,819,917.54","-6,730,585.52","-2,158,298.65","-7,390,376.07","-11,283,720.47","-13,980,384.53","-1,167,216.23"
归属于母公司所有者的净利润,"3,787,256.21","12,421,314.33","14,856,146.65","29,068,891.38","5,624,556.31","17,715,473.06","21,866,733.35","32,118,036.55","5,527,232.51","19,950,475.98","40,890,276.32","58,323,079.83","12,154,660.21","32,248,231.32","61,383,421.24","85,577,950.71","17,189,054.70","56,012,317.82","92,261,492.98","130,122,930.70","32,393,940.80","79,848,528.98","122,201,363.38","181,750,108.17","42,966,408.52","116,602,526.41","163,624,521.24","231,623,314.73","53,908,218.76","147,955,337.23","203,165,839.01","292,237,273.75","75,471,838.87","215,753,317.45","311,259,761.96","420,850,831.96","85,380,012.31","248,367,437.36","330,418,097.99","407,256,142.49","94,441,874.34","215,517,889.63","280,255,227.31","330,096,566.81","82,253,681.31"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"642,726.84","1,256,796.88","112,178.22","1,882,780.66","501,298.51","2,103,388.64","2,779,120.47","4,088,514.99","1,019,823.77","3,239,228.21","5,183,913.18","8,631,178.99","2,274,681.71","4,927,459.36","8,405,217.20","13,099,379.15","2,770,293.49","5,331,848.94","9,327,964.90","15,333,142.50","2,232,540.23","5,793,287.78","11,283,605.77","19,430,658.21","1,952,399.00","7,442,189.24","5,986,414.67","4,021,122.82","4,197,382.10","9,114,578.69","14,468,037.89","15,457,848.62","1,972,405.87","3,400,851.03","9,110,366.20","10,464,343.01","558,766.18","1,146,766.68","1,783,412.94","2,262,238.91","529,872.80","839,522.46","1,319,454.23","5,190,280.64","912,104.46"
