科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"119,496,272.80","133,441,064.18","191,993,121.56","100,854,043.35","147,593,831.57","192,017,863.40","56,599,442.81","103,402,389.44","152,295,764.69","205,592,957.04","62,397,303.20","119,092,507.93","182,451,234.85","265,590,112.42","43,062,812.17","104,874,911.83","133,167,734.07","755,049,965.72","153,605,974.08","370,810,731.29","613,348,495.07","1,139,169,547.65","144,146,502.21","2,273,546,799.40","4,085,800,968.52","6,334,452,579.60","2,008,961,896.23","4,126,568,127.34","6,127,768,987.34","8,514,684,317.22"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,"1,400,672,534.60","49,775,635.95","723,169,739.65","722,900,106.63","722,900,106.63"
收到的税费返还,,,,,,,,,,,,,"956,539.18",,,,,"5,587,532.50",,,,,,"18,017,932.70","51,515,564.16","72,040,928.95","8,563,637.96","22,324,246.27","38,519,143.22","58,761,212.64"
支付其他与投资活动有关的现金,,,,"3,218,000.00","3,218,000.00","3,864,361.27",,"23,000,000.00","23,000,000.00","10,460,000.00",,,,"170,000.00",,,,"8,000,000.00",,,,,,,"14,654,421.29","14,490,940.29",,,"589,807.85",
收到其他与经营活动有关的现金,"17,600,810.71","8,982,875.23","2,283,415.54","9,402,148.20","9,586,066.35","10,943,700.45","6,038,524.18","13,878,837.66","15,040,498.16","10,743,717.16","416,389.55","2,507,429.03","2,817,502.11","3,785,423.41","176,893.71","2,246,896.30","995,011.61","26,504,606.40","23,615,354.91","29,853,506.13","41,747,662.42","87,579,190.77","24,275,808.03","102,401,881.30","147,863,559.61","304,713,416.62","60,975,430.69","147,279,840.13","185,198,902.80","276,390,209.38"
投资活动现金流出小计,"11,811,020.24","11,657,861.14","55,230,075.00","63,528,002.89","75,025,506.02","100,732,810.49","16,278,329.38","67,745,931.07","100,623,582.08","159,569,848.02","20,963,812.63","70,218,724.57","85,754,286.14","104,672,096.92","12,810,817.16","19,561,743.13","28,613,264.50","77,423,925.46","72,456,746.20","381,968,555.90","538,475,555.35","765,561,297.83","72,263,701.00","6,104,857,352.33","8,459,566,561.58","8,840,225,281.08","556,396,513.97","2,695,585,361.19","2,919,591,755.83","3,183,934,559.47"
经营活动现金流入小计,"137,097,083.51","142,423,939.41","194,276,537.10","110,256,191.55","157,179,897.92","202,961,563.85","62,637,966.99","117,281,227.10","167,336,262.85","216,336,674.20","62,813,692.75","121,599,936.96","186,225,276.14","269,375,535.83","43,239,705.88","107,121,808.13","134,162,745.68","787,142,104.62","177,221,328.99","400,664,237.42","655,096,157.49","1,226,748,738.42","168,422,310.24","2,393,966,613.40","4,285,180,092.29","6,711,206,925.17","2,078,500,964.88","4,296,172,213.74","6,351,487,033.36","8,849,835,739.24"
投资活动产生的现金流量净额,"-8,598,520.24","-11,432,701.06","-54,017,151.92","-63,399,423.25","-74,080,253.30","-96,529,230.85","-10,101,829.38","-42,596,396.83","-75,466,985.29","-130,672,952.51","-20,963,812.63","-60,165,277.45","-72,350,839.02","-85,046,896.92","-11,865,817.16","-18,293,443.13","-25,281,406.81","-30,581,354.41","-42,441,129.76","-350,176,951.48","-497,816,550.93","-510,300,516.05","87,976,134.62","-5,962,673,710.55","-6,829,784,501.91","-8,610,598,825.75","2,409,848,676.16","636,699,546.56","1,106,211,158.35","1,714,939,478.66"
购买商品、接受劳务支付的现金,"36,183,130.37","32,176,029.68","53,729,801.41","29,070,098.79","52,389,925.97","76,762,739.13","16,808,124.98","35,962,706.72","49,938,031.17","95,720,072.34","40,756,820.31","32,517,032.47","78,236,955.93","129,298,954.93","21,980,865.89","56,240,324.81","76,894,423.77","699,187,564.70","121,857,318.18","293,717,831.83","484,306,610.29","721,628,190.85","575,684,550.58","1,243,358,180.03","2,283,008,012.42","3,343,354,757.87","1,128,345,057.07","2,366,391,726.88","3,866,816,126.31","5,137,743,371.70"
吸收投资收到的现金,,"62,670,000.00",,,,"252,500,000.00",,,,,,,,,,,,,,,,"56,000,000.00","992,000,000.00","6,013,668,530.82","6,013,668,530.82","6,013,669,530.82","1,846,767.51","2,063,117.77","12,259,489.74","3,003,790.26"
