科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"434,585,176.68","499,379,525.57","509,926,732.39","278,764,000.70","417,496,950.56","571,337,018.45","151,238,643.40","313,308,995.95","454,928,690.95","650,146,551.32","176,578,239.61","339,741,645.83","505,866,485.61","697,611,981.07","177,044,802.41","394,476,470.84","615,819,004.62"
取得子公司及其他营业单位支付的现金净额,,"1,661,764.86",,,,,,,,,,,,,,,
收到的税费返还,"17,125,579.04","31,568,771.99","32,009,317.37","18,202,005.58","28,524,049.29","42,609,498.95","5,762,295.60","14,389,170.61","24,385,087.53","29,030,099.98","8,399,579.49","15,786,890.89","26,971,828.39","34,559,022.70","9,188,824.86","19,163,864.52","33,478,362.50"
支付其他与投资活动有关的现金,,,,,,,,"168,800,000.00","519,100,000.00","263,390,000.00","105,000,000.00","174,500,000.00","467,300,000.00","223,401,980.00","28,500,000.00","166,500,000.00","375,000,000.00"
收到其他与经营活动有关的现金,"2,796,309.14","3,072,886.19","4,780,809.39","1,113,181.30","2,123,873.58","4,089,831.81","1,872,084.48","5,339,976.95","18,867,044.49","13,295,512.14","3,614,632.61","4,773,462.72","-3,022,882.91","8,640,975.76","1,859,147.59","9,041,959.02","17,296,330.22"
投资活动现金流出小计,"576,155,176.04","57,591,297.78","110,825,344.11","27,590,844.77","41,162,525.58","51,155,319.01","10,076,781.84","239,642,151.12","613,585,651.11","378,252,332.23","125,744,672.01","240,434,950.18","553,792,683.51","341,493,031.32","56,061,950.99","247,550,538.70","504,695,476.76"
经营活动现金流入小计,"454,507,064.86","534,021,183.75","546,716,859.15","298,079,187.58","448,144,873.43","618,036,349.21","158,873,023.48","333,038,143.51","498,180,822.97","692,472,163.44","188,592,451.71","360,301,999.44","529,815,431.09","740,811,979.53","188,092,774.86","422,682,294.38","666,593,697.34"
投资活动产生的现金流量净额,"-65,565,867.54","-57,042,508.89","-110,825,344.11","-26,600,372.37","-40,185,293.56","-50,178,086.99","-10,076,781.84","-215,763,279.34","-401,658,901.61","-373,579,723.18","144,268,685.01","144,380,927.39","-29,767,401.32","98,471,262.38","-29,240,103.05","-106,999,855.16","-255,894,242.54"
购买商品、接受劳务支付的现金,"344,865,129.18","311,428,082.35","301,279,230.73","168,025,386.77","247,411,894.04","345,771,821.59","69,369,600.17","147,711,673.37","213,471,261.33","290,769,470.16","77,201,811.91","146,263,463.03","227,679,057.75","307,574,224.27","95,236,702.25","185,830,417.58","315,067,847.84"
吸收投资收到的现金,"7,420,000.00",,,,,"610,670,000.00",,,,"1,850,000.00",,,,"6,000,000.00",,,
支付给职工以及为职工支付的现金,"46,598,526.34","65,050,139.68","75,400,854.54","47,820,012.11","74,461,289.42","101,948,558.40","32,678,039.70","57,367,650.83","86,945,769.28","115,466,106.49","36,906,088.59","67,875,977.25","98,003,707.44","131,859,353.50","39,922,225.94","70,270,520.99","103,997,106.82"
取得借款收到的现金,"20,000,000.00",,,"15,000,000.00","15,000,000.00","15,000,000.00",,,,,,,,,"70,000,000.00","70,000,000.00","70,000,000.00"
支付的各项税费,"21,529,605.18","29,555,654.05","34,562,681.82","18,490,952.48","29,230,482.94","41,393,759.81","11,264,135.95","22,749,920.05","36,623,366.12","52,753,234.56","14,357,843.16","26,826,886.78","41,961,802.34","60,206,423.10","13,700,069.59","26,806,844.39","40,951,425.97"
收到其他与筹资活动有关的现金,,"11,220,000.00",,,,,,,,"8,500,000.00",,,,,,,
支付其他与经营活动有关的现金,"23,192,456.54","28,349,743.57","26,267,310.71","18,380,547.00","28,464,412.02","37,368,013.75","14,638,358.40","27,436,114.14","52,865,740.37","61,940,811.79","17,443,345.83","29,900,085.72","44,154,920.97","72,354,033.79","12,741,093.05","28,163,513.61","45,027,065.98"
筹资活动现金流入小计,"27,420,000.00","11,220,000.00",,"15,000,000.00","15,000,000.00","625,670,000.00",,,,"10,350,000.00",,,,"6,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00"
经营活动现金流出小计,"436,185,717.24","434,383,619.65","437,510,077.80","252,716,898.36","379,568,078.42","526,482,153.55","127,950,134.22","255,265,358.39","389,906,137.10","520,929,623.00","145,909,089.49","270,866,412.78","411,799,488.50","571,994,034.66","161,600,090.83","311,071,296.57","505,043,446.61"
偿还债务支付的现金,"41,410,616.81","20,000,000.00",,,"15,000,000.00","15,000,000.00",,,,,,,,,,,"70,000,000.00"
经营活动产生的现金流量净额,"18,321,347.62","99,637,564.10","109,206,781.35","45,362,289.22","68,576,795.01","91,554,195.66","30,922,889.26","77,772,785.12","108,274,685.87","171,542,540.44","42,683,362.22","89,435,586.66","118,015,942.59","168,817,944.87","26,492,684.03","111,610,997.81","161,550,250.73"
分配股利、利润或偿还利息支付的现金,"20,587,098.30","801,011.05","25,000,000.00","30,233,333.33","30,426,999.99","30,426,999.99",,"67,000,000.00","67,000,000.00","67,000,000.00",,"73,700,000.00","73,700,000.00","73,700,000.00",,"33,500,000.00","34,573,333.33"
收回投资收到的现金,"510,589,308.50","548,788.89",,,,,,"23,800,000.00","210,300,000.00",,"267,390,000.00","366,390,000.00","505,324,479.39",,"26,500,000.00","139,500,000.00","247,000,000.00"
支付其他与筹资活动有关的现金,,"1,893,543.56","1,373,773.12","1,035,573.48","784,916.40","1,931,583.40",,,,"3,700,000.00",,"58,220.22","58,220.22",,,"237,885.52","237,885.52"
取得投资收益收到的现金,,,,,,,,"78,871.78","1,626,749.50","4,663,207.34","2,623,357.02","10,918,333.52","18,700,802.80","22,670,388.47","321,847.94","1,050,683.54","1,801,234.22"
筹资活动现金流出小计,"61,997,715.11","22,694,554.61","26,373,773.12","31,268,906.81","46,211,916.39","47,358,583.39",,"67,000,000.00","67,000,000.00","70,700,000.00",,"73,758,220.22","73,758,220.22","73,700,000.00",,"33,737,885.52","104,811,218.85"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,"13,240.38","977,232.02",,,,,"9,401.71",,,,"337,936.49",,,
筹资活动产生的现金流量净额,"-34,577,715.11","-11,474,554.61","-26,373,773.12","-16,268,906.81","-31,211,916.39","578,311,416.61",,"-67,000,000.00","-67,000,000.00","-60,350,000.00",,"-73,758,220.22","-73,758,220.22","-67,700,000.00","70,000,000.00","36,262,114.48","-34,811,218.85"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,"1,291,520.75","1,806,455.22","-2,055,899.74","-1,033,366.85","5,032,311.37","7,321,440.97","3,722,167.07","9,639,346.54","11,989,952.53","8,158,991.57","1,312,710.00","8,732,317.99","4,505,912.44"
收到其他与投资活动有关的现金,,,,"977,232.02",,"977,232.02",,,,,,"7,507,544.05",,"416,955,968.74",,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"510,589,308.50","548,788.89",,"990,472.40","977,232.02","977,232.02",,"23,878,871.78","211,926,749.50","4,672,609.05","270,013,357.02","384,815,877.57","524,025,282.19","439,964,293.70","26,821,847.94","140,550,683.54","248,801,234.22"
五、现金及现金等价物净增加额,"-81,822,235.03","31,120,500.60","-27,992,335.88","2,493,010.04","-1,528,894.19","621,493,980.50","18,790,207.68","-206,023,861.07","-355,351,904.37","-255,065,741.77","190,674,214.30","169,697,640.37","26,480,273.58","207,748,198.82","68,565,290.98","49,605,575.12","-124,649,298.22"
购建固定资产、无形资产和其他长期资产支付的现金,"61,847,576.04","55,929,532.92","110,825,344.11","27,590,844.77","41,162,525.58","51,155,319.01","10,076,781.84","70,842,151.12","94,485,651.11","114,862,332.23","6,458,958.01","43,434,950.18","62,522,683.51","86,621,051.32","27,561,950.99","81,050,538.70","124,695,476.76"
期初现金及现金等价物余额,"143,043,153.97","61,220,918.94","92,341,419.54","64,349,083.66",,"64,349,083.66","685,843,064.16","685,843,064.16","685,843,064.16","685,843,064.16","430,777,322.39","430,777,322.39","430,777,322.39","430,777,322.39","638,525,521.21","638,525,521.21","638,525,521.21"
投资支付的现金,"514,307,600.00",,,,,,,,,,"14,285,714.00","22,500,000.00","23,970,000.00","31,470,000.00",,,"5,000,000.00"
