科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"183,628,314.03","211,037,439.63","234,463,583.85","219,462,328.17","388,898,530.72","431,608,284.82","304,858,354.04","288,173,319.33","329,416,411.49","480,345,418.71","307,196,738.84","362,383,063.44","291,517,177.39","562,464,393.83","343,556,254.08","321,380,549.04","237,619,056.47","833,960,914.51","468,298,190.47"
短期借款,"465,000,000.00","403,700,000.00","575,633,729.96","560,673,136.00","517,505,700.00","379,010,706.30","481,554,586.30","569,600,000.00","584,330,000.00","400,000,000.00","400,000,000.00","400,000,000.00","448,000,000.00","443,000,000.00","693,000,000.00","843,000,000.00","1,022,810,700.00","979,402,600.00","927,664,300.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,
应收票据,"2,000,000.00","3,451,568.22","31,136,508.26","26,616,937.36","20,925,827.90","70,195,771.85","55,536,449.13","44,512,753.58","73,147,813.23","26,193,710.07","16,300,410.87","15,751,929.84","24,866,150.93","32,511,504.03","13,070,861.05","40,664,426.57","21,505,234.31","70,302,004.67","95,128,291.55"
应付票据,"9,370,000.00","192,441,980.00","104,590,000.00","182,428,435.00","286,675,470.00","342,070,850.00","251,283,881.00","184,795,830.00","320,103,791.00","390,262,449.54","359,941,650.88","368,488,454.98","477,413,288.83","543,533,305.21","271,099,904.53","158,261,287.22","167,962,855.64","160,418,162.94","134,274,627.73"
应收账款,"310,051,444.37","369,230,541.42","396,190,519.65","413,769,975.68","521,469,666.42","399,414,616.84","514,968,305.51","522,086,048.09","640,549,339.66","407,388,723.42","545,950,022.38","536,922,017.06","662,331,726.02","492,026,229.06","604,214,432.88","675,521,251.35","874,156,405.20","553,977,121.75","822,234,664.76"
应付账款,"131,843,619.43","152,619,919.29","139,429,391.99","115,960,156.99","91,970,357.29","101,870,203.74","122,791,652.41","147,725,724.49","139,115,932.71","100,641,260.17","92,087,423.47","130,479,696.26","140,341,806.88","146,308,636.54","138,049,136.82","211,449,566.96","244,263,121.16","122,369,379.20","141,872,193.49"
预付款项,"1,723,119.96","12,773,611.94","13,083,476.28","10,141,308.28","9,227,583.30","2,774,238.66","8,137,426.42","9,162,330.88","3,448,135.43","7,366,118.88","5,748,327.57","8,353,841.85","29,131,358.91","8,493,764.37","45,272,565.82","58,376,419.99","40,325,489.52","71,993,563.57","80,168,747.12"
预收款项,"6,112,284.35","13,493,999.30","21,692,777.35","9,446,179.28","33,349,589.97","12,308,641.41","23,456,497.17","13,356,930.68","10,195,422.05","12,282,809.00","17,650,036.61","33,357,595.38","38,699,418.68","14,295,115.50","19,328,319.18","33,813,617.53","27,889,719.26","62,334,831.48","158,459,791.91"
其他应收款,"10,081,464.31","10,315,090.81","12,141,686.99","14,670,689.89","14,883,037.65","12,114,907.45","39,828,763.20","28,369,302.95","37,865,544.48","10,610,856.51","19,769,364.17","34,559,778.00","35,301,891.00","31,762,075.90","40,666,982.86","43,959,521.68","34,752,707.80","23,302,214.87","31,035,225.54"
应付职工薪酬,"7,079,885.15","8,890,518.73","7,887,291.48","3,765,348.38","3,788,557.26","10,744,340.99","4,263,789.87","4,859,265.83","5,086,741.95","10,292,739.67","5,800,002.80","4,663,409.59","4,664,658.86","10,617,446.92","3,899,977.19","4,474,344.57","4,454,088.60","11,071,676.39","6,409,277.44"
应收关联公司款,,,,,,,,,,,,,,,,,,,
应交税费,"18,977,229.13","16,902,869.07","18,803,473.53","8,711,431.64","4,398,042.79","12,629,433.12","4,613,196.90","4,555,660.43","7,538,142.51","4,486,109.37","5,896,054.58","1,927,445.36","3,404,158.42","6,526,946.39","2,555,301.70","8,117,106.97","8,180,462.35","3,694,927.21","8,074,241.07"
应收利息,,,,,,,,,,,,,,,,,,,
应付利息,"867,122.66","757,401.94","947,890.12","969,843.78","691,747.85","544,168.19","650,741.68","835,022.22","853,375.00","556,986.11","386,222.22","472,812.50","512,870.83","559,379.79","800,442.29","975,547.92","1,123,969.33","1,258,879.05","1,153,375.74"
应收股利,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,
存货,"247,832,380.95","303,451,607.87","339,481,689.41","353,877,950.78","377,321,254.58","364,175,535.42","391,567,924.62","434,316,307.12","413,119,445.81","406,664,542.23","409,241,964.58","406,916,703.49","417,961,074.27","392,819,140.40","429,941,070.19","466,497,443.24","588,705,437.71","701,551,278.39","699,057,848.15"
其他应付款,"3,663,501.00","8,232,969.38","5,250,215.89","5,431,539.75","5,701,463.74","6,021,148.14","22,839,859.44","12,312,877.65","11,330,271.75","5,747,569.14","9,945,530.34","9,296,449.20","14,277,941.93","15,127,725.02","12,056,776.64","14,651,019.48","16,594,588.02","5,955,183.28","14,282,100.28"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"20,000,000.00",,,,,,,,,,,,,,,,,,
其他流动资产,"75,000.00","21,139.95",,"2,998.10",,"10,470.00","30,010,470.00","30,000,000.00",,"2,047,326.87",,,,"1,636,913.36","678,918.04","506,195.53","153,728.03","63,313,943.27","174,197,340.28"
其他流动负债,,,,,,,,,,,,,,,,,,,
流动资产合计,"755,391,723.62","910,280,999.84","1,026,497,464.44","1,038,542,188.26","1,332,725,900.57","1,280,293,825.04","1,344,907,692.92","1,356,620,061.95","1,497,546,690.10","1,340,616,696.69","1,304,206,828.41","1,364,887,333.68","1,461,109,378.52","1,521,714,020.95","1,477,401,084.92","1,606,905,807.40","1,797,218,059.04","2,318,401,041.03","2,370,120,307.87"
流动负债合计,"662,913,641.72","797,039,657.71","874,234,770.32","887,386,070.82","944,080,928.90","865,199,491.89","911,454,204.77","938,041,311.30","1,078,553,676.97","924,269,923.00","891,706,920.90","948,685,863.27","1,127,314,144.43","1,179,968,555.37","1,140,789,858.35","1,274,742,490.65","1,493,279,504.36","1,346,505,639.55","1,392,189,907.66"
可供出售金融资产,,,,,,,,,,,,,,,,,,,
长期借款,"10,000,000.00",,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,"6,500,000.00",,
长期股权投资,,,,,,,,,,,,,"3,000,000.00","2,946,918.54","2,946,918.54","2,946,918.54","2,946,918.54","2,645,879.26","2,563,691.38"
专项应付款,"1,024,337.33","580,000.00",,"5,000,000.00","4,709,659.79","3,891,091.82","5,241,091.82","7,585,603.64","7,520,899.68","5,900,264.12","5,934,786.92","5,534,461.16","3,670,921.81","897,587.07","897,587.07","1,658,248.26",,"3,535,491.63","409,000.00"
投资性房地产,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,
固定资产,"136,671,769.98","325,821,676.31","319,264,526.00","310,652,431.35","306,631,145.97","308,586,785.12","305,311,924.80","305,144,084.96","303,389,979.22","326,756,916.82","328,225,094.04","322,445,177.32","319,488,454.53","332,726,049.55","317,663,328.95","324,004,009.26","319,295,107.36","367,469,558.77","376,281,635.57"
递延所得税负债,,,,,,,,,,,,,,,,,,,
在建工程,"158,194,576.61","9,438,542.99","5,142,799.89","1,812,826.44","458,357.70","2,313,861.49","1,145,542.46","4,279,012.70","11,470,704.65","3,096,860.67","1,161,110.37","6,871,673.42","14,572,474.65","49,715,439.37","51,184,666.37","38,856,770.12","39,983,993.35","103,817,440.01","102,381,303.90"
其他非流动负债,"3,000,000.00","2,975,000.00","7,175,000.00","4,250,000.00","4,124,999.99",,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,
非流动负债合计,"14,024,337.33","3,555,000.00","7,175,000.00","9,250,000.00","8,834,659.78","7,891,091.82","13,151,091.82","15,405,603.64","15,250,899.68","12,270,140.00","12,009,786.92","11,432,812.22","9,373,936.00","24,037,579.11","20,959,300.13","23,297,566.85","27,390,981.88","28,532,458.31","31,693,706.61"
固定资产清理,,,,,,,,,,,,,,,,,,,
负债合计,"676,937,979.05","800,594,657.71","881,409,770.32","896,636,070.82","952,915,588.68","873,090,583.71","924,605,296.59","953,446,914.94","1,093,804,576.65","936,540,063.00","903,716,707.82","960,118,675.49","1,136,688,080.43","1,204,006,134.48","1,161,749,158.48","1,298,040,057.50","1,520,670,486.24","1,375,038,097.86","1,423,883,614.27"
生产性生物资产,,,,,,,,,,,,,,,,,,,
