科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
三、利润总额,"70,688,591.37","45,882,126.84","42,958,598.88","22,976,267.68","35,129,937.80","47,464,925.74","10,769,581.10","23,439,193.20","38,293,579.88","48,438,112.10","9,532,413.75","25,966,253.75","44,680,781.04","48,957,096.85","2,472,378.47","8,695,346.47","5,701,746.93","-139,013,617.97","-19,862,969.58","79,648,728.87","115,743,263.78","327,787,218.50","95,290,028.34","224,549,692.14","343,993,155.62","513,053,016.29","471,261,446.96","1,127,489,178.92","1,811,976,601.11","2,158,685,494.96","677,080,575.00","1,525,661,821.03","2,475,869,408.51","3,451,597,276.94","1,061,479,592.64"
资产减值损失,"-2,865,722.73","1,585,563.92","-1,076,517.41","870,006.67","1,424,297.10","738,769.72","930,170.90","1,126,569.93","749,310.73","600,558.91","315,047.41","200,490.87","200,490.87","933,766.66","-140,854.33","1,768,802.78","2,046,781.26","35,783,361.93","158,354.93","-2,649,351.99","-1,522,273.78","12,789,464.26","624,680.43","1,534,975.52","57,526,316.14","60,789,520.81","-536,156.66","4,750,233.69","5,694,768.85","265,842,491.53","398,185.54","800,685.04","930,222.74","7,105,479.57","3,061,307.21"
减:所得税,"7,263,794.55","2,124,772.26","6,479,093.38","3,949,881.92","5,876,785.85","8,580,779.77","1,927,116.30","3,642,631.86","6,044,135.61","8,212,132.26","1,384,412.58","4,209,357.28","6,770,515.25","7,222,906.32","436,432.57","1,378,042.64","1,267,229.75","-6,652,175.52",,"30,904,527.57","51,665,777.46","46,268,539.65","42,698,890.96","104,598,639.97","170,056,599.59","87,224,966.16","131,848,450.79","265,955,898.92","419,868,081.63","372,125,114.62","175,536,251.77","381,686,599.62","608,556,476.60","839,968,015.36","266,937,912.28"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,"816,988.77","1,060,490.37","1,027,790.28",,,,"1,734,750.92","-2,341,428.40","5,102,076.84","4,327,126.34","2,181,758.29","-6,947,944.15","-19,116,336.53","-46,038,498.42","-6,539,055.07","-40,792,440.74"
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"22,647.33",,,"9,040.00","9,040.00","9,040.00",,"1,200.00","1,200.00","308,638.11",,"285,546.10","285,546.10","693,728.46","190,444.96","345,680.19","345,680.19","889,976.25",,"1,398,572.32","1,839,510.21","2,412,434.27","1,988,495.88","1,088,468.56","1,182,569.94","5,835,758.39","4,690,653.07","13,499,957.70","18,724,450.01","71,315,787.55","2,660,410.32","27,582,115.21","34,929,490.25","26,629,821.42","5,613,700.19"
四、净利润,"63,424,796.82","43,757,354.58","36,479,505.50","19,026,385.76","29,253,151.95","38,884,145.97","8,842,464.80","19,796,561.34","32,249,444.27","40,225,979.84","8,148,001.17","21,756,896.47","37,910,265.79","41,734,190.53","2,035,945.90","7,317,303.83","4,434,517.18","-132,361,442.45","-19,862,969.58","48,744,201.30","64,077,486.32","281,518,678.85","52,591,137.38","119,951,052.17","173,936,556.03","425,828,050.13","339,412,996.17","861,533,280.00","1,392,108,519.48","1,786,560,380.34","501,544,323.23","1,143,975,221.41","1,867,312,931.91","2,611,629,261.58","794,541,680.36"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,"307,438.11",,"285,546.10","285,546.10","693,728.46","190,444.96","345,680.19","345,680.19","889,976.25",,"440,394.48","459,478.19","865,885.23",,"-590,493.38","522,219.21","3,151,389.15","3,327,027.52","11,089,405.95","9,704,668.73","8,053,938.16","-2,611,797.66","-443,992.61","4,638,977.70","20,449,405.49","-5,128,720.99"
归属于母公司所有者的净利润,"64,750,331.06","43,929,553.61","36,469,899.23","19,026,385.76","29,253,151.95","38,884,145.97","8,842,464.80","19,796,561.34","32,249,444.27","40,225,979.84","8,148,001.17","21,756,896.47","37,910,265.79","41,734,190.53","2,035,945.90","7,317,303.83","4,434,517.18","-132,361,442.45","-19,862,969.58","17,419,447.87","24,467,812.79","130,501,471.00","29,771,826.27","40,976,675.79","61,273,599.34","247,863,080.24","284,310,867.11","746,799,909.97","1,203,493,841.49","1,512,050,934.72","405,778,717.99","923,990,680.03","1,518,421,356.39","2,145,038,848.43","660,216,685.22"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"-1,325,534.24","-172,199.03","9,606.27",,,,,,,,,,,,,,,,,"31,324,753.43","39,609,673.53","151,017,207.85","22,819,311.11","78,974,376.38","112,662,956.69","177,964,969.89","55,102,129.06","114,733,370.03","188,614,677.99","274,509,445.62","95,765,605.24","219,984,541.38","348,891,575.52","466,590,413.15","134,324,995.14"
