科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"208,398,258.09","364,156,899.24","541,082,228.39","270,042,563.20","451,902,060.11","682,964,644.89","193,712,548.98","482,014,476.00","892,301,734.80","1,300,094,628.27","374,517,214.92","742,192,706.18","1,134,884,231.49","1,583,223,881.55","400,547,919.02","851,749,033.02","1,267,233,949.68","1,868,073,444.02","307,314,587.52","651,621,147.61","1,105,192,291.00","1,761,684,746.80","458,087,522.33","1,250,075,029.31","2,215,232,298.89","3,619,021,187.48","1,140,145,256.57","2,829,107,342.47","4,270,560,377.51","6,090,172,093.70","1,177,159,438.93","2,522,820,220.13","3,734,967,462.33","5,698,204,438.99","1,135,794,084.87"
二、营业利润,"30,982,278.15","59,765,970.44","76,565,879.53","29,362,228.61","68,314,221.93","111,431,649.09","40,612,950.38","141,069,722.33","306,354,758.98","423,200,190.31","105,228,252.77","191,394,955.19","264,430,088.24","300,964,050.38","54,374,592.41","47,177,325.29","73,203,952.75","47,050,431.23","-83,477,226.66","-144,455,049.27","-69,347,053.44","-171,814,861.09","-92,024,303.29","-111,457,827.48","-49,029,391.02","51,457,072.97","93,078,892.80","417,829,813.47","592,778,287.00","771,580,654.79","107,168,653.62","568,021,862.86","677,263,040.52","162,573,239.33","447,552,073.91"
减:营业成本,"159,084,474.59","268,919,342.22","419,296,298.95","217,487,315.34","343,723,066.05","507,677,841.91","139,312,708.84","307,742,377.83","530,010,621.71","789,133,676.50","243,931,268.02","486,059,888.42","759,785,371.39","1,090,203,200.92","277,701,732.62","638,487,533.51","911,953,496.99","1,400,800,358.92","286,146,104.41","588,502,312.94","952,561,730.99","1,557,086,467.87","439,602,249.10","1,153,248,294.77","1,895,921,008.49","3,060,457,921.70","885,022,497.91","2,086,897,404.33","3,158,422,268.99","4,572,762,947.34","890,784,905.29","1,954,602,125.94","2,900,924,435.44","4,587,585,080.46","928,237,596.02"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,,,,,,,,,"5,321.30",,,"144,480.00","272,692.00","148,467.19","286,524.00","667,039.73","1,135,330.11","529,714.42","1,042,856.96","1,693,186.09","2,933,116.57","749,784.83","1,634,568.66","2,737,216.36","5,383,990.30","957,819.94","1,377,099.14","1,674,536.62","16,203,696.97","4,684,965.99","8,058,088.57","14,328,388.85","23,176,192.96","4,077,228.02"
营业外收入,"3,025,658.96","4,378,816.68","13,005,019.12","3,957,085.07","7,423,587.82","14,945,736.66","2,635,059.87","3,562,205.15","7,890,711.90","12,199,309.68","1,887,342.75","4,678,579.60","8,437,378.59","17,780,477.92","1,492,621.10","4,269,340.06","9,241,619.41","60,115,259.85","4,790,050.88","6,645,785.43","14,314,281.62","16,373,890.63","10,211,045.28","142,210,283.44","191,890,243.80","245,950,937.05","12,998,040.22","34,452,610.43","116,851,610.30","230,147,936.98","30,702,235.23","54,701,356.82","84,122,889.40","27,623,813.85","7,738,753.36"
销售费用,"4,774,768.30","7,624,187.44","8,608,770.75","4,685,396.51","7,956,372.04","13,669,834.14","2,668,913.61","5,996,882.06","9,948,284.18","21,683,660.62","4,451,403.64","14,413,864.27","24,047,890.01","50,310,646.38","16,241,345.05","52,095,602.92","91,359,861.35","150,425,799.23","23,128,134.86","47,584,188.90","76,544,883.74","102,015,500.23","17,395,640.96","33,316,739.51","55,225,762.37","75,523,894.30","29,789,247.93","70,526,332.15","103,078,296.56","140,554,073.21","29,776,543.00","62,560,749.79","93,262,005.77","120,133,504.48","15,876,219.47"
减:营业外支出,"1,035,749.43","1,649,482.06","693,376.99","1,515,673.41","1,837,631.19","2,176,309.62","794,306.27","2,302,340.55","2,948,340.29","5,907,436.07","2,337,887.04","5,488,096.82","8,401,574.85","10,798,810.56","1,590,176.98","8,995,346.35","11,855,224.45","12,489,538.88","1,820,114.69","3,250,137.74","5,978,095.46","5,915,174.41","2,975,042.17","5,266,501.56","8,315,260.32","23,121,638.93","4,246,521.05","7,864,126.76","11,907,520.63","18,023,606.87","6,571,859.27","17,560,180.70","29,321,182.68","45,813,498.94","7,988,030.85"
管理费用,"6,755,108.38","17,441,680.92","24,517,841.34","11,789,069.20","19,842,339.81","35,434,892.40","8,532,225.92","19,225,427.74","30,898,381.64","45,580,386.30","16,094,673.77","32,695,683.72","49,481,540.86","78,896,123.26","28,308,552.93","60,938,043.67","104,679,558.46","161,471,597.86","44,835,984.21","108,003,400.38","166,778,977.29","232,689,053.62","54,055,470.84","113,172,449.31","183,357,185.49","265,652,682.90","71,770,345.22","149,026,247.80","232,464,619.46","345,834,679.80","87,525,410.22","184,291,304.70","289,365,092.32","448,334,319.77","78,634,878.90"
其中:非流动资产处置净损失,,,,,,,,,,"2,996,099.36",,,,"5,294,366.60",,,"7,774,656.95","9,928,811.54",,"2,379,498.86","4,714,061.96","3,556,439.93",,"4,602,938.96","6,206,499.99","8,107,327.08","4,229,873.69","6,108,460.76","9,600,961.78","3,900,509.00","2,279,173.99","11,741,153.90","11,586,734.93",,
