科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"142,180,684.88","166,764,404.03","203,813,243.52","64,260,364.60","1,545,413,649.98","1,497,181,629.68","1,604,291,258.73","1,333,209,831.28","1,279,713,143.05","1,137,028,974.04","983,202,175.59","788,338,145.88","709,198,515.35","760,983,741.08","1,009,907,311.25","781,168,813.05","682,592,044.67","486,098,701.28","762,697,160.34","563,281,143.09","484,668,249.06","322,298,555.79","844,391,965.08","667,087,335.52","872,142,853.88","593,504,376.03","971,231,327.30","529,584,023.00","2,814,504,087.67","1,676,668,148.89","1,587,439,869.68","1,112,456,521.81","677,629,363.10","1,185,726,402.47","1,323,859,133.76","1,443,009,734.16","787,914,538.54","808,011,418.82","899,143,730.36","600,477,186.85"
短期借款,"331,000,000.00","350,000,000.00","287,000,000.00","335,000,000.00","80,000,000.00","80,000,000.00","119,768,793.29","120,000,000.00","120,000,000.00","160,000,000.00","217,196,238.32","233,000,000.00","305,000,000.00","305,000,000.00","345,000,000.00","165,000,000.00","105,651,868.75","235,651,868.75","225,000,000.00","140,000,000.00","120,000,000.00","308,000,000.00","488,000,000.00","798,711,000.00","1,088,568,000.00","1,469,106,500.00","1,876,800,000.00","1,935,800,000.00","1,748,000,000.00","928,000,000.00","650,000,000.00","990,000,000.00","1,150,000,000.00","1,618,687,915.00","1,417,671,000.00","1,805,304,800.00","1,758,083,000.00","1,745,000,000.00","2,257,261,885.56","2,785,542,585.56"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,"6,097,566.25","26,783.75",,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"8,405,000.00","49,422,601.66","2,831,572.26","754,388.91","1,953,300.00","6,897,218.40","29,132,318.78","25,423,895.23","8,824,677.73",,"13,258,131.21","9,105,263.90","39,275,344.12","41,274,465.44","62,268,678.66","61,733,811.03","56,851,865.62","53,820,395.00","51,457,340.29","70,837,468.57","52,813,969.09","44,452,084.47","39,179,657.54","53,012,276.15","75,826,898.37","120,550,467.06","138,682,233.81","84,796,706.54","30,160,693.64","43,772,561.37","75,098,097.53","99,036,242.59","129,153,684.04","140,852,190.86","122,981,868.28","92,017,904.81","78,590,572.81","46,949,755.45","57,583,029.85","48,610,047.07"
应付票据,"19,280,000.00",,"21,660,000.00",,,,,,,,"14,000,000.00",,"80,000,000.00","173,169,195.00","217,173,978.53","266,664,876.00","308,403,825.00","234,564,000.00","79,604,692.00","180,585,613.70","250,639,913.70","120,925,454.60","462,881,235.15","246,354,684.95","378,047,060.57","477,972,271.58","270,344,668.34","290,491,437.66","457,840,613.81","460,152,207.76","529,606,979.78","285,182,982.93","256,984,602.11","298,021,004.02","561,097,978.27","398,277,315.61","662,002,593.00",,"378,947,656.89",
应收账款,"342,177,191.53","463,686,541.19","460,184,096.35","580,037,930.35","577,748,666.11","602,731,024.81","545,228,934.15","573,051,224.96","561,343,061.95","647,452,846.77","792,717,558.00","811,311,271.44","938,330,442.76","934,288,310.23","862,357,697.60","969,497,159.06","1,015,808,148.98","1,096,917,695.85","987,843,660.81","978,230,154.77","1,203,731,362.25","1,371,140,165.92","1,274,947,058.43","1,521,191,954.87","1,713,168,347.80","1,885,694,053.86","1,783,189,725.17","2,057,461,841.92","2,202,527,494.66","2,265,359,599.73","2,267,466,985.15","2,258,871,901.94","2,087,944,066.22","2,485,511,550.62","2,018,141,412.97","2,300,949,690.08","2,617,800,616.10","3,141,865,020.96","1,861,057,445.77","2,129,302,122.35"
应付账款,"82,128,873.81","101,189,976.78","147,467,489.73","148,125,312.81","96,423,861.31","137,453,086.25","197,085,172.30","107,975,253.91","76,653,508.28","61,296,011.39","161,247,698.86","162,752,776.64","125,139,572.91","178,276,371.30","208,714,106.70","176,733,245.52","186,801,298.45","155,684,571.64","357,978,041.80","277,518,612.84","339,562,048.63","273,710,318.70","233,715,379.46","214,392,564.20","371,625,151.52","481,154,463.96","634,211,115.40","758,343,062.84","745,730,127.10","781,651,889.24","885,832,990.66","720,850,158.61","733,052,200.41","857,420,636.34","1,098,456,235.03","981,756,679.17","1,111,126,762.79",,"1,579,729,886.80",
预付款项,"40,777,289.22","20,788,282.39","5,042,170.75","11,723,813.20","15,864,662.63","25,620,689.38","57,300,414.80","139,566,540.46","197,194,741.29","271,486,692.84","69,312,301.54","65,255,239.89","42,749,170.07","106,511,533.39","40,496,209.17","145,704,625.87","117,086,758.57","185,030,075.11","40,213,951.29","189,986,981.71","149,644,455.65","208,321,018.26","83,681,013.43","79,488,762.05","196,500,963.83","140,977,195.58","48,944,618.75","72,628,586.38","75,013,892.85","97,983,081.19","109,994,289.70","138,653,283.04","155,384,683.43","205,190,841.68","182,308,720.38","229,205,519.85","236,775,033.50","267,531,156.90","172,913,393.82","223,750,913.45"
预收款项,"5,432,205.82","10,265,067.44","1,858,302.69","2,681,604.71","8,735,917.57","10,478,928.23","4,588,438.99","10,300,947.36","8,397,185.31","11,854,774.13","13,036,242.52","24,837,750.99","14,927,935.21","17,324,733.61","11,365,701.17","8,757,789.34","8,725,160.35","13,515,425.25","6,831,453.68","8,340,642.42","11,091,131.93","18,298,090.37","10,956,204.47","11,739,429.63","22,582,787.19","27,715,876.03","32,177,382.49","28,878,657.03","34,485,917.16","54,353,094.82","60,296,985.34","56,811,773.00","79,721,801.60","267,137,704.60","130,114,273.44","115,368,706.17","126,669,748.89","135,584,183.59","84,696,465.26","78,399,142.35"
