科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"721,302,754.25","854,345,795.56","995,688,884.80","210,559,957.41","456,020,133.49","703,400,586.17","1,058,333,551.76","308,048,276.53","675,946,961.81","1,040,883,342.81","1,548,995,265.53","396,180,819.99","842,821,841.34","1,318,829,831.27","1,979,194,371.00"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"41,591,156.28",,,,
收到的税费返还,,,,,,"651,631.17","651,631.17","897,792.86","2,368,792.16","1,127,318.75","3,091,906.76","19,369.31","48,386.48","98,909.98","1,046,100.43"
支付其他与投资活动有关的现金,,,,,,,"7,000,000.00",,,,,,,,
收到其他与经营活动有关的现金,"4,105,257.49","778,426.75","3,214,020.83","311,656.89","3,063,678.01","3,901,274.14","10,161,875.80","440,470.05","2,780,254.04","6,849,697.39","9,244,468.17","3,018,158.86","8,255,107.36","16,148,493.89","23,174,338.25"
投资活动现金流出小计,"69,031,731.30","107,559,293.40","161,095,303.10","39,583,899.66","88,621,654.24","799,632,866.51","884,149,268.47","52,989,909.44","119,865,483.50","213,127,693.20","2,623,338,378.80","116,110,378.90","513,312,076.26","707,653,405.34","871,357,562.35"
经营活动现金流入小计,"725,408,011.74","855,124,222.31","998,902,905.63","210,871,614.30","459,083,811.50","707,953,491.48","1,069,147,058.73","309,386,539.44","681,096,008.01","1,048,860,358.95","1,561,331,640.46","399,218,348.16","851,125,335.18","1,335,077,235.14","2,003,414,809.68"
投资活动产生的现金流量净额,"-61,044,062.54","-102,938,904.86","-158,921,600.51","-39,224,425.71","-88,134,618.62","-798,421,180.20","-869,947,744.47","-26,559,836.83","-64,480,834.25","-108,386,659.41","-83,028,235.67","-8,669,763.82","-42,690,117.02","-183,069,962.54","-236,137,614.44"
购买商品、接受劳务支付的现金,"401,747,835.98","486,574,114.54","547,593,793.28","171,826,476.97","298,555,854.18","434,424,495.72","654,654,013.11","253,460,836.68","490,029,664.01","714,791,203.69","973,887,139.98","271,684,042.56","587,618,863.44","889,972,662.60","1,263,590,537.74"
吸收投资收到的现金,,,,,"997,320,000.00","997,320,000.00","1,002,710,000.00","5,500,000.00","5,500,000.00","7,980,000.00","13,500,000.00","1,000,000.00","6,250,000.00","10,000,000.00","39,214,700.76"
支付给职工以及为职工支付的现金,"72,173,649.33","86,769,112.72","114,390,451.23","44,331,110.85","77,924,404.30","115,060,928.75","151,474,176.85","55,293,701.04","94,787,749.30","145,139,529.50","187,675,532.67","72,239,479.05","121,578,347.38","177,975,270.98","226,753,946.37"
取得借款收到的现金,"202,185,966.33","233,283,118.94","426,547,811.18","110,560,944.28","155,108,482.40","188,306,012.24","188,910,082.19","18,646,881.47","139,650,852.32","192,332,326.56","223,449,412.46","81,253,403.18","395,196,653.61","591,450,338.70","729,827,173.82"
支付的各项税费,"91,067,025.31","117,045,780.37","129,212,718.19","33,221,872.90","61,200,891.29","101,190,929.31","130,430,038.32","41,539,940.83","91,259,334.61","138,913,792.49","187,564,788.54","43,293,124.45","81,848,739.40","138,435,952.83","189,210,509.28"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"49,460,228.97","66,342,875.34","92,615,858.86","16,163,278.12","31,622,124.19","61,025,453.82","99,405,567.41","33,188,082.59","58,724,405.67","81,015,738.15","162,889,031.65","40,448,953.45","74,844,074.41","123,374,827.30","244,826,222.00"
筹资活动现金流入小计,"202,185,966.33","233,283,118.94","426,547,811.18","110,560,944.28","1,152,428,482.40","1,185,626,012.24","1,191,620,082.19","24,146,881.47","145,150,852.32","200,312,326.56","236,949,412.46","82,253,403.18","401,446,653.61","601,450,338.70","769,041,874.58"
经营活动现金流出小计,"614,448,739.59","756,731,882.97","883,812,821.56","265,542,738.84","469,303,273.96","711,701,807.60","1,035,963,795.69","383,482,561.14","734,801,153.59","1,079,860,263.83","1,512,016,492.84","427,665,599.51","865,890,024.63","1,329,758,713.71","1,924,381,215.39"
偿还债务支付的现金,"204,138,932.94","208,636,542.78","266,577,923.84","57,226,334.64","131,481,807.55","259,655,466.36","281,340,988.01","49,701,333.73","96,917,546.79","125,076,322.70","226,446,563.07","59,146,747.22","173,045,209.60","173,088,405.88","259,038,309.45"
经营活动产生的现金流量净额,"110,959,272.15","98,392,339.34","115,090,084.07","-54,671,124.54","-10,219,462.46","-3,748,316.12","33,183,263.04","-74,096,021.70","-53,705,145.58","-30,999,904.88","49,315,147.62","-28,447,251.35","-14,764,689.45","5,318,521.43","79,033,594.29"
分配股利、利润或偿还利息支付的现金,"34,727,172.61","37,900,364.32","47,721,111.56","48,868,864.40","52,051,594.34","53,532,723.28","54,346,093.91","617,075.16","51,634,996.31","53,399,884.31","54,147,721.75","922,473.03","63,187,958.65","70,192,823.68","76,996,699.86"
收回投资收到的现金,,,,,,,,"20,950,000.00","44,708,843.72","72,547,498.53","2,501,568,282.19","106,000,000.00","468,000,000.00","521,000,000.00","624,000,000.00"
支付其他与筹资活动有关的现金,,,,,,,,,,,,,,,"41,957,200.00"
取得投资收益收到的现金,"954,749.61","569,254.93","460,504.07","353,473.95","481,035.62","1,199,186.31","8,990,500.02","5,477,072.61","10,665,732.89","32,183,266.50","34,300,300.26","1,440,615.08","2,620,604.11","3,582,087.67","3,652,339.98"
筹资活动现金流出小计,"238,866,105.55","246,536,907.10","314,299,035.40","106,095,199.04","183,533,401.89","313,188,189.64","335,687,081.92","50,318,408.89","148,552,543.10","178,476,207.01","280,594,284.82","60,069,220.25","236,233,168.25","243,281,229.56","377,992,209.31"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,248,919.15","1,820,733.61","1,713,198.52","6,000.00","6,000.00","12,500.00","5,211,023.98","3,000.00","10,072.64","10,268.76","4,441,560.68",,"1,355.13","1,355.13","6,765,203.24"
筹资活动产生的现金流量净额,"-36,680,139.22","-13,253,788.16","112,248,775.78","4,465,745.24","968,895,080.51","872,437,822.60","855,933,000.27","-26,171,527.42","-3,401,690.78","21,836,119.55","-43,644,872.36","22,184,182.93","165,213,485.36","358,169,109.14","391,049,665.27"
处置子公司及其他营业单位收到的现金净额,"5,784,000.00","2,230,400.00",,,,,,,,,,,,,
四、汇率变动对现金的影响,"-11,245.65",-641.37,"-10,011.74","-23,159.45","-28,295.12","-25,626.65","-64,912.04","-6,167.32","-14,892.83","-7,613.94","-15,009.89","-25,061.81","-15,652.84","14,566.78","-298,438.17"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,"802,404.69"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,
投资活动现金流入小计,"7,987,668.76","4,620,388.54","2,173,702.59","359,473.95","487,035.62","1,211,686.31","14,201,524.00","26,430,072.61","55,384,649.25","104,741,033.79","2,540,310,143.13","107,440,615.08","470,621,959.24","524,583,442.80","635,219,947.91"
五、现金及现金等价物净增加额,"13,223,824.74","-17,800,995.05","68,407,247.60","-89,452,964.46","870,512,704.31","70,242,699.63","19,103,606.80","-126,833,553.27","-121,602,563.44","-117,558,058.68","-77,372,970.30","-14,957,894.05","107,743,026.05","180,432,234.81","233,647,206.95"
购建固定资产、无形资产和其他长期资产支付的现金,"69,031,731.30","107,559,293.40","161,095,303.10","39,583,899.66","88,621,654.24","148,792,866.51","221,309,268.47","52,989,909.44","104,865,483.50","198,127,693.20","388,747,222.52","108,785,378.90","224,961,016.69","338,037,247.21","462,357,562.35"
期初现金及现金等价物余额,"98,677,689.65","111,901,514.39","94,100,519.34","162,507,766.94","162,507,766.94","162,507,766.94","162,507,766.94","181,611,373.74","181,611,373.74","181,611,373.74","181,611,373.74","112,122,857.39","104,238,403.44","104,238,403.44","104,238,403.44"
投资支付的现金,,,,,,"650,840,000.00","655,840,000.00",,"15,000,000.00","15,000,000.00","2,193,000,000.00","7,325,000.00","288,351,059.57","369,616,158.13","409,000,000.00"
期末现金及现金等价物余额,"111,901,514.39","94,100,519.34","162,507,766.94","73,054,802.48","1,033,020,471.25","232,750,466.57","181,611,373.74","54,777,820.47","60,008,810.30","64,053,315.06","104,238,403.44","97,164,963.34","211,981,429.49","284,670,638.25","337,885,610.39"
