科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"625,319,547.26","1,224,333,672.97","1,114,535,148.01","811,989,391.96","1,127,318,586.19","317,243,288.11","610,339,844.16","886,925,564.77","1,235,956,527.55","336,909,453.07","698,749,330.90","1,026,331,403.54","1,386,504,421.73","366,727,582.37","738,218,476.46","1,187,645,341.34","1,652,102,181.57","434,146,862.18","997,044,570.78","1,489,635,938.36","2,055,805,888.06","528,994,777.78","1,140,932,865.68","1,721,402,070.92","2,342,844,230.28","584,043,823.27","1,166,826,734.30","1,734,668,688.16","2,429,579,842.64","628,211,240.22","1,392,748,369.75","2,233,991,635.82","3,170,681,268.78","687,825,251.62"
二、营业利润,"137,408,099.11","194,621,471.66","201,655,667.95","169,048,562.02","206,935,727.32","61,938,498.89","94,156,819.16","117,561,348.49","154,704,578.20","29,237,666.37","71,342,936.77","97,145,217.69","100,903,128.41","20,419,357.43","14,676,371.19","25,695,760.38","26,642,180.56","2,558,287.14","50,919,624.20","73,205,381.05","81,703,811.24","9,098,154.00","62,706,604.82","91,397,863.44","124,696,805.57","12,986,225.65","109,211,101.87","150,904,362.61","213,979,680.62","11,936,947.41","113,403,794.39","162,196,957.18","280,277,413.95","36,133,329.01"
减:营业成本,"408,258,300.38","892,557,453.67","807,644,276.06","538,500,990.42","774,033,143.23","215,459,955.56","436,894,200.48","656,624,388.95","911,617,755.80","268,868,995.25","553,200,475.21","811,561,045.08","1,081,416,325.92","298,357,134.44","607,312,768.72","969,241,426.03","1,332,104,559.57","357,227,528.77","805,021,284.34","1,191,479,044.87","1,631,940,920.21","430,755,056.70","900,511,677.25","1,351,953,049.34","1,802,446,649.61","466,138,523.76","849,588,633.23","1,273,102,668.89","1,785,337,234.41","508,794,104.38","1,075,024,533.82","1,751,463,843.52","2,429,325,415.20","537,568,457.89"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,545,157.45","8,255,715.38","8,353,183.68","6,326,624.59","9,350,466.03","3,779,804.13","6,767,516.77","10,406,259.36","11,476,417.53","1,802,425.96","3,697,798.64","5,016,229.87","6,505,953.74","1,852,946.81","4,069,950.40","5,732,502.69","8,326,108.80","2,118,929.24","3,586,555.10","5,496,114.30","7,756,876.94","2,162,475.94","4,586,262.94","6,582,306.87","9,409,539.42","2,315,700.12","5,142,466.61","8,607,845.80","31,253,141.58","9,545,802.27","18,775,336.40","29,066,441.07","40,026,920.37","11,476,649.24"
营业外收入,"6,534,061.87","9,707,055.12","22,543,602.93","16,774,280.24","21,381,365.86","9,269,901.17","19,930,419.05","32,484,124.88","68,775,365.93","45,048,906.35","51,503,629.73","56,456,417.15","63,137,898.72","23,572,061.42","37,266,291.70","43,249,993.18","48,300,213.27","4,253,227.30","8,595,243.56","14,522,616.97","20,293,532.98","4,005,443.97","8,311,995.59","13,745,232.62","18,726,330.63","5,280,791.90","14,543,512.19","19,311,546.05","25,050,618.02","5,853,551.96","10,748,171.06","16,978,702.47","7,553,389.02","4,586,926.48"
销售费用,"6,021,808.18","13,710,249.01","10,143,450.14","8,556,739.27","11,685,111.63","2,779,354.31","6,706,461.57","12,095,639.46","19,225,081.16","6,714,050.33","14,145,515.99","20,914,763.64","31,118,731.59","8,090,189.21","19,447,825.71","33,172,927.91","45,905,765.36","10,241,859.67","22,386,262.14","36,263,522.79","51,648,130.68","10,772,176.96","22,151,609.31","33,894,292.74","48,980,103.63","12,331,625.32","26,977,759.02","41,490,085.00","59,740,967.29","16,540,584.79","31,483,560.03","49,444,151.05","71,458,379.82","17,281,868.94"
减:营业外支出,"881,462.49","2,143,618.20","1,546,295.64","646,847.10","741,410.29","54,986.58","188,258.06","708,309.96","2,089,055.86","69,393.40","226,789.55","364,188.69","543,397.92","93,004.67","222,168.94","621,580.83","790,351.71","110,093.06","204,795.91","348,843.05","628,467.67","172,311.34","418,425.24","2,065,620.99","3,567,043.38","134,568.65","443,642.14","735,213.34","1,946,274.86","290,527.87","756,037.84","2,616,823.69","2,731,696.03","1,199,045.13"
管理费用,"23,830,871.31","42,185,224.96","50,603,525.17","56,785,974.28","76,816,374.98","16,635,841.75","46,549,157.85","65,685,108.23","107,669,036.25","23,452,109.19","40,208,946.67","61,813,530.05","109,284,002.23","21,664,673.05","51,282,962.32","89,521,826.92","144,270,928.05","36,252,922.81","74,582,144.55","112,765,451.47","166,896,581.42","31,713,246.02","67,735,734.21","114,393,433.28","169,676,166.36","38,115,293.89","85,518,002.77","128,247,223.06","166,288,339.46","39,020,640.85","75,896,703.34","119,884,487.23","184,697,301.49","39,428,087.39"
其中:非流动资产处置净损失,"18,469.69","1,402,812.50","2,737.48","523,524.10",,,,"58,271.48","1,046,194.84",,"113,469.76","113,469.76","137,804.08",,,"211,901.67","343,289.31","20,698.12","43,295.95","43,295.95","105,004.18","1,777.79","1,777.79","1,777.79","1,778.09",,,,,"36,707.83","62,526.28","62,526.28",,
