科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"811,224,412.93","826,877,791.30","738,058,608.51","517,059,788.93","773,520,244.81","986,826,179.01","230,299,032.47","464,516,670.05","742,603,881.75","1,228,037,725.51","344,044,692.77","693,628,217.88","1,120,189,102.16","1,585,874,350.09","476,561,119.73","968,893,770.18","1,419,754,554.59","1,857,780,460.27","472,735,891.46","1,053,790,951.40","1,604,233,073.90","2,193,953,983.52","562,373,883.03","1,162,476,616.08","1,728,065,480.67","2,272,843,745.19","562,062,217.76","1,169,985,288.59","1,751,762,334.89","2,449,746,456.31","709,465,531.98","1,464,530,512.32","2,282,876,383.35","3,136,075,811.23","979,025,658.62","1,758,653,804.56"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"22,380,596.77",,,,"7,795,000.00",,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"224,191.04",,"579,845.27","2,612,027.10","2,612,027.10","2,612,027.10","2,698,960.04","2,698,960.04","2,698,960.04","2,698,960.04",,"44,853.30","799,050.61","1,274,823.27","1,414,656.83","2,038,465.76","2,121,299.01","2,163,428.65","1,385,143.82","1,401,075.44","2,056,070.47","3,249,270.14",,"169,204.82","741,596.88","2,313,528.41","2,629,256.97","5,371,657.91","7,867,131.51","14,414,818.42","7,316,569.15","11,046,704.02","13,768,064.06","18,786,742.76","1,663,944.14","3,858,851.82"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,"7,234,750.00","7,248,924.00","5,810,000.00","60,000.00","19,436,934.66","54,722,472.63",,"150,798.30","3,675,000.00","11,675,000.00",,,,,,"3,000,000.00","9,026,492.33"
收到其他与经营活动有关的现金,"4,006,424.32","14,273,160.96","2,387,616.55","3,128,923.34","3,545,341.26","6,486,277.13","11,102,719.16","12,762,595.79","28,469,294.31","34,938,741.94","9,484,343.46","18,509,175.87","28,516,012.73","31,470,488.77","9,631,573.11","12,404,066.30","13,514,231.51","15,906,082.88","2,117,875.11","4,182,282.94","10,246,979.21","28,507,600.59","849,406.69","2,870,423.35","15,776,624.27","19,743,862.70","1,832,550.98","5,016,034.95","35,872,263.08","37,943,521.87","512,910.60","3,675,653.98","16,098,818.10","21,950,910.14","13,386,617.34","15,872,210.59"
投资活动现金流出小计,"45,584,529.27","22,441,573.56","30,524,605.00","16,369,521.96","27,896,113.53","47,700,048.47","40,553,287.06","63,250,311.93","132,871,140.63","217,063,782.16","94,695,757.26","105,921,583.43","123,148,829.97","126,744,399.80","778,906,992.73","967,628,464.06","1,547,397,531.59","1,721,706,081.62","587,227,257.79","937,875,449.38","1,398,073,210.54","1,705,650,784.54","304,491,262.15","3,341,304,749.40","4,322,972,062.70","5,414,502,389.93","637,882,161.62","1,242,086,487.23","2,087,299,597.84","2,620,728,728.74","139,862,760.39","214,184,355.94","229,373,455.62","2,956,987,671.27","755,659,768.85","1,207,419,575.40"
经营活动现金流入小计,"815,455,028.29","841,150,952.26","741,026,070.33","522,800,739.37","779,677,613.17","995,924,483.24","244,100,711.67","479,978,225.88","773,772,136.10","1,265,675,427.49","353,529,036.23","712,182,247.05","1,149,504,165.50","1,618,619,662.13","487,607,349.67","983,336,302.24","1,435,390,085.11","1,875,849,971.80","476,238,910.39","1,059,374,309.78","1,616,536,123.58","2,225,710,854.25","563,223,289.72","1,165,516,244.25","1,744,583,701.82","2,294,901,136.30","566,524,025.71","1,180,372,981.45","1,795,501,729.48","2,502,104,796.60","717,295,011.73","1,479,252,870.32","2,312,743,265.51","3,176,813,464.13","994,076,220.10","1,778,384,866.97"
投资活动产生的现金流量净额,"-38,468,096.07","-17,132,750.48","-13,894,703.63","-16,056,256.33","-27,561,694.05","-47,019,474.06","-39,961,614.56","-62,641,092.91","-131,374,834.94","-184,404,806.10","-94,472,338.12","-105,195,858.45","-121,751,267.47","-124,510,230.73","-708,729,487.14","-611,086,647.95","-766,545,299.76","-734,036,438.64","58,390,072.30","-62,713,652.20","-70,945,814.79","-93,413,110.25","314,791,776.18","-132,614,381.27","-224,268,989.94","-217,402,181.99","3,710,502.98","179,881,530.64","143,958,732.36","321,108,907.90","168,767,031.34","188,415,479.04","175,141,312.47","-1,230,149,326.72","-68,935,316.19","-58,742,172.72"
购买商品、接受劳务支付的现金,"707,053,896.71","568,620,491.93","648,523,712.98","417,343,052.18","615,711,291.89","776,417,510.20","243,295,026.13","430,334,062.94","690,429,771.28","1,096,411,129.69","325,643,833.85","688,343,060.39","1,023,675,649.04","1,381,787,480.02","353,891,057.88","770,220,615.10","1,120,190,462.26","1,496,667,140.74","370,268,305.45","812,533,467.95","1,256,096,765.75","1,732,938,189.89","443,640,322.81","887,706,311.76","1,239,246,098.37","1,688,135,482.38","425,684,798.50","931,548,675.76","1,394,126,406.96","2,094,144,556.77","653,141,838.78","1,229,650,327.71","1,940,910,214.34","2,696,035,573.43","683,875,729.00","1,210,433,755.59"
吸收投资收到的现金,"58,320,000.00",,,,,,"1,600,000,000.00","1,600,000,000.00","1,600,000,000.00","1,553,500,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,,,,,,,,,,,,,"30,000,000.00",,,,,"1,468,159,394.88",,
