科目,2011年度,2012年度,2013年度,2014年1-6月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"230,451,189.29","279,089,199.26","393,553,310.55","270,639,157.58","534,001,542.74","130,849,352.73","302,868,211.61","466,390,174.47","591,971,927.86","186,785,668.53","406,189,170.21","633,974,072.08","771,248,143.15","255,321,784.49","583,110,415.69","786,003,327.82","1,085,683,315.35","338,671,379.99","777,124,349.22","1,153,393,944.67","1,417,217,213.34","316,136,920.57"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,"150,633,712.36",,,,,,,,,
收到的税费返还,,"644,575.14",,,,,,,,,,,"507,565.39",,,,"2,500,687.69",,"492,814.09",,"1,318,162.53","741,904.08"
支付其他与投资活动有关的现金,,,,,,"240,000,000.00","345,000,000.00","480,000,000.00",,,"215,000,000.00","335,000,000.00",,,,,,,,,,
收到其他与经营活动有关的现金,"2,638,564.47","2,653,587.13","8,715,911.58","2,409,887.82","3,172,723.89","855,109.73","1,916,490.26","2,339,439.07","3,839,970.57","7,776,354.29","9,692,407.06","14,534,659.37","12,958,352.59","8,458,048.34","12,276,824.32","12,417,531.47","15,082,816.64","2,632,231.67","6,489,230.18","12,854,999.65","12,782,123.40","3,732,589.28"
投资活动现金流出小计,"18,153,329.24","24,529,264.55","21,756,610.09","7,546,526.84","15,643,766.68","242,448,991.31","351,302,091.33","490,116,730.92","722,175,117.39","206,571,454.73","222,430,198.69","397,925,491.09","502,008,668.50","8,366,567.92","12,891,317.08","852,237,502.10","1,196,344,551.31","703,320,796.03","999,547,603.89","1,695,247,315.24","2,418,459,105.15","16,260,139.20"
经营活动现金流入小计,"233,089,753.76","282,387,361.53","402,269,222.13","273,049,045.40","537,174,266.63","131,704,462.46","304,784,701.87","468,729,613.54","595,811,898.43","194,562,022.82","415,881,577.27","648,508,731.45","784,714,061.13","263,779,832.83","595,387,240.01","798,420,859.29","1,103,266,819.68","341,303,611.66","784,106,393.49","1,166,248,944.32","1,431,317,499.27","320,611,413.93"
投资活动产生的现金流量净额,"-18,029,098.47","-24,473,360.71","-21,504,266.07","-7,512,338.80","-15,443,668.49","-242,448,991.31","-239,898,449.92","-246,215,323.53","-292,880,350.13","26,290,652.80","145,564,716.34","175,586,454.76","74,862,657.19","44,483,432.08","39,958,682.92","-799,387,502.10","-844,519,026.97","5,546,102.52","105,278,132.80","106,710,960.91","122,909,105.34","24,598,677.01"
购买商品、接受劳务支付的现金,"134,678,209.57","150,362,058.17","233,862,293.30","164,214,877.16","330,874,139.34","106,304,166.53","234,496,342.62","338,433,727.13","403,227,766.07","126,738,942.80","294,405,886.98","412,959,295.45","478,260,952.45","178,173,927.53","378,990,846.61","533,161,680.72","671,196,097.53","275,003,492.25","520,359,178.96","745,735,620.67","806,018,084.33","155,231,234.63"
吸收投资收到的现金,,,,,,"323,576,000.00","323,576,000.00","323,576,000.00","372,740,300.00",,,,"9,718,000.00",,,"883,919,991.49","872,219,092.43",,,,,
支付给职工以及为职工支付的现金,"20,414,458.68","28,539,854.89","41,881,596.92","30,938,703.31","58,427,750.42","29,758,954.31","46,833,194.51","62,193,161.47","77,030,802.18","33,868,932.91","53,178,029.34","71,036,429.11","100,003,406.32","49,586,645.66","79,514,266.94","109,689,203.14","136,711,594.06","59,843,009.26","87,640,284.39","115,434,911.04","147,591,091.33","61,629,200.08"
取得借款收到的现金,"59,000,000.00","38,900,000.00","54,000,000.00","12,000,000.00","33,900,000.00",,,,,,,,,,,"20,000,000.00","20,000,000.00",,,,,
支付的各项税费,"28,307,222.32","29,781,545.03","39,944,354.35","33,492,681.01","69,752,217.37","18,038,124.94","36,832,895.88","57,539,332.86","56,335,863.83","24,175,031.40","44,762,676.87","67,163,833.45","85,878,080.77","30,136,652.42","63,122,463.46","100,617,983.89","119,312,983.48","43,865,412.64","87,893,192.27","125,734,384.63","156,120,452.26","35,006,226.20"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,"5,000,000.00"
支付其他与经营活动有关的现金,"11,412,278.98","15,599,735.08","19,994,845.37","12,193,696.25","26,280,935.53","12,479,473.64","13,692,610.36","26,562,789.36","36,681,606.59","14,566,632.88","17,680,027.73","34,674,830.28","41,790,549.68","19,148,779.56","31,154,765.41","37,079,207.32","71,018,096.66","17,747,426.38","34,769,545.53","50,739,234.18","75,233,986.53","27,322,618.42"
筹资活动现金流入小计,"59,000,000.00","38,900,000.00","54,000,000.00","12,000,000.00","33,900,000.00","323,576,000.00","323,576,000.00","323,576,000.00","372,740,300.00",,,,"9,718,000.00",,,"903,919,991.49","892,219,092.43",,,,,"5,000,000.00"
经营活动现金流出小计,"194,812,169.55","224,283,193.17","335,683,089.94","240,839,957.73","485,335,042.66","166,580,719.42","331,855,043.37","484,729,010.82","573,276,038.67","199,349,539.99","410,026,620.92","585,834,388.29","705,932,989.22","277,046,005.17","552,782,342.42","780,548,075.07","998,238,771.73","396,459,340.53","730,662,201.15","1,037,644,150.52","1,184,963,614.45","279,189,279.33"
偿还债务支付的现金,"57,570,000.00","49,500,000.00","53,900,000.00","12,000,000.00","34,000,000.00","21,900,000.00","21,900,000.00","21,900,000.00","21,900,000.00",,,,,,,"20,000,000.00","20,000,000.00",,,,,
经营活动产生的现金流量净额,"38,277,584.21","58,104,168.36","66,586,132.19","32,209,087.67","51,839,223.97","-34,876,256.96","-27,070,341.50","-15,999,397.28","22,535,859.76","-4,787,517.17","5,854,956.35","62,674,343.16","78,781,071.91","-13,266,172.34","42,604,897.59","17,872,784.22","105,028,047.95","-55,155,728.87","53,444,192.34","128,604,793.80","246,353,884.82","41,422,134.60"
分配股利、利润或偿还利息支付的现金,"30,905,708.01","16,062,917.65","27,657,018.15","29,425,038.33","32,221,652.56","89,320.00","48,329,655.16","48,536,981.00","48,536,781.00",,"82,397,744.92","82,397,744.92","83,773,844.92",,"111,210,771.84","111,716,524.24","113,691,930.73",,"164,399,485.00","164,399,485.00","163,823,837.75","75,250.93"
收回投资收到的现金,,,,,,,,,"429,292,805.72","232,862,107.53",,,"576,851,714.03","50,000,000.00","50,000,000.00","50,000,000.00","351,816,977.33","698,000,000.00","1,088,000,000.00","1,774,000,000.00","2,541,362,407.58","40,000,000.00"
支付其他与筹资活动有关的现金,,,,,,"14,615,423.64","14,615,423.64","14,733,779.83","11,063,535.83",,,"747,864.76",,,,"14,522,953.00",,,,"428,333.29","3,548,917.74",
取得投资收益收到的现金,,,,,,,"1,403,641.41","3,899,407.39",,,"2,983,595.27","3,500,626.09",,"2,850,000.00","2,850,000.00","2,850,000.00",,"10,866,898.55","16,825,736.69","27,958,276.15",,"858,816.21"
筹资活动现金流出小计,"88,475,708.01","65,562,917.65","81,557,018.15","41,425,038.33","66,221,652.56","36,604,743.64","84,845,078.80","85,170,760.83","81,500,316.83",,"82,397,744.92","83,145,609.68","83,773,844.92",,"111,210,771.84","146,239,477.24","133,691,930.73",,"164,399,485.00","164,827,818.29","167,372,755.49","75,250.93"
处置固定资产、无形资产和其他长期资产收回的现金净额,"124,230.77","55,903.84","252,344.02","34,188.04","200,098.19",,,"2,000.00","1,961.54",,"11,319.76","11,319.76","19,611.66",,,,"8,547.01",,,,"5,802.91",
筹资活动产生的现金流量净额,"-29,475,708.01","-26,662,917.65","-27,557,018.15","-29,425,038.33","-32,321,652.56","286,971,256.36","238,730,921.20","238,405,239.17","291,239,983.17",,"-82,397,744.92","-83,145,609.68","-74,055,844.92",,"-111,210,771.84","757,680,514.25","758,527,161.70",,"-164,399,485.00","-164,827,818.29","-167,372,755.49","4,924,749.07"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,"110,000,000.00","240,000,000.00",,,"365,000,000.00","570,000,000.00",,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"124,230.77","55,903.84","252,344.02","34,188.04","200,098.19",,"111,403,641.41","243,901,407.39","429,294,767.26","232,862,107.53","367,994,915.03","573,511,945.85","576,871,325.69","52,850,000.00","52,850,000.00","52,850,000.00","351,825,524.34","708,866,898.55","1,104,825,736.69","1,801,958,276.15","2,541,368,210.49","40,858,816.21"
五、现金及现金等价物净增加额,"-9,227,222.27","6,967,890.00","17,524,847.97","-4,728,289.46","4,073,902.92","9,646,008.09","-28,237,870.22","-23,809,481.64","20,895,492.80","21,503,135.63","69,021,927.77","155,115,188.24","79,587,884.18","31,217,259.74","-28,647,191.33","-23,834,203.63","19,036,182.68","-49,609,626.35","-5,677,159.86","70,487,936.42","201,890,234.67","70,945,560.68"
购建固定资产、无形资产和其他长期资产支付的现金,"18,153,329.24","24,529,264.55","21,756,610.09","7,546,526.84","15,643,766.68","2,448,991.31","6,302,091.33","10,116,730.92","15,175,117.39","1,571,454.73","7,430,198.69","11,725,491.09","16,374,956.14","8,366,567.92","12,891,317.08","16,237,502.10","30,344,551.31","7,320,796.03","22,647,603.89","32,347,315.24","29,559,105.15","6,260,139.20"
期初现金及现金等价物余额,"53,538,440.66","44,311,218.39","51,279,108.39","68,803,956.36","68,803,956.36","72,877,859.28","72,877,859.28","72,877,859.28","72,877,859.28","93,773,352.08","93,773,352.08","93,773,352.08","93,773,352.08","173,361,236.26","173,361,236.26","173,361,236.26","173,361,236.26","192,397,418.94","192,397,418.94","192,397,418.94","192,397,418.94","387,814,584.01"
投资支付的现金,,,,,,,,,"707,000,000.00","205,000,000.00",,"51,200,000.00","335,000,000.00",,,"836,000,000.00","1,166,000,000.00","696,000,000.00","976,900,000.00","1,662,900,000.00","2,388,900,000.00","10,000,000.00"
期末现金及现金等价物余额,"44,311,218.39","51,279,108.39","68,803,956.36","64,075,666.90","72,877,859.28","82,523,867.37","44,639,989.06","49,068,377.64","93,773,352.08","115,276,487.71","162,795,279.85","248,888,540.32","173,361,236.26","204,578,496.00","144,714,044.93","149,527,032.63","192,397,418.94","142,787,792.59","186,720,259.08","262,885,355.36","394,287,653.61","458,760,144.69"
