科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"1,566,249,772.73","1,928,122,390.88","2,445,546,336.93","1,334,990,293.34","2,175,849,946.95","3,008,880,739.79","884,519,128.29","1,888,373,981.25","3,111,359,440.78","4,209,960,133.67","1,123,601,504.99","2,290,965,398.30","3,685,357,715.68","5,124,833,589.70","1,458,703,803.83"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,
收到的税费返还,"48,678,662.94","34,219,519.19","24,565,833.80","23,481,138.28","28,631,212.06","29,656,455.12","5,785,675.06","19,795,031.09","31,774,744.29","39,952,545.23","11,465,698.73","23,415,097.32","34,733,337.63","47,453,368.08","27,163,128.83"
支付其他与投资活动有关的现金,"55,600,000.00","308,100,000.00","212,500,000.00","50,500,000.00","50,500,000.00","70,500,000.00",,"575,000,000.00","963,900,000.00","948,000,000.00",,"110,000,000.00","992,000,000.00","2,212,000,000.00","1,750,000,000.00"
收到其他与经营活动有关的现金,"8,242,974.64","8,421,465.25","14,737,179.91","10,229,106.93","19,432,233.44","30,680,707.64","7,799,610.54","19,941,930.23","53,057,100.90","59,511,485.97","11,727,314.47","40,762,455.09","59,720,904.42","79,160,698.28","22,632,031.79"
投资活动现金流出小计,"328,368,424.90","635,684,328.25","475,821,643.36","169,356,577.36","232,680,697.52","410,499,041.92","165,366,163.69","743,913,050.01","1,274,678,241.52","1,537,411,083.90","130,395,247.25","361,713,773.38","1,410,056,698.90","2,821,172,726.62","1,941,936,340.00"
经营活动现金流入小计,"1,623,171,410.31","1,970,763,375.32","2,484,849,350.64","1,368,700,538.55","2,223,913,392.45","3,069,217,902.55","898,104,413.89","1,928,110,942.57","3,196,191,285.97","4,309,424,164.87","1,146,794,518.19","2,355,142,950.71","3,779,811,957.73","5,251,447,656.06","1,508,498,964.45"
投资活动产生的现金流量净额,"-278,709,766.93","-279,617,721.38","-265,699,185.54","-99,010,194.64","-152,110,504.66","-313,869,486.75","-161,357,254.31","-508,227,520.95","-306,074,962.55","-581,054,649.37","-125,561,976.05","-354,805,692.40","-1,210,325,332.49","-1,388,044,799.62","-285,746,977.94"
购买商品、接受劳务支付的现金,"926,326,725.73","1,003,524,936.25","1,213,641,829.11","734,144,758.83","1,237,766,493.65","1,598,174,960.91","425,745,260.54","1,100,307,102.64","1,933,317,648.20","2,475,178,983.83","609,271,984.47","1,407,335,982.64","2,226,369,273.01","3,162,482,281.99","802,771,725.10"
吸收投资收到的现金,,,,,,"1,064,101,120.00",,,,,,,,"85,680,200.00",
