科目,2012年度,2013年度,2014年度,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"171,717,797.01","168,674,340.22","203,430,186.51","96,599,793.61","151,103,515.09","254,630,429.24","42,796,318.32","85,194,237.89","144,542,487.06","318,785,187.74","48,357,213.30","178,400,113.20","286,794,962.87","518,923,829.80"
取得子公司及其他营业单位支付的现金净额,,,,,,"6,143,681.45",,,,,,,,"213,626,281.88"
收到的税费返还,,,,,,"11,817,492.33",,,,"13,668,949.33","559,748.98","8,470,530.38","14,835,181.38","16,249,029.72"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"3,930,108.35","2,959,463.02","4,906,210.82","3,232,497.65","5,197,193.46","3,917,301.88","2,982,427.99","3,988,184.14","8,567,533.22","4,954,809.49","708,517.44","2,908,019.65","10,174,959.06","7,813,362.18"
投资活动现金流出小计,"22,076,375.82","5,771,613.38","11,652,186.95","3,577,311.93","10,712,810.85","79,441,561.03","14,189,940.50","49,629,866.44","158,757,206.40","161,668,182.38","7,644,790.15","15,543,618.56","20,700,116.29","267,598,796.70"
经营活动现金流入小计,"175,647,905.36","171,633,803.24","208,336,397.33","99,832,291.26","156,300,708.55","270,365,223.45","45,778,746.31","89,182,422.03","153,110,020.28","337,408,946.56","49,625,479.72","189,778,663.23","311,805,103.31","542,986,221.70"
投资活动产生的现金流量净额,"-22,065,105.82","-5,771,613.38","-11,650,186.95","-3,577,311.93","-10,709,869.10","-74,407,057.64","-14,189,940.50","-27,342,918.50","-136,460,258.46","-135,048,453.39","-7,644,790.15","32,190,099.56","27,033,601.83","-244,250,499.17"
购买商品、接受劳务支付的现金,"69,321,594.32","62,557,680.19","77,068,544.61","47,485,222.53","78,631,404.84","134,552,488.02","29,322,486.53","62,675,115.16","106,516,890.77","153,110,001.49","73,567,337.01","126,831,544.98","204,237,665.44","277,889,919.28"
吸收投资收到的现金,,,,"223,427,500.00","223,427,500.00","223,427,500.00",,,,"30,206,844.00",,,,"261,359,986.10"
支付给职工以及为职工支付的现金,"25,071,853.55","27,800,419.95","36,093,179.32","18,845,300.64","28,883,214.78","37,052,346.99","21,106,727.26","37,436,498.50","48,531,468.44","70,022,011.18","29,484,431.98","53,108,229.81","65,842,264.89","98,831,395.10"
取得借款收到的现金,"49,000,000.00","31,000,000.00",,,,,,,"43,481,127.98","133,481,127.98",,"20,000,000.00","20,000,000.00","60,000,000.00"
