科目,2013年度,2014年度,2015年度,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"257,047,476.64","304,937,172.24","376,703,587.25","307,967,913.69","486,119,695.47","78,702,272.85","199,221,896.67","316,917,881.66","538,676,828.78","90,668,358.25","154,064,118.29"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,
收到的税费返还,"657,379.52","1,177,314.31","451,605.20","169,126.11","1,832,217.48","63,855.98","63,855.98","2,682,557.61","2,704,485.61","4,625,958.16","4,625,958.16"
支付其他与投资活动有关的现金,,,,"5,000,000.00","5,000,000.00",,"10,000,000.00","10,000,000.00","10,000,000.00",,
收到其他与经营活动有关的现金,"6,981,472.26","2,207,199.07","2,590,116.51","2,793,689.67","4,692,581.32","339,330.00","2,332,721.31","3,277,634.16","4,581,873.34","4,211,881.26","19,603,563.65"
投资活动现金流出小计,"829,304.38","2,396,570.34","1,982,465.05","5,944,268.01","7,648,219.23","469,089.63","11,088,568.18","12,459,097.10","13,563,722.93","668,880.47","2,311,084.77"
经营活动现金流入小计,"264,686,328.42","308,321,685.62","379,745,308.96","310,930,729.47","492,644,494.27","79,105,458.83","201,618,473.96","322,878,073.43","545,963,187.73","99,506,197.67","178,293,640.10"
投资活动产生的现金流量净额,"832,684.31","-2,396,195.34","-1,981,475.05","-923,143.97","-2,626,825.19","-468,889.63","-11,088,228.18","-2,422,830.96","-3,527,456.79","-668,880.47","-2,311,084.77"
购买商品、接受劳务支付的现金,"200,537,437.96","243,030,567.30","274,679,849.26","242,381,986.38","364,973,794.35","77,219,760.16","239,272,748.05","356,808,116.52","468,607,465.86","116,190,940.58","201,148,157.19"
吸收投资收到的现金,,,"150,000.00",,"101,300,000.00",,,,,,
支付给职工以及为职工支付的现金,"35,550,429.71","42,340,400.81","47,346,120.38","40,962,783.91","52,723,189.01","17,809,723.07","33,915,135.41","50,433,447.16","69,659,377.38","30,345,750.00","52,424,392.55"
取得借款收到的现金,"23,000,000.00","20,000,000.00","54,000,000.00","26,000,000.00","26,000,000.00",,"30,000,000.00","42,000,000.00","62,000,000.00","26,000,000.00","106,000,000.00"
支付的各项税费,"14,608,830.38","9,667,612.66","17,600,740.35","15,377,220.00","19,662,532.41","9,588,785.85","11,343,464.18","16,098,506.40","34,439,868.15","17,414,447.25","24,945,232.62"
收到其他与筹资活动有关的现金,,,,,,,"8,671,880.50","15,561,057.61",,"5,037,181.97",
支付其他与经营活动有关的现金,"9,874,569.84","15,253,211.40","17,176,121.14","21,918,332.85","23,867,694.99","6,021,944.97","25,714,362.97","32,859,921.12","52,628,229.31","6,426,863.56","31,549,221.68"
筹资活动现金流入小计,"23,000,000.00","20,000,000.00","54,150,000.00","26,000,000.00","127,300,000.00",,"38,671,880.50","57,561,057.61","62,000,000.00","31,037,181.97","106,000,000.00"
经营活动现金流出小计,"260,571,267.89","310,291,792.17","356,802,831.13","320,640,323.14","461,227,210.76","110,640,214.05","310,245,710.61","456,199,991.20","625,334,940.70","170,378,001.39","310,067,004.04"
偿还债务支付的现金,"19,000,000.00","29,000,000.00","40,000,000.00","24,000,000.00","24,000,000.00","26,000,000.00","26,000,000.00","26,000,000.00","26,000,000.00",,"30,000,000.00"
经营活动产生的现金流量净额,"4,115,060.53","-1,970,106.55","22,942,477.83","-9,709,593.67","31,417,283.51","-31,534,755.22","-108,627,236.65","-133,321,917.77","-79,371,752.97","-70,871,803.72","-131,773,363.94"
分配股利、利润或偿还利息支付的现金,"9,170,050.73","1,850,593.33","6,266,136.64","1,276,112.07","1,608,845.98","106,478.34","3,885,128.34","4,509,723.34","5,252,417.51","822,225.00","13,836,377.08"
收回投资收到的现金,"1,661,798.69",,,,,,,,,,
支付其他与筹资活动有关的现金,"2,033,619.52","3,423,205.00","3,495,647.25","6,034,966.04","8,438,074.14","3,939,025.58","3,472,415.00","4,622,415.00","37,187,857.98",,"12,260,265.75"
取得投资收益收到的现金,,,,,,,,,,,
筹资活动现金流出小计,"30,203,670.25","34,273,798.33","49,761,783.89","31,311,078.11","34,046,920.12","30,045,503.92","33,357,543.34","35,132,138.34","68,440,275.49","822,225.00","56,096,642.83"
处置固定资产、无形资产和其他长期资产收回的现金净额,190.00,375.00,990.00,335.00,605.00,200.00,340.00,"32,594.90","32,594.90",,
筹资活动产生的现金流量净额,"-7,203,670.25","-14,273,798.33","4,388,216.11","-5,311,078.11","93,253,079.88","-30,045,503.92","5,314,337.16","22,428,919.27","-6,440,275.49","30,214,956.97","49,903,357.17"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,"5,020,789.04","5,020,789.04",,,"10,003,671.24","10,003,671.24",,
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,"1,661,988.69",375.00,990.00,"5,021,124.04","5,021,394.04",200.00,340.00,"10,036,266.14","10,036,266.14",,
五、现金及现金等价物净增加额,"-2,255,925.41","-18,640,100.22","25,349,218.89","-15,943,815.75","122,043,538.20","-62,049,148.77","-114,401,127.67","-113,315,829.46","-89,339,485.25","-41,325,727.22","-84,181,091.54"
购建固定资产、无形资产和其他长期资产支付的现金,"829,304.38","2,396,570.34","1,982,465.05","944,268.01","2,648,219.23","469,089.63","1,088,568.18","2,459,097.10","3,563,722.93","668,880.47","2,311,084.77"
期初现金及现金等价物余额,"61,044,189.33","58,788,263.92","40,148,163.70","65,497,382.59","65,497,382.59","187,540,920.79","187,540,920.79","187,540,920.79","187,540,920.79","98,201,435.54","98,201,435.54"
投资支付的现金,,,,,,,,,,,
期末现金及现金等价物余额,"58,788,263.92","40,148,163.70","65,497,382.59","49,553,566.84","187,540,920.79","125,491,772.02","73,139,793.12","74,225,091.33","98,201,435.54","56,875,708.32","14,020,344.00"
