科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"412,334,382.30","591,561,144.17","435,040,423.96","877,288,286.43","325,512,637.86","545,296,024.82","811,224,017.72","130,775,610.14","302,890,996.39","746,187,510.76","877,700,467.34","120,135,782.58","435,749,651.19","757,978,615.39","766,329,821.09","179,748,677.56","640,836,769.34","704,228,000.74","1,157,948,644.52","134,910,305.27","368,678,408.06","684,432,297.89","898,902,688.74","177,295,796.59","393,075,824.42","619,603,605.04","961,389,172.96","182,899,153.43","366,185,972.74","833,834,582.61","1,199,133,558.16","198,066,636.51","478,684,402.37","698,430,133.76"
取得子公司及其他营业单位支付的现金净额,"16,500,000.00",,,,,,,,,,,,,,,,,,,,,,,,,"-876,547.92","20,035,084.56",,"-98,935.68","-98,935.68",,,,
收到的税费返还,"2,285,417.12","4,154,694.68","3,286,672.43","3,534,979.57",,,"1,660,820.96",,"463,409.66","463,409.66","463,409.66",,,,"494,900.00",,"1,073,858.84","1,073,858.84",,,,,,,,,,,,"186,577.16","168,007.50",,,
支付其他与投资活动有关的现金,,"6,820,000.00","9,820,000.00","25,292,500.00",,,"3,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"1,221,288.81","11,507,489.64","34,174,573.25","5,690,072.37","4,135,752.44","18,386,198.78","16,304,774.35","17,319,181.17","4,452,495.04","10,531,871.22","23,428,808.19","12,956,179.95","17,524,788.65","37,951,219.10","37,347,342.34","9,734,882.91","11,442,190.80","94,408,142.93","22,756,425.42","80,893,835.76","15,126,119.27","172,727,592.67","20,491,685.73","115,301,671.56","15,477,175.44","131,586,172.89","17,087,977.15","29,183,213.58","14,800,050.50","95,611,259.62","72,450,322.94","25,835,495.88","30,667,324.74","60,304,620.22"
投资活动现金流出小计,"52,846,008.35","50,267,122.54","27,095,286.75","119,110,850.89","6,854,099.59","4,839,927.63","49,016,913.51","4,633,030.54","9,678,222.35","42,614,906.58","66,249,156.40","22,078,572.50","78,459,317.66","88,393,191.68","118,124,294.12","60,931,959.99","139,514,948.14","174,560,842.85","225,991,481.09","303,511,572.15","318,075,396.77","523,636,275.64","707,006,517.20","329,983,637.75","354,240,180.75","424,878,007.26","1,074,349,400.63","519,820,667.24","850,955,117.07","1,018,676,659.04","1,278,106,813.12","349,324,770.00","627,540,220.14","996,569,505.53"
经营活动现金流入小计,"415,841,088.23","607,223,328.49","472,501,669.64","886,513,338.37","329,648,390.30","563,682,223.60","829,189,613.03","148,094,791.31","307,806,901.09","757,182,791.64","901,592,685.19","133,091,962.53","453,274,439.84","795,929,834.49","804,172,063.43","189,483,560.47","653,352,818.98","799,710,002.51","1,180,705,069.94","215,804,141.03","383,804,527.33","857,159,890.56","919,394,374.47","292,597,468.15","408,552,999.86","751,189,777.93","979,881,701.11","212,082,367.01","380,986,023.24","929,632,419.39","1,296,816,512.81","233,715,932.12","523,509,844.54","776,749,821.90"
投资活动产生的现金流量净额,"-28,529,780.53","-26,940,731.24","-18,734,088.60","-107,723,131.67","9,590,628.49","8,188,644.14","-29,435,752.20","-4,633,030.54","-9,657,195.11","-42,335,879.34","-65,979,602.65","-22,017,572.50","-78,183,413.24","-87,962,287.24","-117,805,179.20","-60,931,959.99","-139,502,507.46","-174,542,246.97","-225,812,885.21","-293,656,015.53","-225,272,326.39","-507,564,815.67","-525,624,147.06","-13,774,411.10","78,873,371.92","58,586,833.08","-63,420,826.51","-153,358,821.46","-141,015,031.12","-252,319,799.79","-192,555,194.91","103,571,455.50","59,745,002.27","21,451,482.15"
购买商品、接受劳务支付的现金,"284,290,649.80","493,739,985.49","387,661,813.87","672,381,058.73","344,934,471.02","494,008,578.84","606,637,677.74","234,768,714.16","411,913,309.48","723,904,712.03","728,890,831.01","101,859,352.55","331,141,954.39","636,502,069.55","404,824,019.57","150,571,076.07","517,256,091.21","654,114,285.74","558,617,970.63","144,246,489.47","400,236,449.96","571,095,057.13","483,940,468.26","107,716,479.74","213,798,206.05","370,253,421.95","551,544,455.87","129,962,105.16","291,676,948.57","429,435,095.95","603,421,511.40","151,559,631.94","399,313,900.00","621,290,271.67"
吸收投资收到的现金,"25,122,199.00","47,670,000.00","68,800,000.00","68,850,000.00",,"856,750,000.00","856,750,000.00","5,000,000.00","5,000,000.00","5,000,000.00","4,902,000.00",,,,,,,,,,,,,"4,430,000.00","4,930,000.00","9,900,000.00","10,390,000.00","4,500,000.00","4,500,000.00","4,500,000.00","4,500,000.00",,,
支付给职工以及为职工支付的现金,"31,362,959.62","38,009,870.97","22,691,265.47","60,088,871.57","28,765,166.50","45,245,275.78","69,957,081.37","12,842,700.89","36,119,094.13","57,787,181.44","85,840,354.41","16,343,783.06","37,965,541.29","59,736,547.36","78,924,068.82","15,991,743.68","59,110,176.81","88,042,132.26","132,425,359.42","16,096,477.58","45,558,973.93","73,089,685.56","99,993,218.95","14,399,573.77","36,224,746.54","61,883,632.19","96,888,587.84","24,653,844.55","51,574,605.74","76,624,147.02","107,842,610.40","24,064,269.53","55,559,568.86","87,149,172.40"
