科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"121,023,496.59","197,711,410.31","273,295,452.89","181,540,262.36","341,931,081.76","444,756,661.95","55,899,969.60","211,943,709.74","387,976,059.28","504,532,175.14","70,873,420.76","239,641,352.29","448,844,863.14","586,157,062.80","87,778,558.15","263,261,511.91","493,049,084.73","678,715,861.77","136,182,814.12","390,702,285.32","717,090,481.13","935,119,130.20","215,087,091.66","573,096,827.35","1,186,851,491.97","1,694,513,980.00","573,096,382.94","1,186,096,962.64","1,967,937,279.88","2,644,228,901.65","671,536,114.30","1,392,625,375.96","2,314,326,039.19","3,023,831,231.26","711,858,013.42","1,511,122,341.47","2,470,912,647.89","3,211,192,814.48","824,708,476.12"
二、营业利润,"56,115,899.52","90,517,546.63","116,549,545.41","93,471,094.84","189,854,104.03","228,618,049.14","19,120,353.84","121,538,211.12","235,824,202.53","280,687,584.04","27,833,239.85","129,003,413.01","249,560,140.81","300,445,018.89","35,956,327.55","150,816,685.57","301,677,620.67","380,890,521.86","61,844,534.19","215,052,465.18","406,287,843.06","471,988,594.84","104,179,760.51","343,809,597.75","700,576,376.53","827,826,642.08","251,537,866.58","546,991,808.28","972,767,541.89","1,148,168,794.91","297,582,664.50","635,916,233.27","1,138,550,377.42","1,346,232,047.29","373,531,574.09","796,578,667.55","1,385,137,890.20","1,603,261,258.86","459,334,233.49"
减:营业成本,"26,493,351.87","46,805,683.71","82,141,466.53","43,212,956.50","75,060,651.69","105,488,846.32","20,455,728.43","50,513,051.98","86,553,076.45","125,278,040.84","28,135,019.69","69,779,077.96","124,491,361.02","177,879,156.28","34,456,897.47","75,250,820.34","125,262,197.26","198,128,917.91","45,828,304.39","107,594,800.64","186,123,061.50","306,886,789.69","75,829,869.88","155,381,958.02","320,612,969.88","582,067,363.27","218,201,817.17","427,484,436.87","666,183,203.39","1,014,187,220.09","258,799,770.08","506,383,339.85","785,745,637.05","1,113,022,779.37","227,975,969.03","485,020,138.14","736,718,565.00","1,078,093,212.26","249,290,210.25"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"4,747,224.03","7,153,845.96","9,757,316.00","6,421,509.56","12,140,717.62","15,718,223.34","1,972,871.77","8,195,141.17","14,693,878.83","19,260,611.23","2,492,564.72","8,790,960.30","16,460,318.01","21,923,584.88","3,218,594.73","9,820,866.03","18,331,405.63","25,009,427.07","4,923,894.12","14,141,463.72","26,016,226.03","34,263,198.84","7,709,747.68","20,875,952.66","38,149,856.41","48,724,915.41","12,017,542.81","18,674,150.70","22,998,409.58","34,262,836.14","6,058,676.59","15,149,923.15","22,503,451.35","30,381,624.76","4,679,471.74","14,481,864.19","19,996,974.74","32,028,054.79","5,910,210.85"
营业外收入,"132,157.31","393,654.36","3,576,824.35","1,325,525.61","1,679,003.47","2,309,221.03","18,912,640.78","19,303,947.61","19,769,857.44","20,918,624.41","27,328,025.80","44,465,375.77","44,915,548.60","51,479,203.83","27,685,398.20","28,798,676.51","29,942,962.20","38,655,367.58","5,939,627.43","19,556,630.26","20,829,591.10","22,031,382.90","18,121,338.69","19,024,052.75","23,392,465.26","35,596,062.06","2,368,651.74","6,727,098.92","10,392,889.16","18,472,939.01","766,633.31","367,977.70","728,530.58","1,608,758.68","10,837,886.74","11,723,755.75","13,926,996.67","15,539,954.51","348,716.76"
销售费用,"14,812,811.25","24,252,931.14","22,067,926.09","9,103,438.17","21,058,667.08","30,368,526.43","4,304,831.04","17,062,895.61","28,409,497.92","41,864,607.77","4,972,984.30","13,588,228.39","27,887,652.66","37,941,258.98","3,727,688.38","10,523,982.55","17,309,163.93","23,602,001.19","5,639,463.83","14,437,942.57","36,828,432.02","36,585,795.13","8,720,297.62","13,334,706.44","51,339,565.35","106,520,269.88","55,260,624.52","115,565,298.36","188,775,241.51","276,605,414.42","75,093,376.16","148,532,019.68","237,599,948.91","325,298,838.81","73,223,875.44","141,047,373.18","208,626,366.58","287,539,187.32","63,504,567.65"
减:营业外支出,"920,071.59","576,578.88","2,642,749.42","92,791.21","204,493.86","12,943,823.50","121,694.75","1,566,302.55","1,572,734.12","4,194,529.84","370,983.14","3,307,941.66","3,615,306.69","10,724,941.41","25,335.00","271,395.06","748,192.66","1,083,445.02","1,311,752.90","1,401,959.17","1,608,549.98","2,606,799.54","88,163.58","235,345.31","12,706,835.02","38,296,752.52","4,761,344.79","5,090,631.28","5,304,508.33","6,855,213.35","1,940,313.23","4,067,985.54","15,684,370.08","50,455,986.03","818,468.75","13,085,386.49","20,397,527.86","76,342,284.48","1,131,983.94"
管理费用,"9,210,030.93","16,122,635.24","26,876,761.23","17,043,730.81","25,275,389.46","40,611,513.45","11,673,885.33","20,040,155.91","30,590,283.28","49,950,591.69","10,602,234.01","24,909,573.43","40,955,172.99","62,448,206.18","14,794,422.43","28,892,832.94","48,454,884.81","75,966,541.95","21,301,107.92","46,553,044.23","73,631,489.05","103,069,854.96","20,742,065.36","44,856,084.21","80,108,497.27","132,056,262.72","32,906,743.79","72,919,490.50","109,764,026.81","169,132,938.08","37,088,807.61","92,611,360.00","144,082,488.80","211,789,878.16","58,497,573.33","122,059,213.00","134,087,522.77","202,558,710.77","42,044,497.25"
其中:非流动资产处置净损失,"880,894.51","508,385.80","2,548,321.41","22,885.88","22,885.88","12,584,530.58",,"1,324,956.75","1,326,198.95","3,548,876.35","74,251.84","2,457,610.36","2,458,282.02","9,369,971.23","5,335.00","209,563.38","240,204.86","240,204.86","701,703.40","766,926.26","787,656.02","1,241,098.61","11,163.09","80,324.89","12,524,379.88","37,765,766.59","4,565,466.19","4,574,214.77","4,583,371.57","4,639,673.81","1,461,555.23","2,415,367.66","2,514,932.18",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"9,772,412.94","12,428,777.24","17,430,889.13","12,063,791.36","18,279,179.75","23,890,594.49","-1,621,693.85","-5,510,384.21","-8,810,880.19","-13,165,263.77","-3,242,186.46","-6,197,878.78","-10,178,527.93","-13,148,062.95","-4,275,400.16","-8,357,462.92","-11,840,232.26","-15,009,309.81","-2,876,841.69","-5,722,595.54","-8,827,307.43","-12,482,381.49","-3,157,939.01","-5,299,976.21","-3,379,950.15","1,195,018.87","5,086,096.75","5,831,077.99","9,115,751.45","13,425,509.83","2,333,265.20","7,148,390.89","8,524,614.17","11,550,922.31","-936,865.27","-9,119,793.05","-15,800,474.17","-1,086,632.03","-208,278.09"
三、利润总额,"55,327,985.24","90,334,622.11","117,483,620.34","94,703,829.24","191,328,613.64","217,983,446.67","37,911,299.87","139,275,856.18","254,021,325.85","297,411,678.61","54,790,282.51","170,160,847.12","290,860,382.72","341,199,281.31","63,616,390.75","179,343,967.02","330,872,390.21","418,462,444.42","66,472,408.72","233,207,136.27","425,508,884.18","491,413,178.20","122,212,935.62","362,598,305.19","711,262,006.77","825,125,951.62","249,145,173.53","548,628,275.92","977,855,922.72","1,159,786,520.57","296,408,984.58","632,216,225.43","1,123,594,537.92","1,297,384,819.94","383,550,992.08","795,217,036.81","1,378,667,359.01","1,542,458,928.89","458,550,966.31"
