科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"104,725,040.87","194,169,940.37","357,932,819.83","37,826,791.10","89,728,352.31","176,863,229.52","332,563,494.58","55,221,393.21","107,067,992.47","161,050,992.54","298,702,007.48","66,090,250.65","131,163,636.37","203,483,039.91","373,774,739.39","83,289,503.17","164,403,923.30","273,431,203.50","409,498,183.10","91,994,937.59","185,924,860.54","260,557,093.55","461,459,125.41","63,490,180.70","149,006,886.24","243,903,298.87"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,"-754,863.11",,,,,,"8,665,933.50","900,000.00","900,000.00","900,000.00",,,,
收到的税费返还,,,,,,,,,,"47,940.95",,,,,,,"2,760,807.61","2,810,307.61",,,,,,,,
支付其他与投资活动有关的现金,,,"7,467,040.00",,"208,000.00","208,000.00",,,,"226,240.01",,,,,,,,,,"91,173,496.72","91,173,496.72","91,173,496.72","91,173,496.72",,"33,233,235.35","53,233,235.35"
收到其他与经营活动有关的现金,"6,894,109.06","10,052,653.99","2,201,326.79","714,961.08","4,050,528.97","10,147,079.43","14,906,631.04","1,639,779.43","7,364,459.07","20,855,771.02","17,897,699.01","8,620,896.59","8,639,923.22","32,093,497.44","93,516,177.46","17,934,813.84","31,734,943.48","67,798,265.99","160,600,669.63","23,644,468.71","46,451,759.58","71,614,219.78","83,529,817.82","27,200,057.00","102,321,224.98","235,053,538.55"
投资活动现金流出小计,"1,477,478.97","5,041,614.59","31,564,487.51","1,831,899.21","3,185,381.76","5,231,849.50","10,441,260.45","3,322,853.41","8,618,490.96","13,832,942.10","17,518,013.02","2,972,803.09","3,249,220.42","64,012,594.04","8,732,426.35","12,024,569.42","16,877,843.31","37,411,411.52","42,915,276.09","98,964,405.18","102,497,249.28","110,542,647.66","149,884,053.22","7,139,033.12","47,287,877.83","149,916,320.31"
经营活动现金流入小计,"111,619,149.93","204,222,594.36","360,134,146.62","38,541,752.18","93,778,881.28","187,010,308.95","347,470,125.62","56,861,172.64","114,432,451.54","181,954,704.51","316,599,706.49","74,711,147.24","139,803,559.59","235,576,537.35","467,290,916.85","101,224,317.01","198,899,674.39","344,039,777.10","570,098,852.73","115,639,406.30","232,376,620.12","332,171,313.33","544,988,943.23","90,690,237.70","251,328,111.22","478,956,837.42"
投资活动产生的现金流量净额,"-1,477,478.97","-5,041,614.59","-31,564,487.51","-1,831,899.21","-3,185,381.76","-5,221,849.50","-10,431,260.45","-3,322,853.41","-8,618,490.96","-13,832,942.10","-17,518,013.02","-2,501,967.22","-3,115,686.17","-63,252,087.09","-7,565,302.94","-12,024,569.42","-16,872,757.01","-37,403,804.67","48,279,542.66","-98,961,844.83","-101,992,701.34","-110,038,099.72","-62,699,808.41","22,289,400.61","26,150,320.51","21,896,694.27"
购买商品、接受劳务支付的现金,"78,402,573.56","87,450,988.13","185,664,582.81","73,742,915.72","160,394,095.57","168,334,496.05","298,717,693.83","94,956,004.73","147,206,158.21","202,592,813.64","202,811,091.52","100,192,240.54","180,826,292.24","201,767,898.38","271,399,971.21","91,314,189.73","156,775,907.63","207,225,251.75","256,333,750.75","61,904,343.84","108,427,829.26","144,665,355.86","201,943,083.57","67,697,294.29","125,120,968.38","184,627,533.44"
吸收投资收到的现金,,"95,844,305.60",,,"512,092,000.00","512,092,000.00","512,092,000.00",,,,,"11,000,000.00","12,000,000.00","12,000,000.00","12,000,000.00",,,,,"50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00",,,
支付给职工以及为职工支付的现金,"9,285,477.07","30,983,110.74","66,926,448.83","25,556,785.69","47,847,904.14","72,233,844.10","99,507,422.31","34,623,577.73","63,453,423.24","88,563,399.07","115,777,543.78","37,895,578.93","69,397,377.33","103,581,341.42","143,019,328.39","49,908,438.73","87,352,472.35","113,439,653.71","147,029,790.98","39,873,250.36","70,189,599.71","97,741,858.09","131,463,810.90","31,336,060.30","51,953,850.69","71,950,311.84"
取得借款收到的现金,"52,550,000.00","94,557,657.07","208,279,200.00","40,000,000.00","130,000,000.00","188,500,000.00","238,500,000.00","30,000,000.00","116,800,000.00","188,300,000.00","288,299,950.00",,"118,500,000.00","193,500,000.00","252,100,000.00","60,000,000.00","145,000,000.00","211,000,000.00","289,050,000.00","129,500,000.00","209,500,000.00","219,750,000.00","259,750,000.00","48,413,655.00","83,413,655.00","108,413,655.00"
支付的各项税费,"5,386,619.20","15,651,369.26","31,931,882.65","13,622,411.98","22,578,325.56","26,644,136.80","32,012,418.44","10,622,851.17","16,462,082.48","19,287,022.79","22,823,027.25","3,574,078.21","6,124,828.77","9,619,877.59","17,973,381.44","6,463,886.31","16,821,698.79","20,493,345.35","24,675,810.63","5,527,704.53","19,984,808.79","23,242,022.94","27,532,679.01","7,445,696.89","23,129,558.59","25,918,492.20"
收到其他与筹资活动有关的现金,"1,415,581.57","2,040,372.00",,,,"19,838,924.80","16,274,277.29","24,891.51","2,693.87","36,384.39",,,"1,949,095.69","3,564,921.08","20,000,000.00","10,000,000.00","11,106,562.30","12,259,305.01","10,000,000.00",,,,"20,000,000.00",,,
支付其他与经营活动有关的现金,"29,682,339.17","41,957,680.00","52,562,008.96","29,536,564.91","49,837,614.86","144,827,943.46","63,881,137.15","37,551,264.46","67,103,800.62","89,924,624.53","85,758,362.24","40,299,609.39","76,510,620.20","84,030,114.70","157,379,923.12","67,027,652.05","75,546,895.02","89,686,367.40","258,828,642.67","52,981,165.10","66,823,956.21","118,030,348.37","197,131,182.84","50,827,371.49","91,381,148.18","163,496,724.59"
筹资活动现金流入小计,"53,965,581.57","192,442,334.67","208,279,200.00","40,000,000.00","642,092,000.00","780,430,924.80","826,866,277.29","30,024,891.51","116,802,693.87","188,336,384.39","288,299,950.00","11,000,000.00","132,449,095.69","209,064,921.08","284,100,000.00","70,000,000.00","156,106,562.30","223,259,305.01","299,050,000.00","179,500,000.00","259,500,000.00","269,750,000.00","329,750,000.00","48,413,655.00","83,413,655.00","108,413,655.00"
经营活动现金流出小计,"122,757,009.00","176,043,148.13","337,084,923.25","142,458,678.30","280,657,940.13","412,040,420.41","494,118,671.73","177,753,698.09","294,225,464.55","400,367,860.03","427,170,024.79","181,961,507.07","332,859,118.54","398,999,232.09","589,772,604.16","214,714,166.82","336,496,973.79","430,844,618.21","686,867,995.03","160,286,463.83","265,426,193.97","383,679,585.26","558,070,756.32","157,306,422.97","291,585,525.84","445,993,062.07"
偿还债务支付的现金,"16,750,000.00","97,057,657.07","125,800,000.00","26,379,200.00","70,779,200.00","142,779,200.00","255,779,200.00",,"40,000,000.00","58,500,000.00","168,500,000.00","10,324,000.00","73,300,000.00","168,299,950.00","281,799,950.00","10,000,000.00","110,000,000.00","230,030,000.00","258,600,000.00","96,000,000.00","171,000,000.00","181,000,000.00","289,604,029.00","90,300,059.00","171,111,619.00","260,348,501.00"
经营活动产生的现金流量净额,"-11,137,859.07","28,179,446.23","23,049,223.37","-103,916,926.12","-186,879,058.85","-225,030,111.46","-146,648,546.11","-120,892,525.45","-179,793,013.01","-218,413,155.52","-110,570,318.30","-107,250,359.83","-193,055,558.95","-163,422,694.74","-122,481,687.31","-113,489,849.81","-137,597,299.40","-86,804,841.11","-116,769,142.30","-44,647,057.53","-33,049,573.85","-51,508,271.93","-13,081,813.09","-66,616,185.27","-40,257,414.62","32,963,775.35"
分配股利、利润或偿还利息支付的现金,"582,697.99","2,374,042.42","6,254,538.03","395,122.22","4,894,748.92","8,328,737.08","12,232,655.81","2,013,126.82","4,745,997.86","26,755,632.24","31,866,458.46","3,234,482.05","7,789,054.99","15,886,631.28","19,970,852.93","4,064,940.00","9,127,940.16","21,643,743.16","24,018,776.33","5,377,569.85","14,552,066.29","19,955,854.00","23,371,633.52","4,427,058.80","7,069,609.90","10,682,968.87"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,"500,000.00",,"1,400,000.00","29,180,000.00","39,860,000.00","39,860,000.00"
支付其他与筹资活动有关的现金,"18,452,199.96","53,526,683.74","21,536,465.16","7,168,323.76","13,130,687.65","15,171,256.20","15,588,792.91","510,000.00","522,500.00","522,686.00","2,705,350.53",,"1,949,438.76","3,565,264.15","56,565,360.12","76,148.39","770,580.69","2,259,305.01","6,389,100.27","400,000.00","400,000.00","400,000.00","1,755,165.91","14,952,862.47",,
取得投资收益收到的现金,,,,,,,,,,,,"131,210.87","133,534.25","5,643.84","8,136.99",,"4,986.30","7,506.85","10,000.00","2,493.15","4,547.94",,"55,797.31","248,433.73","344,962.99","344,962.99"
筹资活动现金流出小计,"35,784,897.95","152,958,383.23","153,591,003.19","33,942,645.98","88,804,636.57","166,279,193.28","283,600,648.72","2,523,126.82","45,268,497.86","85,778,318.24","203,071,808.99","13,558,482.05","83,038,493.75","187,751,845.43","358,336,163.05","14,141,088.39","119,898,520.85","253,933,048.17","289,007,876.60","101,777,569.85","185,952,066.29","201,355,854.00","314,730,828.43","109,679,980.27","178,181,228.90","271,031,469.87"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,"10,000.00","10,000.00",,,,,,,,"25,400.00",,100.00,100.00,"10,500.00",,,,,,,"26,416.24"
筹资活动产生的现金流量净额,"18,180,683.62","39,483,951.44","54,688,196.81","6,057,354.02","553,287,363.43","614,151,731.52","543,265,628.57","27,501,764.69","71,534,196.01","102,558,066.15","85,228,141.01","-2,558,482.05","49,410,601.94","21,313,075.65","-74,236,163.05","55,858,911.61","36,208,041.45","-30,673,743.16","10,042,123.40","77,722,430.15","73,547,933.71","68,394,146.00","15,019,171.57","-61,266,325.27","-94,767,573.90","-162,617,814.87"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,"85,728,447.50",,,"74,348,400.00"
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,5.79,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,"339,625.00",,"754,863.11","1,133,586.42",,,,"91,174,318.75",67.20,,"504,547.94",,,"33,233,235.35","57,233,235.35"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,,,,"10,000.00","10,000.00",,,,,"470,835.87","133,534.25","760,506.95","1,167,123.41",,"5,086.30","7,606.85","91,194,818.75","2,560.35","504,547.94","504,547.94","87,184,244.81","29,428,433.73","73,438,198.34","171,813,014.58"
五、现金及现金等价物净增加额,"5,565,345.58","62,621,783.08","46,172,932.67","-99,691,471.31","363,222,922.82","383,899,770.56","386,185,822.01","-96,713,614.17","-116,877,307.96","-129,688,031.47","-42,860,190.31","-112,310,809.10","-146,760,643.18","-205,361,706.18","-204,283,153.30","-69,655,501.83","-118,262,014.96","-154,882,388.94","-58,447,476.24","-65,886,472.21","-61,494,341.48","-93,152,225.65","-60,762,449.93","-105,593,109.93","-108,874,668.01","-107,757,345.25"
购建固定资产、无形资产和其他长期资产支付的现金,"1,477,478.97","5,041,614.59","19,097,447.51","1,831,899.21","2,977,381.76","5,023,849.50","10,441,260.45","3,322,853.41","8,618,490.96","13,606,702.09","17,518,013.02","2,472,803.09","4,004,083.53","7,841,317.35","7,932,426.35","3,358,635.92","4,711,909.81","18,245,478.02","23,749,342.59","6,890,908.46","10,123,752.56","15,169,150.94","18,340,556.50","2,139,033.12","9,054,642.48","15,794,684.96"
期初现金及现金等价物余额,"6,541,522.55","12,106,868.13","74,728,651.21","120,901,583.88","120,901,583.88","120,901,583.88","120,901,583.88","507,087,405.89","507,087,405.89","507,087,405.89","507,087,405.89","464,227,215.58","464,227,215.58","464,227,215.58","464,227,215.58","260,036,192.28","259,944,062.28","259,944,062.28","259,944,062.28","201,496,586.04","201,549,537.69","201,549,470.49","201,496,586.04","140,734,136.11","140,734,136.11","140,787,197.65"
投资支付的现金,,,"5,000,000.00",,,,,,,,,"500,000.00",,"56,171,276.69","800,000.00","8,665,933.50","12,165,933.50","19,165,933.50","10,500,000.00",,"300,000.00","3,300,000.00","40,370,000.00","5,000,000.00","5,000,000.00","80,888,400.00"
期末现金及现金等价物余额,"12,106,868.13","74,728,651.21","120,901,583.88","21,210,112.57","484,124,506.70","504,801,354.44","507,087,405.89","410,373,791.72","390,210,097.93","377,399,374.42","464,227,215.58","351,916,406.48","317,466,572.40","258,865,509.40","259,944,062.28","190,380,690.45","141,682,047.32","105,061,673.34","201,496,586.04","135,610,113.83","140,055,196.21","108,397,244.84","140,734,136.11","35,141,026.18","31,859,468.10","33,029,852.40"
