科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"301,305,668.42","390,793,578.12","458,893,487.69","73,254,997.15","177,973,820.51","338,113,273.41","521,676,656.99","117,967,653.42","347,559,959.67","505,620,623.63","1,022,822,674.03","228,140,415.03","515,098,285.71","663,213,641.39","1,098,367,226.38","182,304,970.88","613,353,633.41","805,873,167.00","1,327,554,356.58","217,359,156.88","652,092,351.43","848,951,879.29","1,380,123,898.84","210,855,918.82","551,253,292.43","734,426,375.60"
二、营业利润,"21,889,533.68","40,013,310.82","49,421,605.64","4,180,662.10","23,419,091.61","24,189,099.65","52,084,546.63","1,570,054.94","18,993,095.10","18,584,217.82","28,501,691.83","4,408,942.38","27,820,904.54","33,782,811.65","57,300,977.29","12,521,406.36","85,161,754.69","105,026,025.38","155,481,966.65","20,646,134.32","93,677,285.69","120,566,419.42","198,372,807.72","33,632,673.97","92,968,715.54","120,561,701.39"
减:营业成本,"226,603,395.16","285,035,071.60","293,000,939.95","28,973,241.67","73,746,177.89","190,897,515.45","288,296,990.59","61,705,295.78","214,274,020.52","319,703,494.60","755,401,977.94","164,631,347.31","374,795,920.07","469,584,624.74","831,234,411.64","124,423,897.91","436,624,022.79","556,032,914.01","944,807,205.82","139,674,199.73","450,486,188.46","580,436,316.72","1,000,287,625.19","131,423,905.35","359,232,646.80","466,092,482.49"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,201,500.26","1,890,430.78","5,289,874.42","1,418,522.13","3,319,713.10","3,273,701.24","4,102,369.29","590,724.39","1,350,529.34","1,214,616.00","3,116,003.19","278,515.12","1,493,997.47","2,251,368.20","3,305,056.89","1,093,661.58","2,569,319.99","3,024,714.82","7,952,827.12","188,055.17","1,135,949.83","1,828,881.16","5,750,757.90","540,099.71","1,416,836.45","2,478,431.54"
营业外收入,"8,158,020.27","9,086,663.47","14,739,552.25","2,103,813.31","2,744,162.57","15,172,618.06","17,044,401.75","4,218,560.11","9,777,554.16","18,654,825.65","35,814,571.23","1,613,835.92","7,019,529.01","11,518,237.52","27,611,158.54","6,971,567.24","9,589,414.41","19,239,835.44","22,576,802.11","9,534,421.78","12,491,057.64","19,800,241.30","29,297,948.10","4,399,224.83","6,549,097.39","10,156,255.62"
销售费用,"7,662,114.04","8,789,631.91","13,668,998.84","7,034,517.95","14,370,803.31","25,206,424.96","39,538,464.65","10,645,430.65","19,231,715.89","29,971,941.66","40,383,429.56","6,639,119.43","12,205,454.35","17,951,532.40","24,619,642.82","3,771,718.75","10,313,677.40","16,871,510.94","37,180,153.03","8,129,058.02","17,314,241.69","24,619,687.76","39,987,822.40","8,017,926.72","15,866,759.89","26,767,681.68"
减:营业外支出,,,"64,386.26",,,,,"27,550.00","155,064.58","155,064.58","223,947.90","236,563.40","304,326.02","304,438.10","331,053.03","12,724.70","96,655.88","102,869.46","215,432.05","1,009,605.40","1,505,551.34","1,514,907.07","29,441,109.88","4,318.75","108,018.79","504,532.21"
管理费用,"41,114,969.37","54,610,321.85","91,708,611.56","30,999,227.54","61,948,968.33","91,452,843.47","137,328,900.26","41,156,114.12","85,848,826.40","124,533,913.26","180,114,157.44","48,118,984.52","88,546,545.35","123,311,920.74","169,933,498.61","39,173,448.40","77,734,489.92","119,165,081.80","175,518,437.79","47,488,665.68","96,319,223.04","139,614,178.56","190,494,171.83","49,504,607.88","105,694,164.04","160,920,197.91"
其中:非流动资产处置净损失,,,"35,574.10",,,,,,"127,514.58","127,514.58","162,619.40","236,563.40","298,949.95","298,949.95","318,265.88","4,324.70","73,355.88","73,355.88","137,143.03",,"5,045.94","5,045.94","26,833,870.52",,,"394,713.42"
