科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"1,113,494,212.60","907,798,224.54","1,285,900,627.94","778,291,157.10","1,523,116,360.42","282,970,027.80","616,193,545.63","926,010,607.29","1,344,967,681.05","293,581,430.73","672,969,538.13","1,073,532,406.53","1,476,669,776.41","280,031,501.95","634,887,076.84","1,008,722,450.16","1,379,652,399.47","327,999,281.14","758,709,260.77","1,204,975,164.62","1,450,997,683.12","349,134,713.81","723,931,841.31","1,293,639,904.37","1,891,982,606.89","535,627,889.39","1,209,529,282.76","2,127,020,086.05","2,609,151,369.61","556,216,730.49"
二、营业利润,"30,966,432.96","42,510,091.79","67,588,010.12","37,768,980.13","66,675,439.78","12,152,160.94","24,960,628.45","31,325,496.50","44,918,740.79","10,295,573.39","24,678,051.23","36,270,270.66","41,914,141.06","8,774,561.40","20,559,549.94","30,461,824.30","41,563,327.06","9,127,648.91","45,768,111.07","79,977,856.22","86,793,627.63","23,628,421.91","69,115,590.86","139,646,716.14","182,002,408.67","60,506,645.08","103,158,555.30","115,187,371.92","162,992,476.43","48,799,132.62"
减:营业成本,"1,040,954,091.03","811,251,424.56","1,140,769,139.80","697,283,725.07","1,376,163,454.06","253,271,528.40","560,558,195.83","845,078,531.87","1,225,421,472.58","265,448,221.04","615,074,733.69","982,912,435.46","1,352,224,665.27","255,580,204.09","576,796,312.18","913,067,207.30","1,245,325,603.57","298,898,390.42","662,715,300.71","1,037,113,290.71","1,203,465,144.41","312,196,797.29","619,183,188.92","1,085,027,004.24","1,577,917,832.45","419,422,734.24","990,512,756.04","1,831,507,981.06","2,175,214,004.35","457,837,626.35"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,055,798.08","978,750.24","3,297,314.78","973,713.30","2,217,255.73","52,406.56","372,226.95","630,176.81","1,429,336.57","260,109.80","990,976.47","990,976.47","1,254,617.57","243,313.98","664,662.03","732,384.23","904,094.58","864,712.83","1,802,514.88","2,418,174.10","2,982,937.90","452,438.77","537,632.53","720,970.07","5,014,780.72","955,714.68","2,220,490.13","3,799,836.23","10,887,263.34","989,344.45"
营业外收入,"88,000.00","1,590,000.00","225,606.69","1,550,000.00","1,550,000.00","563,700.00","3,193,700.00","3,218,700.00","3,218,700.00","30,000.00","150,000.00","203,000.00","242,458.40","550,000.00","550,000.00","763,062.86","921,062.86","30,000.00","360,300.00","430,787.00","1,009,451.00","96,204.21","455,343.69","1,669,443.79","2,566,645.31","3,444,188.35","3,764,523.99","3,791,320.85","164,943.05","2,279,050.11"
销售费用,"5,669,520.80","8,620,340.14","14,067,662.91","6,376,559.56","13,034,718.16","2,978,598.96","5,664,036.42","9,957,782.55","16,252,087.60","1,142,147.25","3,113,048.34","6,602,706.15","12,162,841.93","1,531,964.99","4,874,263.51","9,080,895.41","15,342,170.70","2,972,653.12","10,381,180.32","25,648,403.15","30,647,586.51","9,485,371.38","12,197,263.84","18,337,553.36","29,861,573.65","11,982,173.50","26,970,319.35","43,355,287.92","58,189,991.34","10,181,862.14"
减:营业外支出,"133,440.00","49,494.77","101,047.38","65,210.00","65,210.00",193.39,"62,193.39","62,193.39","98,613.52",,"88,960.12","88,960.12","88,960.12",983.24,"64,983.24","65,014.82","65,014.82","129,992.34","977,031.96","1,066,922.95","1,636,667.41",190.67,"1,121,676.41",190.66,"2,009,546.79",139.49,"799,683.91","1,180,094.88","377,578.67","7,329.30"
管理费用,"28,335,446.25","38,689,147.68","55,021,801.23","34,134,969.95","64,081,233.01","14,416,797.56","24,923,315.45","38,521,163.69","55,862,633.99","14,440,190.80","26,742,374.86","43,295,338.27","64,327,199.26","11,323,846.12","26,889,355.95","47,011,893.26","64,390,054.82","14,297,214.40","30,190,523.30","42,242,464.55","60,371,382.07","11,343,389.44","28,713,007.99","51,399,422.87","95,105,034.67","27,962,800.95","52,134,778.30","83,072,742.30","109,044,414.21","23,981,854.09"
其中:非流动资产处置净损失,,,,,,,,,,,"-26,960.12",,,,,,,,,,"441,282.63",,,,"881,818.82",,,"135,470.25",,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"7,562,479.76","5,858,937.83","5,101,584.91","1,592,376.10","897,091.09","98,535.38","-284,857.47","348,662.73","968,571.75","1,975,589.67","2,312,900.53","3,345,809.85","4,485,440.49","2,368,305.03","4,848,191.55","8,257,807.58","12,656,333.62","1,748,206.34","7,691,108.02","17,519,915.87","65,695,486.39","-7,153,843.55","-6,551,336.11","-1,304,568.48","1,438,448.00","14,957,512.85","34,921,079.37","50,387,947.29","101,815,547.17","15,025,331.65"
三、利润总额,"30,920,992.96","44,050,597.02","67,712,569.43","39,253,770.13","68,160,229.78","12,715,667.55","28,092,135.06","34,482,003.11","48,038,827.27","10,325,573.39","24,739,091.11","36,384,310.54","42,067,639.34","9,323,578.16","21,044,566.70","31,159,872.34","42,419,375.10","9,027,656.57","45,151,379.11","79,341,720.27","86,166,411.22","23,724,435.45","68,449,258.14","141,315,969.27","182,559,507.19","63,950,693.94","106,123,395.38","117,798,597.89","162,779,840.81","51,070,853.43"
