科目,2011-12-31,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"115,969,025.91","147,788,652.08","154,849,081.71","80,232,741.83","126,472,965.25","1,074,401,184.67","716,163,484.54","328,894,913.45","304,756,177.43","594,852,738.96","589,389,371.26","492,226,502.80","464,891,046.98","447,748,898.07","421,630,547.27","716,277,224.18","440,377,395.14","340,641,886.12","668,642,801.90","597,372,223.54","500,404,578.23","496,064,349.90"
短期借款,"196,000,000.00","295,000,000.00","269,000,000.00","247,000,000.00","205,000,000.00","185,000,000.00","140,000,000.00","83,500,000.00","126,790,000.00","151,000,000.00","160,000,000.00","220,000,000.00","321,100,000.00","378,700,000.00","404,700,000.00","359,805,700.00","308,750,000.00","246,350,000.00","283,050,000.00","222,850,000.00","311,990,000.00","274,950,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,
应收票据,"66,307,636.90","98,239,787.00","116,827,669.84","82,241,700.00","118,822,000.00","63,448,657.80","64,958,743.96","48,312,355.00","111,416,336.00","72,996,752.48","180,346,410.13","219,881,904.46","278,209,129.47","267,786,721.30","372,483,088.15","321,659,230.39","419,188,885.27","432,036,753.15","297,564,320.91","344,490,686.95","495,177,291.98","426,921,838.06"
应付票据,"71,401,551.14","60,674,778.85","37,298,880.37","67,759,054.38","60,328,053.62","43,594,854.00","54,539,876.00","76,762,320.00","65,521,337.39","92,579,125.37","123,217,083.88","139,115,195.14","91,442,632.86","91,511,064.67","77,828,130.95","72,370,088.19","82,443,832.65","136,089,004.14","126,345,700.26",,"158,403,829.29",
应收账款,"617,638,582.44","753,302,998.68","883,110,529.04","926,685,004.96","926,656,664.87","1,044,085,666.68","1,156,529,807.58","1,237,542,504.58","1,284,723,655.56","1,277,415,929.35","1,214,143,843.97","1,264,908,812.43","1,295,132,053.26","1,267,935,004.69","1,222,821,537.40","1,214,560,908.50","1,175,499,087.18","1,145,215,318.14","1,186,111,111.41","1,185,649,963.63","1,161,781,247.47","1,148,306,299.22"
应付账款,"214,666,585.33","208,819,103.44","347,374,213.09","300,355,929.51","300,886,627.63","324,784,620.27","287,572,275.77","315,524,176.50","354,483,627.45","306,330,871.30","269,215,653.77","282,890,601.99","317,094,370.28","309,045,162.71","308,906,795.66","361,206,828.59","415,484,141.08","428,852,952.84","474,218,177.26",,"463,263,795.58",
预付款项,"20,256,551.58","27,221,446.56","69,955,108.04","83,318,545.02","32,161,881.70","20,018,535.81","25,417,108.19","58,635,676.23","50,476,433.86","76,883,100.30","48,648,912.16","53,395,879.81","49,039,466.21","83,553,990.79","89,628,471.38","90,871,109.79","34,038,405.92","87,010,883.51","70,776,412.67","50,466,507.53","39,095,672.15","105,466,035.27"
预收款项,"35,540,896.43","43,782,931.96","26,369,039.90","61,639,936.98","37,204,345.26","23,648,021.04","21,482,209.29","29,923,014.89","51,120,122.64","47,258,695.33","39,776,048.20","45,629,262.52","27,867,053.12","106,520,860.32","97,145,773.48","84,856,380.55","66,971,003.09","98,518,995.18","111,540,437.61","136,607,350.07","131,650,161.40","149,832,224.82"
