科目,2011年度,2012年度,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"211,877,845.40","254,618,583.41","231,520,922.16",,"51,993,670.94","261,520,336.09","292,696,085.97","22,569,353.40","64,306,937.62","292,546,084.55","317,870,236.29","20,561,078.05","67,587,648.36","285,403,072.23","324,699,730.35","25,218,186.42","83,157,335.75","329,041,961.20"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,"28,624.40",,,"3,219,636.91","3,219,844.39","4,006,207.95",,"1,725,729.35","3,382,754.22","3,314,049.75",,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"957,110.17","4,710,230.14","5,920,541.78",,"3,512,354.20","5,888,979.27","5,402,856.47","3,673,142.52","4,814,634.92","11,258,361.08","10,687,391.78","2,369,118.69","5,672,322.69","8,490,805.80","6,043,392.27","4,586,727.60","4,490,549.09","5,930,389.94"
投资活动现金流出小计,"180,486,117.11","31,886,469.98","44,047,584.17",,"12,774,607.35","57,599,248.68","82,167,523.65","8,562,336.14","21,108,141.29","76,400,486.38","123,579,739.99","19,820,374.62","121,685,502.71","236,498,806.02","317,189,606.92","27,716,185.86","44,077,998.63","73,619,551.21"
经营活动现金流入小计,"212,834,955.57","259,328,813.55","237,441,463.94",,"55,506,025.14","267,437,939.76","298,098,942.44","26,242,495.92","72,341,209.45","307,024,290.02","332,563,836.02","22,930,196.74","74,985,700.40","297,276,632.25","334,057,172.37","29,804,914.02","87,647,884.84","334,972,351.14"
投资活动产生的现金流量净额,"-173,316,142.11","-29,631,129.98","-42,914,634.17","-11,071,600.00","-12,115,766.35","-56,811,780.68","-80,958,377.39","-8,562,336.14","-21,108,141.29","-76,400,486.38","-121,758,912.99","-19,820,374.62","-121,685,502.71","-236,498,806.02","-315,165,246.61","-27,716,185.86","-43,711,632.83","-73,181,959.41"
购买商品、接受劳务支付的现金,"27,317,263.75","36,150,571.04","37,172,682.92",,"19,740,087.75","62,291,683.77","43,259,992.97","11,049,268.62","28,564,662.45","55,511,441.30","52,450,585.95","9,160,572.23","18,210,235.93","43,534,435.77","59,435,039.60","8,385,894.26","18,882,151.43","71,897,979.21"
吸收投资收到的现金,,,,,,,"282,181,800.00",,,,,,,,,,,
支付给职工以及为职工支付的现金,"32,254,796.93","40,661,592.32","57,982,421.73",,"35,567,965.25","47,388,962.95","65,577,225.03","13,377,652.62","41,120,792.09","62,511,675.00","86,892,324.42","17,255,135.63","41,590,945.89","59,551,728.07","88,050,372.91","47,127,756.13","66,604,572.63","107,337,835.80"
取得借款收到的现金,"30,000,000.00",,,,,,,,,,,,,,,,,
支付的各项税费,"30,021,602.36","54,113,021.11","41,161,951.80",,"3,965,204.96","12,312,139.80","49,886,206.97","2,529,305.76","6,624,601.24","22,979,501.14","62,673,363.10","1,945,474.68","4,175,232.41","8,154,019.07","40,559,228.49","6,044,803.67","8,823,173.32","12,254,916.05"
收到其他与筹资活动有关的现金,"1,644,625.24",,,,,"282,181,800.00",,,,,,,,,,,,
