科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"653,878,918.57","325,627,581.31","294,726,713.17","271,915,088.52","248,067,964.21","278,664,179.89","348,972,110.38","374,029,936.94","202,318,309.51","507,900,923.28","526,855,938.25","2,364,217,127.57","3,223,641,685.64","1,959,756,075.37","1,620,040,326.75","1,768,521,467.79","1,753,009,407.25","2,046,926,766.39","1,706,938,990.07","2,497,541,442.88","1,610,782,865.39","3,958,740,350.45","3,324,370,591.41","3,557,156,563.41","2,815,312,165.72","2,194,665,675.30","2,536,336,602.40","2,878,871,176.11","3,493,184,836.96","3,782,266,954.23","3,569,718,257.90","3,640,562,092.67","3,107,107,025.93","3,233,261,336.78","4,105,087,740.64","3,687,458,528.24","5,026,290,026.20","3,557,944,259.41","3,707,908,462.38","397,687,957.42","2,349,820,963.51","1,830,913,656.69","1,864,756,441.39"
短期借款,,"690,000,000.00","660,000,000.00","660,000,000.00","840,000,000.00","770,000,000.00","640,000,000.00","590,000,000.00","500,000,000.00","579,055,584.65","1,399,131,056.29","1,333,084,195.42","1,382,071,780.96","1,597,975,951.12","4,912,484,512.41","3,416,109,660.26","1,386,390,047.72","1,955,805,389.43","2,220,092,190.85","2,922,914,184.02","2,545,564,976.97","1,651,330,378.08","2,257,348,248.46","1,703,520,767.48","1,636,469,023.53","2,805,985,467.30","2,803,454,483.63","1,931,084,565.33","2,945,247,797.09","1,978,484,882.67","1,966,802,448.89","1,350,018,519.05","3,002,188,424.64","1,864,941,243.61","2,214,012,809.90","1,632,605,222.02","2,455,350,389.67","1,341,956,582.36","680,355,267.42","379,792,714.52","642,462,239.56","583,050,750.29","809,318,634.40"
交易性金融资产,,,,,,,,,,,,"148,527,006.40","72,474,827.10","352,447,710.00","264,994,999.50","448,124,995.50","379,681,124.00","312,837,144.00","381,935,844.90","262,716,025.50","244,640,558.10","640,870,492.50","218,980,094.00","123,855,777.50","283,097,255.10","244,676,520.00","214,497,572.00","285,505,633.20","319,306,294.20","280,776,875.20","426,712,790.00","13,321,063.00","13,727,817.00","9,708,396.80","10,101,744.40","383,960,074.40","329,004,304.00","246,634,221.60","86,317,242.80",,,,
交易性金融负债,,,,,,,,,,,,"119,998,786.80","2,327,768.30","103,669,879.40","348,631,428.60","422,773,299.90","395,547,612.00","239,170,921.20","200,503,449.90","156,577,365.00","131,166,917.70","67,271,636.40","327,728,244.00","430,368,185.00","74,919,623.90","52,383,018.60","383,020,400.00","418,917,999.00","435,445,638.00","382,107,338.40","192,954,705.00","305,950.00",,,,,,,,,,,
应收票据,"175,586,728.72","107,203,505.28","120,159,158.11","176,000,236.12","161,508,130.22","116,971,193.62","83,032,747.18","81,551,757.54","118,571,165.41","143,498,792.44","149,525,859.85","1,233,656,703.14","1,213,233,333.87","1,430,578,133.59","1,515,443,308.40","1,653,269,226.53","1,627,806,195.11","1,527,827,985.03","1,735,743,294.39","2,145,925,942.20","1,602,831,437.34","1,448,238,719.00","1,660,096,198.59","2,103,641,866.34","2,124,002,949.38","1,600,295,866.09","1,649,569,237.50","1,226,352,497.97","1,175,369,018.01","1,314,190,110.54","1,529,206,892.30","1,641,537,930.78","1,806,715,887.85","1,602,515,020.13","1,556,080,896.05","3,043,463,763.22","2,010,011,507.42","2,847,494,090.14","2,870,897,166.25","74,781,115.79","390,245,700.86","306,335,285.45","375,813,937.08"
应付票据,"169,245,212.70","176,947,794.58","338,676,475.21","227,055,381.55","246,992,962.02","290,238,030.22","346,441,299.69","301,319,610.92","232,144,786.61","301,660,819.38","318,829,615.87","731,868,041.27","736,492,184.68","782,855,156.41","740,478,146.68","797,084,004.62","732,671,050.55","663,666,674.23","520,519,142.57","532,517,657.94","486,646,205.24","510,466,660.28","586,156,356.35","657,730,393.64","549,428,223.67","529,057,245.28","480,145,992.53","810,462,984.44","542,883,649.33","601,251,273.74","743,425,280.42","1,059,450,314.64","717,552,926.52","884,511,553.75","1,153,119,295.84","1,081,947,774.66","929,699,622.85","965,656,641.75","1,007,141,564.23","116,329,875.73","454,161,912.02","385,016,988.16","490,814,348.19"
应收账款,"294,348,805.88","390,027,141.27","484,665,472.50","310,892,417.40","364,151,059.54","372,134,879.51","353,669,072.22","249,136,304.28","273,309,778.49","350,907,949.93","437,024,203.10","12,191,769,139.22","11,081,584,848.18","13,019,071,411.64","11,560,831,334.15","13,598,758,661.89","10,954,213,616.68","11,249,779,340.19","14,057,622,931.45","13,739,893,825.98","12,084,838,337.15","13,026,273,235.88","14,565,844,795.38","13,097,472,560.85","10,991,667,476.06","11,319,673,550.83","12,601,109,105.90","13,090,591,206.21","10,465,425,046.28","12,770,900,053.07","12,837,013,756.86","12,326,981,442.17","9,664,986,035.15","10,798,193,926.62","11,595,255,752.77","11,310,055,768.85","10,524,082,708.51","11,038,938,772.37","12,110,992,024.30","657,297,124.12","2,001,467,830.89","2,192,128,085.56","2,306,566,152.87"
应付账款,"389,915,741.32","508,878,840.30","432,168,597.56","501,710,554.40","471,998,032.52","482,746,326.70","398,243,799.25","337,458,967.47","398,623,423.92","522,006,210.68","558,904,184.68","13,224,893,507.66","13,904,133,116.80","18,716,704,087.68","14,088,656,875.36","15,125,715,727.46","14,528,957,487.47","14,061,958,426.99","16,710,372,596.42","13,093,159,785.98","13,526,074,363.52","15,941,602,286.02","18,753,016,939.50","14,956,035,285.68","15,770,340,878.44","14,484,770,320.91","15,293,881,788.81","14,271,989,773.56","13,097,852,632.18","15,736,027,824.15","16,728,284,135.77","15,084,250,916.36","12,263,251,263.76","13,224,462,968.10","14,669,493,318.07","14,074,331,510.25","12,061,731,667.71","12,973,506,607.36","16,064,801,610.34","584,820,889.48","1,816,482,080.00","1,792,697,415.45","1,665,441,075.73"
预付款项,"31,633,635.00","12,387,204.66","23,127,181.47","84,654,103.67","146,956,876.03","20,271,047.13","60,600,701.27","126,774,547.36","171,607,110.24","83,395,873.94","44,620,059.11","124,477,468.12","61,644,673.73","149,452,072.15","330,301,414.25","134,887,676.33","183,475,261.25","87,157,605.15","49,584,122.72","41,116,454.23","72,196,072.14","59,048,463.20","81,307,112.56","58,817,279.87","73,656,030.99","61,883,404.72","51,824,520.79","108,375,120.50","129,826,061.91","113,303,533.72","129,508,513.37","122,838,907.46","72,353,653.92","79,504,058.93","108,080,237.87","247,654,836.19","186,001,257.36","217,823,567.53","204,670,224.94","72,325,835.18","236,366,205.18","238,661,175.55","247,917,129.90"
预收款项,"56,845,624.39","76,821,103.44","74,417,778.15","83,652,294.90","87,961,823.70","90,410,218.08","82,916,874.04","101,206,737.29","91,695,450.96","127,359,239.51","141,501,832.39","177,279,658.65","117,172,090.79","128,846,872.44","135,461,622.99","157,140,372.70","120,069,111.87","147,524,697.81","167,811,831.26","201,016,599.17","158,602,840.14","243,303,748.71","180,144,111.58","97,758,921.85","76,109,497.14","49,558,600.79","24,269,762.69","94,522,417.02","45,602,898.97","77,074,035.54","39,395,123.12","177,127,449.36","27,491,396.80","64,992,272.35","67,234,897.97","89,630,297.46","52,645,370.17","78,592,927.88","38,210,263.81","50,488,351.76","458,859,227.63","378,624,223.29","374,964,734.45"
