科目,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"508,247,265.98","516,409,888.82","748,643,124.48","765,363,059.97","602,284,174.74","765,239,041.11","946,644,902.62","1,127,385,668.39"
短期借款,"7,309,787.04","8,128,578.02","3,000,000.00","3,000,000.00","3,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00"
交易性金融资产,,,,,,,,
交易性金融负债,,,,,,,,
应收票据,,,,,,,"16,542,777.00","20,042,138.77"
应付票据,,,,,,,,
应收账款,"328,901,336.97","485,096,330.87","612,286,270.17","644,639,090.12","726,463,725.18","806,273,133.84","811,563,548.75","883,304,977.18"
应付账款,"45,179,847.91","46,798,397.56","57,924,494.53","66,300,499.33","109,245,207.68","181,200,372.80","119,658,078.74","91,846,358.65"
预付款项,"30,445,320.11","38,490,526.43","30,154,027.55","78,245,096.46","52,575,489.10","50,832,989.39","47,410,365.24","63,565,851.96"
预收款项,"327,505,561.14","446,059,011.65","438,093,070.84","420,044,247.62","425,147,924.43","389,553,125.96","392,504,232.24","356,142,510.28"
其他应收款,"246,710,919.41","12,734,319.40","11,766,395.88","16,425,570.24","15,445,557.08","17,793,227.41","14,869,394.16","18,488,005.66"
应付职工薪酬,"22,250,813.98","45,006,395.66","70,527,662.51","24,781,970.74","41,320,766.03","25,675,853.81","98,461,395.41","38,237,240.58"
应收关联公司款,,,,,,,,
应交税费,"26,635,625.34","42,341,315.26","36,224,403.43","40,907,349.45","35,218,096.71","41,105,434.26","43,375,210.23","46,587,383.73"
应收利息,,,,,,,,
应付利息,,,,,,,,
应收股利,,,,,,,,
应付股利,,"7,111,403.06","1,900,261.91","4,676,216.16","4,676,216.16","4,676,216.16","4,676,216.16","4,676,216.16"
存货,"87,060,825.38","111,400,774.99","73,594,057.59","95,381,397.62","129,085,818.49","133,674,925.57","138,582,155.50","149,368,662.65"
其他应付款,"55,416,174.65","66,492,703.36","96,221,911.87","92,887,176.25","90,395,657.16","99,295,221.56","111,019,926.68","91,357,879.98"
其中:消耗性生物资产,,,,,,,,
应付关联公司款,,,,,,,,
一年内到期的非流动资产,,,,,,,,
一年内到期的非流动负债,,,,,"19,779,609.97","21,696,081.54","30,714,034.24","32,193,455.51"
其他流动资产,"12,514,201.49","1,882,898,485.99","1,725,897,627.85","1,528,015,104.23","1,712,521,282.82","1,989,189,543.22","1,856,459,579.61","1,429,144,045.09"
其他流动负债,,,,,,,,
流动资产合计,"1,213,879,869.34","3,047,030,326.50","3,202,341,503.52","3,128,069,318.64","3,238,376,047.41","3,763,002,860.54","3,832,072,722.88","3,691,299,349.70"
流动负债合计,"531,047,220.30","687,396,680.21","731,480,130.05","683,902,211.83","743,144,635.51","785,151,443.77","813,081,849.55","673,939,956.50"
可供出售金融资产,"500,000.00",,"86,489,269.00","86,489,269.00","94,908,418.47","168,353,674.50","206,391,334.95","192,524,747.66"
长期借款,"1,927,712.96",,,,,,,
持有至到期投资,,,,,,,,
应付债券,,,,,,,,
长期应收款,,,,,,,"2,240,346.27","2,354,835.10"
长期应付款,,,,,,,,
长期股权投资,"25,464,310.35","25,632,300.89","13,696,029.81","12,985,987.87","12,494,070.51","11,882,594.39","11,357,993.68","17,539,995.82"
专项应付款,,,,,,,,
投资性房地产,,,,,,,,
预计负债,,,,,,,,
固定资产,"343,648,750.79","420,801,936.57","554,010,115.17","563,439,491.32","597,133,065.96","667,844,147.66","724,701,471.93","777,489,307.04"
递延所得税负债,"8,106,105.00","6,164,765.55","3,282,174.85","2,979,093.13","2,599,651.13","2,353,601.43","9,672,201.83","6,783,468.09"
在建工程,"63,875,032.93","9,890,748.40","2,629,698.43","5,190,006.81","10,627,215.57","12,369,156.48","14,737,276.69","3,551,444.01"
其他非流动负债,,,,,,,,
工程物资,,,,,,,,
非流动负债合计,"52,355,031.69","53,972,888.08","46,041,290.34","41,353,196.70","35,450,389.93","35,840,871.67","40,796,450.00","44,476,804.51"
固定资产清理,,,,,,,,
负债合计,"583,402,251.99","741,369,568.29","777,521,420.39","725,255,408.53","778,595,025.44","820,992,315.44","853,878,299.55","718,416,761.01"
生产性生物资产,,,,,,,,
实收资本(或股本),"85,858,836.00","360,000,000.00","360,000,000.00","360,000,000.00","360,000,000.00","400,100,000.00","400,100,000.00","400,100,000.00"
油气资产,,,,,,,,
资本公积,"1,142,611,061.83","2,515,472,101.87","2,520,985,989.03","2,520,985,989.03","2,520,985,989.03","2,961,760,415.45","2,968,256,077.32","2,968,256,077.32"
无形资产,"203,253,770.21","189,236,339.57","171,665,677.54","167,659,379.37","163,213,539.96","160,353,205.58","160,142,795.29","155,835,231.19"
盈余公积,"131,392.13","29,589,513.71","32,918,171.88","44,235,168.30","44,282,845.76","44,939,749.52","48,385,556.50","48,385,556.50"
开发支出,,,,,,,,
减:库存股,,,,,,,,
商誉,,,,,,,,
未分配利润,"-40,158,694.81","182,324,713.19","428,886,999.79","403,986,313.74","500,582,861.88","621,291,231.19","703,511,125.46","804,260,909.92"
长期待摊费用,"37,116,413.64","49,622,938.55","74,141,474.97","70,854,354.19","66,727,562.89","65,092,115.84","73,969,599.09","75,007,116.44"
少数股东权益,"279,559,349.22","74,469,490.64","92,810,809.99","88,516,983.54","97,446,572.68","107,306,066.81","109,310,225.35","112,708,108.42"
递延所得税资产,"49,885,214.58","38,774,104.20","38,453,009.67","45,442,413.27","43,960,816.47","44,596,873.23","48,830,085.13","50,075,904.44"
外币报表折算价差,,,,,,,,
其他非流动资产,"111,284,713.27","129,868,136.91","86,667,451.74","79,969,401.25","90,045,424.18","79,129,406.53","37,369,521.61","84,208,430.49"
非正常经营项目收益调整,,,,,,,,
非流动资产合计,"835,028,205.77","863,826,505.09","1,027,752,726.33","1,032,030,303.08","1,079,110,114.01","1,209,621,174.21","1,279,740,424.64","1,358,587,012.19"
所有者权益(或股东权益)合计,"1,465,505,823.12","3,169,487,263.30","3,452,572,809.46","3,434,844,213.19","3,538,891,135.98","4,151,631,719.31","4,257,934,847.97","4,331,469,600.88"
资产总计,"2,048,908,075.11","3,910,856,831.59","4,230,094,229.85","4,160,099,621.72","4,317,486,161.42","4,972,624,034.75","5,111,813,147.52","5,049,886,361.89"
负债和所有者(或股东权益)合计,"2,048,908,075.11","3,910,856,831.59","4,230,094,229.85","4,160,099,621.72","4,317,486,161.42","4,972,624,034.75","5,111,813,147.52","5,049,886,361.89"
