科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
筹资活动现金流出小计,"67,506,103.76","91,145,472.62","78,169,730.50","50,609,113.02","51,214,747.02","61,890,457.70","40,481,309.47","119,897,035.19","120,453,571.30","136,028,779.32","526,969.20","112,763,444.82","138,069,115.44","138,727,183.60","804,740.00","151,951,946.86","153,535,880.19","157,311,746.66","41,740,593.64","110,621,410.31","121,221,910.32","249,979,162.32","63,899,891.72","98,921,900.05","210,932,069.44","552,394,863.06","109,188,769.03","143,270,468.53","180,857,428.75","238,434,412.66","2,641,550.54","119,528,089.30","122,882,857.98","203,530,738.55"
处置固定资产、无形资产和其他长期资产收回的现金净额,"182,000.00",,"4,800.31","78,400.00","78,400.00","210,746.00",,,"77,771.85","355,231.31",,,,,,"136,464.24","137,276.74","400,020.70",900.00,900.00,900.00,"4,288.65",,,,,,750.00,750.00,"3,221,584.08",,"604,700.00","607,295.40","1,628,090.73"
筹资活动产生的现金流量净额,"-10,506,103.76","-22,145,472.62","-8,169,730.50","-10,609,113.02","-11,214,747.02","482,384,642.30","-25,481,309.47","-69,897,035.19","-70,453,571.30","-86,028,779.32","-526,969.20","-62,763,444.82","-82,069,115.44","-75,727,183.60","-804,740.00","-44,951,946.86","-46,535,880.19","-40,311,746.66","-1,740,593.64","-1,121,410.31","74,278,089.68","10,520,837.68","-53,899,891.72","-21,458,037.78","5,889,855.31","880,424,720.93","-109,188,769.03","-118,800,268.53","-126,319,822.23","-105,333,510.52","77,358,449.46","-17,319,899.30","-20,513,450.48","-55,266,889.34"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"48,716.73","-525,155.50","200,342.12","-36,948.43",,"-91,735.81",7.57,"-1,057.56","-1,057.51","-1,162,276.56","-12,384.76","-5,177.34","-5,177.34","616,455.07","686,497.12","-699,348.70","-699,348.70","-534,081.93","-64,571.47","14,899.13","14,899.13","-2,734,701.62","-1,466,504.84","-1,086,208.82","-175,047.25","-992,821.25","544,590.37","15,265.04","15,265.01","-14,632.10","131,624.70","387,337.69","542,884.87","-2,835,473.59"
收到其他与投资活动有关的现金,"294,357.38","222,047.75","176,666.39","46,010.43","70,784.33","192,242.76",,"1,590,926.41","2,679,217.03","4,105,969.63","7,781,859.90","9,277,092.21","12,886,106.86","16,300,000.00","1,948,968.93",,,,,"23,207,550.00","23,207,550.00",,,,,"4,488,091.13",,,"511,006,580.83","932,013,128.67","121,384,438.36","577,599,123.30","577,599,123.30","836,359,915.68"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"476,357.38","222,047.75","181,466.70","124,410.43","149,184.33","402,988.76",,"1,590,926.41","2,756,988.88","4,461,200.94","7,781,859.90","9,277,092.21","12,886,106.86","16,300,000.00","1,948,968.93","136,464.24","137,276.74","400,020.70",900.00,"23,208,450.00","23,208,450.00","7,077.33",,,,"4,488,091.13",,750.00,"511,007,330.83","935,234,712.75","121,384,438.36","578,203,823.30","578,206,418.70","837,988,006.41"
五、现金及现金等价物净增加额,"21,208,371.03","-14,212,316.40","15,249,494.57","4,252,879.60","3,730,983.98","516,800,998.83","-25,647,778.48","-54,636,691.52","-74,611,357.18","-90,921,814.99","-22,799,616.55","-61,197,885.34","-158,670,731.06","-135,314,372.64","-36,708,289.46","-66,968,681.32","-155,216,078.37","-148,118,613.28","25,595,272.77","-14,341,746.90","-22,094,621.21","-36,144,474.38","-75,242,179.88","-91,344,752.65","-78,462,929.87","875,450,056.43","-193,712,253.55","-697,515,828.07","-725,321,609.90","-708,887,788.16","79,805,611.80","4,317,203.84","24,176,064.96","35,583,229.63"
购建固定资产、无形资产和其他长期资产支付的现金,"28,161,782.13","2,310,160.00","14,315,790.33","1,456,495.22","2,178,741.88","3,604,728.47","1,962,250.08","14,883,896.59","31,827,777.15","41,894,501.43","26,056,255.44","32,351,809.98","117,932,585.21","125,420,061.07","26,721,603.60","44,635,051.26","125,981,392.62","147,786,076.98","-20,314,710.12","4,037,110.00","5,570,385.73","8,865,492.95","11,324,226.55","16,700,984.33","17,346,499.87","31,357,825.64","37,178,022.00","42,442,576.33","45,521,926.33","79,692,845.88","14,728,456.29","22,091,091.29","27,324,946.66","137,828,452.90"
期初现金及现金等价物余额,"20,572,625.39","41,780,996.42","27,568,680.02","42,818,174.59","42,818,174.59","42,818,174.59","559,619,173.42","559,619,173.42","559,619,173.42","559,619,173.42","468,697,358.43","468,697,358.43","468,697,358.43","468,697,358.43","332,696,488.67","333,382,985.79","333,382,985.79","333,382,985.79","185,264,372.51","185,264,372.51","185,264,372.51","185,264,372.51","149,119,898.13","149,119,898.13","149,119,898.13","149,119,898.13","1,024,569,954.56","1,024,569,954.56","1,024,569,954.56","1,024,569,954.56","315,682,166.40","315,682,166.40","315,682,166.40","315,682,166.40"
投资支付的现金,,,,,,,,,,,,,,,,,,,,,"91,429,949.15",,,,,,,,,"35,194,488.00",,,,
期末现金及现金等价物余额,"41,780,996.42","27,568,680.02","42,818,174.59","47,071,054.19","46,549,158.57","559,619,173.42","533,971,394.94","504,982,481.90","485,007,816.24","468,697,358.43","445,897,741.88","407,499,473.09","310,026,627.37","333,382,985.79","295,988,199.21","266,414,304.47","178,166,907.42","185,264,372.51","210,859,645.28","170,922,625.61","163,169,751.30","149,119,898.13","73,877,718.25","57,775,145.48","70,656,968.26","1,024,569,954.56","830,857,701.01","327,054,126.49","299,248,344.66","315,682,166.40","395,487,778.20","319,999,370.24","339,858,231.36","351,265,396.03"
