科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"202,967,949.48","347,628,550.20","662,018,166.27","158,545,191.31","325,015,622.81","511,516,046.59","676,819,386.22","159,628,890.08","358,806,392.65","528,881,188.66","739,328,230.83","187,977,948.81","360,388,136.56","568,347,475.99","780,653,973.05","187,969,776.85","376,206,753.88","586,771,850.39","843,230,278.84","198,105,605.02","442,873,536.29","697,790,845.92","919,051,636.21","198,291,323.18","440,470,672.37","651,623,953.56","912,468,169.04","215,210,119.32","459,183,060.49","740,628,392.92","1,410,651,849.77","331,220,465.78","699,384,907.72","1,026,507,648.42","1,883,185,473.86","415,427,806.49","895,204,719.25","1,319,179,695.24","1,748,916,933.71","379,245,923.35","810,829,464.91","1,306,998,722.72","1,734,042,545.38","402,868,199.54","747,943,096.44"
取得子公司及其他营业单位支付的现金净额,,,"39,880,448.95",,,,,,,,,,,,,,,,"61,480,900.00",,,,,,,,,,,,,,,,"125,580,000.00",,,,,,,"12,085,931.83","12,085,931.83",,
收到的税费返还,,,,,,,"116,068.41",,"36,032.77","179,008.53","1,404,739.90","317,659.40","338,162.70","626,175.70","308,516.32",,"26,744.82","17,097,727.53","659,578.64",,,,,,,,"479,551.13",,"8,807.81","8,807.81","338,871.78",,"48,741.10","12,561,961.41","12,684,889.45","52,849.75","1,111,904.95","1,998,974.41","95,083.62","63,977.80","63,977.80","86,141.82","2,174,610.63","12,806.10","12,806.10"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,"34,370.00",,,,,"5,143,285.24",,,,,,,,"25,844,505.93",,,,,"32,917,751.32","131,704,222.32","131,704,222.32","28,740,280.57",,,,"342,000,000.00","436,000,000.00","508,000,000.00"
收到其他与经营活动有关的现金,"6,734,272.31","9,971,219.62","15,688,869.08","7,460,967.88","18,802,922.63","24,478,610.69","39,518,297.14","4,183,156.43","15,588,669.44","25,943,339.06","24,635,726.71","5,551,729.06","18,996,682.23","29,311,413.84","29,328,494.93","56,118,249.74","66,581,812.00","76,062,657.26","53,024,731.56","16,460,881.52","25,759,207.23","34,274,230.20","29,286,147.91","8,281,770.69","28,189,884.41","43,483,319.12","43,780,549.37","8,959,409.56","17,468,466.54","20,865,365.16","55,401,339.63","14,075,144.31","36,651,541.15","45,336,314.57","95,149,520.81","17,116,057.45","53,522,543.79","70,271,997.04","98,903,124.82","23,531,883.77","46,640,473.14","63,213,517.52","65,332,371.64","27,514,386.16","56,802,242.77"
投资活动现金流出小计,"52,084,836.65","49,349,921.55","231,389,622.80","32,562,182.67","68,368,112.03","111,956,360.76","112,999,404.00","12,457,274.64","71,070,289.06","85,424,838.70","140,745,488.75","44,519,681.97","78,224,419.87","141,325,855.81","176,366,394.17","249,472,844.92","297,387,873.20","386,075,030.55","543,790,950.95","47,963,539.52","115,064,440.62","150,124,577.85","220,149,917.62","46,040,044.61","92,487,593.61","146,021,418.57","235,729,105.41","46,940,079.84","80,161,988.60","141,903,292.78","336,566,321.20","50,546,796.83","123,346,812.92","183,303,405.93","467,890,975.69","215,374,516.40","385,304,466.90","520,080,397.76","600,773,627.77","70,339,229.90","180,541,122.58","272,775,451.30","784,950,352.46","508,923,362.09","671,335,113.89"
经营活动现金流入小计,"209,702,221.79","357,599,769.82","677,707,035.35","166,006,159.19","343,818,545.44","535,994,657.28","716,453,751.77","163,812,046.51","374,431,094.86","555,003,536.25","765,368,697.44","193,847,337.27","379,722,981.49","598,285,065.53","810,290,984.30","244,088,026.59","442,815,310.70","679,932,235.18","896,914,589.04","214,566,486.54","468,632,743.52","732,065,076.12","948,337,784.12","206,573,093.87","468,660,556.78","695,107,272.68","956,728,269.54","224,169,528.88","476,660,334.84","761,502,565.89","1,466,392,061.18","345,295,610.09","736,085,189.97","1,084,405,924.40","1,991,019,884.12","432,596,713.69","949,839,167.99","1,391,450,666.69","1,847,915,142.15","402,841,784.92","857,533,915.85","1,370,298,382.06","1,801,549,527.65","430,395,391.80","804,758,145.31"
投资活动产生的现金流量净额,"-51,619,066.65","49,395,519.72","-127,570,310.68","-32,562,182.67","-68,362,112.03","-93,518,724.67","-90,173,907.91","-12,457,274.64","-63,059,189.06","-77,382,238.70","-132,702,888.75","-43,391,881.97","-76,706,619.87","-137,102,531.81","-172,025,481.15","-249,472,844.92","-297,387,873.20","-386,067,082.05","-543,659,432.62","-47,963,539.52","-115,064,440.62","-150,124,577.85","-187,963,517.62","-45,590,044.61","-91,482,593.61","-144,236,418.57","-233,006,404.36","-46,304,256.84","-80,156,165.60","-141,267,469.78","-328,894,887.42","-50,546,796.83","-118,236,662.92","-178,193,255.93","-433,244,580.12","-215,374,516.40","-385,089,453.70","-519,865,384.56","-582,332,463.70","-70,339,229.90","-167,991,122.58","-265,374,615.20","-730,701,099.97","-383,104,391.93","-513,703,274.97"
购买商品、接受劳务支付的现金,"41,361,826.50","95,010,831.06","176,954,792.89","35,194,748.51","81,524,749.95","134,499,279.45","234,228,177.37","43,048,044.64","102,651,291.95","157,861,435.54","209,201,901.05","49,538,689.07","117,313,918.54","185,692,619.60","249,098,283.11","61,624,623.52","120,039,903.95","189,054,481.53","257,737,433.49","37,248,592.54","101,073,992.58","193,946,826.80","245,028,369.95","65,366,128.84","132,905,122.44","193,898,237.84","232,794,779.72","40,049,598.09","112,286,795.37","192,545,636.62","290,684,697.18","100,596,872.34","166,986,435.70","257,420,214.91","658,378,590.27","154,719,385.04","380,362,951.54","509,220,407.83","585,456,400.76","152,129,962.45","339,194,248.77","518,800,760.15","632,304,770.64","133,183,727.26","303,648,163.33"
吸收投资收到的现金,,,,,"451,759,560.00","451,759,560.00","451,759,560.00",,,"4,000,000.00","4,000,000.00",,,,,"8,000,000.00","8,000,000.00","28,000,000.00","28,000,000.00",,"8,944,100.00","8,944,100.00","8,944,100.00",,"11,407,986.00","11,407,986.00","11,331,978.00",,,,,,,"2,450,000.00","2,450,000.00","10,500,000.00","111,386,471.00","111,386,471.00","10,500,000.00",,,,,,
