科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"56,431,696.78","46,855,854.79","108,270,094.15","8,581,950.00","19,254,034.43","26,940,804.13","80,371,556.20","9,331,009.00","20,676,266.74","35,744,500.26","87,639,638.61","11,881,118.00","31,003,308.62","85,919,292.21","118,079,087.56","43,634,999.87","55,291,462.54","66,409,915.87","199,395,813.98","18,664,244.73","16,428,564.00","18,458,564.00","123,624,469.98","11,862,930.00","13,011,930.00","13,225,834.40","15,132,319.97","24,663,200.00","61,017,162.72","76,048,984.96","143,912,269.89","25,562,387.70","52,403,528.07"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,"85,915,841.38",,,,,,,,,,,,,
收到其他与经营活动有关的现金,"23,952,562.82","1,815,564.18","5,068,724.07","262,379.45","6,439,575.76","8,516,511.47","9,593,545.94","9,782,696.84","12,458,333.92","22,227,649.49","24,058,027.48","3,353,168.41","7,440,031.02","16,877,786.06","5,095,661.18","260,194.29","587,805.71","1,000,333.04","385,453.64","434,505.57","672,176.36","1,170,269.93","1,679,336.95","1,585,633.55","4,156,143.28","4,345,746.18","3,538,211.67","676,954.17","2,130,358.80","2,540,908.09","7,006,928.42","1,555,252.23","2,576,937.98"
投资活动现金流出小计,"35,981,116.84","11,580,479.00","21,772,797.14","23,198,648.44","37,504,299.42","41,332,234.64","119,614,655.88","1,576,146.39","16,081,683.39","19,220,793.32","74,010,405.15","19,242,429.67","19,658,220.69","23,233,305.08","53,821,300.44","1,416,314.38","7,541,955.62","1,594,749.50","34,929,410.28","86,404,773.51","68,547,344.73","55,509,463.91","68,803,645.27","70,882,909.31","87,240,441.06","94,945,852.75","395,297,415.37","53,611,684.41","30,773,157.41","44,451,021.11","378,292,174.19","212,330,130.92","38,081,278.44"
经营活动现金流入小计,"80,384,259.60","48,671,418.97","113,338,818.22","8,844,329.45","25,693,610.19","35,457,315.60","89,965,102.14","19,113,705.84","33,134,600.66","57,972,149.75","111,697,666.09","15,234,286.41","38,443,339.64","102,797,078.27","123,174,748.74","43,895,194.16","55,879,268.25","67,410,248.91","199,781,267.62","19,098,750.30","17,100,740.36","19,628,833.93","125,303,806.93","13,448,563.55","17,168,073.28","17,571,580.58","18,670,531.64","25,340,154.17","63,147,521.52","78,589,893.05","150,919,198.31","27,117,639.93","54,980,466.05"
投资活动产生的现金流量净额,"-5,811,030.64","-4,109,455.02","-21,772,797.14","-23,198,648.44","-37,504,299.42","-41,332,234.64","-119,614,655.88","-1,576,146.39","-16,081,683.39","-19,220,793.32","-74,010,405.15","-19,242,429.67","-19,658,220.69","-23,233,305.08","-33,303,327.19","-334,085.65","1,346,950.29","8,213,822.44","38,101,977.84","-84,374,349.38","-62,183,804.86","-45,910,941.26","43,500,727.60","-67,876,345.17","-81,967,806.39","-86,549,139.13","-73,492,588.54","-9,087,750.88","8,013,678.76","-34,751,613.68","658,793.76","-59,832,126.63","217,475,056.13"
购买商品、接受劳务支付的现金,"5,999,846.64","5,894,951.45","13,744,204.72","334,759.67","2,148,466.67","3,740,674.72","9,043,313.33","3,619,607.53","8,478,463.93","11,168,541.51","8,373,694.26","2,406,857.24","11,803,960.26","14,099,886.86","15,205,915.38","13,167,182.61","15,489,199.85","16,104,967.16","9,352,540.08","314,144.49","4,934,327.52","5,154,252.35","8,224,747.15","1,264,494.68","10,688,945.45","14,120,014.43","20,975,149.92","356,836.27","7,617,439.64","21,722,755.83","27,063,584.38","16,822,584.70","22,332,903.43"
吸收投资收到的现金,"13,691,400.00",,,"777,121,313.62","777,121,313.62","777,117,513.62","783,594,000.00",,,,,,,,,,,,"500,000.00",,,"1,500,000.00",,,,,,,,,,,
支付给职工以及为职工支付的现金,"6,493,907.23","4,388,426.84","7,881,103.58","3,543,544.30","7,935,990.10","12,099,275.41","14,694,735.73","4,108,559.46","15,744,277.37","20,726,389.53","24,604,853.62","8,097,808.20","17,452,539.39","22,338,328.03","24,258,483.48","10,784,212.18","17,205,044.12","23,481,439.41","25,414,622.43","10,316,738.71","15,904,771.57","21,681,223.64","26,736,323.89","6,384,741.68","10,544,051.65","13,125,228.65","21,981,975.66","5,971,544.52","9,502,584.94","13,463,370.81","17,316,848.06","5,842,454.87","8,591,865.08"
取得借款收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,020,104.22","9,649,723.80","9,649,723.80"
支付的各项税费,"6,061,877.55","5,854,270.81","15,786,515.06","5,736,441.30","13,514,899.93","15,890,872.21","22,767,571.07","9,370,663.78","13,069,586.09","19,022,141.93","19,194,364.77","4,247,139.66","11,596,868.50","13,295,970.36","15,984,195.97","4,400,900.70","10,465,254.46","15,878,298.45","18,554,161.86","2,609,657.22","6,095,575.28","3,786,043.91","4,214,251.52","3,602,179.18","6,768,360.33","8,841,800.20","10,092,603.71","1,701,563.86","3,440,867.74","4,246,388.80","6,320,930.07","2,150,216.55","3,624,154.37"
收到其他与筹资活动有关的现金,,,,"2,205,012.24","2,205,012.24","2,205,012.24",,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"10,526,303.25","4,065,957.11","6,597,248.30","1,927,621.27","2,724,417.50","6,864,851.10","6,955,077.52","2,394,152.55","3,445,756.15","7,594,950.21","9,227,070.74","3,151,922.20","4,063,831.15","8,563,798.60","12,044,991.60","2,757,319.83","8,433,216.18","10,144,988.90","14,187,744.34","11,123,538.60","12,831,582.84","9,465,693.08","24,308,556.37","25,058,552.43","7,994,705.00","27,200,943.09","43,725,827.96","8,293,108.17","7,909,963.39","18,237,375.26","33,443,376.72","4,067,541.30","6,472,142.59"
筹资活动现金流入小计,"13,691,400.00",,,"779,326,325.86","779,326,325.86","779,322,525.86","783,594,000.00",,,,,,,,,,,,"500,000.00",,,"1,500,000.00",,,,,,,,,"10,020,104.22","9,649,723.80","9,649,723.80"
经营活动现金流出小计,"29,081,934.67","20,203,606.21","44,009,071.66","11,542,366.54","26,323,774.20","38,595,673.44","53,460,697.65","19,492,983.32","40,738,083.54","58,512,023.18","61,399,983.39","17,903,727.30","44,917,199.30","58,297,983.85","67,493,586.43","31,109,615.32","51,592,714.61","65,609,693.92","67,509,068.71","24,364,079.02","39,766,257.21","40,087,212.98","63,483,878.93","36,309,967.97","35,996,062.43","63,287,986.37","96,775,557.25","16,323,052.82","28,470,855.71","57,669,890.70","84,144,739.23","28,882,797.42","41,021,065.47"
偿还债务支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,943.21","35,572.81",,,"2,740,290.98"
