科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"1,182,358,815.72","1,274,615,187.66","1,284,282,195.64","787,486,543.69","1,012,810,173.66","233,683,321.14","452,991,194.38","842,052,323.68","1,176,897,343.66","215,183,751.21","424,168,026.82","672,108,999.18","1,139,004,220.31","248,618,016.58","443,307,233.03","720,266,744.17","1,002,240,543.18","282,412,235.26","388,324,413.49","612,381,102.14","934,956,596.21","260,738,922.71","521,300,540.56","778,428,705.22","902,769,777.42","193,773,313.90","458,758,508.44","717,409,027.00","856,101,040.40","161,033,029.57","409,510,014.50","622,909,245.80","768,113,320.90","190,649,406.55","346,462,666.13","571,437,389.96","740,561,326.91","165,955,651.12"
取得子公司及其他营业单位支付的现金净额,,,"23,961,091.41","8,926,993.20","19,972,866.30",,,,,,,,,,,,,,,,,,,,,"9,525,000.00",,,,,,,,,,,,
收到的税费返还,,,,,"1,244,107.24",,,,"1,823,597.86",,,,,,,,"2,962,160.67",,,,"1,336,635.33",,,,"4,248,872.68",,"591,855.39","586,215.88","1,434,234.72","3,886.13","3,886.13","3,886.13","3,886.13","1,591,034.47","1,591,034.47","1,591,034.47","2,912,334.47","599,498.90"
支付其他与投资活动有关的现金,,,,,"11,748.90",,"45,627,224.10","47,217,927.60",,"38,867,270.23","49,779,474.77","68,178,566.45","12,517,270.23","3,277,624.55",,,"451,500,000.00",,,,"123,500,000.00",,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"45,535,924.92","42,215,732.06","81,472,426.09","35,278,341.59","60,949,577.48","12,990,285.82","44,548,807.78","49,893,970.84","58,914,244.18","36,213,738.14","40,224,277.79","62,406,904.54","104,352,662.11","6,643,091.25","14,008,439.18","29,059,272.44","57,366,016.78","1,188,663.90","6,143,056.71","9,405,684.65","23,582,816.44","6,370,431.19","13,165,653.92","18,907,794.16","23,053,028.46","9,596,705.28","6,448,174.84","17,865,512.92","57,294,628.74","8,230,791.01","15,585,956.76","17,921,751.15","83,714,147.61","1,384,825.52","105,450,516.84","214,092,884.42","252,836,383.55","17,803,201.02"
投资活动现金流出小计,"40,237,163.69","20,359,302.48","148,878,437.69","122,585,049.34","177,643,070.16","24,406,324.46","157,230,297.36","216,873,709.35","338,838,941.35","78,127,639.41","119,081,918.30","214,344,825.25","258,560,012.17","36,667,952.19","68,459,893.55","254,236,767.22","569,179,770.97","49,156,516.63","68,962,610.92","72,097,340.55","195,678,905.95","10,050,357.37","66,849,206.67","69,937,031.30","47,321,827.17","16,753,749.83","40,841,229.76","151,446,884.58","260,610,846.91","1,649,274.24","13,350,800.94","13,811,870.44","2,333,008,268.36","98,015.39","66,554,984.67","32,158,074.67","2,566,537,809.12","19,009,693.75"
经营活动现金流入小计,"1,227,894,740.64","1,316,830,919.72","1,365,754,621.73","822,764,885.28","1,075,003,858.38","246,673,606.96","497,540,002.16","891,946,294.52","1,237,635,185.70","251,397,489.35","464,392,304.61","734,515,903.72","1,243,356,882.42","255,261,107.83","457,315,672.21","749,326,016.61","1,062,568,720.63","283,600,899.16","394,467,470.20","621,786,786.79","959,876,047.98","267,109,353.90","534,466,194.48","797,336,499.38","930,071,678.56","203,370,019.18","465,798,538.67","735,860,755.80","914,829,903.86","169,267,706.71","425,099,857.39","640,834,883.08","851,831,354.64","193,625,266.54","453,504,217.44","787,121,308.85","996,310,044.93","184,358,351.04"
投资活动产生的现金流量净额,"9,292,315.61","-20,330,382.08","487,220.71","-4,631,735.96","-55,972,756.78","41,593,675.54","-91,230,297.36","-124,222,632.55","-241,757,837.86","-58,127,639.41","-75,489,924.05","-170,380,814.43","-214,500,318.98","-16,567,952.19","-26,667,966.15","-212,444,576.57","-518,025,938.08","-12,691,913.90","41,090,083.89","-6,140,494.26","-103,523,300.37","37,119,154.58","-28,047,279.27","-24,399,189.34","32,747,687.96","109,946,920.94","-28,608,150.61","-77,582,737.67","-67,539,861.66","63,288,541.06","83,889,736.26","134,430,771.27","-86,886,708.26","51,850,139.14","-18,209,700.87","193,317,393.41","85,672,861.28","-7,555,712.79"
购买商品、接受劳务支付的现金,"1,016,682,683.69","948,690,686.90","1,048,584,366.54","691,046,294.40","841,012,605.40","221,493,139.32","370,892,761.21","656,919,449.02","966,069,133.57","165,597,729.60","356,031,201.37","480,640,325.99","833,404,365.41","160,043,470.17","327,571,037.06","546,987,840.54","635,059,985.81","213,475,408.63","303,788,586.99","475,808,392.50","652,694,847.22","217,757,372.17","433,417,968.19","637,807,191.73","632,222,328.64","152,065,480.73","329,195,263.39","511,116,787.70","561,017,990.92","118,104,514.63","288,237,666.11","447,517,968.73","575,251,345.52","122,286,766.60","268,353,544.29","374,414,694.02","482,958,158.79","85,032,307.03"
吸收投资收到的现金,,,"12,102,906.25","9,088,606.25","26,797,439.21","1,995,000,000.00","1,995,000,000.00","2,003,609,220.00","1,861,642,400.00",,"1,470,000.00","1,470,000.00","1,470,000.00",,,,"926,820.00",,,,,"2,681,190.00","2,681,189.99","2,681,190.00","8,312,357.50",,,"2,507,895.00","2,507,895.00",,,,,,,,,
