科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"178,835,853.82","221,907,220.74","150,802,181.68","38,655,533.21","77,959,181.89","118,209,941.84","158,682,141.27","25,960,207.50","59,741,658.77","90,766,695.50","133,508,073.19","20,577,800.67","43,095,601.61","78,470,259.57","129,796,933.54","43,629,939.25","102,097,527.75"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"2,934,209.27","4,429,595.55","3,755,833.10","2,841,187.21","2,042,486.24","2,547,995.79","3,075,618.71","1,016,001.99","2,362,884.47","3,759,550.91","5,805,135.72","775,189.16","1,602,466.68","2,996,769.72","8,837,508.93","1,031,443.72","2,618,911.05"
投资活动现金流出小计,"20,900,704.75","67,603,437.31","8,387,516.62","1,102,152.54","1,932,508.54","2,648,758.54","2,926,387.43","1,752,792.00","4,952,954.65","6,704,322.96","6,916,633.41","55,170.00","4,434,430.97","6,969,667.08","12,502,238.52","648,200.00","1,060,803.11"
经营活动现金流入小计,"181,770,063.09","226,336,816.29","154,558,014.78","41,496,720.42","80,001,668.13","120,757,937.63","161,757,759.98","26,976,209.49","62,104,543.24","94,526,246.41","139,313,208.91","21,352,989.83","44,698,068.29","81,467,029.29","138,634,442.47","44,661,382.97","104,716,438.80"
投资活动产生的现金流量净额,"-3,355,734.61","-65,757,852.31","-8,364,820.10","-1,079,652.54","-1,905,208.54","-2,571,458.54","-2,207,853.76","-529,792.00","-3,701,694.65","-4,553,062.96","-4,725,373.41","822,330.00","-866,167.45","-3,375,798.28","-8,883,554.44","-630,284.72","-948,644.31"
购买商品、接受劳务支付的现金,"27,099,324.64","25,892,148.75","17,384,307.59","3,117,036.83","4,082,009.04","12,354,146.50","16,796,290.27","6,202,033.17","13,681,447.24","18,546,794.73","20,093,627.31","5,105,394.34","8,435,805.18","15,535,007.86","21,149,625.27","8,601,891.53","23,461,269.48"
吸收投资收到的现金,,,,,,,"122,520,000.00",,,,,,,,,,
支付给职工以及为职工支付的现金,"86,756,289.40","105,960,981.38","116,227,009.23","32,697,726.01","59,375,498.67","80,624,788.06","100,421,675.54","26,190,066.70","47,137,535.54","65,404,004.81","82,648,384.70","18,639,297.12","35,063,158.22","53,724,388.00","66,825,044.49","22,456,856.13","41,927,130.70"
取得借款收到的现金,"7,800,000.00","41,500,000.00","20,000,000.00",,"19,500,000.00","30,000,000.00","45,500,000.00",,,,,,"25,000,000.00","25,000,000.00","25,000,000.00",,"15,000,000.00"
支付的各项税费,"12,158,004.18","19,759,162.24","23,742,197.35","11,932,782.79","16,704,284.72","19,852,440.17","23,138,580.93","4,137,261.92","7,190,463.72","10,357,190.50","15,075,466.09","4,232,498.86","10,263,816.63","12,654,892.77","17,716,480.64","2,017,525.42","7,112,152.54"
收到其他与筹资活动有关的现金,"3,157,585.00",,"20,151,555.56",,"3,071,495.85","3,071,495.85","6,825,000.00",,,,,,,,,,
支付其他与经营活动有关的现金,"21,552,435.55","20,620,844.62","15,971,007.67","4,468,570.74","6,656,521.82","7,791,913.92","12,110,617.85","7,592,774.37","12,495,820.74","14,815,926.54","20,624,388.10","3,366,988.39","7,525,145.48","12,892,870.58","18,073,486.49","4,442,671.72","7,832,914.72"
筹资活动现金流入小计,"10,957,585.00","41,500,000.00","40,151,555.56",,"22,571,495.85","33,071,495.85","174,845,000.00",,,,,,"25,000,000.00","25,000,000.00","25,000,000.00",,"15,000,000.00"
经营活动现金流出小计,"147,566,053.77","172,233,136.99","173,324,521.84","52,216,116.37","86,818,314.25","120,623,288.65","152,467,164.59","44,122,136.16","80,505,267.24","109,123,916.58","138,441,866.20","31,344,178.71","61,287,925.51","94,807,159.21","123,764,636.89","37,518,944.80","80,333,467.44"
偿还债务支付的现金,"12,000,000.00","2,450,000.01","18,100,000.04","650,000.01","5,800,000.02","16,950,000.03","27,100,000.04","15,650,000.01","16,300,000.02","27,233,333.36","43,600,000.04","650,000.01","1,300,000.02","1,950,000.03","2,600,000.04","10,650,000.01","26,300,000.02"
经营活动产生的现金流量净额,"34,204,009.32","54,103,679.30","-18,766,507.06","-10,719,395.95","-6,816,646.12","134,648.98","9,290,595.39","-17,145,926.67","-18,400,724.00","-14,597,670.17","871,342.71","-9,991,188.88","-16,589,857.22","-13,340,129.92","14,869,805.58","7,142,438.17","24,382,971.36"
分配股利、利润或偿还利息支付的现金,"12,872,906.20","8,393,122.50","13,370,375.00","773,870.42","12,049,817.92","13,359,446.26","14,627,239.42","883,215.00","14,022,416.78","14,665,676.11","15,018,564.66","254,800.00","558,770.00","5,021,467.08","5,831,524.16","451,238.34","15,790,863.34"
收回投资收到的现金,"17,000,000.00",,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"5,375,775.52","21,161,175.09","786,256.00","4,007,076.00","6,933,285.85","7,231,399.85","11,588,761.80","9,471,876.00","7,732,490.00","7,746,642.00","7,757,256.00","7,076.00","200,690.00","234,842.00","2,693,654.97","10,614.00","52,128.60"
取得投资收益收到的现金,"77,343.66",,,,,,,,,,,,,,,,
筹资活动现金流出小计,"30,248,681.72","32,004,297.60","32,256,631.04","5,430,946.43","24,783,103.79","37,540,846.14","53,316,001.26","26,005,091.01","38,054,906.80","49,645,651.47","66,375,820.70","911,876.01","2,059,460.02","7,206,309.11","11,125,179.17","11,111,852.35","42,142,991.96"
处置固定资产、无形资产和其他长期资产收回的现金净额,"467,626.48","1,845,585.00","22,696.52","22,500.00","27,300.00","77,300.00","718,533.67","1,223,000.00","1,251,260.00","2,151,260.00","2,191,260.00","877,500.00","3,568,263.52","3,593,868.80","3,618,684.08","17,915.28","112,158.80"
筹资活动产生的现金流量净额,"-19,291,096.72","9,495,702.40","7,894,924.52","-5,430,946.43","-2,211,607.94","-4,469,350.29","121,528,998.74","-26,005,091.01","-38,054,906.80","-49,645,651.47","-66,375,820.70","-911,876.01","22,940,539.98","17,793,690.89","13,874,820.83","-11,111,852.35","-27,142,991.96"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,"-7,590.00","-8,464.61","-8,464.61",-874.61,0.83,0.75,0.75,0.83,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"17,544,970.14","1,845,585.00","22,696.52","22,500.00","27,300.00","77,300.00","718,533.67","1,223,000.00","1,251,260.00","2,151,260.00","2,191,260.00","877,500.00","3,568,263.52","3,593,868.80","3,618,684.08","17,915.28","112,158.80"
五、现金及现金等价物净增加额,"11,557,177.99","-2,158,470.61","-19,236,402.64","-17,229,994.92","-10,933,462.60","-6,906,159.85","128,611,740.37","-43,688,399.68","-60,165,790.06","-68,804,849.21","-70,230,726.01","-10,080,734.06","5,484,516.06","1,077,763.44","19,861,072.80","-4,599,698.90","-3,708,664.91"
购建固定资产、无形资产和其他长期资产支付的现金,"3,900,704.75","67,603,437.31","8,387,516.62","1,102,152.54","1,932,508.54","2,648,758.54","2,926,387.43","1,752,792.00","4,952,954.65","6,704,322.96","6,916,633.41","55,170.00","1,979,156.00","4,514,392.11","12,502,238.52","648,200.00","1,060,803.11"
期初现金及现金等价物余额,"47,864,337.91","59,421,515.90","57,263,045.29","38,026,642.65","38,026,642.65","38,026,642.65","38,026,642.65","166,638,383.02","166,638,383.02","166,638,383.02","166,638,383.02","96,407,657.01","96,407,657.01","96,407,657.01","96,407,657.01","116,268,729.81","116,268,729.81"
投资支付的现金,"17,000,000.00",,,,,,,,,,,,"2,455,274.97","2,455,274.97",,,
期末现金及现金等价物余额,"59,421,515.90","57,263,045.29","38,026,642.65","20,796,647.73","27,093,180.05","31,120,482.80","166,638,383.02","122,949,983.34","106,472,592.96","97,833,533.81","96,407,657.01","86,326,922.95","101,892,173.07","97,485,420.45","116,268,729.81","111,669,030.91","112,560,064.90"
