科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"723,272,257.88","1,162,432,752.43","1,401,820,715.05","367,150,406.44","797,598,372.57","1,202,868,370.05","1,659,993,578.55","371,455,065.23","830,037,688.94","1,310,647,782.33","1,799,186,649.02","421,582,832.81","981,116,322.55","1,546,323,197.05","2,447,355,083.75","751,210,800.82","1,726,638,397.87","2,545,862,729.87","3,615,880,558.42","1,002,289,327.80","2,223,212,059.50","3,426,035,097.54","4,812,328,299.56","1,343,247,093.27","2,632,551,310.93","3,968,373,674.08"
二、营业利润,"294,413,650.13","461,067,132.28","469,790,355.28","115,523,569.06","276,091,065.20","386,915,383.06","533,742,424.14","97,014,994.73","215,535,040.84","333,156,320.99","459,764,152.00","92,113,631.32","237,208,439.90","388,924,479.15","569,339,793.59","134,192,309.40","300,758,814.43","428,594,705.95","585,960,585.22","97,668,834.69","290,265,465.76","388,002,741.39","580,818,863.17","104,425,827.29","239,052,485.69","320,763,844.94"
减:营业成本,"355,059,447.45","592,195,830.73","790,881,011.09","210,493,074.98","466,838,069.74","721,602,211.60","997,570,768.51","243,293,986.16","548,289,599.63","874,117,172.78","1,190,158,205.15","283,222,838.02","639,291,996.06","998,350,414.33","1,580,556,615.61","510,137,631.71","1,197,736,136.37","1,775,560,210.54","2,511,497,081.05","700,426,901.74","1,531,874,174.55","2,398,669,157.83","3,361,224,435.36","979,662,757.32","1,897,327,533.36","2,880,960,461.04"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"790,810.65","3,130,825.07","9,858,754.11","2,966,799.06","6,481,232.44","9,395,078.78","12,578,294.96","2,654,509.52","8,773,065.27","10,836,879.24","14,158,702.97","3,046,880.81","7,368,280.65","11,409,347.85","17,357,971.70","4,859,822.35","9,819,269.70","15,800,522.49","21,415,066.93","6,068,536.68","15,887,119.36","23,554,722.66","42,453,897.84","13,266,683.09","23,073,210.32","36,501,821.93"
营业外收入,"1,619,563.58","8,120.45","379,725.37","200,000.00","328,970.35","1,380,203.13","2,434,010.72","269,907.87","855,833.25","3,063,577.20","3,940,564.32","159,731.12","656,215.21","1,687,990.69","2,255,103.58","1,607,853.76","1,883,989.92","5,127,612.18","8,603,444.99","1,854,900.43","6,834,205.75","9,407,905.09","288,595,092.16","6,720,102.38","2,835,689.30","3,087,614.26"
销售费用,"26,485,304.58","43,241,945.79","55,695,813.36","17,052,251.81","36,676,396.52","52,965,205.81","71,689,320.17","17,629,640.46","37,979,011.28","58,238,132.91","82,681,051.31","22,233,524.91","50,825,037.62","78,607,437.31","121,468,190.65","37,882,280.74","66,569,858.68","94,451,763.19","157,520,735.75","38,738,889.54","92,338,373.73","129,596,402.84","204,775,956.18","53,521,198.20","105,905,703.46","155,389,264.64"
减:营业外支出,"138,686.31","978,155.46","169,970.91",,"64,353.85","261,986.14","876,353.21","489,677.66","1,267,823.38","2,671,015.42","2,970,896.63","725,867.24","1,484,469.82","2,600,316.07","6,700,581.56","1,350,600.70","421,494.43","767,684.09","4,390,612.09","2,768,296.06","3,029,040.61","4,267,390.23","7,939,506.51","2,481,164.51","8,187,862.50","8,476,701.60"
管理费用,"46,883,416.85","58,962,064.33","72,846,992.41","19,890,399.99","40,600,834.88","64,441,048.51","86,161,835.80","22,855,626.06","40,695,015.04","67,760,356.45","92,925,042.41","27,227,211.88","59,125,543.62","91,073,130.08","177,554,177.49","73,679,137.50","159,520,248.02","242,052,744.90","335,977,818.59","95,937,768.68","189,305,152.11","302,910,522.28","411,489,813.00","117,068,673.01","233,986,743.35","358,540,852.13"
其中:非流动资产处置净损失,"54,020.50","560,857.23","169,924.71",,"64,353.85","261,986.14","874,727.58",,"1,267,823.38","2,671,015.42","2,932,725.83","633,502.37","1,484,469.82","2,598,573.33","6,699,972.43","58,880.73","419,888.93","628,882.45","4,203,775.62","2,696,815.77","2,924,777.16","3,639,293.99","6,305,331.53","1,144,601.60","6,847,942.60","6,352,014.20"
