科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"16,226,623.34","82,804,161.54","87,853,572.52","85,058,695.92","431,988,358.15","405,991,417.26","351,143,790.72","357,497,433.53","393,890,282.15","372,712,505.87","367,829,507.85","340,279,606.12","341,486,827.19","336,036,575.05","450,882,479.94","501,870,171.58","409,635,348.77","406,964,550.52","366,072,602.44","333,630,550.58","258,666,315.49","406,417,808.74","365,389,423.81","446,424,303.71","523,077,510.09","1,705,496,900.73","1,826,841,530.36","1,670,440,022.10","1,636,320,672.70"
短期借款,"25,350,315.66","13,500,000.00","39,996,000.00","103,000,000.00","110,000,000.00","128,959,564.75","199,527,638.34","211,329,239.33","288,200,000.00","321,715,785.06","354,200,000.00","351,800,000.00","368,218,808.21","399,300,000.00","459,300,000.00","539,400,000.00","599,900,000.00","561,000,000.00","582,401,031.98","598,305,283.78","661,149,044.27","768,552,487.32","817,900,000.00","942,824,457.76","1,018,300,000.00","1,054,750,000.00","1,372,557,227.20","1,347,086,027.94","1,794,356,046.11"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,933,264.09","9,462,947.21","4,731,914.06","2,285,076.41","8,722,134.11","9,606,711.45","14,431,710.91","18,084,729.23","13,389,201.83","18,364,753.78","18,291,217.43","13,169,869.82","15,429,222.29","46,459,026.98","45,671,597.92","28,585,827.29","24,006,761.84","37,554,475.53","29,852,880.38","43,086,551.43","61,009,630.27","82,254,759.45","79,712,559.77","76,689,602.89","45,768,761.37","61,126,152.29","89,486,858.77","81,212,906.95","79,351,201.24"
应付票据,"11,518,852.34","45,740,193.63","89,459,502.45","114,135,379.75","148,036,199.80","73,537,964.05","80,347,806.07","108,729,334.26","105,349,699.53","64,660,948.73","65,764,321.24","88,560,055.94","70,503,084.08","103,909,884.38","182,659,361.44","251,972,235.19","147,959,824.47","122,554,444.12","186,672,686.99","179,056,182.53","168,801,968.98","181,316,641.01","185,225,478.95","149,410,779.92","129,773,251.27","194,993,664.59","187,499,754.39","279,655,146.91","184,961,014.18"
应收账款,"113,138,038.32","113,175,483.21","304,302,959.56","364,850,589.08","381,767,973.61","332,511,770.57","372,916,102.39","375,526,710.22","381,384,961.38","376,387,822.17","359,857,628.61","408,817,072.89","433,850,877.38","534,437,654.47","516,818,572.95","583,968,855.39","541,205,336.74","566,473,434.42","593,808,164.59","638,419,837.58","664,721,863.35","684,091,922.88","755,802,325.42","734,301,388.11","685,559,421.86","799,486,669.17","847,421,553.61","932,496,533.00","961,891,846.87"
应付账款,"62,221,730.75","34,678,077.61","230,903,433.80","211,729,047.48","157,713,242.77","158,085,146.51","173,769,375.74","168,052,971.50","148,884,790.94","136,408,246.68","118,451,232.30","113,218,430.93","160,600,011.52","228,158,140.77","286,771,681.18","253,847,496.55","213,970,450.70","260,142,082.46","254,117,312.14","277,039,815.65","267,884,059.78","297,030,342.43","339,095,406.31","310,454,684.81","257,542,036.10","365,779,610.08","380,064,910.88","361,617,654.37","348,640,751.24"
预付款项,"3,995,671.55","4,503,255.42","7,847,916.30","2,193,605.84","3,136,242.56","29,132,617.42","31,702,610.51","40,619,562.49","34,287,668.08","17,789,173.32","40,827,073.85","21,392,554.28","31,555,188.37","11,862,193.24","12,403,959.37","13,073,174.70","11,778,677.38","9,300,825.00","10,183,752.23","8,056,451.98","8,400,729.74","15,439,198.09","17,031,706.86","18,757,905.99","26,041,330.97","9,939,899.27","32,904,447.70","37,339,044.08","196,400,871.77"
预收款项,"1,627,127.00","2,089,069.87","3,469,194.21",,,"2,681,743.66","10,484,922.95","23,660,899.78","4,887,577.08","12,000,035.58","11,246,742.64","5,955,407.58","5,039,318.23","2,222,740.82","3,315,241.95","5,151,694.06","4,625,499.74","3,841,858.84","6,999,422.55","7,752,574.08","4,855,242.74","4,861,027.84","8,153,042.40","8,802,832.02","11,498,193.22","7,794,557.27","15,737,325.89","15,966,782.15","23,136,226.80"
其他应收款,"8,904,146.80","4,279,844.91","14,209,335.21","10,289,533.83","5,254,101.29","10,619,673.46","11,550,763.55","13,638,788.37","7,701,866.48","4,695,651.45","5,791,295.42","5,784,409.10","11,757,862.57","13,768,259.05","14,559,460.16","15,020,738.28","15,338,084.50","10,574,894.53","17,302,706.67","27,002,530.47","26,729,372.47","15,706,355.65","20,930,342.55","19,532,532.80","25,856,906.32","16,785,998.58","21,218,976.14","27,914,974.50","28,049,494.23"
应付职工薪酬,"2,722,421.43","3,497,305.67","3,495,028.82","2,037,392.83","2,655,705.09","4,580,103.65","3,805,633.55","3,284,062.78","3,747,431.42","7,134,527.47","3,951,225.34","4,109,843.57","4,514,348.85","10,443,681.13","7,045,122.91","8,448,941.54","7,367,425.39","16,540,593.31","7,858,941.82","9,157,165.24","10,973,970.67","26,941,799.72","16,772,611.89","14,897,572.05","16,163,554.26","32,855,958.59","16,919,012.44","15,895,938.77","18,245,741.33"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"5,303,538.47","3,187,237.88","-1,610,925.19","-1,226,480.23","-2,469,952.16","-2,952,828.67","-3,936,527.51","-3,966,756.04","-5,059,659.47","-7,533,582.01","-10,508,713.92","-11,468,531.85","-8,984,144.78","6,242,616.31","5,866,196.29","7,317,017.76","8,129,975.79","11,777,269.09","11,468,510.03","12,442,631.37","10,332,387.13","16,403,275.17","28,745,822.24","20,922,295.92","18,003,152.05","18,191,627.22","22,520,817.77","16,430,192.19","17,444,839.00"
