科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"34,160,603.27","49,686,527.10","95,676,794.83","263,365,135.23","17,921,819.04","54,327,513.55","123,451,417.42","331,786,915.00","25,827,239.43","55,821,769.22","228,058,956.27","491,263,637.53","19,970,659.19","69,579,259.41","204,349,920.75","493,050,819.91","24,405,541.00","74,136,685.76","241,009,768.05","597,787,422.00","36,479,859.59","108,753,238.92","263,338,617.00","755,143,163.64","52,962,147.07","197,848,674.85","435,369,336.14","937,731,887.20","19,159,269.56","110,781,862.69","262,174,763.55","774,014,773.58","21,143,583.45","120,106,171.28","298,311,539.39","882,211,689.80","14,390,574.89","419,493,208.09","780,556,700.51","2,250,565,264.25","247,330,461.35","470,717,959.47","808,778,956.96","2,393,703,138.44"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,828,188.40","3,922,248.19"
收到的税费返还,,,,,,,,"495,006.88",,,,,,,,"1,259,871.13",,,,,,,,"1,396,050.13",,,,"843,403.38",,,,"1,101,995.49",,,"1,897,771.52","1,897,771.52",,"7,242,080.59","9,152,646.52","14,884,289.98","1,773,948.48","6,134,681.58","13,349,374.78","15,896,808.11"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,"34,265.90",,,,"234,000,000.00",,,,,,,,,,,,"865,418,400.00",,,"49,700,000.00","49,700,000.00",,"600,000,000.00","600,000,000.00","665,100,000.00"
收到其他与经营活动有关的现金,"768,194.43","24,815,055.72","43,965,794.54","14,694,553.83","8,352,311.65","2,181,556.72","3,289,212.79","7,648,608.58","1,756,301.09","4,825,145.54","3,657,963.89","20,010,154.45","2,881,372.33","6,508,228.76","10,093,347.21","22,607,207.62","6,588,459.79","15,104,165.56","23,081,005.10","34,265,026.80","9,668,357.47","3,879,523.18","17,502,620.33","30,786,418.52","4,477,277.63","7,550,236.10","11,335,939.21","17,139,826.64","7,984,608.49","8,264,111.99","17,551,059.88","22,181,503.90","8,038,633.79","15,550,854.91","19,129,000.23","21,700,255.27","24,719,473.32","14,800,191.93","52,268,278.57","26,218,132.28","12,372,806.03","42,263,182.92","92,777,648.70","188,992,923.41"
投资活动现金流出小计,"6,536,163.97","124,565,946.63","149,948,157.63","150,847,655.39","4,222,143.07","15,872,965.03","31,713,033.78","61,925,199.96","15,073,383.81","19,971,915.03","40,104,860.34","74,758,333.39","2,226,404.33","26,700,847.41","55,279,403.22","98,139,257.82","4,042,485.73","59,565,820.12","94,080,264.55","194,737,008.92","8,662,282.41","47,991,415.91","138,382,188.82","470,523,608.14","14,017,757.44","45,943,592.13","79,943,137.60","112,840,784.68","17,900,558.22","22,125,464.57","41,314,114.39","123,698,892.62","92,790,041.00","109,569,105.08","158,076,117.47","1,106,282,242.06","34,635,708.64","230,002,381.48","417,573,061.63","639,868,581.11","99,515,838.69","738,900,221.98","862,161,468.39","2,234,103,182.13"
经营活动现金流入小计,"34,928,797.70","74,501,582.82","139,642,589.37","278,059,689.06","26,274,130.69","56,509,070.27","126,740,630.21","339,930,530.46","27,583,540.52","60,646,914.76","231,716,920.16","511,273,791.98","22,852,031.52","76,087,488.17","214,443,267.96","516,917,898.66","30,994,000.79","89,240,851.32","264,090,773.15","632,052,448.80","46,148,217.06","112,632,762.10","280,841,237.33","787,325,632.29","57,439,424.70","205,398,910.95","446,705,275.35","955,715,117.22","27,143,878.05","119,045,974.68","279,725,823.43","797,298,272.97","29,182,217.24","135,657,026.19","319,338,311.14","905,809,716.59","39,110,048.21","441,535,480.61","841,977,625.60","2,291,667,686.51","261,477,215.86","519,115,823.97","914,992,807.58","2,596,688,414.10"
投资活动产生的现金流量净额,"-6,536,163.97","-26,591,946.63","-51,974,157.63","-52,873,655.39","-4,222,143.07","-15,872,965.03","-31,713,033.78","-61,925,199.96","-15,073,383.81","-19,508,885.03","-39,776,796.13","-74,488,333.39","-2,226,404.33","-26,700,847.41","-55,279,403.22","-97,132,257.82","-622,485.73","-56,045,820.12","-90,560,264.55","-186,904,714.36","-8,662,282.41","-47,991,415.91","-138,382,188.82","-470,210,300.14","-14,017,757.44","-45,782,592.13","-79,634,737.60","-112,498,384.68","-17,900,558.22","-22,125,464.57","-39,843,114.39","-122,217,892.62","-88,008,084.24","-104,787,148.32","-153,294,160.71","-1,101,359,892.30","-34,635,708.64","-222,513,381.48","-410,083,145.99","-462,581,568.83","848,414,255.53","213,249,257.50","100,223,903.60","-665,916,799.25"
购买商品、接受劳务支付的现金,"6,931,718.25","23,295,620.03","35,689,154.80","81,231,703.39","46,582,680.34","77,776,865.54","111,917,418.75","123,515,763.28","33,280,096.36","53,152,921.53","90,301,171.77","126,318,603.51","60,869,862.01","94,900,885.60","127,900,356.66","156,185,014.82","103,362,337.87","196,579,687.74","260,710,946.77","263,647,608.85","59,717,571.48","187,237,353.03","252,229,449.95","243,500,540.63","58,391,621.64","174,200,301.45","238,542,360.58","267,227,743.08","44,535,435.35","178,116,138.16","237,842,317.04","263,464,285.17","90,536,548.42","183,279,846.77","290,508,130.80","287,011,973.83","75,115,432.41","326,418,671.82","517,268,119.33","825,348,195.41","359,210,136.80","447,227,302.96","568,045,206.29","885,614,192.57"
吸收投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,842,909,995.87","3,842,909,995.87","3,842,909,995.87"
