科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"356,255,604.87","449,644,673.61","334,141,729.59","454,188,109.75","242,158,636.92","378,170,044.06","530,057,103.67","154,670,710.80","316,752,679.79","472,709,005.39","647,811,830.96","149,545,341.21","338,386,984.04","549,996,195.68","833,893,445.20","249,065,938.59","546,138,750.52","831,939,819.94","1,190,162,835.24","301,878,916.67","686,860,140.80","1,095,907,281.28","1,469,508,389.85","395,617,563.71","877,474,807.66"
二、营业利润,"48,753,306.62","64,078,794.16","56,046,402.07","79,872,615.39","48,000,342.30","77,702,279.37","104,710,351.57","29,184,510.45","62,894,902.46","94,082,415.41","119,418,786.58","35,157,482.92","73,640,425.65","113,464,782.56","156,691,127.29","43,619,400.03","111,662,852.56","163,449,525.57","225,306,512.87","58,741,006.03","158,922,683.09","240,044,549.38","302,496,076.87","77,262,880.36","187,519,198.80"
减:营业成本,"267,419,312.36","332,527,248.97","234,022,934.74","313,836,355.31","162,134,411.57","251,927,068.60","354,834,197.96","104,885,546.59","214,817,631.71","321,014,243.91","438,786,508.57","96,842,791.34","214,496,061.44","358,551,304.55","545,070,776.31","163,883,941.23","353,908,455.06","540,056,071.60","769,377,048.15","198,745,894.56","449,355,510.77","722,706,681.08","946,725,421.62","259,050,076.12","586,582,539.81"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"80,802.62","1,624,489.96","1,908,553.73","2,525,346.83","1,238,962.51","1,732,717.39","2,384,872.09","701,603.41","1,270,822.52","1,635,654.14","5,979,177.61","1,075,019.59","2,564,696.28","3,639,793.29","5,031,675.94","1,184,448.08","2,496,847.84","3,736,598.92","7,324,900.85","1,802,879.50","3,636,223.08","5,890,725.90","7,439,478.68","1,488,849.59","3,921,914.53"
营业外收入,"5,743,388.82","7,027,235.46","7,298,608.53","9,100,137.30","6,097,264.14","10,061,831.74","16,974,701.09","4,441,022.86","6,076,538.66","11,064,028.27","14,283,035.03","3,231,130.20","4,103,543.41","5,628,559.89","9,786,457.07","4,173,164.30","4,594,141.26","6,934,425.96","14,208,484.88","5,565,277.02","1,945,313.17","2,318,567.25","9,583,621.92","387,777.26","417,945.52"
销售费用,"7,778,862.94","10,245,735.77","8,923,318.46","12,789,446.67","6,384,614.98","9,892,147.45","15,369,680.64","3,999,981.84","7,979,648.25","13,049,734.02","18,598,653.35","4,205,220.72","9,940,902.19","17,083,842.83","31,153,910.65","10,733,188.82","22,087,366.53","35,788,429.55","49,733,870.97","15,955,436.25","32,514,524.00","49,640,467.72","63,922,497.21","19,776,832.55","44,541,120.18"
减:营业外支出,"343,625.24","644,235.04","1,548,356.87","1,573,301.04","467,102.93","658,161.35","961,610.97","267,527.02","652,548.79","1,155,965.55","1,689,062.21","386,784.12","999,728.81","1,011,596.42","2,405,782.68","417,414.32","1,096,314.66","1,365,635.82","2,454,071.08","145,641.54","846,063.98","1,995,393.30","1,704,911.08","317,432.79","791,692.78"
管理费用,"29,766,800.50","37,656,449.05","31,163,327.39","42,265,141.71","22,950,625.85","34,317,631.38","49,382,699.07","14,498,100.45","29,328,359.75","43,639,321.01","62,263,081.10","15,257,328.86","40,126,144.10","63,722,363.11","97,765,606.97","27,869,904.47","57,676,213.31","93,253,213.82","139,678,089.82","35,044,079.71","66,318,586.51","111,613,208.60","172,035,234.17","44,355,761.41","90,873,445.11"
其中:非流动资产处置净损失,80.24,,,,,,"146,465.91","33,341.78",,,"18,929.12","133,753.07","127,218.02",,"627,655.16","202,929.48","202,929.48",,"203,300.54",,"267,613.43","656,291.51",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"2,214,710.41","2,353,275.05","-232,583.33","27,513.77","363,306.32","501,878.71","617,551.50","-271,070.10","-1,045,432.92","-1,595,584.79","-1,717,627.55","-1,450,508.16","-1,993,372.31","-3,560,305.26","-5,175,846.96","755,891.77","-2,266,119.52","-4,450,284.83","-6,695,149.48","1,572,761.47","5,407,396.35","11,119,636.18","15,537,669.13","5,758,212.54","3,447,879.51"
