科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"77,872,757.53","68,029,054.81","78,377,468.03","243,284,893.04","162,041,407.75","185,014,303.15","145,466,858.81","152,412,420.90","153,832,200.15","155,781,764.09","153,010,115.86","111,904,073.95","69,975,753.73","115,183,232.05","113,479,941.52","290,787,292.03"
短期借款,,"40,000,000.00","20,000,000.00",,,,,,,,,"60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,
应收票据,"6,480,705.00","8,206,718.43","300,000.00","4,939,800.00","400,000.00","10,000.00",,,,,,,,"4,337,272.07",,"1,729,792.89"
应付票据,,,,,,,,"2,817,291.52","7,817,291.52","30,600,000.00","39,558,043.77","28,158,043.77","27,200,000.00",,"15,050,000.00",
应收账款,"17,905,565.73","21,630,143.78","23,961,325.04","32,870,970.86","40,898,774.13","21,164,842.72","19,685,677.78","53,772,993.55","62,209,043.55","67,713,070.00","64,081,061.06","91,079,311.79","108,363,115.58","35,488,759.71","55,710,441.08","47,178,496.21"
应付账款,"18,896,266.37","67,838,589.35","67,691,536.52","86,008,610.17","87,370,082.06","78,234,746.63","66,660,625.99","61,740,259.86","76,979,094.09","61,278,867.29","79,372,423.56","109,959,243.26","126,357,923.85",,"145,325,394.56",
预付款项,"16,395,158.40","7,614,075.62","8,236,473.02","10,529,831.91","13,048,858.30","39,379,187.49","37,121,011.07","54,467,079.25","41,337,956.93","54,509,951.50","43,686,242.14","65,320,474.51","43,077,922.68","47,407,037.32","23,331,787.51","50,367,983.64"
预收款项,"3,637,078.39","3,086,089.83","4,548,925.36","8,586,797.33","40,171,858.66","14,164,218.03","17,082,319.10","8,110,904.25","3,588,998.98","9,800,818.65","9,681,946.00","5,945,301.50","4,100,466.31","8,321,801.39","13,375,292.02","16,771,116.89"
其他应收款,"5,608,137.52","5,629,753.08","5,227,138.10","2,148,869.98","1,994,543.46","2,341,204.43","2,281,839.57","2,149,599.37","1,707,788.58","1,550,430.12","1,280,763.51","2,201,873.09","2,488,943.53","2,457,700.96","1,907,833.96","1,047,017.32"
应付职工薪酬,"2,628,823.51","3,101,469.43","3,865,949.49","4,278,564.39","4,937,879.26","4,178,022.02","4,288,983.96","4,820,020.26","5,663,007.95","4,966,064.16","5,371,763.08","5,779,305.46","6,134,218.82","6,447,515.70","7,210,949.28","7,138,145.44"
应收关联公司款,,,,,,,,,,,,,,,,
应交税费,"10,111,299.65","560,185.74","5,551,317.22","3,084,261.80","2,794,873.99","2,129,575.30","4,723,536.67","4,544,757.26","9,250,257.63","5,107,738.71","7,803,552.61","3,972,437.78","5,205,805.59","5,852,663.77","6,879,953.73","6,260,448.51"
应收利息,,,,,,,,,,,,,,,,
应付利息,"3,694,444.42","3,752,888.86","3,708,888.82","4,994,888.81","1,004,888.80","2,334,888.79","3,664,888.82","4,994,888.81","1,004,888.80","2,334,888.79","3,664,888.78","4,994,888.77","1,083,188.76",,"3,751,888.74","5,081,888.73"
应收股利,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,"12,136,800.00",,,,
存货,"71,843,411.28","133,968,821.80","162,413,084.58","204,085,760.83","221,317,865.34","191,206,307.19","208,656,067.15","219,884,446.45","225,658,882.92","212,315,013.79","201,543,471.81","240,597,993.77","220,623,514.49","232,595,849.04","229,431,860.90","247,565,851.44"
其他应付款,"35,405.00","428,698.75","773,545.89","5,206,561.81","1,610,376.11","9,702,818.57","8,537,660.02","8,580,691.17","8,677,055.31","8,688,497.27","8,503,358.00","8,773,354.00","8,763,608.42","11,175,587.20","4,848,977.15","6,708,171.30"
其中:消耗性生物资产,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,"69,698,227.64","69,788,759.30","69,879,290.96","69,969,822.74"
其他流动资产,,,,,,,"3,401,139.61","2,863,651.14","5,963,320.82","6,093,442.68","6,043,564.52","2,392,830.22","6,596,230.85","9,344,888.59","11,945,903.40","18,166,901.44"
其他流动负债,,,,,,,,,,,,,,,,
流动资产合计,"196,105,735.46","245,078,567.52","278,515,488.77","497,860,126.62","439,701,448.98","439,115,844.98","416,612,593.99","485,550,190.66","490,709,192.95","497,963,672.18","469,645,218.90","513,496,557.33","451,125,480.86","446,814,739.74","435,807,768.37","656,843,334.97"
流动负债合计,"39,003,317.34","118,767,921.96","106,140,163.30","112,159,684.31","137,889,958.88","110,744,269.34","104,958,014.56","95,608,813.13","112,980,594.28","122,776,874.87","153,955,975.80","239,719,374.54","308,543,439.39","327,382,629.69","322,569,857.70","321,631,590.93"
可供出售金融资产,,,,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,,,,"58,555,123.60"
持有至到期投资,,,,,"100,000,000.00","100,000,000.00","100,000,000.00","30,000,000.00",,,,,,,,
应付债券,"68,068,657.76","68,430,784.40","68,792,911.04","68,883,442.70","68,973,974.36","69,064,506.02","69,155,037.68","69,245,569.34","69,336,101.00","69,426,632.66","69,517,164.32","69,607,695.98",,,,
长期应收款,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,
固定资产,"164,411,846.57","217,193,710.95","225,535,558.00","218,161,287.30","215,586,282.96","210,360,015.84","225,311,933.38","218,625,748.07","223,108,930.15","215,825,824.27","232,215,603.38","226,491,085.91","231,160,619.03","406,466,435.76","441,955,915.67","444,900,727.78"
递延所得税负债,,,,,,,,,,,,,,,,
在建工程,"15,784,434.32","18,716,400.78","11,014,592.14","14,836,137.29","17,824,456.68","20,441,699.98","36,071,195.49","42,233,748.40","80,582,964.93","104,622,235.05","150,552,485.09","177,070,612.41","216,998,387.98","77,208,400.06","57,675,321.44","59,363,585.81"
其他非流动负债,,,,,,,,,,,,,,,,
工程物资,"2,344,427.32","1,416,807.75","665,235.61","648,110.90","742,715.15","870,764.20","1,457,500.46","2,733,682.77","6,223,771.07","5,987,961.88","3,691,069.43","2,319,329.48","1,344,168.71",,,
非流动负债合计,"68,068,657.76","68,430,784.40","68,792,911.04","68,883,442.70","68,973,974.36","69,064,506.02","69,155,037.68","69,245,569.34","69,336,101.00","69,426,632.66","69,517,164.32","69,607,695.98",,,,"58,555,123.60"
固定资产清理,,,,,,,,,,,,,,,,
负债合计,"107,071,975.10","187,198,706.36","174,933,074.34","181,043,127.01","206,863,933.24","179,808,775.36","174,113,052.24","164,854,382.47","182,316,695.28","192,203,507.53","223,473,140.12","309,327,070.52","308,543,439.39","327,382,629.69","322,569,857.70","380,186,714.53"
生产性生物资产,,,,,,,,,,,,,,,,
实收资本(或股本),"70,010,000.00","70,010,000.00","70,010,000.00","93,360,000.00","93,360,000.00","93,360,000.00","93,360,000.00","93,360,000.00","93,360,000.00","93,360,000.00","93,360,000.00","93,360,000.00","93,360,000.00","93,360,000.00","93,360,000.00","100,526,122.00"
油气资产,,,,,,,,,,,,,,,,
资本公积,"97,616,391.54","97,616,391.54","97,616,391.54","277,334,191.54","277,334,191.54","277,334,191.54","277,334,191.54","277,334,191.54","277,334,191.54","277,334,191.54","277,334,191.54","277,334,191.54","277,334,191.54","277,334,191.54","277,334,191.54","419,025,579.39"
无形资产,"25,681,452.49","21,786,155.94","17,940,616.46","16,933,738.83","15,926,284.26","14,918,829.70","14,480,994.09","13,381,605.15","12,842,978.56","12,769,471.81","12,695,965.06","12,622,458.31","12,551,773.22","90,692,757.53","105,452,832.26","98,570,520.39"
盈余公积,"14,732,730.47","19,196,364.64","23,817,999.17","24,475,530.48","26,103,114.67","28,496,147.27","30,032,887.24","30,638,246.22","32,088,166.87","33,165,650.70","34,891,788.16","35,801,782.48","37,744,933.47","39,161,833.02","41,498,823.66","42,801,079.33"
开发支出,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,,,
未分配利润,"115,142,162.78","130,449,404.63","168,025,608.07","172,975,277.03","186,592,795.88","207,151,369.12","219,897,996.21","226,931,441.25","229,452,968.91","241,679,221.00","261,614,723.33","256,872,034.60","273,713,813.27","286,874,155.73","306,976,217.14","317,989,500.79"
长期待摊费用,,,,,,,,,,,,,,,,
少数股东权益,,,,,,,,,,,,,,,,
递延所得税资产,"245,363.73","279,224.23","731,582.14","748,725.12","472,847.30","443,328.59","803,909.82","856,909.87","1,885,774.64","1,374,995.28","1,145,501.29","1,190,757.35","881,101.28","786,006.92","847,252.30","850,827.09"
外币报表折算价差,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,"20,728,000.00","39,504,278.35","76,634,846.59","2,144,469.97",,
非正常经营项目收益调整,,,,,,,,,,,,,,,,
非流动资产合计,"208,467,524.43","259,392,299.65","255,887,584.35","251,327,999.44","350,552,586.35","347,034,638.31","378,125,533.24","307,831,694.26","324,644,419.35","340,580,488.29","421,028,624.25","459,198,521.81","539,570,896.81","577,298,070.24","605,931,321.67","603,685,661.07"
所有者权益(或股东权益)合计,"297,501,284.79","317,272,160.81","359,469,998.78","568,144,999.05","583,390,102.09","606,341,707.93","620,625,074.99","628,527,502.45","633,036,917.02","646,340,652.94","667,200,703.03","663,368,008.62","682,152,938.28","696,730,180.29","719,169,232.34","880,342,281.51"
资产总计,"404,573,259.89","504,470,867.17","534,403,073.12","749,188,126.06","790,254,035.33","786,150,483.29","794,738,127.23","793,381,884.92","815,353,612.30","838,544,160.47","890,673,843.15","972,695,079.14","990,696,377.67","1,024,112,809.98","1,041,739,090.04","1,260,528,996.04"
负债和所有者(或股东权益)合计,"404,573,259.89","504,470,867.17","534,403,073.12","749,188,126.06","790,254,035.33","786,150,483.29","794,738,127.23","793,381,884.92","815,353,612.30","838,544,160.47","890,673,843.15","972,695,079.14","990,696,377.67","1,024,112,809.98","1,041,739,090.04","1,260,528,996.04"
