科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"738,427,753.55","866,485,327.71","934,174,730.03","578,309,650.31","865,901,908.28","1,231,597,065.37","302,388,922.94","711,954,709.38","1,066,937,023.89","1,533,887,592.05","354,508,426.15","858,811,164.74","1,322,727,096.05","1,962,741,353.82","452,005,589.41","1,153,057,800.05","1,823,365,980.57","2,653,809,972.52","647,363,489.79","1,599,772,063.63","2,493,357,215.46","3,588,940,098.27","830,255,945.79","2,041,858,734.92","3,121,250,009.67","4,542,718,028.20","1,016,476,697.80","2,525,275,445.95","3,985,465,874.41","5,794,897,867.13","1,361,883,474.88","3,197,757,967.90","4,987,929,579.72","7,017,397,057.99","1,591,941,726.40","3,496,662,565.47","5,393,889,267.86","7,424,885,274.14","1,660,339,786.05"
二、营业利润,"80,050,263.32","61,635,987.34","94,202,743.16","70,369,702.51","107,800,555.37","152,484,249.28","36,546,715.06","88,805,362.74","138,903,441.55","209,506,268.96","43,791,512.87","117,767,037.94","182,547,812.16","297,120,374.75","64,962,574.54","167,528,992.24","267,279,321.16","439,691,246.40","99,080,648.73","239,613,192.05","387,623,983.74","643,582,357.46","138,036,830.06","352,227,039.12","564,871,999.06","953,027,985.59","183,021,793.35","483,633,302.26","800,375,171.14","1,334,040,754.67","243,293,024.36","650,588,342.21","1,061,044,189.44","1,690,032,920.84","356,795,581.62","774,894,688.23","1,176,702,030.61","1,701,556,036.85","382,558,210.48"
减:营业成本,"390,073,073.14","412,771,707.01","419,864,423.64","260,492,922.82","391,130,216.52","559,106,985.69","148,091,225.35","344,805,326.41","511,962,668.15","728,873,650.63","164,760,749.72","397,268,006.67","612,079,797.41","911,033,270.38","211,506,185.07","531,457,826.58","833,148,640.87","1,209,160,900.41","282,290,248.95","703,570,103.53","1,098,964,194.15","1,559,526,482.36","361,710,746.01","869,816,665.43","1,301,875,642.77","1,899,998,270.12","422,161,663.49","1,034,104,962.51","1,635,662,222.31","2,474,046,323.44","558,461,283.99","1,364,974,473.54","2,191,358,855.43","3,250,587,734.46","758,961,452.81","1,628,645,402.72","2,519,018,355.86","3,450,765,242.29","750,565,746.05"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"8,063,386.75","6,494,256.39","10,587,232.87","6,442,412.99","9,380,842.66","12,447,447.98","3,201,239.17","7,798,027.94","10,937,461.71","14,875,194.88","4,422,234.11","10,223,776.71","15,261,904.44","21,634,916.06","4,762,345.28","12,677,399.58","19,286,107.07","28,079,262.24","7,169,923.56","18,321,086.77","27,561,761.61","39,298,763.26","9,010,497.54","21,435,000.95","32,628,793.31","46,546,189.27","9,996,115.94","26,195,503.16","40,589,129.15","67,524,311.70","9,690,276.76","28,497,689.21","47,250,747.36","66,643,024.66","15,069,379.56","33,709,271.63","48,853,295.63","70,571,367.91","14,840,974.73"
营业外收入,"3,693,849.18","3,660,151.90","726,959.63","1,658,398.94","3,096,866.49","3,771,391.57","1,326,315.94","6,123,342.78","6,915,820.08","8,389,226.44","6,900,696.86","7,530,739.84","8,202,807.89","11,852,214.80","523,689.00","1,306,859.54","6,403,532.10","7,026,118.95","723,707.64","14,465,344.17","16,517,283.12","23,381,317.32","2,435,439.93","7,625,679.34","9,381,305.26","17,323,676.20","10,637,165.13","16,236,478.71","21,279,910.31","71,581,516.58","54,560,257.65","56,749,095.73","61,261,492.55","4,101,313.11","260,066.93","5,676,533.87","6,585,510.73","2,375,724.71","165,984.03"
销售费用,"223,279,178.55","330,933,572.44","340,317,851.51","205,324,047.55","301,961,227.10","421,004,300.66","96,627,365.50","229,782,386.88","340,460,530.54","488,364,443.99","119,772,201.76","284,297,177.06","431,784,203.47","599,158,859.61","136,534,747.27","367,898,014.57","579,951,346.91","798,142,613.91","213,119,297.46","540,584,827.57","812,772,325.39","1,115,103,951.43","269,681,703.93","685,276,001.79","1,048,497,113.16","1,353,472,757.71","334,404,386.23","848,782,530.25","1,288,238,552.44","1,545,113,253.35","471,304,820.89","990,113,538.91","1,440,239,166.12","1,677,876,519.87","452,452,587.39","964,745,068.44","1,495,239,191.95","1,909,856,779.45","511,863,589.25"
减:营业外支出,"1,393,539.67","693,076.90","727,883.06","14,565.27","18,978.25","35,392.38","304,750.00","312,235.00","319,961.07","329,003.62","19,938.64","26,370.64","63,032.35","1,789,264.47","68,193.11","596,245.16","925,330.88","3,133,750.19","353,425.00","484,373.95","811,524.25","2,851,499.99","1,047,727.32","1,095,697.61","1,532,003.20","1,542,092.75","1,030,409.29","1,051,825.47","1,123,525.62","1,363,170.62","1,070,107.20","1,249,866.92","1,331,075.89","1,459,568.44","1,069,122.30","1,127,717.43","1,223,275.90","1,607,088.22","1,038,233.59"
管理费用,"34,208,657.61","58,219,017.61","70,058,595.20","36,694,730.53","57,528,396.46","89,962,404.58","20,336,531.36","42,879,709.00","69,017,740.80","113,400,023.70","26,850,495.29","54,413,005.41","87,875,832.24","162,122,484.29","38,624,561.51","83,467,315.43","136,956,093.40","210,261,377.35","51,625,398.80","110,378,054.20","186,017,762.56","267,791,727.33","61,531,409.19","134,555,448.62","216,009,009.52","354,268,839.92","78,764,661.22","167,068,332.27","270,271,394.59","449,159,276.21","96,680,581.87","204,951,411.09","321,101,312.80","480,961,636.40","101,162,309.29","234,517,496.89","189,057,262.33","272,355,117.98","50,550,290.72"
其中:非流动资产处置净损失,"1,140,583.54","178,070.78","665,337.37",,,,,,,,,,"20,808.51","21,139.05","43,230.37","70,295.16","59,313.20","2,259,238.83",,"124,719.20","141,896.60","145,047.97",,,,"28,343.54","16,491.34","21,773.72","38,599.14","158,469.35",,"10,700.14","12,045.48",,,,,,
