科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"69,437,584.39","31,695,867.31","46,500,034.02","40,017,266.38","23,421,136.25","414,179,197.48","340,231,526.04","316,001,705.55","293,862,831.27","285,381,680.79","282,382,717.52","264,142,018.48","256,286,099.11","238,025,169.23","254,254,106.74","251,864,496.14","197,128,766.19","206,510,363.84","230,519,764.51","231,544,722.95","215,347,591.23","222,060,206.93","183,263,736.00","176,931,530.65","158,806,795.46","191,596,057.06","201,498,731.90","210,898,454.76","232,800,889.71","1,767,266,832.14","1,081,902,903.25","1,087,047,322.41","1,450,535,746.22","723,201,091.00","679,003,963.55","671,640,439.39"
短期借款,"27,000,000.00","55,500,000.00","53,450,000.00","56,450,000.00","30,450,000.00","28,950,000.00","12,450,000.00","9,800,000.00","10,300,000.00","10,300,000.00","10,000,000.00","40,000,000.00","41,500,000.00","11,500,000.00","51,000,000.00","53,000,000.00","13,000,000.00","13,000,000.00","14,500,000.00","21,500,000.00","20,000,000.00","20,000,000.00","21,000,000.00","31,000,000.00","20,000,000.00","17,000,000.00","18,500,000.00","18,500,000.00","37,000,000.00","187,000,000.00","10,000,000.00","10,000,000.00","223,100,000.00","223,100,000.00","285,100,000.00","266,100,000.00"
交易性金融资产,,"1,563,976.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"12,566,338.84","6,899,611.90","14,639,721.14","32,630,358.19","12,045,679.81","21,024,965.21","15,248,902.20","8,966,348.04","17,895,046.72","9,035,405.84","6,492,293.19","17,283,643.50","5,807,413.25","17,626,333.73","11,080,137.64","6,985,628.34","14,840,179.91","25,667,076.35","19,460,980.88","14,795,447.52","19,974,554.13","20,323,143.49","20,963,533.09","25,563,303.42","21,219,559.83","34,598,272.08","23,752,045.48","26,060,273.93","18,345,152.11","33,887,952.40","25,116,333.20","30,477,578.13","39,108,773.40","52,204,084.17","38,296,361.97","36,686,717.92"
应付票据,,,,,,,,,"60,738.80",,"170,000.00",,,,,,,,,,,,,,,,,,,,,"200,000.00","500,000.00","300,000.00","1,300,000.00","4,788,431.84"
应收账款,"32,508,392.96","45,628,313.60","49,533,657.45","57,119,635.38","63,991,558.85","60,631,909.92","62,810,992.15","76,595,104.83","74,866,464.49","74,221,421.66","84,471,399.76","89,062,435.34","91,028,750.27","85,370,885.07","94,936,398.82","105,380,025.14","108,462,197.03","112,354,794.08","132,345,952.15","143,613,616.66","134,349,276.51","141,110,483.83","137,948,660.69","140,784,421.79","141,549,412.40","136,157,538.86","141,504,822.17","136,672,544.23","138,522,316.08","217,567,470.11","258,450,569.06","296,141,101.13","291,755,486.15","370,991,271.13","410,543,753.51","446,853,002.31"
应付账款,"25,566,241.35","35,989,397.31","38,620,191.63","52,151,660.60","42,510,439.91","60,845,421.68","42,318,308.51","50,438,624.49","49,369,777.71","63,134,800.55","51,615,109.81","48,661,145.55","50,007,907.60","48,448,962.08","40,510,135.72","46,706,547.44","41,057,865.50","50,579,718.55","44,981,333.28","50,276,912.94","50,019,926.26","57,146,755.98","50,910,971.19","51,153,042.31","47,473,757.34","66,040,419.06","56,422,992.91","58,208,012.61","59,785,952.81","115,684,030.26","115,389,840.10","118,244,959.11","114,466,410.75","181,385,033.83","162,569,002.31","169,926,600.80"
预付款项,"4,437,087.39","7,554,570.16","9,985,422.13","14,830,368.39","9,630,503.17","10,281,340.27","12,758,057.67","14,568,635.57","17,709,107.01","13,772,696.44","13,073,046.31","17,226,130.21","19,302,376.29","11,392,288.63","12,756,938.52","10,776,411.52","12,191,421.31","10,613,791.14","17,145,490.54","18,129,117.72","20,498,919.87","15,127,102.85","22,117,542.56","24,459,957.67","23,651,469.94","13,679,084.20","23,095,824.58","28,235,547.38","27,856,802.68","20,861,470.48","30,723,512.78","106,259,920.17","118,421,223.15","147,708,273.12","256,655,638.65","139,374,787.50"
预收款项,"65,974,204.86","78,442,591.80","53,769,530.11","89,551,191.16","99,174,121.97","101,797,992.64","118,258,336.78","115,957,331.52","126,648,317.08","111,732,041.53","118,924,401.15","105,676,333.40","92,012,855.34","102,881,895.78","101,552,201.44","79,813,997.92","78,530,430.07","78,527,568.34","91,437,595.70","85,274,598.15","98,697,524.46","128,951,494.84","120,187,592.97","112,799,990.59","96,177,430.52","85,810,985.36","87,252,561.76","90,650,540.61","95,223,695.31","122,191,561.85","116,944,359.24","152,598,460.51","163,991,025.05","181,185,328.83","200,318,591.66","219,868,394.81"
其他应收款,"2,739,267.62","2,790,652.82","4,006,422.56","3,916,696.44","14,771,166.23","3,967,692.79","3,877,815.93","4,503,011.93","5,726,469.35","4,157,466.35","4,588,722.87","4,676,058.91","4,799,435.48","3,584,629.70","4,390,902.59","5,002,381.45","6,052,472.55","6,463,655.66","7,266,186.93","7,526,726.46","8,102,959.88","6,167,122.06","6,284,747.05","9,267,961.71","8,827,025.15","8,554,511.05","16,214,323.87","18,962,915.70","14,611,038.80","22,673,275.91","21,559,796.80","23,592,758.55","28,753,516.71","23,867,614.05","30,504,253.93","115,401,706.11"
