科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"59,844,718.59","64,836,858.98","75,147,752.56","15,250,330.35","35,197,510.51","55,762,705.40","92,142,327.74","18,420,759.46","41,514,350.03","62,806,499.56","96,394,485.33","22,930,087.38","48,287,545.19","69,624,655.45","100,527,997.61","21,987,352.79","49,398,851.21","71,168,986.44","110,074,729.26","22,871,343.58","46,433,811.44","73,096,171.55","192,124,040.97","92,646,669.74","223,061,726.45","401,991,198.62","619,663,715.53","158,643,386.69","370,574,030.27","648,487,799.78","937,521,065.73","215,590,304.43","476,068,261.76","793,396,782.96"
二、营业利润,"24,310,553.69","21,031,780.36","23,896,769.70","1,966,064.56","7,332,214.17","10,070,104.92","27,848,653.19","2,393,716.75","5,945,284.41","3,512,331.73","16,735,078.60","319,093.55","4,405,074.40","3,040,669.85","11,150,805.23","174,068.43","1,270,632.57","58,730.83","8,477,895.12","-309,157.11","-780,161.94","-1,664,770.96","26,411,572.18","6,493,401.73","16,403,836.94","54,676,615.78","83,798,501.25","9,209,921.71","20,464,084.90","62,589,584.82","101,142,074.18","13,575,168.98","20,191,072.07","46,724,907.95"
减:营业成本,"21,736,918.51","23,614,718.37","26,186,244.30","5,724,272.01","13,836,108.98","22,688,821.71","32,619,908.01","5,747,692.64","18,508,208.36","29,793,258.74","42,994,497.52","12,024,992.92","22,789,160.57","33,487,104.17","47,136,736.37","10,221,641.52","24,915,823.88","36,684,755.92","51,116,498.03","11,007,639.95","21,890,110.68","38,310,945.42","95,320,004.40","51,568,188.80","131,499,679.91","223,424,229.66","347,998,850.51","99,999,750.67","231,813,172.11","391,871,332.92","569,620,406.94","137,084,750.45","306,930,952.43","510,111,833.02"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"467,233.95","423,362.68","586,899.95","118,874.96","288,160.82","393,420.69","1,377,709.25","122,910.72","367,791.52","734,516.10","1,442,412.57","111,004.60","385,400.40","630,543.10","1,146,151.23","150,668.74","320,276.17","482,734.54","1,057,438.01","158,646.93","385,716.71","611,877.38","1,156,927.27","282,278.21","1,015,124.79","1,719,253.24","2,491,125.77","561,119.71","1,033,718.03","1,536,299.61","3,510,892.51","631,651.37","1,401,847.48","1,767,119.41"
营业外收入,"1,144,774.39","3,271,673.22","6,683,409.74","3,559,050.68","4,557,490.62","4,772,217.05","7,245,914.15","1,902,542.23","3,307,024.66","5,310,679.38","6,452,934.04","3,688,881.18","5,820,419.90","7,107,462.69","9,119,311.08","1,539,532.24","3,059,161.88","3,917,342.20","6,057,707.82","1,453,045.18","2,540,164.57","3,534,540.10","4,403,139.34","256,316.64","1,188,536.12","1,784,187.20","2,786,521.13","1,348,063.25","2,074,681.72","6,281,919.61","6,460,489.14","519,754.14","165,710.74","216,118.36"
销售费用,"10,555,494.68","7,827,475.13","10,283,143.58","3,296,378.76","5,368,956.76","9,707,601.14","12,721,557.86","4,664,561.87","9,111,194.91","15,096,774.24","21,680,265.51","5,387,334.37","10,475,108.50","16,254,031.10","20,466,965.97","5,221,695.10","10,172,122.77","13,717,099.80","22,718,310.81","4,737,618.08","9,783,719.67","13,539,008.62","24,069,964.04","13,237,797.79","28,462,013.42","48,821,186.74","72,618,641.84","20,638,239.67","50,988,819.47","83,256,989.29","131,950,010.12","38,568,486.73","81,878,379.71","136,071,212.63"
减:营业外支出,"6,339.96",,,,,,576.85,"20,000.00","20,000.00","20,140.26","20,140.26",,399.29,"1,102.11","2,122.86","1,228.54","1,228.54","1,466.96","1,466.96",,"2,923.05","2,923.05","11,703.70","111,312.09","2,123,710.79","2,236,783.29","2,246,453.77","5,032.60","7,955.62","50,898.80","28,681.18","3,191.97","158,838.85","196,455.49"
管理费用,"7,588,698.69","11,183,098.45","11,913,373.39","3,416,650.77","6,483,288.05","10,586,959.95","18,454,038.35","5,403,072.14","10,438,266.97","15,876,682.96","21,642,753.51","7,037,990.59","14,240,481.93","22,115,262.46","29,848,601.36","8,182,032.99","16,190,813.11","25,052,172.02","34,676,402.39","8,686,420.62","17,402,708.49","25,505,479.46","48,432,734.48","23,151,447.54","45,475,166.53","69,094,285.86","105,941,131.71","26,759,189.69","54,399,348.57","87,403,518.51","115,460,554.02","29,049,883.65","57,359,172.61","83,479,623.15"
其中:非流动资产处置净损失,,,,,,,,,,,,,399.29,"1,102.11","2,122.86","1,228.54","1,228.54","1,466.96","1,455.68",,"2,923.05","2,923.05","11,703.70",,"15,993.48","21,017.98","26,848.46","5,032.60","7,955.62","40,845.81","18,628.19","3,191.97","29,177.57","66,794.21"
