科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"77,593,609.42","52,722,374.51","59,459,435.35","45,656,974.40","64,224,804.11","319,748,133.16","229,507,199.69","213,587,222.64","187,077,689.37","220,747,379.19","160,654,615.49","179,285,420.48","177,410,619.45","271,653,577.86","181,838,806.93","199,995,534.20","260,288,890.81","152,242,730.09","147,323,157.21","198,333,031.97","173,963,381.97","147,064,884.01","101,857,843.00","197,720,851.13","208,088,739.83","203,717,668.08"
短期借款,"104,330,000.00","118,530,000.00","104,500,000.00","110,000,000.00","118,000,000.00","44,000,000.00","44,000,000.00","44,000,000.00","50,000,000.00","50,000,000.00","70,000,000.00","70,000,000.00","46,000,000.00","201,000,000.00","201,000,000.00","231,000,000.00","315,400,000.00","234,400,000.00","284,400,000.00","340,000,000.00","340,000,000.00","330,000,000.00","250,000,000.00","280,000,000.00","270,000,000.00","270,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"10,108,195.50","36,065,824.47","98,205,235.34","124,460,616.31","119,752,626.10","118,347,344.05","124,014,560.55","113,567,459.79","108,525,212.40","128,447,516.10","117,424,106.06","140,932,589.78","108,835,739.12","127,775,054.88","119,742,528.59","133,656,965.99","147,549,759.66","169,766,923.74","149,543,577.09","132,808,631.95","123,477,290.45","168,901,098.44","158,033,001.59","148,261,345.87","124,303,265.71","130,383,288.97"
应付票据,"29,450,000.00","22,312,381.00","18,640,000.00","6,390,000.00","8,290,000.00","12,020,000.00","36,299,000.00","40,107,000.00","42,891,150.00","41,948,050.00","19,584,900.00","17,940,000.00","19,635,000.00","19,525,000.00","17,403,000.00","28,603,000.00","43,884,111.82","39,959,111.82","30,990,000.00","33,590,000.00","32,590,000.00","27,880,000.00","25,090,000.00",,"86,080,593.50",
应收账款,"167,142,931.81","162,887,480.90","180,810,250.91","193,781,034.94","208,826,618.96","232,287,435.30","236,133,026.69","206,082,667.20","227,159,492.56","219,444,740.94","237,836,422.04","196,424,246.43","205,845,189.51","332,412,179.92","335,943,224.43","304,983,501.90","384,858,462.33","362,235,010.59","364,764,991.54","372,125,742.12","423,506,827.02","376,168,323.13","355,638,436.36","332,567,822.47","349,572,555.86","370,891,775.35"
应付账款,"70,975,390.13","72,968,486.37","66,010,888.47","94,465,312.17","97,762,567.75","85,503,583.95","111,000,339.63","85,281,780.82","92,355,616.43","87,340,043.84","82,736,121.35","70,738,122.26","78,841,055.79","196,743,899.81","197,209,989.36","185,080,341.39","219,861,791.97","219,899,634.58","256,355,735.91","252,700,380.18","269,223,659.71","301,579,692.37","308,063,237.77",,"266,588,391.33",
预付款项,"7,790,415.47","8,343,577.38","10,059,603.70","20,786,349.18","16,009,517.03","7,882,505.48","7,564,443.15","5,802,802.81","23,384,261.01","23,550,111.65","58,976,594.52","8,101,142.11","16,007,997.87","50,183,873.44","114,118,979.20","119,375,085.96","99,006,742.87","72,835,370.30","142,915,892.08","141,569,555.23","80,356,535.67","94,446,092.54","44,529,003.57","61,335,619.03","33,794,362.71","18,538,246.67"
预收款项,"485,179.98","6,830,588.52","444,253.32","920,247.96","958,760.45","837,666.75","750,277.90","11,391.72","746,173.79","607,691.65","305,482.40","998,091.64","602,533.33","3,657,367.96","1,915,308.26","909,434.94","1,665,050.68","1,667,843.53","3,903,653.27","1,644,537.15","1,353,984.49","1,843,799.55","2,685,637.24","1,361,021.15","2,567,099.80","1,566,160.28"
其他应收款,"2,717,410.26","3,268,930.78","3,970,884.22","5,544,141.92","5,607,213.32","239,952.50","301,808.67","397,232.27","387,753.78","471,995.46","254,047.74","331,753.25","2,226,635.47","6,929,478.38","6,166,686.60","9,336,486.72","8,216,577.12","7,718,611.67","7,938,678.07","7,301,393.86","6,092,221.00","7,141,412.54","6,758,617.63","5,189,531.72","5,851,660.34","7,282,255.46"
