科目,2008年度,2009年1-6月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付给职工以及为职工支付的现金,"1,980,724,514.58","1,239,285,310.57","2,329,377,722.01","550,784,168.27","1,266,211,880.70","1,582,193,787.64","2,720,915,974.53","694,710,895.95","1,403,032,382.88","2,221,737,324.18","3,531,366,379.39","1,078,070,482.38","1,633,784,578.90","2,426,562,672.91","3,789,960,961.25","949,628,647.77","1,779,041,604.18","2,709,920,402.48","4,208,485,571.59","1,085,648,106.84","2,120,505,666.06","3,104,680,277.34","4,642,851,413.95","1,141,034,270.15","2,132,062,155.15","3,106,401,304.58","4,739,165,159.62","1,124,730,373.95","1,980,290,957.02","3,022,521,275.39","4,476,209,819.87","972,330,606.94","1,974,912,342.84","2,949,575,469.26","4,477,979,225.27","1,112,013,333.33","2,206,009,605.12","3,422,861,898.72","5,380,360,176.74","1,464,795,774.84"
取得借款收到的现金,"2,392,289,100.89","1,468,451,650.00","1,730,378,067.56","98,766,600.00","372,122,676.00","859,319,485.08","1,156,772,085.08",,"58,244,400.00","197,886,976.55","264,849,881.68","146,845,005.65","259,207,378.30","568,666,823.94","651,797,692.38",,,"148,000,000.00","1,028,000,000.00","1,145,265,338.33","2,812,075,000.00","3,691,172,373.23","3,932,495,373.23","715,097,000.00","1,417,263,000.00","1,840,320,054.31","2,195,405,320.00","909,108,000.00","1,570,221,600.00","1,679,626,400.00","2,192,368,000.00","200,979,976.00","1,097,758,647.69","1,242,333,219.15","2,154,477,333.31","508,452,003.77","1,099,960,368.90","3,815,936,049.90","5,191,458,712.97","1,060,640,859.33"
支付的各项税费,"849,316,585.01","517,115,206.93","1,114,771,913.61","244,045,256.10","644,401,298.97","806,933,927.95","1,279,818,225.07","258,655,067.95","785,451,500.04","1,091,567,070.05","1,854,995,009.40","359,653,053.26","964,157,175.36","1,293,619,046.43","2,189,677,857.65","443,407,419.03","1,245,411,400.60","1,683,341,469.18","2,528,669,315.45","504,752,896.93","1,207,525,643.78","1,693,127,440.02","2,670,685,774.16","538,289,473.87","1,216,575,810.89","1,499,451,239.59","2,207,677,469.13","468,690,979.67","1,190,483,174.35","1,485,551,045.19","2,125,468,760.95","399,172,531.25","1,252,532,166.82","1,656,893,775.95","2,345,005,557.74","652,617,451.56","1,688,662,230.30","2,222,755,216.38","3,043,543,863.30","785,730,178.10"
收到其他与筹资活动有关的现金,"10,771,151.58","2,162,527.16","4,282,215.92",,"2,560,361.60",,"111,220,586.29",,,,"112,860,786.24",,"22,685,147.12","36,297,517.45","117,761,561.06",,"27,755,706.96","36,640,205.33","49,817,997.72","198,196.03","4,183,300.00","7,310,732.00","15,812,074.72","1,536,171.76","120,816,330.33","172,850,876.66","477,545,208.24","5,018,671.33","5,186,804.85","5,188,409.11","5,458,581.27","16,921.54","33,463.40","397,313,717.41","398,203,762.49","15,038.03","529,265.00","529,265.00","3,030,751.92",844.73
支付其他与经营活动有关的现金,"1,150,980,215.47","1,023,840,025.68","1,138,408,137.54","440,780,824.30","968,237,695.43","1,683,994,116.36","814,227,684.15","961,099,261.74","1,219,767,764.34","2,122,519,172.33","1,386,391,540.24","1,170,644,097.96","1,246,128,991.52","2,775,789,564.94","1,761,002,043.22","1,106,183,367.19","1,484,212,129.63","2,981,191,094.43","3,064,278,268.07","1,130,304,163.32","1,539,022,804.38","3,392,256,430.49","4,231,457,654.41","621,617,122.07","1,609,140,338.78","2,952,663,512.63","3,909,988,484.92","881,523,581.96","2,851,072,109.94","2,909,158,619.81","4,047,771,147.55","1,789,181,988.98","2,426,903,694.28","3,726,612,405.16","4,471,694,523.75","1,276,635,125.40","2,564,224,508.47","5,115,535,246.16","5,645,865,178.58","2,630,506,214.97"
筹资活动现金流入小计,"2,873,110,230.33","1,470,614,177.16","8,319,422,433.48","98,766,600.00","374,683,037.60","859,319,485.08","1,346,172,671.37",,"58,244,400.00","197,886,976.55","377,710,667.92","178,845,005.65","553,892,525.42","1,051,634,445.16","1,361,229,358.44",,"203,755,706.96","360,640,205.33","1,253,817,997.72","1,216,463,534.36","2,887,258,300.00","3,769,496,405.23","4,019,320,747.95","716,633,171.76","1,538,079,330.33","2,013,170,930.97","2,672,950,528.24","914,126,671.33","1,575,708,404.85","1,685,114,809.11","2,225,866,581.27","204,116,897.54","1,106,712,111.09","1,650,066,936.56","2,589,641,095.80","512,957,041.80","1,106,979,633.90","3,822,955,314.90","8,204,879,464.89","1,060,641,704.06"
经营活动现金流出小计,"22,911,827,610.04","12,839,162,558.97","26,712,695,979.52","7,276,553,594.73","12,652,473,148.25","21,800,442,242.25","27,715,182,251.39","7,684,432,969.52","17,190,641,432.46","31,925,609,129.58","39,754,469,540.07","10,884,750,512.25","22,850,013,441.84","37,288,696,733.14","51,101,028,094.84","14,872,966,927.09","28,228,355,436.63","48,793,779,215.59","60,884,191,130.80","14,867,365,881.93","28,223,756,842.38","41,398,327,089.67","58,362,902,472.44","13,393,880,113.41","24,459,401,880.89","37,038,363,801.54","46,954,981,746.21","12,535,223,589.55","23,896,014,795.25","32,705,048,909.56","44,271,390,553.46","13,837,354,801.59","26,377,646,688.49","39,516,955,596.67","52,423,333,439.60","16,447,110,272.26","31,863,457,125.11","51,264,743,480.38","70,234,562,760.69","21,648,088,747.53"
偿还债务支付的现金,"2,357,804,994.94","1,764,094,950.00","2,480,909,950.00","263,748,600.00","1,052,971,331.05","1,323,304,452.25","1,628,053,622.47","279,035,600.00","434,546,437.31","531,620,437.31","674,378,959.46",,"143,993,272.30","530,347,016.36","606,752,166.82","200,000,000.00","152,088,751.17","549,838,543.37","596,462,075.64","85,356,600.00","86,287,200.02","662,826,464.79","926,178,946.42","71,000,000.00","233,000,000.00","853,501,867.73","1,005,701,520.00","251,100,000.00","650,350,000.00","1,010,030,800.00","1,585,781,689.19","243,248,665.06","499,597,830.60","894,815,320.55","1,751,651,592.45","360,320,054.76","852,180,158.05","2,423,985,173.47","6,558,650,189.84","153,641,890.00"
经营活动产生的现金流量净额,"2,319,412,893.37","663,885,186.12","2,191,035,936.37","-389,598,949.88","1,011,643,681.59","2,561,436,989.95","2,898,741,890.86","392,743,095.78","1,262,666,190.60","2,061,745,964.17","4,121,879,583.42","86,435,933.49","747,933,192.74","1,258,413,955.20","2,995,107,151.51","-829,824,478.93","963,978,349.66","726,082,062.92","2,068,539,839.21","-2,345,914,058.32","-812,011,720.82","-830,004,792.79","1,481,582,541.23","-1,764,526,613.02","-715,537,493.18","-466,262,704.66","1,903,176,556.65","-986,038,173.61","-1,109,869,893.27","863,347,184.31","2,832,986,967.77","-1,826,480,107.44","-1,423,293,833.82","-907,925,397.55","2,885,752,496.14","-471,782,398.39","3,295,391,891.10","1,519,436,280.26","4,909,220,796.85","-3,046,283,843.01"
分配股利、利润或偿还利息支付的现金,"184,194,471.32","168,269,371.45","227,491,842.62","18,621,822.34","58,284,929.33","19,187,946.65","84,344,037.98","22,057,917.98","47,427,005.26","64,231,899.75","218,055,114.67","6,099,408.90","49,897,883.46","302,676,378.80","324,480,384.93","10,472,361.13","40,551,721.46","362,073,672.01","369,196,983.91","6,761,139.14","87,182,371.70","585,894,306.65","720,234,493.65","88,745,003.23","173,654,051.10","761,622,381.94","854,351,167.03","76,002,195.23","173,566,235.98","693,489,332.95","795,396,284.86","76,487,865.89","166,546,824.98","792,232,460.92","892,585,752.06","165,023,365.78","723,798,490.55","774,115,014.30","928,000,112.56","43,847,246.55"
