科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"134,924,867.03","222,787,132.52","590,463,199.03","415,154,152.55","904,650,483.01","1,515,812,906.97","2,348,930,394.86","420,030,354.00","792,557,332.41","1,004,801,703.58","1,345,677,496.68","637,561,494.82","1,155,134,905.99","1,648,017,679.12","2,886,966,356.97","2,028,286,480.70","3,568,917,796.37","4,446,670,938.75","5,960,156,620.13","2,159,225,861.91","3,845,798,428.38","6,527,733,287.31","14,652,874,783.56","5,579,115,278.24","9,907,041,204.48","16,605,538,148.87","29,850,483,097.82","6,558,085,572.16","14,635,209,911.51","23,152,090,821.38","32,119,055,956.28","7,067,288,767.91","17,314,244,211.24","31,481,113,457.17","47,637,224,877.40","7,454,366,314.92","19,175,143,801.78","34,966,330,047.99","52,162,863,379.82","8,954,577,809.57","38,202,269,832.85","49,653,207,880.37","61,384,323,959.06","11,860,377,567.56"
二、营业利润,"14,580,532.63","25,893,486.31","49,997,028.34","15,335,568.75","32,722,144.44","44,453,305.84","35,897,861.54","13,069,939.05","23,014,845.36","31,910,959.65","16,103,358.92","25,075,169.67","41,464,767.18","47,529,959.76","65,909,609.57","38,274,454.19","60,477,510.43","64,599,126.23","123,113,254.43","37,554,252.12","71,619,716.83","87,411,742.88","109,217,942.44","38,293,165.32","69,414,021.88","106,026,752.94","130,817,475.48","59,273,831.63","106,489,857.12","136,872,004.38","166,399,956.38","61,211,620.50","111,777,946.85","163,480,617.91","211,045,501.53","68,552,883.16","127,865,562.88","171,970,665.81","2,047,839,386.76","87,228,749.43","163,552,773.32","226,427,352.02","367,864,667.20","87,123,495.69"
减:营业成本,"114,097,775.44","184,461,564.25","505,205,809.55","383,280,771.64","845,925,610.87","1,425,239,907.68","2,226,627,598.21","385,289,660.61","725,239,740.11","908,964,617.59","1,233,014,058.55","589,286,060.85","1,064,554,063.91","1,522,412,055.77","2,701,731,452.57","1,955,021,614.06","3,436,782,576.86","4,253,189,989.05","5,628,587,328.51","2,091,149,273.59","3,695,468,131.95","6,329,694,335.81","14,373,599,515.42","5,508,444,102.32","9,801,457,213.53","16,457,290,220.08","29,653,487,471.64","6,502,561,212.41","14,544,240,643.67","23,022,647,878.60","31,954,837,480.84","7,024,044,799.05","17,199,506,440.28","31,320,365,612.02","47,397,075,652.65","7,387,231,497.66","19,033,614,050.18","34,739,574,311.11","51,735,911,441.19","8,793,420,029.52","37,872,679,244.86","49,224,709,839.31","60,865,089,207.63","11,679,451,233.47"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,133,278.31","2,434,754.31","5,394,598.55","1,204,576.71","3,286,775.78","4,552,877.17","7,431,391.89","838,409.43","2,977,565.39","4,390,941.92","6,446,471.73","959,658.11","2,349,009.51","4,080,666.78","8,447,059.51","2,481,209.33","3,860,114.26","5,641,574.37","7,768,696.09","2,052,469.69","2,542,931.03","3,504,224.07","5,082,024.85","579,221.78","1,717,177.60","2,807,866.82","4,235,772.77","451,990.55","1,694,210.38","3,905,683.66","6,897,515.74","841,682.46","2,818,887.45","4,779,828.47","6,066,338.52","447,928.20","1,310,887.89","1,547,515.87","4,766,250.85","1,019,593.91","3,158,572.88","4,796,462.82","7,511,780.41","1,815,334.82"
营业外收入,618.30,"7,918.30","1,100,618.30","2,000,000.00","2,641,200.00","2,641,800.00","7,895,978.46","3,516.08","2,923,571.86","3,741,860.20","6,953,174.31","80,071.48","1,173,964.84","1,544,809.41","2,347,021.77","564,926.68","708,396.63","1,329,166.84","6,762,672.95","264,571.59","28,461.78","1,450,944.50","3,753,689.20","2,592,819.87","2,741,277.33","3,555,127.51","4,812,101.58","322,992.97","1,420,518.01","1,995,395.47","4,648,300.42","130,755.71","1,067,425.67","1,084,778.56","4,916,937.69",809.10,"650,132.64","843,583.47","27,909,486.26","4,058,086.17","537,976.32","814,320.41","27,077,681.51","339,738.84"
销售费用,"1,127,103.87","2,006,926.62","4,450,128.39","1,871,491.85","2,821,595.18","6,017,954.23","17,987,446.77","7,236,887.57","11,333,184.89","12,875,555.75","21,137,547.37","7,190,616.67","14,538,764.35","24,636,190.32","31,374,551.08","10,582,558.89","26,664,457.29","41,004,489.78","40,599,498.98","11,570,202.32","21,684,264.37","31,830,371.11","26,362,388.25","8,102,937.32","10,834,732.44","16,756,832.30","20,014,387.19","4,692,573.27","8,867,682.32","13,509,310.91","14,219,621.53","4,449,774.02","9,487,401.76","16,841,615.28","19,716,519.61","6,796,051.19","15,432,015.95","25,752,975.81","27,582,908.13","9,953,496.71","19,379,449.11","28,582,448.10","37,047,615.11","9,605,605.60"
减:营业外支出,20.08,"11,917.90","11,917.90","15,931.80","235,931.80","231,985.20","232,985.20","2,516.08",,"150,035.05","152,489.90",79.57,"23,073.94","33,682.25","1,050,779.87","2,041,378.40","4,009,575.10","4,322,858.16","16,606,687.28","14,059.35","30,979.35","1,997,049.43","479,781.75","12,092.50","11,435.00","58,493.69","574,223.61","15,371.44","148,901.74","164,648.44","1,401,275.65","44,877.61","46,220.39","1,101,220.99","55,998.07","30,460.09","30,481.10","33,721.57","988,225.39","119,117.27","823,046.27","824,637.51","352,941.57","362,611.05"
管理费用,"2,881,516.14","4,702,000.22","15,260,783.74","9,200,807.32","12,211,490.64","22,365,911.23","39,043,783.54","8,138,959.40","18,098,305.92","28,776,531.02","46,617,097.15","11,930,520.69","24,761,285.54","38,890,888.59","49,453,226.56","13,219,280.40","26,496,072.16","37,423,982.65","50,923,980.46","11,535,956.84","25,484,648.25","38,737,792.74","50,286,714.89","14,298,675.04","32,453,048.22","45,730,363.17","68,408,408.92","11,595,388.90","26,889,682.57","41,437,510.12","55,533,377.45","14,219,176.82","35,622,677.00","55,221,748.40","89,760,703.64","37,130,257.58","66,783,651.34","96,248,290.71","160,301,563.37","31,911,205.18","68,134,999.99","102,838,750.54","161,089,464.20","35,178,300.94"
其中:非流动资产处置净损失,,,"11,917.90",,,,,,,,,,,,,,,,"317,157.39",,,,"446,167.89",,,,"4,008.20",,,,"962,067.96",,"41,863.11",,"55,954.73",,"25,000.00",,"294,124.62",,"774,705.76","724,460.35",,
