科目,2010年度,2011年度,2012年度,2013年1-9月
销售商品、提供劳务收到的现金,"444,393,554.95","594,583,893.13","641,343,838.60","455,309,186.17"
取得子公司及其他营业单位支付的现金净额,,,,
收到的税费返还,"9,119,123.11","287,571.33",,
支付其他与投资活动有关的现金,"2,298.79",,,
收到其他与经营活动有关的现金,"35,206,510.87","21,966,510.78","34,909,322.36","43,990,567.00"
投资活动现金流出小计,"65,293,572.75","162,884,880.72","93,092,520.36","90,991,809.50"
经营活动现金流入小计,"488,719,188.93","616,837,975.24","676,253,160.96","499,299,753.17"
投资活动产生的现金流量净额,"-65,213,572.75","-162,447,230.72","-90,338,387.45","-80,997,067.45"
购买商品、接受劳务支付的现金,"103,451,982.14","110,960,923.29","173,349,427.50","141,001,306.51"
吸收投资收到的现金,,"2,667,000.00",,
支付给职工以及为职工支付的现金,"141,962,698.78","175,369,622.60","241,797,289.82","212,972,713.94"
取得借款收到的现金,,,"36,000,000.00","29,670,000.00"
支付的各项税费,"15,641,208.30","27,916,140.25","26,294,869.59","17,340,155.84"
收到其他与筹资活动有关的现金,,,,
支付其他与经营活动有关的现金,"117,697,491.99","137,876,681.90","107,267,201.83","94,852,631.53"
筹资活动现金流入小计,,"2,667,000.00","36,000,000.00","29,670,000.00"
经营活动现金流出小计,"378,753,381.21","452,123,368.04","548,708,788.74","466,166,807.82"
偿还债务支付的现金,,,,"52,090,000.00"
经营活动产生的现金流量净额,"109,965,807.72","164,714,607.20","127,544,372.22","33,132,945.35"
分配股利、利润或偿还利息支付的现金,,,"46,795,382.65","31,691,574.31"
收回投资收到的现金,"80,000.00",,,"9,800,000.00"
支付其他与筹资活动有关的现金,"910,000.00","1,057,500.00","1,032,500.00","700,000.00"
取得投资收益收到的现金,,,,"55,160.55"
筹资活动现金流出小计,"910,000.00","1,057,500.00","47,827,882.65","84,481,574.31"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"437,650.00","167,576.67","139,581.50"
筹资活动产生的现金流量净额,"-910,000.00","1,609,500.00","-11,827,882.65","-54,811,574.31"
处置子公司及其他营业单位收到的现金净额,,,,
四、汇率变动对现金的影响,,,,
收到其他与投资活动有关的现金,,,"2,586,556.24",
四(2)、其他原因对现金的影响,,,,
投资活动现金流入小计,"80,000.00","437,650.00","2,754,132.91","9,994,742.05"
五、现金及现金等价物净增加额,"43,842,234.97","3,876,876.48","25,378,102.12","-102,675,696.41"
购建固定资产、无形资产和其他长期资产支付的现金,"59,733,514.41","148,484,480.72","93,092,520.36","63,391,809.50"
期初现金及现金等价物余额,"105,171,486.70","149,013,721.67","152,890,598.15","178,268,700.27"
投资支付的现金,"5,557,759.55","14,400,400.00",,"27,600,000.00"
期末现金及现金等价物余额,"149,013,721.67","152,890,598.15","178,268,700.27","75,593,003.86"
