科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"17,170,485.04","57,290,893.68","95,026,004.15","65,370,077.81","102,928,219.34","140,117,237.51","36,429,720.99","72,527,593.58","121,334,857.44","162,976,630.43","28,700,242.35","60,295,436.15","140,134,724.59","215,752,989.15","39,385,077.39","118,807,270.96","204,592,365.89","352,281,481.42","183,009,084.82","358,006,126.60","560,163,229.35","807,718,115.26","233,541,129.67","511,976,850.96","904,056,911.40","1,299,970,709.91","355,441,035.26","771,789,403.34","1,504,810,286.87","2,412,927,483.86","718,336,648.75","1,432,106,093.84","2,482,098,645.10","3,434,767,796.22"
二、营业利润,"3,384,421.85","18,147,160.54","35,583,112.88","25,781,048.98","41,155,408.86","52,223,245.95","16,356,537.76","36,661,353.17","64,691,943.04","82,996,031.15","9,309,781.96","15,291,743.86","23,919,000.91","3,198,230.60","-19,703,111.42","-25,509,507.69","-48,519,794.12","-65,150,412.47","8,857,480.65","26,705,277.22","49,984,982.45","62,849,544.35","27,219,238.72","77,401,646.64","154,358,335.67","248,835,748.95","82,851,264.54","181,567,030.19","374,293,619.13","454,509,307.25","157,350,525.73","354,206,918.18","715,680,085.35","1,064,348,631.97"
减:营业成本,"8,815,524.48","27,859,705.98","40,141,297.45","25,981,204.54","41,691,113.77","56,618,225.39","12,801,850.48","23,546,263.54","39,662,323.07","54,739,566.56","12,387,515.05","25,811,861.98","81,746,606.45","149,235,615.34","33,714,988.89","91,948,580.46","171,465,159.66","288,213,047.85","147,514,690.58","273,064,374.97","417,970,141.44","604,262,674.43","170,539,184.89","365,477,316.83","639,946,034.40","910,005,123.72","230,033,125.46","507,612,604.75","992,748,848.42","1,709,819,230.00","505,046,384.36","985,336,993.51","1,553,853,622.54","2,183,535,677.82"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"114,513.89","202,962.31","355,602.36","232,622.84","413,942.22","702,244.63","440,826.45","956,808.69","1,477,120.92","2,120,861.28","351,623.18","354,782.70","362,766.63","723,208.80","894,714.82","981,698.85","1,070,782.53","1,478,454.64","1,311,034.59","2,483,879.39","2,894,358.33","3,925,855.84","1,627,752.81","3,712,007.55","5,606,608.03","8,622,474.85","4,376,436.47","7,943,687.67","13,221,088.44","19,469,218.96","4,448,010.52","9,424,580.06","15,063,768.39","27,395,313.32"
营业外收入,,"311,306.00","590,200.00","30,000.00","30,000.00","1,384,321.00","28,833.72","1,643,833.72","1,797,633.72","2,219,652.95","370,414.30","2,673,206.70","2,673,206.70","5,848,248.18","126,918.07","1,080,171.63","2,950,934.12","5,161,703.60","4,332,857.94","4,437,279.62","4,427,252.18","7,232,444.67","2,271,141.95","2,426,333.51","6,742,653.81","6,771,587.72","11,935.53","968,727.19","2,115,239.97","88,716,496.25","83,264,560.31","124,079,234.21","126,818,960.63","3,467,236.24"
销售费用,"356,837.00","826,545.02","2,482,889.90","1,733,495.96","2,701,441.05","3,799,978.02","848,938.04","1,674,829.01","2,485,771.95","3,577,976.07","947,209.97","2,324,026.93","3,434,045.21","5,614,734.79","1,875,836.88","4,625,422.71","7,508,708.26","12,010,113.37","1,603,992.19","6,412,094.09","10,769,438.82","14,476,055.03","4,849,939.15","8,293,947.22","13,807,048.91","18,405,153.55","3,656,257.26","9,324,645.68","15,461,182.48","28,864,789.73","6,022,752.16","15,015,715.13","29,785,274.58","53,294,562.70"
减:营业外支出,50.00,"22,845.20","10,066.00","55,175.28","83,617.89","179,421.54","25,000.00","44,776.34","45,115.59","275,545.61","2,621.51","5,621.51","12,786.67","171,949.10","173,838.99","345,580.59","256,739.62","2,111,811.13","40,414.83","87,832.92","336,545.06","784,224.66","6,326.08","14,861.41","155,404.44","2,654,398.06",845.40,"101,663.73","117,446.89","1,413,399.29","2,003.14","273,185.01","319,627.63","5,266,423.35"
管理费用,"4,188,963.96","10,510,986.69","16,594,226.07","11,518,577.59","16,508,899.89","26,210,706.14","6,202,656.15","13,389,422.49","21,965,516.20","31,449,879.15","9,705,071.73","23,905,245.36","41,225,762.61","68,489,564.87","23,370,754.65","46,607,448.15","73,699,035.28","109,700,014.91","24,383,790.63","52,349,432.74","83,844,135.23","124,971,328.53","29,345,644.94","57,809,278.76","97,994,891.64","147,205,865.69","36,002,987.01","68,852,563.37","111,675,760.19","186,186,319.38","41,570,223.62","95,336,448.76","169,587,287.57","311,320,508.05"
其中:非流动资产处置净损失,,,,"37,175.28",,"145,421.54",,"9,211.30","9,550.55",,"2,621.51","2,621.51","3,848.77","27,727.64","25,838.99","36,964.31","46,216.24","835,384.76","40,414.83","40,955.64","79,532.78","326,782.38",,"14,861.41",,"2,293,165.40",,"29,474.61",,"240,566.97",,"36,730.33","83,172.95",
