科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"218,929,189.47","231,302,308.42","98,812,217.04","221,642,664.44","65,033,581.22","137,514,174.91","217,920,142.24","305,286,864.23","74,805,187.89","164,453,428.40","231,117,772.58","254,618,357.20","55,496,405.24","117,634,215.54","215,690,838.42","297,115,724.53","114,696,917.51","239,509,591.02","339,802,137.68","489,681,879.66","210,855,541.71","447,224,014.10","657,682,297.53","935,278,438.08","257,040,151.41","504,723,094.67","737,509,259.28","1,052,299,542.02","275,990,104.50","611,567,449.75","1,033,539,803.01","1,384,691,917.92","425,953,971.20","862,739,262.95","1,314,614,493.84"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,"37,400,000.00",,,,,"31,473,091.22","37,777,757.28","37,777,757.28","37,777,757.28",,,,,,,,,,"176,729,000.00","176,729,000.00"
收到的税费返还,"15,656,899.36","4,635,099.96","788,995.33","2,709,777.71","2,207,756.08","3,476,596.50","6,156,679.58","8,642,046.88","392,886.82","3,305,386.92","4,655,088.51","6,024,611.03","2,547,784.78","5,091,166.76","9,239,704.07","9,934,478.66","2,568,838.90","2,747,326.40","2,747,326.40","5,911,114.84","7,453,228.76","12,079,609.46","21,729,761.14","31,063,991.61","12,008,267.61","19,665,530.63","32,560,874.56","38,949,165.84","10,799,484.14","23,618,464.03","47,273,840.95","65,303,617.47","23,334,111.38","44,080,561.38","71,104,659.40"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,"900,000.00","900,000.00",,,"300,000.00","300,000.00","20,000,000.00",,"10,359.83","10,359.83"
收到其他与经营活动有关的现金,"14,876,477.14","11,907,234.44","16,195,003.45","25,025,470.69","2,954,383.83","11,627,474.64","17,528,285.77","22,524,952.68","8,346,271.93","13,950,868.18","17,204,347.29","23,123,005.04","4,036,243.78","6,943,600.98","8,928,089.38","30,405,132.78","2,303,258.59","6,530,294.37","8,664,733.49","23,170,276.63","2,059,454.32","4,421,119.99","21,827,032.27","35,093,195.22","3,249,688.56","8,052,544.63","15,690,465.97","14,993,937.79","3,731,232.96","16,659,800.89","22,162,636.40","20,457,903.99","5,781,033.26","16,623,953.22","22,887,913.01"
投资活动现金流出小计,"16,650,721.07","14,546,818.63","8,043,645.65","18,975,412.89","8,929,819.75","14,907,981.05","23,063,971.67","34,741,504.23","25,181,026.80","57,648,127.98","121,503,498.31","141,342,387.88","12,393,599.00","24,406,823.28","50,642,061.21","120,121,867.44","18,313,811.90","35,014,719.86","80,731,301.06","112,126,439.60","41,583,289.16","67,304,367.72","76,080,833.63","96,641,868.08","72,158,878.85","85,042,434.09","104,148,767.70","189,500,019.53","18,517,111.90","43,999,017.84","104,965,927.69","116,237,911.10","672,748,752.46","710,057,490.95","801,281,978.86"
经营活动现金流入小计,"249,462,565.97","247,844,642.82","115,796,215.82","249,377,912.84","70,195,721.13","152,618,246.05","241,605,107.59","336,453,863.79","83,544,346.64","181,709,683.50","252,977,208.38","283,765,973.27","62,080,433.80","129,668,983.28","233,858,631.87","337,455,335.97","119,569,015.00","248,787,211.79","351,214,197.57","518,763,271.13","220,368,224.79","463,724,743.55","701,239,090.94","1,001,435,624.91","272,298,107.58","532,441,169.93","785,760,599.81","1,106,242,645.65","290,520,821.60","651,845,714.67","1,102,976,280.36","1,470,453,439.38","455,069,115.84","923,443,777.55","1,408,607,066.25"
投资活动产生的现金流量净额,"-6,944,868.52","-14,070,798.66","-8,043,645.65","-17,561,811.02","-8,929,819.75","-14,868,199.05","-23,023,689.67","-34,701,722.23","-25,181,026.80","-57,648,127.98","-121,503,498.31","-141,342,387.88","-12,393,599.00","-24,406,823.28","-2,614,322.86","-72,094,129.09","-18,313,811.90","-35,014,719.86","-80,731,301.06","-111,984,439.60","-41,583,289.16","-67,289,367.72","-71,766,547.91","-91,764,344.06","-72,108,878.85","-69,793,734.09","-88,900,067.70","-174,205,154.68","41,045,012.81","96,071,685.39","35,377,913.54","-35,932,739.50","-672,748,752.46","-636,791,350.29","-681,160,866.46"
购买商品、接受劳务支付的现金,"207,399,083.78","188,432,556.78","66,817,495.12","176,720,706.27","47,250,358.50","114,971,818.41","192,044,857.72","272,941,108.90","50,640,498.74","150,837,951.30","197,457,036.03","222,255,415.60","38,953,141.41","102,340,088.10","165,465,082.92","255,628,952.24","71,936,011.07","171,289,914.79","233,250,058.30","316,054,390.51","140,858,617.90","304,206,309.63","480,397,183.46","607,527,087.05","163,882,912.69","329,412,413.36","480,010,061.91","700,732,809.58","146,683,481.98","338,517,067.17","596,765,148.38","777,968,320.42","271,114,081.95","538,241,468.93","823,024,897.37"
吸收投资收到的现金,"20,000,000.00",,,,"458,250,000.00","458,250,000.00","458,250,000.00","433,280,200.00",,,,,,,"11,196,000.00","11,196,000.00",,,"12,818,400.00","94,489,221.77",,,"6,756,750.00","9,125,680.05",,,"6,704,775.00","55,618,815.00",,"2,592,000.00","29,596,400.00","9,596,400.00","971,558,238.00","971,558,238.00","971,558,238.00"
支付给职工以及为职工支付的现金,"3,174,468.46","4,470,868.70","2,879,702.53","5,624,913.61","1,841,053.41","4,007,132.17","6,291,534.19","8,778,877.80","2,451,892.57","4,818,849.25","7,372,913.19","11,118,431.97","2,799,420.56","5,310,037.16","10,771,091.97","17,582,191.24","6,720,294.69","14,339,954.10","21,653,884.16","40,940,734.44","17,058,241.70","38,356,389.83","58,748,923.70","91,913,221.91","29,984,874.31","57,460,164.24","85,742,968.69","117,387,771.09","33,935,832.34","67,905,659.44","110,242,430.65","159,904,009.75","52,853,351.24","104,525,677.26","158,397,958.27"
取得借款收到的现金,"30,000,000.00",,"40,000,000.00","40,000,000.00",,,,,,,,,,,"10,000,000.00","40,000,000.00","12,000,000.00","22,000,000.00","27,000,000.00","133,267,857.89","22,619,830.10","39,708,782.47","46,233,387.84","144,475,407.34","11,601,639.10","24,805,852.60","48,343,985.60","113,289,037.20","18,134,406.50","27,959,180.70","31,459,180.70","59,364,420.50",,"12,411,036.63","36,029,774.83"
支付的各项税费,"4,644,538.86","3,537,930.08","4,554,495.59","9,619,876.18","2,755,393.82","4,087,765.08","6,748,799.42","8,436,112.35","1,712,923.66","4,627,817.36","6,240,237.42","6,358,607.10","1,565,154.38","7,907,969.58","9,365,123.99","10,957,302.01","3,350,495.20","15,915,009.29","20,204,984.71","31,346,124.91","8,179,646.94","25,102,710.34","35,296,171.86","50,073,119.27","13,783,314.32","41,601,545.17","54,605,984.23","68,237,556.61","17,427,280.34","50,280,657.44","78,626,328.09","110,590,027.35","41,281,722.92","84,511,097.30","114,341,666.60"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,"4,000,000.00","4,300,000.00","4,500,000.00","4,500,000.00","7,000,000.00",,"190,212.21","190,339.93","15,922,873.88",,"163,835.62",
支付其他与经营活动有关的现金,"22,278,092.44","10,727,610.20","2,289,714.93","4,723,393.63","2,154,780.02","3,424,099.24","6,454,819.93","12,156,002.72","2,775,471.86","3,554,629.67","4,957,272.86","11,289,397.41","2,679,023.79","7,012,935.44","14,014,314.95","16,635,502.75","9,877,977.02","11,592,819.15","18,054,210.61","46,127,117.09","19,281,913.21","32,426,259.84","51,425,398.75","117,514,831.62","21,714,419.32","45,348,811.26","64,614,203.44","103,314,379.26","21,795,938.98","45,248,920.84","82,585,910.96","125,545,226.04","29,864,981.39","63,168,055.09","96,277,261.68"
