科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"80,521,136.25","93,021,509.04","130,019,745.16","20,688,929.14","80,534,589.87","114,536,777.98","249,442,704.03","27,349,669.40","106,845,377.03","187,438,412.20","504,098,867.24","42,566,081.97","171,726,737.53","312,544,952.33","864,310,925.46","95,990,453.12","269,888,535.29","488,341,844.88","1,133,459,389.10","77,354,682.32","272,636,747.03","489,416,748.86","886,822,428.93","102,619,506.40","211,157,477.05","462,787,683.31","930,074,766.45","92,147,187.34","222,049,110.81","390,688,384.23","683,124,351.15","215,207,320.28"
二、营业利润,"7,852,915.45","15,580,533.39","23,786,484.15","-2,001,457.69","13,926,344.35","12,570,643.96","52,332,188.49","-1,184,464.72","19,174,584.97","29,852,224.95","125,417,190.82","-10,158,107.75","24,156,762.26","43,498,812.59","250,052,499.25","4,319,094.95","32,262,915.29","75,431,189.20","329,911,513.96","-7,370,384.19","32,838,120.22","70,613,260.84","196,450,358.92","7,511,916.37","3,387,679.31","105,788,187.78","277,141,054.89","-13,616,322.53","-19,460,527.22","5,800,480.17","71,254,420.77","6,601,221.45"
减:营业成本,"36,818,904.60","40,766,899.09","57,971,782.32","10,752,498.95","39,767,757.29","54,680,884.11","110,156,400.86","10,697,907.91","45,998,302.51","82,915,928.59","247,749,341.42","20,860,315.51","73,151,610.03","136,795,044.12","400,702,018.12","52,113,522.37","138,075,652.97","240,499,037.02","532,775,760.35","32,949,082.82","112,371,083.14","215,485,071.02","413,526,315.41","47,530,450.04","98,993,139.31","175,279,586.69","389,949,325.88","59,076,564.50","136,681,515.57","218,213,088.13","386,855,315.47","173,247,273.91"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"729,751.28","833,674.26","1,154,875.26","120,873.59","785,894.71","1,091,208.40","2,750,427.83","453,792.56","1,267,037.71","2,078,837.20","6,784,446.58","412,701.88","1,991,580.38","3,897,707.16","10,314,629.58","1,049,620.37","2,673,922.14","4,728,253.64","12,019,519.05","726,722.11","2,732,081.36","4,460,739.86","8,546,158.29","710,542.63","1,237,650.55","4,111,247.92","11,887,535.86","1,135,873.64","2,330,286.02","4,453,480.20","8,546,290.60","960,361.56"
营业外收入,"11,744,395.05","11,882,594.53","21,133,527.80","2,073,249.99","4,936,587.01","17,923,485.29","32,291,138.33","8,123,732.22","10,516,383.12","17,708,741.84","37,862,420.66","19,892,460.40","22,970,534.81","34,672,893.27","50,993,670.77","15,651,138.65","37,704,267.96","39,849,430.32","77,237,365.62","15,625,832.90","36,058,259.62","42,642,744.46","94,318,740.77","6,571,685.88","15,658,585.94","19,533,059.33","47,107,889.83","28,093,820.61","32,069,800.82","37,014,517.10","187,059.54","956,335.23"
销售费用,"8,330,052.91","12,680,665.67","21,517,129.15","5,180,564.45","11,131,530.74","21,315,498.34","39,989,991.36","6,523,091.06","18,071,073.59","35,125,497.65","58,712,581.44","12,041,327.45","33,570,211.34","59,722,832.03","96,660,585.76","21,432,503.15","50,036,263.81","87,516,190.46","134,419,728.02","26,649,434.65","66,805,018.56","109,916,587.58","152,822,435.98","23,087,790.91","54,424,596.36","84,320,084.94","118,474,441.96","15,994,849.51","36,776,206.19","63,166,662.23","102,406,309.17","17,537,186.47"
减:营业外支出,"1,869,573.71","56,000.00","40,000.00","17,642.95","81,655.50","81,655.50","7,317,333.44","20,000.00","20,000.00","20,000.00","130,000.00","145,735.47","145,735.47","545,735.47","555,735.47",,"210,843.99","243,583.36","481,543.17","51,854.83","152,539.73","173,672.18","484,498.46","135,318.11","1,112,158.53","1,329,165.29","1,217,003.80","45,252.37","146,963.34","2,335,112.76","2,351,391.20",134.05
管理费用,"21,086,342.29","20,820,170.59","23,968,749.42","6,186,546.17","13,634,002.07","24,611,713.78","47,432,764.77","11,331,662.93","25,202,929.79","42,076,586.53","71,608,240.69","16,086,887.74","37,732,116.88","69,009,764.73","106,326,315.51","17,413,113.69","48,516,058.20","80,910,171.14","121,828,092.22","27,824,244.32","60,880,243.34","93,271,586.89","121,323,936.51","27,285,109.86","58,294,025.25","92,081,471.73","120,071,188.45","29,222,724.41","59,572,279.29","86,921,737.64","127,829,200.87","23,743,728.25"
其中:非流动资产处置净损失,"1,628,373.71",,,,,,,,,,,,,,,,,,"81,567.47",,,,"14,609.53",,,,,,"45,247.12",,,
