科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"7,284,540,946.42","6,390,643,637.55","7,592,418,458.40","8,895,936,433.78","10,194,367,873.78","10,244,098,841.24","7,866,494,825.35","11,265,327,130.76","14,546,683,767.29","16,466,672,078.06","16,004,915,531.19","13,988,257,490.22","12,456,335,195.73","14,883,146,932.56","14,331,589,470.98","17,033,461,860.31","15,766,380,940.72","16,336,731,515.76","13,280,435,010.64","14,582,206,370.67","12,807,848,636.75","11,719,796,642.81"
短期借款,"10,094,460,000.00","11,165,540,000.00","9,930,000,000.00","13,143,732,610.63","15,422,000,000.00","12,115,000,000.00","11,930,000,000.00","10,985,000,000.00","6,835,000,000.00","6,605,000,000.00","7,085,000,000.00","6,215,000,000.00","6,327,000,000.00","5,597,000,000.00","5,667,000,000.00","6,297,000,000.00","4,910,000,000.00","4,910,000,000.00","5,320,000,000.00","5,475,000,000.00","6,920,000,000.00","6,710,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,"120,153.25","36,106,594.06","103,537.91","40,259,139.78","2,923,523.96"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,
应收票据,"432,725,411.66","41,841,023.64","16,688,205.52","142,864,000.00","45,624,965.00","10,033,000.00","8,289,240.00","18,412,000.00","26,817,978.00","25,769,328.55","43,198,995.75","123,432,154.70","61,863,437.52","74,382,873.21","126,546,232.97","175,636,504.34","145,313,517.29","245,415,146.29","309,052,136.59","350,126,291.89","356,604,180.73","370,480,142.25"
应付票据,"566,888,046.57","990,000,000.00","130,000,000.00","78,550,000.00","29,000,000.00","20,000,000.00",,,"145,000,000.00","145,000,000.00",,"50,000,000.00","90,000,000.00","30,000,000.00","30,000,000.00","262,400.00","262,400.00",,"32,800.00","32,800.00","228,269,332.85","99,823,743.10"
应收账款,"3,530,152,979.19","4,697,039,744.52","5,041,375,593.99","4,218,055,382.60","4,395,968,214.37","4,195,483,944.85","4,034,249,519.15","3,699,920,703.82","5,463,831,685.80","4,094,189,037.45","3,771,621,818.27","3,229,814,781.37","5,041,713,571.24","4,098,694,577.24","4,277,881,563.07","4,264,798,204.26","5,265,040,267.63","5,261,965,545.35","3,900,641,553.65","5,113,225,571.11","5,336,136,382.46","5,049,107,657.45"
应付账款,"5,027,344,727.31","4,775,796,511.81","4,296,721,379.55","4,452,159,472.76","5,180,616,728.62","5,825,547,537.64","4,218,874,923.04","4,778,372,827.87","6,732,484,479.13","5,957,728,410.24","5,892,779,338.92","5,567,139,191.69","5,831,876,947.21","5,672,530,941.09","5,689,003,075.87","5,960,113,667.30","6,830,190,373.98","6,104,578,997.52","5,863,666,034.93","5,715,635,544.16","6,477,063,964.06","6,685,576,015.35"
预付款项,"583,808,488.49","783,773,309.08","680,324,563.90","739,068,640.83","267,100,971.66","1,314,724,320.74","604,991,675.34","791,334,615.84","250,972,108.78","523,705,178.52","417,247,537.01","501,101,112.62","263,718,547.65","255,423,220.34","279,917,709.87","330,172,163.21","177,084,115.64","229,226,406.51","530,051,797.87","355,170,595.45","368,628,098.14","704,299,583.97"
预收款项,"67,558,287.85","4,955,791.35","190,704,091.98","331,554,422.11","133,158,582.78","463,811,672.36","82,894,678.13","663,094,651.65","42,416,304.49","78,283,188.31","99,444,706.85","114,269,559.73","63,290,506.45","127,325,874.68","92,505,964.46","59,840,854.49","193,654,000.72","240,530,276.00","640,122,452.12","463,691,523.28","678,392,364.27","605,157,579.16"
其他应收款,"1,716,939,298.34","110,289,056.94","100,548,640.53","83,615,415.94","61,510,598.44","178,270,623.35","125,379,163.20","86,630,004.65","56,577,896.18","63,007,073.85","86,864,265.36","121,199,243.58","43,874,485.24","52,495,225.10","62,421,141.62","74,457,550.58","34,632,707.78","44,246,388.67","52,412,194.46","42,973,122.72","38,194,415.82","45,565,127.48"
应付职工薪酬,"206,066,097.93","191,007,145.58","210,915,532.40","250,154,754.75","363,771,744.56","307,699,791.33","310,761,995.88","330,244,671.95","389,417,389.58","202,028,353.50","259,573,560.38","238,903,098.26","380,053,285.41","180,403,272.51","173,584,667.59","262,406,249.93","152,793,859.43","112,286,601.00","101,475,454.81","151,759,501.39","219,795,126.92","137,132,013.14"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,
