科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"4,142,828.60","23,600,010.03","13,854,513.05","12,929,142.77","197,002,315.41","175,445,632.00","155,482,544.60","128,502,997.62","124,177,350.17","147,297,390.93","134,659,606.86","131,967,456.31","121,843,015.56","132,357,414.77","111,901,960.41","105,800,782.52","103,778,184.45","113,804,380.96","99,627,764.00","87,345,482.39","82,732,042.49","102,105,509.90","89,544,993.38","89,343,862.86","82,664,521.12","78,800,076.79","46,244,660.52"
短期借款,"14,000,000.00","16,000,000.00","8,500,000.00","19,100,000.00","8,600,000.00",,,,,,,"2,500,000.00","5,500,000.00","7,000,000.00","4,000,000.00","500,000.00","6,500,000.00","500,000.00","8,500,000.00","8,000,000.00","8,000,000.00",,,,,,
交易性金融资产,,,,,,,,"13,120,000.00","13,120,000.00",,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"169,200.00",,"181,774.00","850,000.00",,"170,000.00","53,200.00","53,200.00","18,000.00","1,600,000.00","1,600,000.00",,"400,800.00","571,407.00","402,857.00","505,000.00","212,200.00","450,000.00","1,172,430.00","638,877.20","681,000.00","826,600.00","1,881,645.00","853,500.00","708,929.10","2,769,490.00","5,200,870.00"
应付票据,,"1,812,330.59",,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"13,806,479.35","25,889,668.91","41,535,440.85","37,887,270.57","43,806,330.93","56,074,219.28","42,254,993.89","43,210,473.28","45,566,244.41","46,147,037.50","41,129,514.27","42,498,751.78","45,940,094.94","50,004,730.07","44,821,424.31","54,339,242.64","57,332,585.70","56,032,308.69","49,271,720.84","60,163,610.11","64,162,693.75","63,358,421.09","59,251,064.57","67,592,891.79","71,056,209.24","70,617,352.32","62,577,205.75"
应付账款,"1,692,158.59","8,293,598.99","8,148,572.29","9,291,348.64","8,902,259.73","9,362,427.00","7,639,381.37","3,242,403.98","3,767,753.59","3,601,157.64","4,715,197.21","3,278,807.09","2,718,920.17","3,139,809.28","6,174,831.20","4,218,457.54","4,322,776.00","3,631,377.30","4,232,868.68","4,275,310.04","4,549,100.65","4,659,516.18","5,411,760.96","4,582,343.99","8,232,124.60","22,374,281.01","17,061,652.94"
预付款项,"990,623.72","2,154,571.09","3,528,232.31","5,613,697.00","7,854,053.58","6,341,550.10","16,228,323.21","10,976,281.61","12,341,496.43","15,281,841.80","18,166,830.01","17,282,132.00","22,191,442.18","33,847,372.84","44,768,315.35","41,756,057.88","42,988,386.84","35,646,787.94","38,301,515.77","43,064,403.54","47,556,363.65","19,650,056.52","17,955,688.40","17,297,511.69","16,627,708.83","5,260,055.97","7,825,971.95"
预收款项,"1,053,824.00","2,215,434.00","813,474.00","513,128.00","1,243,024.70","858,880.70","1,089,685.70","2,157,812.70","653,263.70","735,930.70","1,078,754.70","1,100,436.74","1,738,394.74","439,630.74","1,001,370.74","1,107,659.55","1,153,054.55","1,301,858.54","3,157,966.08","2,585,107.08","2,464,886.58","1,965,074.29","4,843,028.23","5,211,712.79","7,764,603.34","6,112,602.16","4,549,150.68"
其他应收款,"5,337,302.13","3,363,519.92","4,253,936.22","5,200,209.91","5,074,591.69","4,082,562.40","5,570,857.73","7,006,943.45","6,414,125.71","4,212,135.49","5,133,356.93","6,635,071.80","6,333,425.47","6,250,288.79","7,755,539.81","7,639,909.61","8,054,593.22","9,229,181.72","9,894,320.84","10,590,361.18","11,081,880.07","8,705,045.75","11,089,183.89","10,557,913.48","10,957,868.18","7,249,566.70","9,164,761.66"
应付职工薪酬,"21,120.91","1,309,419.41","3,143,061.49","235,590.34","650,252.32","2,609,127.42","73,369.64","67,653.27","50,504.13","2,458,538.07","117,470.97","116,073.61","92,525.38","2,786,841.77","76,188.12","74,951.60","66,135.85","71,702.83","68,784.46","83,735.19","74,449.32","74,621.87","68,489.12","84,294.24","47,723.56","79,053.09","90,073.15"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"3,513,224.71","5,314,591.50","4,918,881.10","2,898,204.38","2,454,372.13","7,414,138.61","1,139,579.78","968,631.10","1,443,611.92","3,771,304.16","385,464.13","1,642,262.43","2,158,358.09","3,797,613.30","875,613.61","3,177,974.36","3,932,856.53","7,023,792.53","1,593,604.97","3,418,172.40","4,012,260.64","6,965,300.97","3,552,508.12","3,670,383.59","3,394,816.64","5,582,702.47","359,282.97"
应收利息,,,,,,,,"2,178,840.21","3,114,071.89","398,174.30","958,995.52","1,399,501.13","1,740,698.78","1,453,766.95","1,453,766.95","1,605,404.37","2,962,319.73","3,043,011.31","3,043,011.31","3,203,171.68","3,258,841.24","3,317,744.19","3,366,392.08","3,414,792.18","5,388,205.64","193,643.84","478,643.84"
