科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"16,878,503.87","14,093,739.60","18,160,065.03","11,488,308.03","16,568,899.98","28,783,311.24","194,944,860.15","212,010,384.27","217,621,409.55","101,054,519.55","103,683,659.94","73,441,761.79","49,686,569.78","35,214,867.45","41,829,586.58","22,277,472.87"
短期借款,"68,000,000.00","64,000,000.00","20,000,000.00","25,000,000.00","5,000,000.00",,,,,,,,,,,
交易性金融资产,,,,,,,"929,014.46","156,843.84","537,102.79","145,805.56","20,000,000.00","15,000,000.00","139,649,843.05","52,260,644.44","64,242,492.32","81,320,883.33"
交易性金融负债,,,,,,,,,,,,,,,,
应收票据,"36,648,942.77","43,913,563.17","40,525,286.69","33,086,144.51","27,944,302.93","25,928,780.68","28,287,673.70","21,362,083.17","32,894,041.68","43,728,336.94","44,527,217.28","41,641,990.57","28,819,870.04","13,293,526.93","17,931,305.68","23,440,216.51"
应付票据,,,,,,,,,,,,,,,,
应收账款,"92,842,313.30","113,605,775.95","121,321,896.93","116,272,375.23","123,033,396.88","131,061,301.54","126,985,765.75","128,795,839.86","128,197,535.95","143,875,570.49","135,382,469.13","132,582,705.87","144,108,208.43","165,470,805.22","182,832,133.49","170,226,663.05"
应付账款,"24,233,896.60","24,286,490.22","29,704,231.51","20,626,371.64","38,461,452.73","34,696,191.02","28,709,087.70","22,482,366.32","22,424,721.57","23,869,712.03","25,282,493.01","18,894,235.60","23,827,633.70",,"30,377,460.41",
预付款项,"6,051,159.13","6,577,168.07","5,549,116.27","14,140,644.12","7,037,561.57","5,320,193.84","8,239,865.41","8,544,694.71","8,793,633.52","13,398,931.14","8,123,923.87","9,214,000.60","9,121,947.91","14,228,066.75","12,975,358.54","9,591,966.70"
预收款项,"406,597.40","565,776.83","347,575.61","822,046.46","698,110.67","749,151.52","990,065.57","697,050.32","881,270.47","1,367,210.03","769,790.06","426,500.19","603,175.03","1,005,710.04","1,311,449.56","1,131,907.51"
其他应收款,"689,379.92","631,387.29","1,047,870.90","3,428,385.99","1,314,873.94","1,091,546.98","880,035.75","2,595,422.79","2,378,274.62","2,646,215.98","1,648,777.83","2,742,868.40","2,378,026.81","2,570,572.29","1,812,383.43","1,988,886.59"
