科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"114,355,114.93","97,816,163.70","127,264,695.21","67,108,235.94","80,092,047.70","214,985,650.26","137,135,079.95","103,085,275.55","203,656,895.33","130,324,005.03","114,167,342.39","155,840,254.02","375,435,002.15","348,196,991.29","232,420,787.64","182,942,779.76","388,042,831.99","209,599,699.97","229,134,580.37","118,922,635.53","251,572,243.25","117,988,328.58","89,197,664.04","81,281,541.61","232,806,590.46","105,371,996.82"
短期借款,,,,,,,,,"76,500,000.00","76,500,000.00","76,000,000.00","126,000,000.00","76,500,000.00","126,500,000.00","126,500,000.00","114,500,000.00","114,180,000.00","73,280,000.00","98,300,000.00","63,000,000.00","99,000,000.00","142,070,000.00","124,870,000.00","95,920,000.00","143,000,000.00","132,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,"110,987,140.00","110,987,140.00","110,987,140.00",,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,"180,600,000.00",,,,
应收票据,,,,,,,,,,"3,000,000.00",,"300,000.00","4,000,000.00","6,000,000.00","8,727,200.00","4,227,200.00","3,445,527.63","1,748,375.63","1,198,726.32","638,726.32","20,694,296.00","6,151,146.33","6,836,160.00","2,967,053.38","3,813,472.00","2,003,572.00"
应付票据,,,,,,,,,"11,200,750.00","6,388,600.00","4,053,375.00","4,971,166.00","900,000.00","1,122,000.00","770,000.00",,,,,,,,"5,195,896.50",,"2,821,020.00",
应收账款,"24,529,831.25","26,527,334.95","36,957,559.46","56,556,577.24","50,864,609.34","58,070,812.01","69,087,525.89","83,954,365.09","125,050,452.09","133,651,205.51","144,940,911.22","151,559,810.76","207,321,528.61","213,680,192.47","186,500,037.50","297,462,153.27","336,343,747.56","333,722,434.20","316,954,911.62","363,079,339.16","368,188,243.17","438,775,406.44","548,863,926.04","401,622,959.98","235,661,166.58","247,896,270.18"
应付账款,"9,563,015.90","20,223,194.06","30,431,591.66","29,847,670.46","61,403,732.13","44,588,738.73","46,162,289.38","48,049,427.13","75,460,358.39","61,243,401.23","56,533,477.27","44,385,750.09","98,004,642.28","81,457,552.42","77,372,852.87","71,423,179.35","142,894,344.03","120,057,513.47","103,296,278.60","106,967,511.67","191,802,918.22","190,880,996.48","210,199,132.39",,"128,030,557.73",
预付款项,"1,288,800.48","21,490,603.82","4,356,437.55","13,265,865.93","13,899,357.70","25,981,775.81","5,371,969.90","8,104,286.77","4,942,700.16","17,058,218.10","8,448,525.17","17,948,382.28","10,856,894.33","15,873,150.31","13,785,439.25","25,996,215.50","12,150,656.23","21,869,695.60","16,621,542.84","22,548,325.60","16,853,003.71","30,442,694.06","41,454,365.22","46,453,093.01","30,115,845.42","29,527,161.73"
预收款项,"2,234,575.15","2,309,065.09","2,770,366.81","1,022,087.41","1,087,815.12","1,828,413.60","1,330,742.65","1,580,004.67","4,172,301.02","3,691,867.22","4,174,181.45","5,222,282.59","8,500,739.80","11,073,499.46","7,911,689.97","7,394,263.16","10,268,016.92","8,257,266.87","8,535,048.19","7,788,729.37","26,138,480.83","33,377,053.74","113,983,829.08","122,189,091.54","116,897,704.54","53,943,123.07"
其他应收款,"2,915,125.68","599,397.48","1,003,302.41","1,532,562.96","3,271,104.41","2,786,151.05","3,062,248.95","3,186,632.94","3,562,651.84","7,270,262.63","6,043,354.82","5,451,286.50","8,125,185.60","7,006,001.91","6,166,893.66","6,778,000.93","5,927,042.54","10,249,787.18","13,506,129.18","21,374,573.61","13,115,618.49","22,544,575.43","18,108,936.76","60,824,360.01","59,247,538.62","73,772,057.83"
