科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"548,939,180.20","1,153,949,955.82","1,884,320,208.87","2,853,818,920.48","627,955,667.66","1,589,125,211.05","2,567,488,885.65","3,210,086,033.96","641,061,168.53","1,328,608,494.28","1,936,895,266.02","2,671,431,289.40","684,692,940.78","1,377,759,600.08","2,112,658,764.80","3,225,620,678.01","827,479,444.80","1,527,938,034.35","2,265,073,409.16","3,202,844,135.19","649,120,771.59","1,375,098,730.46","2,293,538,112.66","3,134,755,386.47","880,570,570.11","1,791,994,563.12","2,764,852,873.42","3,299,402,116.61","999,727,051.71","1,696,767,573.82","2,773,115,400.47","3,643,737,570.81","854,619,127.46","1,830,851,595.76","2,603,714,739.95","3,495,512,824.89","963,126,171.56","1,805,452,661.66","2,806,926,359.75","4,256,244,295.78","977,309,736.19","2,154,691,992.07","3,492,784,639.31","4,566,315,706.04","1,204,069,607.15","2,651,145,553.61"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,"1,784,637.03","1,784,637.03","4,711,029.84","62,579.32","8,437,662.76","12,338,171.44","16,056,288.98","30,051,809.31","30,501,809.31","30,848,211.40","33,703,177.86","154,178.03","3,534,861.55","5,696,063.65","11,207,141.75",,"1,000,537.65","5,423,829.76","17,570,548.63","2,166,733.07","3,071,231.95","4,544,035.70","11,464,231.00","1,894,453.34","6,639,070.23","8,206,484.28","17,552,956.18","4,647,763.27","7,425,482.86","9,563,111.97","12,709,093.07",,"739,207.97","1,604,755.90","2,233,109.09","682,658.36","2,524,477.33","4,246,951.28","5,892,635.61","557,933.17","2,391,534.01","4,263,996.90","5,308,800.45","275,648.44","3,402,357.58"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,774.00,,,,,,,,,,,,,,,,"10,609.84",,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"11,123,118.42","5,101,002.85","5,884,634.65","7,765,182.98","4,255,497.13","5,371,364.93","16,634,411.38","26,109,762.10","14,155,529.81","24,065,868.41","27,516,905.88","41,798,382.55","18,241,007.61","64,842,614.41","116,302,999.37","85,269,351.34","4,077,980.68","13,841,655.53","293,024,631.15","60,118,605.57","40,239,796.99","40,107,355.48","72,178,431.35","63,982,572.25","1,655,533.78","29,616,506.40","92,520,526.24","72,509,769.08","29,080,128.90","31,305,133.15","37,127,530.45","31,611,934.25","58,855,276.43","52,564,223.41","78,730,391.26","54,807,960.96","12,941,231.43","37,971,726.67","73,923,762.02","81,752,720.33","54,075,621.16","67,934,937.52","102,461,078.53","136,188,634.48","53,551,231.86","62,089,210.57"
投资活动现金流出小计,"32,206,361.93","63,240,350.20","73,064,212.62","105,296,219.94","27,313,428.80","37,635,852.62","55,906,571.60","59,890,512.77","10,731,448.10","22,933,639.76","50,438,102.27","65,821,139.32","17,576,134.50","28,241,305.42","39,129,455.15","72,749,378.81","12,491,818.55","23,982,172.44","41,693,016.32","44,963,356.23","14,336,495.68","21,786,345.10","26,191,406.07","29,668,503.31","5,810,650.77","11,028,345.36","15,493,195.40","48,463,443.73","5,905,140.69","14,751,503.40","21,886,280.57","35,979,475.94","46,384,091.66","134,996,641.19","165,730,403.62","64,549,016.39","43,124,344.29","125,397,241.49","192,903,010.62","201,340,154.55","106,448,589.55","186,107,998.95","315,228,087.28","624,280,418.71","156,908,466.24","320,124,193.96"
经营活动现金流入小计,"560,062,298.62","1,160,835,595.70","1,891,989,480.55","2,866,295,133.30","632,273,744.11","1,602,934,238.74","2,596,461,468.47","3,252,252,085.04","685,268,507.65","1,383,176,172.00","1,995,260,383.30","2,746,932,849.81","703,088,126.42","1,446,137,076.04","2,234,657,827.82","3,322,097,171.10","831,557,425.48","1,542,780,227.53","2,563,521,870.07","3,280,533,289.39","691,527,301.65","1,418,277,317.89","2,370,260,579.71","3,210,202,189.72","884,120,557.23","1,828,250,139.75","2,865,579,883.94","3,389,464,841.87","1,033,454,943.88","1,735,498,189.83","2,819,806,042.89","3,688,058,598.13","913,474,403.89","1,884,155,027.14","2,684,049,887.11","3,552,553,894.94","976,750,061.35","1,845,948,865.66","2,885,097,073.05","4,343,889,651.72","1,031,943,290.52","2,225,018,463.60","3,599,509,714.74","4,707,813,140.97","1,257,896,487.45","2,716,637,121.76"
投资活动产生的现金流量净额,"-32,902,952.48","-61,575,110.75","-68,120,990.37","-102,875,771.78","-27,265,428.80","-37,524,461.63","-55,744,168.61","-58,840,650.37","-1,365,185.10","-12,361,176.24","-34,390,837.40","-38,473,825.19","26,951,965.50","-25,657,735.06","-35,477,072.03","-56,098,270.97","-8,352,314.76","-19,125,158.65","-28,698,108.68","-30,515,121.11","-14,318,495.68","-21,564,610.10","-25,727,059.27","-28,182,894.01","-5,807,975.77","-10,266,826.36","-14,531,550.40","-47,104,923.73","-4,904,600.69","-13,225,823.40","-20,338,045.57","-34,322,767.94","-46,372,566.66","-134,986,591.19","-165,717,083.62","-64,510,611.39","-40,053,844.29","-122,264,170.49","-189,768,739.62","-197,873,774.75","-106,273,944.55","-185,898,760.15","-314,650,574.06","-621,744,450.76","-156,861,376.24","-319,941,503.96"
购买商品、接受劳务支付的现金,"357,137,816.72","775,544,628.66","1,375,676,989.84","2,103,257,747.42","583,687,177.49","1,371,929,264.11","2,164,421,434.96","2,681,979,890.77","577,255,220.63","1,036,169,511.29","1,548,639,132.10","2,103,807,951.20","528,354,857.03","1,072,001,297.32","2,022,051,132.39","2,763,256,241.46","644,569,291.42","1,596,241,873.99","2,282,945,807.21","3,026,302,060.16","612,266,714.54","1,173,641,364.58","1,887,144,861.59","2,562,409,096.33","635,395,551.38","1,368,890,246.88","2,229,020,646.34","2,548,497,190.75","817,373,116.92","1,621,121,211.23","2,570,556,359.66","3,155,136,769.35","730,874,248.18","1,305,860,310.18","2,037,128,286.99","2,592,250,401.75","657,620,509.98","1,138,547,242.85","1,631,081,620.51","2,183,143,163.37","833,807,156.87","1,477,925,140.71","2,232,554,422.39","2,815,495,492.18","883,377,669.47","1,723,757,296.23"
吸收投资收到的现金,,,,,,,,"2,000,000.00","500,000.00","500,000.00","500,000.00","500,000.00","29,500,000.00","229,500,000.00","234,000,000.00","234,000,000.00",,"62,661,723.99","62,661,723.99","62,661,723.99",,,,,,"350,000.00","350,000.00","350,000.00","338,500,000.00","338,990,000.00","338,990,000.00","338,990,000.00",,"47,033,751.00","59,502,394.98","361,231,754.98","430,956.00","9,325,561.00","31,203,934.90","17,203,934.90",,"880,000.00","4,017,410.80","59,417,410.80","10,000.00","10,000.00"
