科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"234,007,327.06","228,429,047.00","581,568,855.43","317,311,703.93","674,413,479.44","965,614,008.23","1,237,034,545.61","158,237,221.68","258,234,113.57","398,270,059.24","533,193,131.14","101,598,290.09","195,054,659.62","304,125,598.55","413,951,213.56","77,799,342.91","139,881,176.96","203,654,875.26","278,734,565.45","92,645,118.96","169,134,484.93","255,090,492.29","354,285,533.31","87,661,390.33","182,069,062.47","265,339,729.95","364,158,918.65","88,009,336.14","184,184,151.24","275,522,804.70","415,626,507.81","126,038,393.69","262,150,703.66","403,271,060.34","604,385,666.70","137,347,778.07"
二、营业利润,"10,872,003.59","14,586,903.91","42,412,671.03","36,073,548.65","70,153,357.09","69,454,491.68","29,556,825.04","-47,652,164.51","-190,302,419.02","-292,136,875.53","-548,297,083.17","-20,497,224.49","-39,900,115.87","-64,777,236.85","-13,884,319.63","-16,510,876.83","-38,149,731.04","-81,744,260.33","-203,755,667.51","145,776.33","-5,521,670.92","-5,549,110.34","-6,196,086.98","-4,174,964.61","-6,448,691.34","-10,777,300.93","-7,015,197.72","2,529,806.42","3,221,403.83","6,933,893.25","12,546,349.97","7,358,484.93","18,010,583.30","21,827,505.68","50,329,291.32","9,341,420.39"
减:营业成本,"96,760,910.46","93,153,453.52","286,886,523.55","183,943,842.60","394,964,304.08","572,265,156.30","740,831,469.19","102,635,767.95","179,217,648.60","308,765,941.89","441,611,864.10","68,549,116.28","123,091,646.36","215,327,629.53","241,348,013.66","47,197,679.61","84,860,547.29","128,204,071.13","170,081,703.73","52,657,658.77","96,499,576.78","138,706,410.89","179,948,658.17","42,499,037.26","90,443,610.81","132,705,101.91","187,094,475.05","43,711,476.11","93,909,320.87","140,089,440.80","215,844,588.77","67,143,497.62","137,672,109.49","213,526,717.68","319,978,232.96","71,938,024.96"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,730,354.18","3,015,941.52","7,342,841.94","2,386,485.01","4,702,764.70","6,110,512.94","10,167,594.41","829,970.53","1,482,439.77","2,111,242.15","3,259,721.41","1,227,196.74","2,340,915.24","3,398,324.59","4,343,025.47","791,926.82","-311,412.69","340,060.22","1,046,719.00","969,864.92","1,725,694.62","2,326,080.92","3,355,187.06","1,150,216.83","2,472,983.59","3,543,665.17","4,552,699.42","1,245,335.58","2,350,355.24","3,292,174.49","5,080,949.20","1,914,596.38","3,894,526.86","5,714,697.67","8,508,001.72","2,201,842.75"
营业外收入,"18,604,872.77","19,224,398.24","55,386,601.59","11,384,332.31","27,372,923.50","42,101,095.37","62,276,430.64","9,050,081.37","14,402,683.18","16,640,068.27","36,863,477.67","1,437,465.44","24,191,247.46","32,235,800.28","51,307,209.93","3,047,258.99","6,016,791.25","18,449,494.38","20,580,576.56","1,494,239.10","8,157,367.82","10,019,951.59","17,428,352.69","2,489,539.73","7,743,878.52","10,216,710.01","18,958,833.32","2,459,979.48","6,439,728.83","9,421,857.11","15,532,554.35","3,722,893.49","5,192,755.86","15,918,700.97","3,772,878.18","412,551.06"
销售费用,"67,801,550.65","58,319,835.14","159,253,256.11","64,476,708.41","137,894,382.62","215,124,623.78","303,153,448.18","67,175,593.38","135,258,122.43","197,434,625.92","250,092,813.27","31,899,988.35","54,282,485.31","90,151,725.36","116,127,992.49","22,731,464.52","39,508,347.06","58,810,699.39","95,953,660.42","16,920,082.35","30,673,915.00","46,537,526.21","65,248,916.69","20,378,014.38","38,526,892.68","55,110,394.49","68,228,337.33","13,141,636.03","24,855,822.26","35,845,450.62","61,051,921.85","14,191,223.47","28,972,662.59","45,875,681.26","73,982,655.78","12,387,524.60"
减:营业外支出,"183,012.29","1,711,032.23","4,543,940.64","373,738.95","2,838,321.95","2,904,212.57","4,063,798.01","182,903.36","583,403.36","599,241.03","6,275,062.04","91,235.51","91,378.55","121,792.09","489,854.46","189,252.08","308,815.56","311,662.58","34,134,420.82",,"7,883.02","9,151.33","750,224.63","12,324.80","20,840.86","31,196.33","72,812.34","35,904.54","57,368.13","71,448.14","352,916.21","53,261.90","156,012.83","231,686.83","168,750.00",
管理费用,"50,503,578.57","49,736,843.87","75,349,180.59","29,381,353.19","65,937,738.91","103,500,475.43","155,362,216.85","36,998,613.54","91,429,276.70","143,820,886.71","228,726,423.68","33,155,124.05","70,041,374.06","102,139,801.75","157,576,228.50","24,480,694.65","52,602,085.84","74,620,157.00","128,401,346.46","24,273,734.21","52,012,608.01","79,500,155.69","118,359,457.78","30,001,310.19","60,666,794.88","90,712,439.18","121,069,219.09","28,375,102.18","57,230,470.41","88,051,121.18","121,742,472.22","37,978,447.67","78,793,244.42","121,484,375.00","173,327,090.80","46,349,081.17"
其中:非流动资产处置净损失,"7,556.82","560,804.80",,,,,"273,253.01",,"182,903.36",,"3,750,736.96","90,831.77","91,378.55","91,378.55","293,360.63",,,"2,847.02",,,"7,883.02","9,151.33","11,436.65",,"20,840.82","30,671.64","68,867.73",,"57,368.11","57,418.11","223,363.59","53,261.90","56,012.83","131,292.56",,
