科目,2009-12-31,2010-12-31,2011-12-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,"14,133,260.54","9,598,692.90","12,429,858.70","9,895,291.06","8,371,847.04","4,000,000.00",,,,,,,
其他流动资产,,,,,,,,,"38,052,648.57","52,648.57",,"7,794,947.13",,,,,,820.00,,,"18,036,100.81","17,065,239.81","8,080,522.01","2,000,002.95","39,968,259.28"
其他流动负债,,,,,,,,,,,,,,,,,,,,,"943,019.42","943,019.42","943,019.42","943,019.42","3,136,449.42"
流动资产合计,"57,513,144.15","179,227,078.40","173,186,624.40","472,553,459.20","450,813,378.83","489,455,440.57","462,190,470.92","459,871,614.80","371,335,449.54","510,374,845.81","506,878,006.53","521,282,422.61","373,336,145.49","381,467,118.06","895,443,981.32","821,500,223.73","765,811,199.01","1,363,367,447.09","1,821,688,854.95","1,926,057,629.21","2,108,215,847.80","1,861,499,476.27","1,845,413,811.55","2,095,465,214.74","2,509,489,576.49"
流动负债合计,"38,678,733.94","108,169,529.40","74,612,550.27","86,730,305.46","64,753,801.74","112,580,083.55","84,099,028.22","69,607,012.68","155,395,551.44","276,630,294.15","306,902,837.79","333,397,060.90","308,168,803.14","312,518,332.82","2,005,998,960.22","764,251,468.55","725,900,009.28","2,854,943,969.45","905,367,725.83","930,033,258.40","1,014,754,820.97","782,832,305.21","730,050,897.79","889,857,850.89","1,630,699,336.59"
可供出售金融资产,,,,,,,,,,,"10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","42,376,500.00","91,376,500.00","91,376,500.00","89,561,685.00","69,598,722.00"
长期借款,,,,,,,,,,,,"30,000,000.00","26,000,000.00","26,000,000.00","24,000,000.00","22,000,000.00","22,000,000.00","20,000,000.00",,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,"19,277,357.12","16,742,789.48","4,371,844.29","4,371,844.29",,,,,,,,,,,
长期股权投资,,,,,,,,"4,542,697.55",,,,"6,800,000.00","7,657,759.83","7,657,759.83","10,157,759.83","10,157,759.83","10,012,191.09","10,012,191.09",,,,,,,
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"5,320,071.71","6,961,735.21","6,578,992.40","7,627,141.92","8,147,062.92","8,348,622.75","8,853,910.74","10,784,009.95","102,052,550.99","129,200,468.04","134,694,271.64","132,292,479.38","270,064,088.34","270,741,406.56","269,708,443.64","369,461,522.44","386,825,294.64","381,524,421.86","208,580,834.09","204,800,859.03","156,973,256.14","153,588,715.87","150,989,310.18","149,185,315.50","151,053,832.65"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,
在建工程,,,"120,080.00","394,497.20","16,250,494.77","20,695,790.60","40,061,630.94","52,027,055.38","107,482,668.50","103,858,415.75","135,737,355.18","178,762,788.79","113,764,110.24","114,794,253.63","121,237,077.15","17,693,418.06",,"586,629.16",,,"318,500.00","1,043,780.00","3,662,610.19","9,801,283.16","11,553,337.48"
其他非流动负债,,,"20,496,800.00","20,496,800.00","20,496,800.00","21,496,800.00","29,496,800.00","29,496,800.00","35,436,900.00","28,371,800.00","34,986,900.00","34,761,900.00","32,487,220.00",,,,,,,,,,,,
工程物资,,,,,,,,,"571,311.13","530,800.00","530,800.00","530,800.00","530,800.00","530,800.00","530,800.00","530,800.00","2,472,004.64","2,472,004.64","530,800.00","530,800.00",,,,,"571,755.72"
非流动负债合计,,,"20,496,800.00","20,496,800.00","20,496,800.00","21,496,800.00","29,496,800.00","29,496,800.00","35,436,900.00","28,371,800.00","54,264,257.12","81,504,689.48","62,859,064.29","62,121,644.29","55,012,380.00","53,274,959.99","52,492,085.45","49,729,665.45","22,127,145.45","21,364,725.45","15,354,009.92","14,805,652.40","14,257,294.88","13,708,937.36","10,967,149.84"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"38,678,733.94","108,169,529.40","95,109,350.27","107,227,105.46","85,250,601.74","134,076,883.55","113,595,828.22","99,103,812.68","190,832,451.44","305,002,094.15","361,167,094.91","414,901,750.38","371,027,867.43","374,639,977.11","2,061,011,340.22","817,526,428.54","778,392,094.73","2,904,673,634.90","927,494,871.28","951,397,983.85","1,030,108,830.89","797,637,957.61","744,308,192.67","903,566,788.25","1,641,666,486.43"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"10,000,000.00","30,000,000.00","30,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","125,134,417.00","125,134,417.00","125,134,417.00","590,392,690.00","590,392,690.00","590,392,690.00","590,392,690.00","590,392,690.00","590,392,690.00","590,392,690.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,,"23,158,036.12","23,158,036.12","263,565,736.12","263,565,736.12","263,565,736.12","263,565,736.12","263,565,736.12","263,565,736.12","264,805,736.12","223,565,736.12","223,565,736.12","223,565,736.12","223,565,736.12","223,565,736.12","1,357,331,314.77","1,357,331,314.77","1,357,331,314.77","3,074,763,172.21","3,074,763,172.21","3,074,763,172.21","3,074,763,172.21","3,074,763,172.21","3,074,763,172.21","3,075,538,922.21"
无形资产,,,"44,165,824.78","43,492,492.39","43,268,048.26","50,250,243.01","49,989,705.52","60,832,458.39","110,761,257.50","105,066,979.90","111,132,672.86","110,507,581.82","109,573,470.27","108,942,043.97","108,310,617.65","106,041,743.84","109,434,426.42","108,630,848.44","82,045,533.02","81,564,612.09","42,065,271.62","41,870,941.55","41,196,611.48","40,762,281.41","40,327,951.34"
盈余公积,"1,798,649.39","2,511,856.10","7,601,664.03","7,601,664.03","13,042,731.43","13,042,731.43","15,087,668.49","13,042,731.43","18,905,068.95","18,905,068.95","18,905,068.95","18,905,068.95","18,905,068.95","18,905,068.95","18,905,068.95","18,905,068.95","18,841,943.45","18,841,943.45","18,841,943.45","18,841,943.45","18,841,943.45","18,841,943.45","18,841,943.45","18,841,943.45","18,841,943.45"
开发支出,,,,,,,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,"3,948,748.33","3,948,748.33","1,168,983,026.33","1,165,034,278.00","1,152,682,775.36","2,695,491,672.89","2,687,729,844.95","2,687,776,703.67","2,687,245,562.52","2,679,100,837.20","2,687,245,562.52","2,687,245,562.52","3,269,710,741.80"
未分配利润,"12,587,844.54","22,606,704.87","68,414,976.20","105,944,679.74","117,390,839.01","109,058,153.06","119,792,434.14","138,410,281.44","155,011,763.19","156,260,760.17","145,055,809.48","151,669,591.49","144,992,047.32","145,484,548.07","144,139,497.51","173,366,473.11","171,869,794.42","185,219,918.63","224,447,401.56","300,953,666.45","341,359,300.13","364,637,551.41","412,725,429.63","511,077,153.59","653,839,922.07"
长期待摊费用,,,,,,,,,,,,,,,"579,215.30","378,083.37","270,745.82","2,391,224.85","2,128,098.20","1,871,881.52","1,994,548.63","1,785,039.83","1,666,757.35","4,216,203.53","4,636,283.97"
少数股东权益,,,,,,"9,800,000.00","9,802,838.36","34,800,000.00","25,075,000.00","65,283,794.45","72,053,876.32","73,409,756.66","74,801,313.39","79,903,710.84","80,421,071.12","28,387,063.90","25,767,343.40","24,769,811.55",,,"161,879.96","161,879.64","161,629.34","171,438.86","88,821,843.05"
递延所得税资产,"232,012.01","257,312.88","232,505.04","271,594.64","770,923.52","793,407.23","748,787.21","864,725.60","1,186,782.04","1,225,944.34","1,774,479.57","2,275,831.00","2,554,254.85","2,554,254.85","3,045,301.70","2,252,546.00","5,660,828.62","6,718,653.37","10,933,204.38","11,444,061.53","6,649,003.93","6,380,577.60","7,966,168.03","8,967,277.50","9,670,592.96"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,"21,862,655.86","21,862,655.86","20,046,491.00","17,600,391.00","34,167,442.17","34,775,946.91","12,302,908.91","12,302,908.91","9,789,326.00","9,789,326.00","11,675,726.00","13,608,363.00","2,489,508.00"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"5,552,083.72","7,219,048.09","51,097,402.22","51,785,726.15","68,436,529.47","80,088,063.59","99,654,034.41","129,050,946.87","322,054,570.16","339,882,608.03","393,869,579.25","441,169,480.99","539,955,887.72","541,031,923.03","1,712,598,732.60","1,699,150,542.54","1,711,525,708.76","3,252,603,593.21","3,014,251,223.55","3,010,291,826.75","2,947,411,968.84","2,984,935,718.05","2,995,779,245.75","3,003,347,971.62","3,559,612,725.92"
所有者权益(或股东权益)合计,"24,386,493.93","78,276,597.09","129,174,676.35","417,112,079.89","433,999,306.56","435,466,620.61","448,248,677.11","489,818,748.99","502,557,568.26","545,255,359.69","539,580,490.87","547,550,153.22","542,264,165.78","547,859,063.98","547,031,373.70","1,703,124,337.73","1,698,944,813.04","1,711,297,405.40","3,908,445,207.22","3,984,951,472.11","4,025,518,985.75","4,048,797,236.71","4,096,884,864.63","4,195,246,398.11","4,427,435,815.98"
资产总计,"63,065,227.87","186,446,126.49","224,284,026.62","524,339,185.35","519,249,908.30","569,543,504.16","561,844,505.33","588,922,561.67","693,390,019.70","850,257,453.84","900,747,585.78","962,451,903.60","913,292,033.21","922,499,041.09","2,608,042,713.92","2,520,650,766.27","2,477,336,907.77","4,615,971,040.30","4,835,940,078.50","4,936,349,455.96","5,055,627,816.64","4,846,435,194.32","4,841,193,057.30","5,098,813,186.36","6,069,102,302.41"
负债和所有者(或股东权益)合计,"63,065,227.87","186,446,126.49","224,284,026.62","524,339,185.35","519,249,908.30","569,543,504.16","561,844,505.33","588,922,561.67","693,390,019.70","850,257,453.84","900,747,585.78","962,451,903.60","913,292,033.21","922,499,041.09","2,608,042,713.92","2,520,650,766.27","2,477,336,907.77","4,615,971,040.30","4,835,940,078.50","4,936,349,455.96","5,055,627,816.64","4,846,435,194.32","4,841,193,057.30","5,098,813,186.36","6,069,102,302.41"
