科目,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"95,293,881.30","514,756,743.37","784,458,913.83","600,359,757.10","544,702,710.66","430,667,453.70","974,066,748.35","700,068,155.00","599,263,313.19","512,595,796.12","1,086,045,644.56","912,674,742.18","666,851,386.82","653,580,044.87","998,997,804.01","975,581,704.75","773,709,149.51","818,359,297.92","1,319,600,830.71","1,001,734,390.05","1,069,194,185.91","917,836,399.06","2,003,540,034.34","1,614,937,461.84","879,149,982.98","636,004,303.93","1,644,875,412.34","1,209,598,610.42","945,123,943.48","877,509,357.90","2,491,794,633.92","1,724,206,737.64","1,470,288,740.21","1,038,957,127.06","2,494,674,751.38","3,555,679,379.12","2,624,165,325.46","2,560,278,451.89","3,210,657,015.15","2,882,196,866.86","2,913,314,783.92","3,075,436,319.11","3,701,348,844.63","2,869,599,422.44","2,622,909,325.76","2,653,161,980.98","4,249,788,473.33","3,904,259,946.94"
短期借款,"139,194,987.68","51,173,228.49","62,269,592.17","98,587,663.07","54,126,429.54","39,639,017.90","91,405,501.23","14,949,979.98","43,390,323.20","100,100,754.49","167,643,737.51","201,269,284.06","176,105,689.15","189,964,046.16","166,671,556.08","166,598,670.30","169,829,465.88","138,800,829.13","107,660,636.84","44,031,357.90","22,925,102.67","6,189,017.39",,,,,,,,,,,,,"5,000,000.00","5,000,000.00","1,989,360.00",,"3,871,592.79","6,560,113.75","16,611,695.51","33,152,121.56","35,870,110.14","28,569,216.40","29,389,933.09","15,331,000.00","23,331,000.00","48,331,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,"5,220,000.00",,,,"678,300.00","1,897,995.00",,,,,"5,000,000.00","506,960.00","4,697,525.00","10,178,720.00",,"4,987,440.50","1,987,100.00","2,183,596.70","8,150,645.00","6,722,000.00",,"9,813,685.00","30,064,332.20","19,213,000.00","23,115,446.00","15,595,040.00","2,450,000.00","16,047,570.00","8,063,693.00","18,395,448.44","18,096,153.00","22,087,799.16","20,801,156.20","25,449,056.63","9,289,954.00","7,567,597.00","12,628,058.00","14,685,217.00","15,988,577.28","30,068,844.40","41,882,197.77","39,169,212.43"
应付票据,"10,800,000.00","11,100,000.00","26,100,000.00","36,978,000.00","8,360,000.00","18,200,000.00","126,754,221.93","60,589,812.96","82,659,983.02","55,023,378.85","56,713,622.39","22,612,785.07","68,112,973.90","72,430,264.03","48,447,248.07","52,051,910.24","59,051,702.85","99,124,940.30","143,409,767.45","43,139,910.00","38,798,712.80","83,967,551.18","81,861,323.25","62,352,304.99","35,454,240.80","79,933,369.06","78,447,051.97","110,696,597.63","96,477,778.74","88,813,591.75","109,886,419.35","120,664,256.34","93,926,388.66","136,020,043.69","71,392,263.55","87,474,468.23","75,743,807.51","55,330,765.33","109,755,548.59","94,895,586.94","59,845,423.92","91,150,872.17","69,445,798.97","108,955,677.91","85,623,879.15",,"106,681,293.96",
应收账款,"221,439,804.39","294,421,230.63","284,237,231.31","307,881,881.80","231,286,413.42","387,502,891.31","347,503,796.12","366,510,890.98","448,775,771.04","590,890,937.95","409,280,151.25","574,757,256.11","923,698,254.85","927,415,598.82","979,491,643.96","864,073,236.63","1,062,091,084.23","900,698,708.12","832,957,390.58","867,805,834.61","798,105,011.99","934,400,760.80","644,263,001.21","705,194,292.22","735,670,290.33","815,707,358.32","713,886,766.16","733,953,419.40","668,836,357.74","608,879,563.26","601,068,367.86","613,103,637.52","653,553,246.02","722,185,921.12","793,698,335.44","726,867,228.08","767,648,730.57","801,045,156.14","756,917,857.48","767,989,170.71","798,689,437.36","754,701,562.06","800,262,574.88","1,050,574,197.17","1,357,342,716.60","1,303,852,369.15","1,311,545,965.04","1,346,436,154.45"
应付账款,"92,982,404.60","152,553,969.23","266,161,441.15","125,397,646.49","120,019,093.38","157,368,397.39","162,485,574.59","119,578,296.13","131,363,424.26","121,910,566.87","127,093,760.36","93,665,742.93","135,498,151.13","148,611,516.96","239,169,544.54","206,655,704.14","263,070,195.47","193,356,848.10","234,418,793.91","155,190,009.86","201,308,565.79","264,480,919.43","271,949,850.22","217,038,424.77","269,682,962.56","347,170,587.49","398,581,292.49","379,185,851.82","351,863,843.23","371,512,768.17","441,368,382.50","298,053,841.63","529,166,523.41","558,983,438.54","450,614,775.66","302,515,269.05","286,008,760.57","469,594,573.86","508,322,676.22","346,802,101.64","421,632,671.12","419,125,588.43","437,761,073.18","553,575,738.87","590,718,469.27",,"823,555,261.61",
预付款项,"2,591,342.61","3,686,378.17","6,123,312.56","6,815,960.32","3,646,383.55","3,930,668.02","8,312,749.71","2,727,949.71","20,190,536.65","8,303,330.36","12,467,615.84","7,660,062.29","18,774,619.25","25,458,692.49","23,279,458.94","11,428,355.05","13,678,949.56","22,213,417.93","21,913,046.96","6,853,149.24","12,329,456.91","33,156,359.05","49,453,209.32","48,355,374.42","43,480,345.10","46,330,227.87","129,978,323.60","127,253,144.88","120,549,546.45","120,843,372.92","32,003,340.39","26,728,001.03","77,105,022.90","74,452,357.26","25,266,364.91","32,926,242.49","39,890,302.29","36,295,565.67","23,560,347.36","23,816,074.46","33,865,720.77","26,701,564.20","16,769,749.29","77,123,744.09","83,723,581.91","43,520,278.59","68,507,879.62","116,434,988.02"
预收款项,"40,300,268.48","30,206,361.75","136,460,686.83","75,347,113.37","27,819,667.52","45,819,685.67","247,453,092.19","131,442,798.30","50,929,567.29","51,442,089.67","72,023,214.26","16,188,155.59","27,645,458.51","38,198,940.98","75,056,381.65","31,628,854.19","24,036,522.14","22,280,345.72","75,514,431.56","67,855,498.12","22,303,751.22","13,990,152.02","269,248,409.78","163,163,268.49","189,709,225.62","276,210,700.45","481,153,801.03","364,707,561.45","432,912,638.05","574,859,225.60","1,142,042,092.79","944,752,512.38","893,970,918.75","940,183,289.90","1,545,670,543.50","1,390,583,569.01","1,282,902,414.57","1,226,980,307.88","1,462,439,570.89","1,340,108,486.04","1,535,561,084.27","1,654,900,152.79","1,724,794,733.66","1,409,497,347.45","1,537,600,267.27","1,636,189,561.19","1,811,160,432.05","1,428,896,620.11"
