科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"36,100,729.18","37,796,575.45","32,989,510.93","45,384,457.77","267,674,106.08","254,931,230.87","232,590,002.69","229,806,757.34","215,998,152.29","205,652,196.37","197,348,689.33","195,943,932.91","205,901,508.09","205,461,053.07","206,850,095.94","188,515,598.29","204,976,940.00","173,358,039.11","184,735,895.43","190,693,644.79","198,755,224.31","184,593,715.11","174,191,521.72","152,088,429.50","184,909,049.56","193,361,290.60","164,103,375.56","400,712,261.88","345,039,958.01","147,147,577.67","169,703,318.38","125,004,025.22","227,792,643.02","216,554,504.95","211,725,100.74","137,995,733.19","193,616,718.33","222,734,024.18","163,553,792.57"
短期借款,"6,980,000.00","10,000,000.00","11,160,000.00","23,000,000.00","26,000,000.00","26,000,000.00","26,000,000.00","28,900,000.00","28,900,000.00","28,900,000.00","28,900,000.00","30,000,000.00","30,000,000.00","44,250,000.00","50,750,000.00","49,250,000.00","69,250,000.00","69,250,000.00","69,250,000.00","89,250,000.00","89,250,000.00","88,330,000.00","88,330,000.00","70,000,000.00","77,000,000.00","90,000,000.00","89,445,101.44","204,984,856.34","209,284,856.34","193,916,554.31","170,916,554.31","140,929,600.00","170,816,977.00","198,816,977.00","188,816,977.00","186,816,977.00","256,000,000.00","417,110,120.00","416,130,120.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"270,000.00","200,000.00",,"1,000,000.00","23,653,044.03","18,692,231.11","320,000.00","956,000.00","13,160,000.00","13,410,000.00","13,545,000.00"
应付票据,,,"896,000.00","255,120.00",,,,,,,,,,,,,,,,"5,000,000.00","5,000,000.00","8,260,000.00","8,260,000.00","194,500.00","132,009,238.00","194,500.00",,,,"255,000.00",,,,"390,000.00",,,,,
应收账款,"24,629,358.34","29,009,375.82","38,086,119.47","38,623,745.38","42,172,218.56","39,554,437.40","47,460,368.41","53,800,669.48","59,411,372.14","52,377,672.86","65,020,656.72","65,616,960.18","66,869,786.94","61,829,799.80","67,603,598.72","73,952,769.76","76,749,209.80","83,668,160.58","82,803,029.26","81,790,519.82","91,030,567.66","85,696,591.21","96,159,089.34","85,543,372.80","97,462,064.01","95,113,738.42","100,225,343.18","328,123,369.13","322,907,096.37","355,739,397.93","339,865,636.36","359,335,412.02","350,142,552.41","388,221,870.14","419,600,487.76","458,785,925.76","483,006,619.69","460,583,930.75","527,652,935.75"
应付账款,"7,398,642.53","9,243,694.72","16,898,014.91","13,146,636.02","20,074,457.57","15,493,402.70","20,812,729.51","20,242,073.83","22,356,510.50","20,341,720.57","26,511,017.80","26,894,347.10","37,370,911.83","26,946,212.87","27,072,409.72","28,132,188.32","31,356,715.21","29,380,145.01","27,087,702.00","25,227,580.07","47,861,092.61","44,239,628.05","64,047,027.98","50,445,121.14","55,051,017.14","45,823,972.33","52,397,919.67","105,769,024.78","181,668,213.79","195,809,759.60","176,262,623.47","160,005,898.76","293,519,380.90","278,053,126.31","278,932,084.58","306,349,983.92","299,112,554.43","256,293,098.75","249,346,107.28"
预付款项,"999,251.99","3,209,261.00","1,902,023.80","847,186.11","2,305,221.94","6,648,800.19","5,799,480.95","21,171,727.10","25,976,916.33","15,253,347.67","9,158,226.82","5,086,551.45","1,994,619.64","7,505,860.99","8,966,056.01","29,650,371.62","23,684,014.82","38,356,348.31","32,767,663.77","26,704,927.59","15,272,168.67","31,713,321.56","11,338,433.11","27,141,914.25","5,436,405.50","11,181,838.49","23,579,344.73","32,789,691.87","62,623,312.05","126,057,217.82","94,638,412.29","94,884,931.47","29,337,874.73","31,903,023.53","49,050,675.16","45,409,900.38","46,574,396.80","49,102,178.52","55,727,292.49"
预收款项,"219,500.84",,,,"17,854.78","12,525.86","230,004.91","149,233.98","93,758.91","43,537.87","47,093.23","54,969.26","28,200.60","28,329.66","16,176.98","20,242.03","2,090,722.77","2,162,289.11","1,427,870.73","757,029.49","1,745,359.81","954,640.10","2,058,284.42","63,970.38","2,704,989.67","2,734,773.01","665,520.64","5,462,473.58","22,074,231.21","19,935,573.66","34,242,295.92","35,279,371.37","24,973,970.24","20,055,581.61","13,073,928.86","2,648,939.45","16,237,701.56","9,101,918.79","12,408,040.42"
其他应收款,"2,081,928.45","1,599,230.88","3,422,690.74","3,890,349.56","4,308,764.00","5,311,947.26","6,544,494.83","6,596,503.19","6,838,286.01","7,316,320.63","6,912,681.10","7,046,918.85","5,253,209.80","6,381,803.65","7,923,480.57","9,414,387.68","10,736,914.35","12,009,420.99","10,246,106.46","10,288,641.44","8,682,087.11","11,177,152.22","15,656,342.82","17,854,772.91","20,998,179.34","18,523,157.25","19,763,836.79","35,134,345.02","27,009,132.54","45,394,141.26","45,100,656.82","52,334,707.23","121,929,635.15","133,145,335.43","132,309,031.71","137,864,346.80","135,074,248.11","117,049,179.55","141,391,549.97"
应付职工薪酬,"5,002,712.85","4,931,752.68","3,733,188.79","3,771,322.62","6,575,546.64","3,432,956.19","3,885,917.36","4,125,847.81","8,417,740.98","4,446,094.25","6,799,954.51","9,201,316.61","10,612,803.57","6,664,931.81","8,935,616.66","11,456,768.05","12,748,597.15","9,408,646.27","10,195,130.78","12,110,578.85","11,302,413.02","9,561,110.25","11,491,815.36","14,645,443.50","14,902,685.78","11,394,732.60","11,472,025.80","18,742,013.92","26,752,584.94","18,642,705.98","19,230,508.21","19,001,337.75","26,272,829.27","19,469,876.29","22,252,518.10","24,505,137.24","32,163,164.33","23,837,392.00","24,833,271.70"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"4,755,901.85","4,012,153.05","4,239,764.11","3,398,881.16","4,394,563.39","3,069,493.38","3,759,208.76","4,289,632.66","3,584,643.36","2,634,398.65","2,584,151.78","2,640,024.89","2,141,554.84","2,493,938.22","2,434,234.34","3,740,841.44","4,157,229.14","4,828,697.93","4,023,586.11","3,283,573.53","5,079,374.28","4,852,382.51","4,874,849.90","3,608,145.65","4,617,176.16","4,565,397.79","4,143,834.00","28,675,370.41","15,387,527.27","4,498,767.20","10,807,944.40","10,741,525.52","18,960,032.20","11,050,905.53","16,872,212.37","9,923,228.51","10,338,901.21","5,166,207.32","9,974,929.65"
应收利息,,,,,,,,,"5,756.00",,,,,,,,"455,400.32","491,935.04",,"222,187.28","520,445.38","391,864.81","529,835.30","622,439.81","66,543.75","6,450.69",,,337.50,195.00,157.50,157.50,337.50,168.75,187.50,110.96,337.50,337.50,225.00
应付利息,,,,,"9,735.00","9,735.00","9,735.00",,"42,627.50","42,627.50","42,627.50",,"54,718.89","54,718.89","99,232.89","83,223.00","115,589.04","115,589.04","115,589.04","115,589.04","479,992.87","849,173.77","169,432.16","125,731.51","166,221.81","195,213.59","249,119.24","280,034.68","292,118.57","135,563.23","243,836.90","243,836.90","322,662.93","366,376.64","356,938.60","384,794.21","440,141.83","1,206,866.79","1,090,650.87"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"730,697.67",,
应付股利,,"265,767.51",,,,"1,231,125.92",,,,,"3,052,962.50","1,470,000.00","1,849,936.15","1,470,000.00",,"588,000.00","588,000.00",,,,,,,,,,"882,000.00",,,,"2,381,399.99",,,,,,,,"17,867,484.60"
存货,,"164,786.23","341,273.02","338,942.93","473,173.68","381,469.04","526,656.13","376,709.82","273,595.15","283,170.19","359,449.05","450,056.68","543,019.18","524,849.94","475,391.66","343,662.13","750,556.64","430,654.18","421,153.66","606,327.36","314,372.70","282,239.76","223,773.59","2,993,615.47","776,724.53","398,392.04","15,652,280.51","55,312,832.78","107,288,604.65","89,350,548.50","116,865,102.65","95,193,837.01","33,606,948.25","35,915,694.32","38,119,120.90","44,052,190.13","47,154,930.83","37,692,785.49","48,130,458.23"
其他应付款,"15,577,389.57","5,905,770.34","3,994,743.80","9,532,239.51","5,215,244.15","4,843,174.11","5,238,636.23","4,958,775.74","1,871,806.76","1,799,998.55","1,672,038.48","1,839,244.99","3,322,602.37","2,193,254.45","2,897,806.45","2,886,141.80","3,079,438.16","3,147,621.10","3,217,035.35","2,911,347.64","4,547,305.29","3,734,287.97","4,910,350.88","4,340,094.71","19,648,825.80","19,201,824.33","8,144,998.97","9,362,290.30","7,879,984.12","1,688,844.73","34,496,028.82","31,004,574.40","40,390,376.05","63,383,452.32","107,173,635.99","106,015,131.20","50,957,905.95","24,227,470.70","62,479,165.31"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,462,000.00","1,710,000.00","1,710,000.00",,,,,"39,966,164.28","39,966,164.28","40,278,774.77"
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,"218,895.40","296,989.57",,,,,,,,,,,,,,,"484,797.96","285,388.27","191,037.69","470,947.78","810,205.81","937,036.62","326,305.05","339,642.93","126,026,787.94","19,566,160.15","2,829,122.62","5,079,666.30","16,017,117.55","9,660,060.65","26,754,324.30","25,007,606.34","152,584,969.81","120,332,344.10","118,217,623.11","104,532,241.14","96,581,127.61","82,829,712.51","74,167,032.93"
其他流动负债,,,,,,,,,,,,,,,,,,,,,"12,193,800.00","12,304,200.00",,,,,,,,,,,"489,426.27","275,177.56","203,697.38","203,697.38","1,936,125.16","552,964.71","518,226.71"
流动资产合计,"64,030,163.36","72,076,218.95","76,741,617.96","89,084,681.75","316,933,484.26","306,827,884.76","292,921,003.01","311,752,366.93","308,504,077.92","280,882,707.72","278,799,703.02","274,144,420.07","280,562,143.65","281,703,367.45","291,818,622.90","301,876,789.48","317,837,833.89","308,599,946.48","311,164,886.27","310,777,196.06","315,385,071.64","314,791,921.29","298,425,300.93","286,584,187.67","435,675,754.63","338,151,027.64","326,153,303.39","857,152,166.98","881,155,558.67","775,011,138.83","794,637,608.30","754,470,676.79","939,048,004.90","944,765,172.33","969,342,226.88","929,596,448.36","1,055,865,240.82","1,023,368,312.78","1,064,447,061.71"
流动负债合计,"39,934,147.64","34,359,138.30","40,921,711.61","53,104,199.31","62,287,401.53","54,092,413.16","59,936,231.77","62,665,564.02","65,267,088.01","58,208,377.39","69,609,845.80","72,099,902.85","85,380,728.25","84,101,385.90","92,205,477.04","96,157,404.64","123,386,291.47","118,292,988.46","115,316,914.01","138,655,698.62","177,459,337.88","173,085,422.65","184,141,760.70","143,423,006.89","306,100,154.36","174,110,413.65","167,400,519.76","373,276,064.01","463,339,516.24","434,882,768.71","448,581,192.02","397,206,144.70","575,745,654.86","591,861,473.26","627,681,992.88","636,847,888.91","667,186,494.47","737,496,039.06","794,647,996.54"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,"5,340,000.00","5,340,000.00","5,340,000.00","5,340,000.00","55,340,000.00","55,340,000.00","55,340,000.00","55,340,000.00","147,860,800.00","147,860,800.00","147,860,800.00","147,860,800.00","55,340,000.00","55,340,000.00","60,440,000.00"
长期借款,,,,,,,,,,,,,,,,,,,,,,,,,"10,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","39,000,000.00","39,000,000.00","57,000,000.00","55,500,000.00","48,000,000.00","48,000,000.00","45,170,000.00","45,170,000.00","41,830,000.00","504,990,000.00","486,600,000.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,401,383.95","39,150,354.27","42,435,803.31","47,929,132.42","54,148,267.26","64,190,343.09","63,539,501.88","91,270,581.51","163,421,059.64","90,106,501.97","104,631,197.08","124,429,467.23"
长期应付款,,"1,000,000.00","3,000,000.00","4,500,000.00",,,,,,,,,,,,"458,104.98","721,259.78","1,667,482.67","1,390,208.75","1,337,091.91","1,294,524.45","1,168,464.63","1,030,866.50","889,569.51","745,338.55","606,412.10","474,936.74","387,758.61","296,623.34","217,045.43","75,134.77",24.11,,,,,,,
长期股权投资,,"815,068.77","745,804.07","752,112.66","864,923.00","852,016.27","899,920.04","1,149,621.48","936,769.75","909,502.51","904,583.71","925,568.78","1,007,256.06","1,463,804.74","5,973,552.56","5,948,044.83","8,622,966.23","21,056,219.50","19,914,786.17","22,745,899.78","21,020,301.74","23,369,389.61","25,859,076.93","30,592,492.02","23,406,171.01","27,000,248.77","27,171,787.21","81,465,401.18","27,612,003.12","32,564,406.34","34,909,869.66","37,027,836.28","40,093,778.86","62,614,675.10","63,270,669.99","67,087,386.11","64,666,716.59","81,249,504.45","74,626,671.64"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,721,486.64","5,721,486.64","5,721,486.64","5,721,486.64","5,721,486.64","5,721,486.64","7,515,486.94","2,053,971.54","2,567,207.94","2,682,715.15","2,682,715.15"
固定资产,"42,380,462.82","39,502,882.46","49,406,656.94","50,986,571.71","58,524,842.27","59,187,564.54","63,224,682.36","66,675,418.41","69,505,466.61","71,805,929.83","72,400,892.63","78,305,234.46","117,010,670.63","115,206,886.35","113,635,857.04","111,335,666.94","117,848,900.93","115,931,373.00","112,678,126.54","109,917,310.85","130,967,590.02","151,053,117.17","175,072,396.73","148,487,949.62","172,522,349.48","166,983,436.27","166,745,685.49","178,340,586.17","186,453,322.86","186,253,763.80","182,060,199.38","196,208,646.17","193,545,915.45","187,578,979.89","183,368,608.34","181,217,780.24","172,865,845.39","495,548,158.05","486,400,830.71"
递延所得税负债,"18,521.92",,,,,,,,,,,,,,,,,,,,,,,,"340,338.60","340,315.01","353,074.45","306,639.43","2,883,694.11","2,716,824.85","2,570,250.13","2,403,652.29","2,242,841.94","2,054,298.18","1,900,626.46","1,731,101.15","1,485,608.59","19,731,960.14","19,418,981.17"
在建工程,"530,000.00","4,183,663.00","5,774,940.13","6,201,233.53",,"582,106.80","7,113,174.80","1,190,275.45","1,666,508.08","16,578,908.08","25,242,535.48","30,370,001.65",,,"41,225.00","477,884.50","441,187.10","707,002.60","2,154,723.45","31,552,540.23","23,975,040.88",,"1,375,051.33","192,136.18",,,,"5,260,526.24","17,925,038.40","89,653,641.40","19,991,076.14","626,485.00",,"6,706,043.96","6,363,176.15","13,592,703.85","55,601,355.97","63,510,636.59","60,785,379.70"
