科目,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"31,171,895.88","35,583,688.80","60,207,573.62","607,197,916.42","593,018,032.88","515,818,955.58","442,637,083.73","385,841,909.70","266,551,727.43","187,230,614.54","120,725,904.81","178,255,400.94","137,715,273.71","146,590,833.84","93,922,770.03","92,329,200.67","92,009,432.62","82,565,779.26","124,423,130.48","69,858,596.22","208,053,107.52","189,290,803.60","216,492,162.69","214,083,696.08","259,159,699.02","1,035,224,761.67","405,941,081.06","349,491,678.95","354,949,270.53","403,753,424.65","611,534,603.92","469,631,487.61","453,513,320.27","468,521,827.67","540,883,342.78","591,429,983.86"
短期借款,"30,000,000.00","30,500,000.00","20,000,000.00","30,000,000.00","30,000,000.00","10,500,000.00","500,000.00",,"20,000,000.00","30,000,000.00","94,500,000.00","94,500,000.00","90,242,325.00","142,959,552.00","110,930,250.60","126,140,750.00","136,916,800.00","136,915,000.00","136,714,000.00","159,853,200.00","475,926,000.00","298,854,875.00","275,622,370.08","239,210,141.74","217,000,000.00","337,076,819.24","252,027,500.00","215,744,750.00","178,808,000.00","137,776,750.00","88,000,000.00","88,000,000.00","186,000,000.00","174,000,000.00","174,000,000.00","259,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,872,141.08","2,872,141.08",,,,,,,,"67,000,000.00"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"591,967.47","582,167.47","1,446,926.18","1,452,600.00","1,452,600.00",,,
应收票据,,"7,682,271.85","3,953,162.00","9,198,209.55","17,041,164.51","17,393,493.01","18,441,410.68","23,064,541.25","24,277,557.14","24,714,063.75","19,998,592.81","19,826,035.01","23,390,046.41","27,845,326.95","30,836,743.76","24,361,131.90","52,692,732.77","97,631,336.06","65,920,401.81","54,700,849.85","79,950,192.91","98,570,627.11","101,595,916.53","87,595,566.39","86,472,874.55","91,699,307.80","101,748,074.38","73,047,261.55","73,289,191.02","83,216,909.52","88,358,254.50","68,410,847.81","83,470,669.32","117,399,039.30","196,371,749.00","199,305,615.86"
应付票据,"6,490,000.00","13,390,414.00","25,289,640.16","42,398,581.10","56,762,820.71","50,359,739.61","25,998,523.70","11,620,115.80","15,330,059.40","44,375,071.64","62,922,746.52","112,999,731.44","117,859,750.36","80,658,394.10","63,020,108.14","53,144,184.74","50,003,416.45","20,218,938.38","10,815,585.53","8,492,138.33","6,311,111.33","1,200,000.00","820,000.00","17,900,700.87","8,338,744.23","11,167,615.83","7,237,287.83","10,750,000.00","13,565,891.20","35,534,701.00","102,284,859.65","139,882,181.12","115,983,264.45",,"68,387,519.37",
应收账款,"31,323,648.63","38,071,311.10","64,090,257.97","59,591,374.30","53,946,155.07","59,387,440.90","59,702,760.23","55,299,099.66","56,895,142.07","48,650,825.52","90,415,482.76","118,037,510.26","156,322,353.74","182,876,101.45","143,206,331.84","197,975,318.30","186,478,814.97","218,004,844.99","170,108,203.24","206,956,073.14","334,707,014.30","324,829,042.45","313,366,208.96","339,841,687.09","364,952,852.02","354,320,325.21","338,891,316.14","333,868,071.72","364,304,581.51","396,113,860.77","347,677,848.36","348,006,466.67","370,731,158.52","390,962,820.63","350,913,138.87","382,918,300.23"
应付账款,"32,429,796.16","44,237,208.97","49,158,567.57","32,654,640.89","50,390,151.62","45,446,525.80","64,314,807.13","67,753,246.46","78,175,844.05","82,822,644.15","88,143,959.11","103,755,129.25","212,145,189.08","202,396,335.71","150,379,470.23","163,016,292.82","161,608,214.35","167,245,383.86","152,033,606.93","171,237,785.59","208,327,091.44","206,201,206.77","176,583,557.08","185,553,511.96","178,346,859.91","182,504,836.37","162,606,497.58","185,835,629.97","174,350,559.36","225,354,287.63","178,239,644.74","218,292,306.48","240,361,632.09",,"224,805,063.43",
预付款项,"45,940,934.47","20,144,329.46","12,823,341.80","1,784,768.77","40,359,140.10","15,508,833.12","17,191,787.65","24,108,869.48","25,530,246.73","24,766,993.50","74,865,166.93","90,778,511.20","140,273,221.42","121,813,011.38","83,534,396.15","94,078,490.27","87,160,889.87","32,271,655.33","10,275,577.78","27,462,886.03","35,531,891.67","33,490,701.18","12,912,310.52","36,817,835.88","27,467,976.79","32,953,253.42","17,225,400.61","39,668,457.18","28,276,273.22","46,813,467.20","16,518,848.97","46,424,805.68","49,090,503.34","122,554,738.95","18,979,590.63","66,302,476.00"
预收款项,"5,496,618.43","7,066,088.23","7,088,346.32","13,422,941.66","6,361,666.65","13,286,957.65","3,049,025.76","5,086,453.74","12,900,442.77","12,805,892.69","8,077,748.23","12,815,282.32","35,257,612.79","35,843,806.54","8,237,685.23","34,520,889.01","9,764,422.82","39,698,038.83","7,245,875.40","14,553,740.63","27,351,817.51","21,388,606.23","14,490,775.44","25,355,599.02","22,754,684.09","25,820,694.13","21,230,833.12","20,030,049.18","27,622,946.99","30,768,078.13","27,847,303.94","21,776,676.90","26,080,554.05","33,938,473.48","20,944,635.65","15,869,825.22"
