科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"371,415,828.57","389,036,950.93","164,339,330.29","265,222,291.23","350,498,825.32","87,145,329.52","205,149,692.36","319,917,049.08","410,040,518.15","110,757,103.91","257,374,352.48","413,014,556.09","560,991,753.02","124,933,864.80","285,657,142.49","424,169,843.06","541,229,946.14","120,126,482.25","269,966,397.29","426,965,481.31","566,047,540.35","136,623,054.19","277,568,063.93","437,921,201.52","548,458,142.85","101,912,336.20","244,396,372.33","361,015,784.72","434,384,399.94","116,318,259.30","228,876,644.90","332,922,159.93","429,968,076.77","121,390,652.09","250,623,525.10","380,523,856.05","592,010,244.24","237,584,139.14"
二、营业利润,"63,996,261.33","61,591,725.19","26,500,305.54","46,539,157.84","63,331,716.53","11,685,905.77","37,105,921.20","60,181,112.16","80,146,639.99","14,304,497.09","39,784,661.94","58,546,762.37","75,926,375.59","8,458,783.20","28,729,597.28","33,407,766.70","5,495,513.96","5,390,890.12","35,290,616.23","39,595,382.76","14,782,155.30","6,095,864.48","20,701,125.35","30,602,397.11","28,070,900.77","1,403,185.31","15,247,779.92","20,903,507.52","4,313,882.47","2,779,472.57","12,891,231.14","19,775,286.62","8,437,271.47","4,887,419.31","50,892,036.34","57,527,895.83","54,436,365.29","15,303,357.44"
减:营业成本,"246,463,061.72","263,239,077.11","107,206,464.76","171,172,500.42","221,878,187.30","57,618,891.81","131,518,167.79","205,704,446.03","253,500,264.53","75,668,046.68","167,046,172.52","262,651,420.96","360,886,836.47","86,388,955.72","195,088,732.25","294,949,933.11","386,545,604.99","83,920,956.52","195,186,998.80","311,675,375.48","416,890,679.28","99,528,154.50","191,964,730.80","307,822,210.78","383,229,619.26","68,175,416.29","166,841,666.20","241,917,101.85","283,051,280.03","82,797,380.29","153,591,857.14","212,202,852.51","271,879,526.05","81,964,119.32","161,296,327.73","246,214,798.78","398,199,836.95","165,785,026.92"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,335,485.42","3,168,553.38","1,415,113.19","2,345,632.12","2,717,232.95","667,740.14","1,466,444.83","2,035,659.09","2,812,402.45","1,003,604.50","1,533,159.55","2,859,842.87","3,840,234.27","1,176,205.66","3,108,138.53","4,083,028.42","5,498,501.40","902,222.70","1,881,878.93","2,424,437.03","3,654,746.02","1,157,738.63","1,847,902.31","2,475,199.57","4,325,856.85","997,046.85","1,865,454.95","2,499,656.47","3,239,705.76","879,455.19","1,086,655.63","1,739,189.06","5,957,500.74","2,896,276.90","4,551,050.67","6,916,495.68","9,763,259.43","4,202,391.86"
营业外收入,"1,907,150.42","5,635,135.24","517,448.11","1,070,367.19","3,785,475.64","635,970.83","799,501.05","1,569,748.77","3,130,844.40","750,297.20","1,445,740.42","2,663,815.71","2,707,069.46","1,090,900.78","2,040,803.10","2,334,134.69","6,030,981.13","885,845.17","1,072,804.45","1,536,329.97","4,105,667.18","573,511.90","3,068,207.56","3,609,875.80","5,004,728.74","3,458,751.83","4,771,026.90","5,296,958.26","4,735,089.25","1,687,588.17","2,098,991.46","2,437,897.34","6,409,497.06","185,987.82","1,034,605.83","1,651,162.26","2,374,876.66","1,237,047.64"
销售费用,"23,447,525.32","27,490,393.18","12,689,988.95","19,164,514.93","27,853,899.01","7,133,681.20","15,499,368.15","25,131,534.58","36,919,612.25","9,957,331.97","24,912,157.78","47,283,734.35","65,496,205.80","12,875,333.29","30,403,030.75","48,951,127.78","69,369,464.93","12,358,421.45","25,323,690.50","38,477,236.68","57,046,504.43","12,655,672.13","27,261,466.73","41,085,416.21","56,763,895.10","14,528,472.38","27,536,789.59","40,199,338.62","58,439,364.58","12,342,967.52","25,433,398.20","38,465,775.91","54,166,833.31","13,649,482.74","33,620,842.11","49,724,341.71","67,430,451.27","19,728,793.68"
减:营业外支出,"816,252.94","1,382,426.93","65,122.21","92,988.25","240,679.00","61,603.64","67,833.01","654,257.74","785,361.10","241,150.00","292,370.00","309,295.00","1,002,179.87","125,007.76","238,776.61","254,786.60","308,850.07","229,389.66","281,025.57","292,884.98","734,783.03","122,470.65","705,704.77","928,203.52","952,360.77","108,429.49","654,467.42","1,100,260.64","1,936,715.44","55,569.89","114,042.91","1,990,426.22","2,342,361.50","192,340.74","134,515.81","230,695.98","439,860.08","145,902.19"
管理费用,"24,779,414.42","24,425,203.60","13,342,190.67","22,167,720.80","29,322,299.24","8,743,133.16","18,608,610.26","28,490,698.42","39,869,870.02","11,248,598.29","25,150,475.43","39,236,350.13","57,931,783.67","13,557,234.77","27,602,691.50","38,912,105.56","58,905,174.20","14,813,205.56","29,745,817.34","46,343,983.58","64,557,586.20","14,882,709.01","30,677,221.55","46,768,583.37","61,462,675.28","14,012,350.65","26,799,333.35","41,787,361.62","61,092,051.58","15,279,070.49","27,993,114.25","48,046,654.88","61,299,365.55","13,425,340.69","28,467,998.72","44,426,184.23","74,557,419.02","24,531,926.64"
其中:非流动资产处置净损失,"148,083.90","14,262.93","1,739.56",,,,"8,705.63","8,705.63",,,"50,382.90","51,207.90","344,375.20",,,,"11,016.72",,,,"313,508.63",,"383,671.42",,"856,917.83","24,244.21","153,583.39","580,015.01","1,378,310.35","12,619.57","27,282.87","1,793,800.72","2,137,802.91","1,793,800.72","111,738.34","117,526.38",,
