科目,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"4,753,259,677.10","8,334,884,223.77","11,264,850,659.81","1,912,985,666.96","4,044,431,226.57","5,580,329,996.87","7,006,518,895.40","1,777,066,488.11","4,132,484,833.20","6,678,831,414.43","9,939,716,207.19","2,236,715,644.93","4,382,412,843.40","6,803,769,704.91","9,767,691,726.19","2,668,870,970.46","5,246,512,274.51","6,949,525,753.13","9,292,729,959.25","2,426,157,382.87","5,063,649,944.90","6,893,961,740.63","9,140,694,021.36","2,925,599,065.20","5,660,146,365.98","8,298,713,515.77","10,454,954,029.51","3,036,282,728.77","6,714,058,467.03","11,188,096,986.48","17,978,474,435.10","7,965,335,973.25","22,049,324,763.19","26,838,735,989.12","38,086,267,720.37","5,233,632,654.03","12,079,516,785.52","19,791,087,043.80","28,011,665,306.32","6,442,835,734.86","12,813,956,065.56","19,255,445,176.41","28,221,667,163.35","5,704,680,933.31","10,942,263,173.65"
提取保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息净收入,"147,953,893.28","286,446,851.84","490,008,457.75","241,879,092.37","472,893,744.43","708,263,600.14","1,002,645,450.94","269,580,152.38","534,342,850.01","813,742,749.30","1,124,000,543.42","291,460,294.69","606,667,957.94","952,820,608.97","1,365,517,376.55","444,899,196.38","1,021,457,003.85","1,531,424,468.95","2,093,375,137.62","541,110,288.39","1,089,739,150.19","1,493,400,958.47","2,121,473,223.84","486,781,720.58","994,991,770.12","1,698,019,293.01","2,084,278,338.64","734,680,709.36","1,506,226,354.57","2,576,916,470.09","3,359,782,237.27","1,327,004,789.07","3,211,061,658.19","4,325,414,651.52","4,755,593,972.68","874,572,228.62","2,020,683,481.90","3,158,779,562.99","3,839,610,355.40","1,028,863,692.57","1,742,624,735.95","2,520,921,905.11","3,665,925,531.96","1,219,109,430.94","2,419,761,193.91"
减：摊回保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,180,547,566.55",,"7,475,356,368.27",,"15,124,317,313.26",,"8,862,880,932.03"
保单红利支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,340,937,211.15",,"5,732,731,632.32",,"11,458,391,781.30",,"6,443,119,738.12"
分保费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金净收入,"3,417,478,373.35","5,315,653,499.71","6,899,520,787.75","1,601,718,510.18","2,970,652,671.97","3,829,076,352.77","4,908,083,653.56","1,350,518,870.59","3,133,193,538.79","5,365,957,631.28","7,755,188,903.43","1,697,729,885.97","3,439,355,153.89","4,969,329,290.78","7,208,236,805.51","1,634,060,932.09","3,146,061,824.54","4,496,543,467.39","5,522,539,407.60","1,188,786,248.97","2,368,006,877.74","3,409,509,129.87","4,384,846,550.47","1,247,409,117.99","2,653,941,989.42","4,060,348,853.16","5,902,484,102.84","1,579,721,942.32","2,859,586,402.14","4,587,708,502.69","8,220,650,433.41","2,762,096,938.62","9,190,412,834.08","13,381,266,014.16","17,970,455,503.56","2,607,884,605.34","5,143,899,251.68","7,518,998,148.95","10,965,008,854.57","2,246,037,245.62","4,584,495,338.08","6,990,945,936.27","9,556,198,727.08","1,948,769,411.78","4,182,855,398.61"
营业税金及附加,"233,214,525.17","351,913,980.77","416,407,054.75","118,271,782.39","212,604,522.04","276,719,656.74","334,593,531.30","79,285,319.27","198,739,734.57","327,467,900.99","474,897,957.86","86,973,756.75","186,904,990.96","269,372,082.32","422,393,418.77","96,224,650.39","222,462,086.46","302,785,633.10","379,141,153.75","72,897,127.03","144,778,410.47","210,691,085.78","269,384,664.37","89,113,360.97","184,275,417.41","291,283,683.52","430,024,368.02","123,012,586.50","224,021,813.93","393,390,226.87","724,342,438.20","378,259,703.80","1,112,400,346.65","1,576,643,078.83","1,915,067,823.29","290,910,369.35","414,167,752.97","451,871,343.76","490,685,726.69","38,124,366.27","86,371,794.37","132,837,772.48","165,972,927.57","43,187,213.62","85,792,186.32"
手续费及佣金收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,711,293,177.52",,"5,868,622,896.20",,"11,225,082,527.74",,"5,347,240,141.82"
手续费及佣金支出2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,746,284,322.95",,"1,284,127,558.12",,"1,668,883,800.66",,"1,164,384,743.21"
业务及管理费,"1,009,454,902.53","1,700,591,009.04","3,267,599,484.24","556,462,601.91","1,090,186,738.64","1,691,843,922.25","2,952,598,541.26","420,339,680.30","980,430,723.73","1,933,575,591.19","3,725,203,726.50","815,318,067.10","1,761,329,337.61","2,835,231,251.69","4,511,731,466.48","977,085,757.73","1,969,842,079.78","2,897,302,370.26","4,228,444,095.77","901,294,161.70","1,980,848,394.31","2,904,046,927.25","4,011,390,364.31","932,193,268.07","1,939,861,680.83","3,061,810,168.49","4,552,370,925.42","1,228,092,702.15","2,567,752,876.59","3,986,823,638.37","6,298,773,697.90","1,660,640,008.16","5,388,756,365.80","7,608,464,937.47","11,214,057,360.50","1,897,091,584.11","4,399,119,238.88","6,808,546,684.99","9,563,542,327.78","2,268,524,056.16","4,972,740,786.40","7,000,322,019.24","9,755,117,004.73","2,135,816,326.28","4,070,618,630.56"
